rate_pct	obs_rate_pct	tree	cohort	calibration	n_total	n_pos	n_strata_used	global_ece	worst_cell_ece	mean_cell_ece	brier
0.1	0.1014	XGB-24full	amount	raw	9866	10	5	0.13084	0.17222	0.130853	0.034049
0.1	0.1014	XGB-24full	amount	iso_per_cohort	9866	10	5	0.39452	0.997973	0.394731	0.295339
0.1	0.1014	XGB-24full	time	raw	9866	10	3	0.13084	0.151477	0.13084	0.034049
0.1	0.1014	XGB-24full	time	iso_per_cohort	9866	10	3	0.607611	0.864271	0.607964	0.548361
0.05	0.0507	XGB-20raw	v_mean	raw	9861	5	5	0.137136	0.170633	0.137132	0.036703
0.05	0.0507	XGB-20raw	v_mean	iso_per_cohort	9861	5	5	0.329451	0.800304	0.329812	0.246907
0.05	0.0507	XGB-20raw	amount	raw	9861	5	5	0.137136	0.218348	0.137136	0.036703
0.05	0.0507	XGB-20raw	amount	iso_per_cohort	9861	5	5	0.272137	0.865027	0.27256	0.206802
0.05	0.0507	XGB-20raw	time	raw	9861	5	3	0.137136	0.171851	0.137136	0.036703
0.05	0.0507	XGB-20raw	time	iso_per_cohort	9861	5	3	0.217457	0.472055	0.217457	0.117695
0.05	0.0507	XGB-24full	v_mean	raw	9861	5	5	0.130964	0.176625	0.13096	0.03406
0.05	0.0507	XGB-24full	v_mean	iso_per_cohort	9861	5	5	0.317957	0.800304	0.318517	0.216045
0.05	0.0507	XGB-24full	amount	raw	9861	5	5	0.130964	0.172217	0.130971	0.03406
0.05	0.0507	XGB-24full	amount	iso_per_cohort	9861	5	5	0.314425	0.89858	0.314846	0.24689
0.05	0.0507	XGB-24full	time	raw	9861	5	3	0.130964	0.151195	0.130964	0.03406
0.05	0.0507	XGB-24full	time	iso_per_cohort	9861	5	3	0.238368	0.534882	0.238374	0.131222
