method	step	zvf_obs	y_obs	delta_div	deg_g8_iid	deg_g16	saved_at_g16	p_hat_extreme
gift	0	0.750000	0.250000	0.014484	12	12	2	12
gift	1	0.562500	0.437500	0.077919	9	9	2	9
gift	2	0.687500	0.312500	0.107378	11	11	0	11
gift	3	0.562500	0.437500	0.089459	9	9	4	9
gift	4	0.687500	0.312500	0.056947	11	11	2	11
gift	5	0.625000	0.375000	0.108857	10	10	0	10
gift	6	0.750000	0.250000	0.030693	12	12	1	12
gift	7	0.687500	0.312500	0.076943	11	11	2	11
gift	8	0.625000	0.375000	0.057435	10	10	2	10
gift	9	0.625000	0.375000	0.093640	10	10	1	10
gift	10	0.750000	0.250000	0.064915	12	12	0	12
gift	11	0.625000	0.375000	0.046996	10	10	4	10
gift	12	0.750000	0.250000	0.035471	12	12	2	12
gift	13	0.562500	0.437500	0.037927	9	9	2	9
gift	14	0.812500	0.187500	0.023443	13	13	0	13
gift	15	0.625000	0.375000	0.072653	10	10	1	10
gift	16	0.625000	0.375000	0.063205	10	10	3	10
gift	17	0.750000	0.250000	0.001953	12	12	0	12
gift	18	0.625000	0.375000	0.052657	10	10	1	10
gift	19	0.750000	0.250000	0.049697	12	12	1	12
gift	20	0.687500	0.312500	0.050186	11	11	1	11
gift	21	0.750000	0.250000	0.030693	12	12	1	12
gift	22	0.875000	0.125000	0.022955	14	14	0	14
gift	23	0.875000	0.125000	0.022955	14	14	0	14
gift	24	0.875000	0.125000	0.042951	14	14	0	14
gift	25	0.750000	0.250000	0.014484	12	12	2	12
gift	26	0.812500	0.187500	0.044431	13	13	0	13
gift	27	0.937500	0.062500	0.006258	15	15	1	15
gift	28	0.875000	0.125000	0.027734	14	14	1	14
gift	29	0.937500	0.062500	0.001480	15	15	0	15
gift	30	0.875000	0.125000	0.006746	14	14	1	14
gift	31	0.937500	0.062500	0.021476	15	15	0	15
gift	32	0.750000	0.250000	0.045910	12	12	0	12
gift	33	0.937500	0.062500	0.021476	15	15	0	15
gift	34	1.000000	0.000000	-0.000000	16	16	0	16
gift	35	0.937500	0.062500	0.021476	15	15	0	15
gift	36	0.937500	0.062500	0.000488	15	15	0	15
gift	37	0.875000	0.125000	0.022955	14	14	0	14
gift	38	0.937500	0.062500	0.001480	15	15	0	15
gift	39	0.812500	0.187500	0.008226	13	13	1	13
