C_inv	L	model	tau_star	tp	fp	fn	cost_per_dec_usd	c_sense	alert_rate	recall
2.5	5.0	XGB-4sensor	0.666667	0	0	144	0.0755	0.0035	0.0	0.0
2.5	25.0	XGB-20raw	0.909091	15	0	129	0.32625	0.0	0.0015	0.10416666666666667
2.5	25.0	XGB-24full	0.909091	13	0	131	0.33425	0.0035	0.0013	0.09027777777777778
2.5	25.0	XGB-4sensor	0.909091	0	0	144	0.3635	0.0035	0.0	0.0
2.5	100.0	XGB-20raw	0.97561	2	0	142	1.4205	0.0	0.0002	0.013888888888888888
2.5	100.0	XGB-24full	0.97561	2	0	142	1.424	0.0035	0.0002	0.013888888888888888
2.5	100.0	XGB-4sensor	0.97561	0	0	144	1.4435	0.0035	0.0	0.0
2.5	250.0	XGB-20raw	0.990099	2	0	142	3.5505	0.0	0.0002	0.013888888888888888
2.5	250.0	XGB-24full	0.990099	0	0	144	3.6035	0.0035	0.0	0.0
2.5	250.0	XGB-4sensor	0.990099	0	0	144	3.6035	0.0035	0.0	0.0
2.5	1000.0	XGB-20raw	0.997506	0	0	144	14.4	0.0	0.0	0.0
2.5	1000.0	XGB-24full	0.997506	0	0	144	14.4035	0.0035	0.0	0.0
2.5	1000.0	XGB-4sensor	0.997506	0	0	144	14.4035	0.0035	0.0	0.0
5.0	5.0	XGB-20raw	0.5	65	1	79	0.0725	0.0	0.0066	0.4513888888888889
5.0	5.0	XGB-24full	0.5	71	0	73	0.0755	0.0035	0.0071	0.4930555555555556
5.0	5.0	XGB-4sensor	0.5	0	0	144	0.0755	0.0035	0.0	0.0
5.0	25.0	XGB-20raw	0.833333	32	0	112	0.296	0.0	0.0032	0.2222222222222222
5.0	25.0	XGB-24full	0.833333	26	0	118	0.3115	0.0035	0.0026	0.18055555555555555
5.0	25.0	XGB-4sensor	0.833333	0	0	144	0.3635	0.0035	0.0	0.0
5.0	100.0	XGB-20raw	0.952381	5	0	139	1.3925	0.0	0.0005	0.034722222222222224
5.0	100.0	XGB-24full	0.952381	4	0	140	1.4055	0.0035	0.0004	0.027777777777777776
5.0	100.0	XGB-4sensor	0.952381	0	0	144	1.4435	0.0035	0.0	0.0
5.0	250.0	XGB-20raw	0.980392	2	0	142	3.551	0.0	0.0002	0.013888888888888888
5.0	250.0	XGB-24full	0.980392	1	0	143	3.579	0.0035	0.0001	0.006944444444444444
5.0	250.0	XGB-4sensor	0.980392	0	0	144	3.6035	0.0035	0.0	0.0
5.0	1000.0	XGB-20raw	0.995025	1	0	143	14.3005	0.0	0.0001	0.006944444444444444
5.0	1000.0	XGB-24full	0.995025	0	0	144	14.4035	0.0035	0.0	0.0
5.0	1000.0	XGB-4sensor	0.995025	0	0	144	14.4035	0.0035	0.0	0.0
