method	step	reward_mean	boot_mean	ci_lo	ci_hi	ci_half_width	stable_025	stable_050	stable_100
areal	12	0.9141	0.9209375	0.8671875	0.96875	0.05078125	0	0	1
areal	13	0.7188	0.719625	0.6328125	0.7890625	0.078125	0	0	1
areal	14	0.8906	0.8672890625	0.8046875	0.921875	0.05859375	0	0	1
areal	15	0.8359	0.88272265625	0.828125	0.9296875	0.05078125	0	0	1
areal	16	0.75	0.75836328125	0.6875	0.828125	0.0703125	0	0	1
areal	17	0.7891	0.7954140625	0.7265625	0.859375	0.06640625	0	0	1
areal	18	0.6641	0.7196640625	0.640625	0.796875	0.078125	0	0	1
areal	19	0.75	0.73348828125	0.65625	0.8125	0.078125	0	0	1
areal	20	0.8438	0.80445703125	0.734375	0.8671875	0.06640625	0	0	1
areal	21	0.8438	0.8739453125	0.8125	0.9296875	0.05859375	0	0	1
areal	22	0.9062	0.89802734375	0.84375	0.953125	0.0546875	0	0	1
areal	23	0.875	0.8986640625	0.84375	0.9453125	0.05078125	0	0	1
areal	24	0.9297	0.9381875	0.8982421875	0.9765625	0.03916015625000002	0	1	1
areal	25	0.8281	0.812609375	0.7421875	0.875	0.06640625	0	0	1
areal	26	0.8359	0.82730078125	0.7654296875	0.890625	0.06259765625000002	0	0	1
areal	27	0.9531	0.92167578125	0.875	0.9609375	0.04296875	0	1	1
areal	28	0.9062	0.89039453125	0.828125	0.9453125	0.05859375	0	0	1
areal	29	0.9531	0.92981640625	0.8828125	0.96875	0.04296875	0	1	1
areal	30	0.9141	0.91437890625	0.859375	0.9609375	0.05078125	0	0	1
areal	31	0.875	0.86668359375	0.8046875	0.921875	0.05859375	0	0	1
areal	32	0.8984	0.921453125	0.8671875	0.9609375	0.046875	0	1	1
areal	33	0.875	0.8743046875	0.8125	0.9296875	0.05859375	0	0	1
areal	34	0.8594	0.85215234375	0.7890625	0.9140625	0.0625	0	0	1
areal	35	0.8438	0.83725390625	0.7734375	0.8984375	0.0625	0	0	1
areal	36	0.8984	0.89859375	0.84375	0.9453125	0.05078125	0	0	1
areal	37	0.6719	0.71076953125	0.6328125	0.7890625	0.078125	0	0	1
areal	38	0.7812	0.75016015625	0.671875	0.8203125	0.07421875	0	0	1
