stat	quartile	tier	cost_llm_per_call	n_test_q	n_pos_q	xgb_caught_q	n_llm_q	cpd_xgb	cpd_grad	cppr_xgb	cppr_grad	acd	sweet_spot_price
V_min	1	iter120_default	0.001	2500	38	16	26	0.0001	0.00010936	0.015625	0.0170875	1.0936	6.153846153846154e-05
V_min	1	mid_tier	0.005	2500	38	16	26	0.0001	0.00015095999999999998	0.015625	0.023587499999999997	1.5095999999999996	6.153846153846154e-05
V_min	1	frontier_gpt4	0.03	2500	38	16	26	0.0001	0.00041096000000000004	0.015625	0.0642125	4.1096	6.153846153846154e-05
V_min	2	cheap_heuristic	0.0001	2500	42	14	31	0.0001	0.0001	0.017857142857142856	0.017857142857142856	1.0	4.516129032258064e-05
V_min	2	small_open	0.0006	2500	42	14	31	0.0001	0.0001062	0.017857142857142856	0.018964285714285715	1.062	4.516129032258064e-05
V_min	2	iter120_default	0.001	2500	42	14	31	0.0001	0.00011115999999999999	0.017857142857142856	0.01985	1.1115999999999997	4.516129032258064e-05
V_min	2	mid_tier	0.005	2500	42	14	31	0.0001	0.00016076000000000003	0.017857142857142856	0.028707142857142858	1.6076000000000001	4.516129032258064e-05
V_min	2	frontier_gpt4	0.03	2500	42	14	31	0.0001	0.0004707599999999999	0.017857142857142856	0.0840642857142857	4.707599999999999	4.516129032258064e-05
V_min	3	cheap_heuristic	0.0001	2500	33	5	13	0.0001	0.0001	0.05	0.05	1.0	3.846153846153846e-05
V_min	3	small_open	0.0006	2500	33	5	13	0.0001	0.0001026	0.05	0.0513	1.026	3.846153846153846e-05
V_min	3	iter120_default	0.001	2500	33	5	13	0.0001	0.00010468	0.05	0.05234	1.0468	3.846153846153846e-05
V_min	3	mid_tier	0.005	2500	33	5	13	0.0001	0.00012548	0.05	0.06273999999999999	1.2548	3.846153846153846e-05
V_min	3	frontier_gpt4	0.03	2500	33	5	13	0.0001	0.00025548000000000004	0.05	0.12774000000000002	2.5548	3.846153846153846e-05
