method	trigger	threshold	fires	saved	missed	saved_per_fire	savings_per_rollout_pt	savings_per_rollout_lo	savings_per_rollout_hi	cost_ratio_pt
areal	yobs_triage	0.1500	5	3	37	0.6000	0.520833	0.000000	0.683594	1.1250
areal	yobs_triage	0.2000	11	6	34	0.5455	0.919118	0.195312	1.074219	1.2750
areal	yobs_triage	0.2500	17	13	27	0.7647	1.781798	0.683594	1.953125	1.4250
areal	yobs_triage	0.3000	17	13	27	0.7647	1.781798	0.683594	1.953125	1.4250
areal	ddiv_triage	0.0300	29	26	14	0.8966	2.943841	1.660156	3.515625	1.7250
areal	ddiv_triage	0.0400	25	20	20	0.8000	2.403846	1.171875	2.734375	1.6250
areal	ddiv_triage	0.0500	20	19	21	0.9500	2.473958	1.074219	2.636719	1.5000
areal	ddiv_triage	0.0600	14	12	28	0.8571	1.736111	0.488281	1.953125	1.3500
areal	ddiv_triage	0.0700	13	12	28	0.9231	1.768868	0.488281	1.953125	1.3250
gift	zvf_triage	0.5000	40	38	0	0.9500	3.710938	2.441406	5.078125	2.0000
gift	zvf_triage	0.6000	37	30	8	0.8108	3.043831	1.757812	4.101562	1.9250
gift	zvf_triage	0.7000	26	13	25	0.5000	1.538826	0.585938	2.050781	1.6500
gift	zvf_triage	0.8000	17	4	34	0.2353	0.548246	0.097656	0.781250	1.4250
gift	zvf_triage	0.9000	8	1	37	0.1250	0.162760	0.000000	0.292969	1.2000
gift	yobs_triage	0.1250	14	3	35	0.2143	0.434028	0.000000	0.683594	1.3500
gift	yobs_triage	0.1500	14	3	35	0.2143	0.434028	0.000000	0.585938	1.3500
gift	yobs_triage	0.2000	17	4	34	0.2353	0.548246	0.097656	0.781250	1.4250
gift	yobs_triage	0.2500	26	13	25	0.5000	1.538826	0.585938	2.050781	1.6500
gift	yobs_triage	0.3000	26	13	25	0.5000	1.538826	0.585938	2.050781	1.6500
gift	ddiv_triage	0.0300	22	30	8	1.3636	3.780242	1.660156	4.394531	1.5500
gift	ddiv_triage	0.0400	18	24	14	1.3333	3.232759	1.171875	3.710938	1.4500
gift	ddiv_triage	0.0500	13	19	19	1.4615	2.800708	0.781250	3.027344	1.3250
gift	ddiv_triage	0.0600	9	13	25	1.4444	2.072704	0.390625	2.441406	1.2250
gift	ddiv_triage	0.0700	7	10	28	1.4286	1.662234	0.195312	2.050781	1.1750
