method	config	tau	k_up	k_dn	n_fires	n_flips	flip_rate_per_fire	mean_dwell	n_dwell_segments	total_rollouts	baseline_rollouts	cost_ratio	total_yield_base	total_yield_ctrl	delta_yield	mean_delta_per_prompt	yield_per_1000_extra
aero	C_raw_tau_0.70	0.7	1	1	9	18	2.0	2.11	19	7552	5120	1.475	149.9974	157.0388	7.0413	0.011	2.895
aero	C_hyst_0.70_2_2	0.7	2	2	2	4	2.0	8.0	5	7168	5120	1.4	149.9974	156.9577	6.9603	0.0109	3.399
aero	C_hyst_0.70_3_2	0.7	3	2	1	2	2.0	13.33	3	6400	5120	1.25	149.9974	154.5639	4.5664	0.0071	3.568
aero	C_hyst_0.70_3_3	0.7	3	3	1	2	2.0	13.33	3	6528	5120	1.275	149.9974	155.256	5.2586	0.0082	3.735
aero	C_hyst_0.70_4_3	0.7	4	3	1	2	2.0	13.33	3	6400	5120	1.25	149.9974	154.7972	4.7997	0.0075	3.75
aero	C_hyst_0.75_2_2	0.75	2	2	2	4	2.0	8.0	5	7168	5120	1.4	149.9974	156.9577	6.9603	0.0109	3.399
aero	C_hyst_0.75_3_2	0.75	3	2	1	2	2.0	13.33	3	6400	5120	1.25	149.9974	154.5639	4.5664	0.0071	3.568
aero	C_hyst_0.75_3_3	0.75	3	3	1	2	2.0	13.33	3	6528	5120	1.275	149.9974	155.256	5.2586	0.0082	3.735
aero	C_hyst_0.75_4_3	0.75	4	3	1	2	2.0	13.33	3	6400	5120	1.25	149.9974	154.7972	4.7997	0.0075	3.75
aero	C_hyst_0.80_2_2	0.8	2	2	2	4	2.0	8.0	5	6656	5120	1.3	149.9974	154.9696	4.9722	0.0078	3.237
aero	C_hyst_0.80_3_2	0.8	3	2	2	4	2.0	8.0	5	6016	5120	1.175	149.9974	153.1788	3.1813	0.005	3.551
aero	C_hyst_0.80_3_3	0.8	3	3	1	2	2.0	13.33	3	6528	5120	1.275	149.9974	155.256	5.2586	0.0082	3.735
gift	C_raw_tau_0.70	0.7	1	1	8	15	1.875	2.67	15	8448	5120	1.65	121.7675	128.3874	6.6199	0.0103	1.989
gift	C_hyst_0.70_2_2	0.7	2	2	1	1	1.0	20.0	2	7424	5120	1.45	121.7675	125.5026	3.7351	0.0058	1.621
gift	C_hyst_0.70_3_2	0.7	3	2	1	1	1.0	20.0	2	7296	5120	1.425	121.7675	125.254	3.4865	0.0054	1.602
gift	C_hyst_0.70_3_3	0.7	3	3	1	1	1.0	20.0	2	7296	5120	1.425	121.7675	125.254	3.4865	0.0054	1.602
gift	C_hyst_0.70_4_3	0.7	4	3	1	1	1.0	20.0	2	7168	5120	1.4	121.7675	125.0053	3.2378	0.0051	1.581
gift	C_hyst_0.75_2_2	0.75	2	2	1	1	1.0	20.0	2	7424	5120	1.45	121.7675	125.5026	3.7351	0.0058	1.621
gift	C_hyst_0.75_3_2	0.75	3	2	1	1	1.0	20.0	2	7296	5120	1.425	121.7675	125.254	3.4865	0.0054	1.602
gift	C_hyst_0.75_3_3	0.75	3	3	1	1	1.0	20.0	2	7296	5120	1.425	121.7675	125.254	3.4865	0.0054	1.602
gift	C_hyst_0.75_4_3	0.75	4	3	1	1	1.0	20.0	2	7168	5120	1.4	121.7675	125.0053	3.2378	0.0051	1.581
gift	C_hyst_0.80_2_2	0.8	2	2	1	1	1.0	20.0	2	7296	5120	1.425	121.7675	125.254	3.4865	0.0054	1.602
gift	C_hyst_0.80_3_2	0.8	3	2	1	1	1.0	20.0	2	7168	5120	1.4	121.7675	125.0053	3.2378	0.0051	1.581
gift	C_hyst_0.80_3_3	0.8	3	3	1	1	1.0	20.0	2	7168	5120	1.4	121.7675	125.0053	3.2378	0.0051	1.581
areal	C_raw_tau_0.70	0.7	1	1	9	17	1.889	2.22	18	7296	5120	1.425	153.9497	159.9869	6.0372	0.0094	2.774
areal	C_hyst_0.70_2_2	0.7	2	2	2	3	1.5	10.0	4	7040	5120	1.375	153.9497	160.8437	6.894	0.0108	3.591
areal	C_hyst_0.70_3_2	0.7	3	2	1	2	2.0	13.33	3	6400	5120	1.25	153.9497	158.6162	4.6665	0.0073	3.646
areal	C_hyst_0.70_3_3	0.7	3	3	1	1	1.0	20.0	2	7168	5120	1.4	153.9497	162.0384	8.0887	0.0126	3.95
areal	C_hyst_0.70_4_3	0.7	4	3	1	1	1.0	20.0	2	6528	5120	1.275	153.9497	160.998	7.0483	0.011	5.006
areal	C_hyst_0.75_2_2	0.75	2	2	2	3	1.5	10.0	4	7040	5120	1.375	153.9497	160.8437	6.894	0.0108	3.591
areal	C_hyst_0.75_3_2	0.75	3	2	1	2	2.0	13.33	3	6400	5120	1.25	153.9497	158.6162	4.6665	0.0073	3.646
areal	C_hyst_0.75_3_3	0.75	3	3	1	1	1.0	20.0	2	7168	5120	1.4	153.9497	162.0384	8.0887	0.0126	3.95
areal	C_hyst_0.75_4_3	0.75	4	3	1	1	1.0	20.0	2	6528	5120	1.275	153.9497	160.998	7.0483	0.011	5.006
areal	C_hyst_0.80_2_2	0.8	2	2	1	2	2.0	13.33	3	6144	5120	1.2	153.9497	156.352	2.4024	0.0038	2.346
areal	C_hyst_0.80_3_2	0.8	3	2	1	2	2.0	13.33	3	6016	5120	1.175	153.9497	156.0133	2.0636	0.0032	2.303
areal	C_hyst_0.80_3_3	0.8	3	3	1	2	2.0	13.33	3	6144	5120	1.2	153.9497	157.4566	3.5069	0.0055	3.425
