method	step	n_prompts	n_degenerate_at_base	zvf_obs	mean_zvf_at_g8	mean_zvf_at_g16	zvf_drop	restore_sum	n_k0	n_k8
grpo	18	16	9	0.5625	0.5862012132957282	0.5644828167163892	0.02171839657933894	6.968274932537772	3	6
grpo	19	16	10	0.625	0.7138615101525853	0.654584553497678	0.05927695665490729	5.5266471440371525	1	9
grpo	20	16	10	0.625	0.6672175079534123	0.6342942279018529	0.03292328005155942	5.851292353570354	0	10
grpo	21	16	12	0.75	0.7959103882252776	0.7648261676180215	0.03108422060725613	3.7627813181116565	1	11
grpo	22	16	12	0.75	0.7806928381263816	0.7580733869285963	0.0226194511977853	3.8708258091424597	0	12
grpo	23	16	14	0.875	0.9027335718204118	0.8830056051742317	0.01972796664618015	1.8719103172122935	1	13
grpo	24	16	13	0.8125	0.8769266828829616	0.8346375788034851	0.0422891040794765	2.6457987391442384	0	13
grpo	25	16	9	0.5625	0.6366322413041892	0.5853336801578856	0.0512985611463036	6.634661117473831	0	9
grpo	26	16	13	0.8125	0.8617091327840656	0.8278847981140599	0.033824334670005674	2.7538432301750415	1	12
grpo	27	16	15	0.9375	0.9379882812425002	0.9375019073336331	0.0004863739088670771	0.9999694826618697	0	15
grpo	28	16	13	0.8125	0.8569307550722927	0.8272922767408392	0.0296384783314535	2.7633235721465734	1	12
grpo	29	16	13	0.8125	0.8559394031698078	0.8272602932132896	0.028679109956518123	2.7638353085873657	0	13
grpo	30	16	13	0.8125	0.8617091327840656	0.8278847981140599	0.033824334670005674	2.7538432301750415	0	13
grpo	31	16	12	0.75	0.8206846937477195	0.7727639910538882	0.04792070269383131	3.6357761431377895	0	12
grpo	32	16	11	0.6875	0.7234594970886545	0.6961678156514498	0.02729168143720473	4.861314949576803	0	11
grpo	33	16	11	0.6875	0.7596643269007044	0.7102978819310705	0.04936644496963394	4.635233889102873	1	10
grpo	34	16	14	0.875	0.9027335718204118	0.8830056051742317	0.01972796664618015	1.8719103172122935	0	14
grpo	35	16	15	0.9375	0.943758010856758	0.9381264122344034	0.005631598622354628	0.9899774042495455	2	13
grpo	36	16	13	0.8125	0.8569307550722927	0.8272922767408392	0.0296384783314535	2.7633235721465734	1	12
grpo	37	16	12	0.75	0.7844798639356696	0.7586339247742675	0.0258459391614021	3.86185720361172	2	10
grpo	38	16	11	0.6875	0.7444467768018084	0.7035451012416453	0.04090167556016311	4.743278380133676	1	10
grpo	39	16	12	0.75	0.7806928381263816	0.7580733869285963	0.0226194511977853	3.8708258091424597	1	11
aero	0	16	11	0.6875	0.7748818769996004	0.7170506626204957	0.05783121437910477	4.527189398072069	1	10
aero	1	16	11	0.6875	0.6986851915662127	0.6882299922155831	0.010455199350629552	4.98832012455067	1	10
aero	2	16	13	0.8125	0.8769266828829616	0.8346375788034851	0.0422891040794765	2.6457987391442384	1	12
aero	3	16	11	0.6875	0.7244508489911394	0.6961997991789993	0.028251049812140105	4.860803213136011	2	9
aero	4	16	12	0.75	0.757722854608258	0.7506321342833018	0.007090720324956168	3.9898858514671716	1	11
aero	5	16	9	0.5625	0.6471803486302199	0.5865507064318766	0.060629642198343325	6.615188697089975	2	7
aero	6	16	12	0.75	0.7702536657392585	0.7519131276123918	0.018340538126866646	3.969389958201731	2	10
aero	7	16	10	0.625	0.6928742304394314	0.6472072679074825	0.04566696253194891	5.64468371348028	2	8
aero	8	16	11	0.6875	0.6976938396637278	0.6881980086880336	0.009495830975694175	4.988831860991462	1	10
aero	9	16	10	0.625	0.6834264099547932	0.6410789921188276	0.04234741783596563	5.742736126098759	0	10
aero	10	16	12	0.75	0.7902495935499274	0.7592584296750378	0.03099116387488965	3.851865125199396	1	11
aero	11	16	9	0.5625	0.6099841669156851	0.5723886566247064	0.03759551029097874	6.841781494004698	0	9
aero	12	16	11	0.6875	0.7244508489911394	0.6961997991789993	0.028251049812140105	4.860803213136011	0	11
aero	13	16	9	0.5625	0.5784487798765006	0.5637943447605199	0.014654435115980635	6.979290483831681	1	8
aero	14	16	12	0.75	0.7939276844203078	0.7647622005629224	0.029165483857385377	3.763804790993241	0	12
aero	15	16	13	0.8125	0.8369348272616237	0.8199469746781932	0.016987852583430496	2.8808484051489085	0	13
aero	16	16	9	0.5625	0.6194319874003233	0.5785169324133613	0.04091505498696202	6.743729081386219	1	8
aero	17	16	9	0.5625	0.6156449615910353	0.5779563945676901	0.03768856702334522	6.752697686916958	1	8
