method	step	n_prompts	n_degenerate	zvf_obs	reward_mean	mean_restore_prob	mean_midrange_prob	n_k0	n_k8
grpo	31	16	12	0.7500	0.9141	0.7052	0.7088	26	336
grpo	32	16	11	0.6875	0.8906	0.7395	0.7403	26	347
grpo	33	16	11	0.6875	0.8750	0.7271	0.7319	27	357
grpo	34	16	14	0.8750	0.8984	0.6752	0.6715	27	371
grpo	35	16	15	0.9375	0.8594	0.6602	0.6528	29	384
grpo	36	16	13	0.8125	0.8984	0.6918	0.6906	30	396
grpo	37	16	12	0.7500	0.7266	0.7176	0.7172	32	406
grpo	38	16	11	0.6875	0.8047	0.7323	0.7358	33	416
grpo	39	16	12	0.7500	0.8047	0.7189	0.7176	34	427
aero	0	16	11	0.6875	0.7891	0.7218	0.7280	1	10
aero	1	16	11	0.6875	0.8203	0.7480	0.7452	2	20
aero	2	16	13	0.8125	0.8672	0.6850	0.6862	3	32
aero	3	16	11	0.6875	0.7578	0.7391	0.7402	5	41
aero	4	16	12	0.7500	0.8281	0.7268	0.7222	6	52
aero	5	16	9	0.5625	0.6406	0.7675	0.7771	8	59
aero	6	16	12	0.7500	0.7422	0.7225	0.7211	10	69
aero	7	16	10	0.6250	0.7109	0.7509	0.7555	12	77
aero	8	16	11	0.6875	0.7500	0.7483	0.7452	13	87
aero	9	16	10	0.6250	0.8594	0.7541	0.7589	13	97
aero	10	16	12	0.7500	0.8516	0.7156	0.7167	14	108
aero	11	16	9	0.5625	0.7578	0.7803	0.7855	14	117
aero	12	16	11	0.6875	0.8672	0.7391	0.7402	14	128
aero	13	16	9	0.5625	0.7109	0.7911	0.7909	15	136
aero	14	16	12	0.7500	0.9219	0.7144	0.7138	15	148
aero	15	16	13	0.8125	0.8828	0.6987	0.6950	15	161
aero	16	16	9	0.5625	0.7188	0.7770	0.7821	16	169
aero	17	16	9	0.5625	0.7812	0.7783	0.7825	17	177
aero	18	16	10	0.6250	0.7031	0.7548	0.7590	20	184
aero	19	16	10	0.6250	0.7812	0.7597	0.7628	21	193
aero	20	16	10	0.6250	0.8281	0.7513	0.7555	21	203
aero	21	16	13	0.8125	0.9062	0.6922	0.6907	21	216
aero	22	16	11	0.6875	0.8984	0.7218	0.7280	21	227
aero	23	16	13	0.8125	0.8672	0.6954	0.6941	22	239
aero	24	16	13	0.8125	0.9297	0.6850	0.6862	22	252
aero	25	16	11	0.6875	0.8203	0.7323	0.7358	23	262
aero	26	16	14	0.8750	0.8203	0.6821	0.6759	25	274
aero	27	16	15	0.9375	0.9766	0.6618	0.6533	25	289
aero	28	16	13	0.8125	0.9062	0.6922	0.6907	25	302
aero	29	16	14	0.8750	0.9375	0.6804	0.6754	25	316
aero	30	16	13	0.8125	0.9375	0.6902	0.6902	25	329
aero	31	16	13	0.8125	0.9062	0.6902	0.6902	26	341
aero	32	16	12	0.7500	0.8750	0.7193	0.7177	26	353
aero	33	16	10	0.6250	0.8672	0.7489	0.7550	26	363
aero	34	16	14	0.8750	0.8906	0.6768	0.6720	27	376
aero	35	16	13	0.8125	0.8203	0.6974	0.6946	29	387
aero	36	16	13	0.8125	0.8984	0.6954	0.6941	30	399
aero	37	16	11	0.6875	0.7031	0.7290	0.7324	32	408
aero	38	16	11	0.6875	0.8047	0.7294	0.7324	33	418
aero	39	16	10	0.6250	0.7656	0.7368	0.7466	34	427
gift	0	16	12	0.7500	0.8203	0.7245	0.7216	1	11
gift	1	16	9	0.5625	0.8047	0.7698	0.7776	1	20
gift	2	16	11	0.6875	0.8516	0.7150	0.7235	2	30
gift	3	16	9	0.5625	0.7578	0.7658	0.7766	4	37
gift	4	16	11	0.6875	0.8672	0.7323	0.7358	5	47
gift	5	16	10	0.6250	0.6250	0.7368	0.7466	7	55
gift	6	16	12	0.7500	0.7891	0.7189	0.7176	9	65
gift	7	16	11	0.6875	0.7266	0.7254	0.7314	11	74
gift	8	16	10	0.6250	0.7109	0.7545	0.7589	13	82
gift	9	16	10	0.6250	0.8828	0.7421	0.7505	13	92
gift	10	16	12	0.7500	0.8828	0.7072	0.7093	14	103
gift	11	16	10	0.6250	0.7578	0.7581	0.7624	15	112
gift	12	16	12	0.7500	0.9375	0.7173	0.7172	15	124
gift	13	16	9	0.5625	0.7109	0.7835	0.7864	16	132
gift	14	16	13	0.8125	0.9375	0.6991	0.6951	16	145
gift	15	16	10	0.6250	0.8438	0.7493	0.7550	16	155
gift	16	16	10	0.6250	0.7422	0.7525	0.7584	18	163
gift	17	16	12	0.7500	0.8125	0.7288	0.7227	19	174
gift	18	16	10	0.6250	0.7031	0.7561	0.7594	22	181
gift	19	16	12	0.7500	0.8438	0.7124	0.7133	23	192
gift	20	16	11	0.6875	0.8281	0.7346	0.7364	23	203
gift	21	16	12	0.7500	0.8672	0.7189	0.7176	23	215
gift	22	16	14	0.8750	0.8906	0.6768	0.6720	24	228
gift	23	16	14	0.8750	0.8906	0.6768	0.6720	25	241
gift	24	16	14	0.8750	0.9375	0.6700	0.6676	25	255
gift	25	16	12	0.7500	0.8516	0.7245	0.7216	26	266
gift	26	16	13	0.8125	0.8984	0.6918	0.6906	26	279
gift	27	16	15	0.9375	0.9531	0.6602	0.6528	26	294
gift	28	16	14	0.8750	0.9297	0.6752	0.6715	26	308
gift	29	16	15	0.9375	0.9609	0.6618	0.6533	26	323
gift	30	16	14	0.8750	0.9219	0.6824	0.6759	26	337
gift	31	16	15	0.9375	0.9297	0.6550	0.6489	27	351
gift	32	16	12	0.7500	0.8438	0.7137	0.7137	27	363
gift	33	16	15	0.9375	0.9297	0.6550	0.6489	28	377
gift	34	16	16	1.0000	0.9375	0.6400	0.6303	29	392
gift	35	16	15	0.9375	0.8203	0.6550	0.6489	31	405
gift	36	16	15	0.9375	0.9062	0.6622	0.6534	32	419
gift	37	16	14	0.8750	0.7812	0.6768	0.6720	35	430
gift	38	16	15	0.9375	0.8359	0.6618	0.6533	37	443
gift	39	16	13	0.8125	0.8672	0.7043	0.6990	38	455
areal	0	16	11	0.6875	0.8594	0.7339	0.7363	0	11
areal	1	16	8	0.5000	0.8516	0.7920	0.8007	0	19
areal	2	16	11	0.6875	0.8125	0.7222	0.7280	2	28
areal	3	16	11	0.6875	0.7422	0.7391	0.7402	4	37
areal	4	16	8	0.5000	0.8281	0.7724	0.7879	4	45
areal	5	16	12	0.7500	0.6562	0.7137	0.7137	8	53
areal	6	16	11	0.6875	0.8203	0.7287	0.7324	9	63
areal	7	16	14	0.8750	0.7500	0.6700	0.6676	12	74
areal	8	16	10	0.6250	0.7500	0.7561	0.7594	13	83
areal	9	16	11	0.6875	0.8594	0.7408	0.7407	13	94
areal	10	16	11	0.6875	0.8828	0.7218	0.7280	13	105
areal	11	16	8	0.5000	0.7344	0.7841	0.7962	14	112
areal	12	16	13	0.8125	0.9141	0.7055	0.6995	14	125
areal	13	16	9	0.5625	0.7188	0.7880	0.7903	15	133
areal	14	16	11	0.6875	0.8906	0.7326	0.7358	15	144
areal	15	16	11	0.6875	0.8359	0.7218	0.7280	16	154
areal	16	16	10	0.6250	0.7500	0.7473	0.7545	18	162
areal	17	16	8	0.5000	0.7891	0.7933	0.8012	19	169
areal	18	16	9	0.5625	0.6641	0.7711	0.7781	22	175
areal	19	16	12	0.7500	0.7500	0.7248	0.7216	24	185
areal	20	16	11	0.6875	0.8438	0.7470	0.7447	24	196
areal	21	16	11	0.6875	0.8438	0.7222	0.7280	24	207
areal	22	16	13	0.8125	0.9062	0.6922	0.6907	24	220
areal	23	16	13	0.8125	0.8750	0.6971	0.6946	25	232
areal	24	16	14	0.8750	0.9297	0.6752	0.6715	25	246
areal	25	16	10	0.6250	0.8281	0.7678	0.7677	25	256
areal	26	16	14	0.8750	0.8359	0.6821	0.6759	27	268
areal	27	16	15	0.9375	0.9531	0.6602	0.6528	27	283
areal	28	16	14	0.8750	0.9062	0.6768	0.6720	28	296
areal	29	16	13	0.8125	0.9531	0.6922	0.6907	28	309
areal	30	16	12	0.7500	0.9141	0.7121	0.7132	28	321
areal	31	16	9	0.5625	0.8750	0.7502	0.7648	29	329
areal	32	16	12	0.7500	0.8984	0.7189	0.7176	29	341
areal	33	16	10	0.6250	0.8750	0.7493	0.7550	29	351
areal	34	16	11	0.6875	0.8594	0.7202	0.7275	30	361
areal	35	16	13	0.8125	0.8438	0.6902	0.6902	32	372
areal	36	16	12	0.7500	0.8984	0.7121	0.7132	32	384
areal	37	16	11	0.6875	0.6719	0.7346	0.7364	35	392
areal	38	16	13	0.8125	0.7812	0.6971	0.6946	37	403
areal	39	16	12	0.7500	0.7969	0.7173	0.7172	38	414
