pair	feature	n_flips	flip_mean	agreed_mean	delta	flip_std
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V2	64	-0.037751	0.765498	-0.803249	1.97719
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V3	64	0.755497	0.0106641	0.744833	1.55051
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V4	64	0.0302416	0.0049696	0.025272	0.947689
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V5	64	-0.364353	0.789707	-1.15406	1.73249
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V6	64	-0.16295	-0.0183415	-0.144608	2.07537
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V7	64	0.307175	-0.796926	1.1041	1.52902
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V8	64	0.116448	0.00173562	0.114712	1.12845
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V9	64	0.025133	0.0127307	0.0124024	1.23341
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V10	64	-0.536542	0.883365	-1.41991	2.16038
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V11	64	-0.77578	-0.00221251	-0.773568	1.41871
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V12	64	0.0659042	0.0143849	0.0515193	1.70899
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V13	64	0.0958654	0.00500981	0.0908556	1.03813
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V14	64	0.203232	0.0160841	0.187148	1.06084
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V15	64	0.641482	-0.460116	1.1016	3.95953
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V16	64	-0.22704	0.0104506	-0.237491	1.89949
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V17	64	-0.031974	0.000119905	-0.0320939	0.848371
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V18	64	-0.244932	-0.0195703	-0.225361	0.896457
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V19	64	-0.0988728	0.000477002	-0.0993498	1.13746
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V20	64	0.234316	-0.78576	1.02008	1.63639
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V_mean	64	0.0361054	0.0209924	0.0151129	0.326732
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V_std	64	1.69899	1.85564	-0.156645	0.479732
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V_max	64	3.39129	3.86097	-0.469677	1.41602
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V_min	64	-3.52101	-3.84269	0.321682	1.77574
