method,step,step_zvf,oracle_dY_mean,C0_fixed_G8_dY_mean,C1_zvf_triage_dY_mean,C2_dualformer_dY_mean,C3_hybrid_dY_mean,C5_isog_y090_dY_mean
areal,22.0,0.8125,0.01043288572691381,0.0,0.028679109950018322,-0.013256196012520594,0.028679109950018322,0.036415165205842384
areal,23.0,0.8125,0.008679455844685435,0.0,0.02117370891548287,-0.04111408442258835,0.02117370891548287,0.01925889677805013
areal,24.0,0.875,0.007771693984977901,0.0,0.019727966639180305,0.00033484763858337985,0.019727966639180305,0.021678361068192188
areal,25.0,0.625,0.00910776061937213,0.0,0.0,-0.03600913754780777,0.0,-0.004201143980026245
areal,26.0,0.875,0.0036461184499785304,0.0,0.007077340891157302,-0.023054592311382294,0.007077340891157302,0.00031889230012893677
areal,27.0,0.9375,0.002738356590270996,0.0,0.005631598614854738,0.005631598614854738,0.0,0.002738356590270996
areal,28.0,0.875,0.005941099254414439,0.0,0.015542110300628131,-0.03664563596248627,0.015542110300628131,0.016520540187779133
areal,29.0,0.8125,0.01043288572691381,0.0,0.028679109950018322,-0.05470512807369232,0.028679109950018322,0.036415165205842384
areal,30.0,0.75,0.01371279323939234,0.0,0.03527007693980844,-0.05836660138447769,0.03527007693980844,0.03819890125597132
areal,31.0,0.5625,0.032938380958512425,0.0,0.0,-0.17787690460681915,0.0,0.11637838345779815
areal,32.0,0.75,0.00958721770439297,0.0,0.022619451191785434,-0.040307109273271635,0.022619451191785434,0.01683943248790807
areal,33.0,0.625,0.019112341571599245,0.0,0.0,-0.08571916542132385,0.0,0.05567406198389251
areal,34.0,0.6875,0.022871706169098616,0.0,0.0,-0.1037786575325299,0.0,0.07849837450195576
areal,35.0,0.8125,0.012805031379684806,0.0,0.03382433466350587,-0.06846664845943451,0.03382433466350587,0.04061836554611338
areal,36.0,0.75,0.01371279323939234,0.0,0.03527007693980844,-0.03631078832390289,0.03527007693980844,0.03819890125597132
areal,37.0,0.6875,0.013537453254684806,0.0,0.0,-0.02701771639826278,0.0,0.03768867804611338
areal,38.0,0.8125,0.008679455844685435,0.0,0.02117370891548287,-0.021720965421991423,0.02117370891548287,0.01925889677805013
areal,39.0,0.75,0.011417812434956431,0.0,0.026805307530337608,-0.0033266256722019882,0.026805307530337608,0.021997253368321125
gift,0.0,0.75,0.0067506859777495265,0.0,0.013195313407379228,-0.017422993696527556,0.013195313407379228,0.0015924051403999329
gift,1.0,0.5625,0.021309147239662707,0.0,0.0,-0.048738681820254204,0.0,0.05936703911430557
gift,2.0,0.6875,0.025166686973534524,0.0,0.0,-0.09531388812305908,0.0,0.09470002238960595
gift,3.0,0.5625,0.0260534385452047,0.0,0.0,-0.11771065465291031,0.0,0.06777343979484757
gift,4.0,0.6875,0.016451149829663336,0.0,0.0,-0.0915212407708168,0.0,0.04093725784624232
gift,5.0,0.625,0.02607444883324206,0.0,0.0,0.019739836134816002,0.0,0.0922805580994639
gift,6.0,0.75,0.00958721770439297,0.0,0.022619451191785434,-0.050407156348228455,0.022619451191785434,0.01683943248790807
gift,7.0,0.6875,0.020576725364662707,0.0,0.0,-0.0266828687596794,0.0,0.06229672661430557
gift,8.0,0.625,0.016817360767163336,0.0,0.0,-0.05273500276962295,0.0,0.03947241409624232
gift,9.0,0.625,0.02377946802880615,0.0,0.0,-0.09101591639759521,0.0,0.0760789102118137
gift,10.0,0.75,0.015466223121620715,0.0,0.04277547797434389,-0.08205769211053848,0.04277547797434389,0.055355169683763576
gift,11.0,0.625,0.01635297469329089,0.0,0.0,-0.021556594518046257,0.0,0.028428587089005176
gift,12.0,0.75,0.011417812434956431,0.0,0.026805307530337608,-0.06416867673397064,0.026805307530337608,0.021997253368321125
gift,13.0,0.5625,0.013057996169663966,0.0,0.0,-0.02538243873277679,0.0,0.016648101578179066
gift,14.0,0.8125,0.006307310191914439,0.0,0.01602848420199532,-0.03664563596248627,0.01602848420199532,0.015055696437779133
gift,15.0,0.625,0.019112341571599245,0.0,0.0,-0.05437028043510894,0.0,0.05567406198389251
gift,16.0,0.625,0.019189506419934332,0.0,0.0,-0.07659657023032196,0.0,0.04367561443651331
gift,17.0,0.75,0.00146484375,0.0,0.00194549560546875,0.0,0.00194549560546875,-0.005859375
gift,18.0,0.625,0.014986766036599874,0.0,0.0,-0.08705279231071472,0.0,0.03431459321582926
gift,19.0,0.75,0.013171242317184806,0.0,0.03431070856487306,-0.049073529458837584,0.03431070856487306,0.03915352179611338
gift,20.0,0.6875,0.013537453254684806,0.0,0.0,-0.007624597397665855,0.0,0.03768867804611338
gift,21.0,0.75,0.00958721770439297,0.0,0.022619451191785434,-0.008958224287056726,0.022619451191785434,0.01683943248790807
gift,22.0,0.875,0.005941099254414439,0.0,0.015542110300628131,-0.02735256403684616,0.015542110300628131,0.016520540187779133
gift,23.0,0.875,0.005941099254414439,0.0,0.015542110300628131,-0.02735256403684616,0.015542110300628131,0.016520540187779133
gift,24.0,0.875,0.01006667478941381,0.0,0.028192736048651135,-0.013256196012520594,0.028192736048651135,0.037880008955842384
gift,25.0,0.75,0.0067506859777495265,0.0,0.013195313407379228,-0.03681611269712448,0.013195313407379228,0.0015924051403999329
gift,26.0,0.8125,0.010974436649121344,0.0,0.0296384783249537,-0.013256196012520594,0.0296384783249537,0.035460544665700325
gift,27.0,0.9375,0.002738356590270996,0.0,0.005631598614854738,0.005631598614854738,0.0,0.002738356590270996
gift,28.0,0.875,0.007771693984977901,0.0,0.019727966639180305,0.00033484763858337985,0.019727966639180305,0.021678361068192188
gift,29.0,0.9375,0.0009077618597075343,0.0,0.001445742276302564,0.0,0.0,-0.0024194642901420593
gift,30.0,0.875,0.003104567527770996,0.0,0.006117972516221926,0.005631598614854738,0.006117972516221926,0.001273512840270996
gift,31.0,0.9375,0.005033337394706905,0.0,0.014096368024325567,-0.02735256403684616,0.0,0.018940004477921192
gift,32.0,0.75,0.011882198508828878,0.0,0.031084220601256263,0.009606592197370922,0.031084220601256263,0.033041080375558265
gift,33.0,0.9375,0.005033337394706905,0.0,0.014096368024325567,-0.02735256403684616,0.0,0.018940004477921192
gift,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gift,35.0,0.9375,0.005033337394706905,0.0,0.014096368024325567,0.014096368024325567,0.0,0.018940004477921192
gift,36.0,0.9375,0.0003662109375,0.0,0.0004863739013671875,0.0,0.0,-0.00146484375
gift,37.0,0.875,0.005941099254414439,0.0,0.015542110300628131,-0.03664563596248627,0.015542110300628131,0.016520540187779133
gift,38.0,0.9375,0.0009077618597075343,0.0,0.001445742276302564,0.0,0.0,-0.0024194642901420593
gift,39.0,0.8125,0.00401232938747853,0.0,0.00756371479252449,-0.023054592311382294,0.00756371479252449,-0.0011459514498710632
grpo,0.0,0.6875,0.022871706169098616,0.0,0.0,0.0011750196503883537,0.0,0.07849837450195576
grpo,1.0,0.5,0.021675358177162707,0.0,0.0,-0.09018761388142593,0.0,0.05790219536430557
grpo,2.0,0.6875,0.015909598907455802,0.0,0.0,-0.06283504984457977,0.0,0.041891878386384376
grpo,3.0,0.75,0.015543387969955802,0.0,0.03945593327836061,-0.06283504984457977,0.03945593327836061,0.043356722136384376
grpo,4.0,0.6875,0.013614618103019893,0.0,0.0,-0.027188193132900995,0.0,0.02569023049873418
grpo,5.0,0.6875,0.013537453254684806,0.0,0.0,0.014431215662908947,0.0,0.03768867804611338
grpo,6.0,0.8125,0.008679455844685435,0.0,0.02117370891548287,-0.03101403734763153,0.02117370891548287,0.01925889677805013
grpo,7.0,0.6875,0.01820457971189171,0.0,0.0,-0.012921348373937214,0.0,0.05809352627403457
grpo,8.0,0.5625,0.022392249084077775,0.0,0.0,0.002810297315874344,0.0,0.05745779803402145
grpo,9.0,0.6875,0.016451149829663336,0.0,0.0,-0.050072308709645075,0.0,0.04093725784624232
grpo,10.0,0.6875,0.016451149829663336,0.0,0.0,-0.06283504984457977,0.0,0.04093725784624232
grpo,11.0,0.6875,0.013537453254684806,0.0,0.0,-0.06846664845943451,0.0,0.03768867804611338
grpo,12.0,0.8125,0.0063844750402495265,0.0,0.01270893950601204,-0.03681611269712448,0.01270893950601204,0.003057248890399933
grpo,13.0,0.5625,0.02414567896630615,0.0,0.0,-0.11307172945817001,0.0,0.0746140664618137
grpo,14.0,0.75,0.013171242317184806,0.0,0.03431070856487306,-0.06846664845943451,0.03431070856487306,0.03915352179611338
grpo,15.0,0.75,0.0072150720516219735,0.0,0.017474226478297883,0.004803296098685461,0.017474226478297883,0.012636232147637073
grpo,16.0,0.625,0.0132333361543715,0.0,0.0,-0.06336170158465393,0.0,0.017158324788037006
grpo,17.0,0.5,0.024589054752141237,0.0,0.0,-0.11324220619280823,0.0,0.061150775164434505
grpo,18.0,0.5625,0.011304566287435591,0.0,0.0,-0.059870705008506775,0.0,-0.0005081668496131897
grpo,19.0,0.625,0.021948873298242688,0.0,0.0,-0.06796132408621292,0.0,0.07092108933140065
grpo,20.0,0.625,0.014522379962727427,0.0,0.0,-0.03914395911851898,0.0,0.02327076620859212
grpo,21.0,0.75,0.011882198508828878,0.0,0.031084220601256263,-0.06399819999933243,0.031084220601256263,0.033041080375558265
grpo,22.0,0.75,0.00958721770439297,0.0,0.022619451191785434,-0.018251296212696833,0.022619451191785434,0.01683943248790807
grpo,23.0,0.875,0.007771693984977901,0.0,0.019727966639180305,-0.021720965421991423,0.019727966639180305,0.021678361068192188
grpo,24.0,0.8125,0.015100012184120715,0.0,0.0422891040729767,-0.040608760049366754,0.0422891040729767,0.056820013433763576
grpo,25.0,0.5625,0.02002010343130678,0.0,0.0,-0.04427023336015212,0.0,0.053254597693750454
grpo,26.0,0.8125,0.012805031379684806,0.0,0.03382433466350587,-0.049073529458837584,0.03382433466350587,0.04061836554611338
grpo,27.0,0.9375,0.0003662109375,0.0,0.0004863739013671875,0.0,0.0,-0.00146484375
grpo,28.0,0.8125,0.010974436649121344,0.0,0.0296384783249537,-0.06399819999933243,0.0296384783249537,0.035460544665700325
grpo,29.0,0.8125,0.01043288572691381,0.0,0.028679109950018322,-0.05470512807369232,0.028679109950018322,0.036415165205842384
grpo,30.0,0.8125,0.012805031379684806,0.0,0.03382433466350587,-0.049073529458837584,0.03382433466350587,0.04061836554611338
grpo,31.0,0.75,0.01783836877439171,0.0,0.04792070268783144,-0.05437028043510894,0.04792070268783144,0.05955837002403457
grpo,32.0,0.6875,0.011784023372456431,0.0,0.0,-0.054875604808330536,0.0,0.020532409618321125
grpo,33.0,0.6875,0.018746130634099245,0.0,0.0,-0.10511228442192078,0.0,0.05713890573389251
grpo,34.0,0.875,0.007771693984977901,0.0,0.019727966639180305,0.019727966639180305,0.019727966639180305,0.021678361068192188
grpo,35.0,0.9375,0.002738356590270996,0.0,0.005631598614854738,-0.013761520385742188,0.0,0.002738356590270996
grpo,36.0,0.8125,0.010974436649121344,0.0,0.0296384783249537,-0.06399819999933243,0.0296384783249537,0.035460544665700325
grpo,37.0,0.75,0.010876261512748897,0.0,0.02584593915540223,0.005966446253438118,0.02584593915540223,0.022951873908463184
grpo,38.0,0.6875,0.016451149829663336,0.0,0.0,-0.05273500276962295,0.0,0.04093725784624232
grpo,39.0,0.75,0.00958721770439297,0.0,0.022619451191785434,-0.008958224287056726,0.022619451191785434,0.01683943248790807
