fset	c	seed	threshold	cost_per_tx	flagged_frac
20raw	100	42	0.0600	0.680100	0.6801
20raw	100	42	0.0700	0.624800	0.6248
20raw	100	42	0.0800	0.571100	0.5711
20raw	100	42	0.0900	0.518200	0.5182
20raw	100	42	0.1000	0.474600	0.4746
20raw	100	42	0.1100	0.435800	0.4358
20raw	100	42	0.1200	0.398300	0.3983
20raw	100	42	0.1300	0.368500	0.3685
20raw	100	42	0.1400	0.342600	0.3426
20raw	100	42	0.1500	0.310900	0.3109
20raw	100	42	0.1600	0.287000	0.2870
20raw	100	42	0.1700	0.263900	0.2639
20raw	100	42	0.1800	0.242100	0.2421
20raw	100	42	0.1900	0.222300	0.2223
20raw	100	42	0.2000	0.205500	0.2055
20raw	100	42	0.2100	0.188700	0.1887
20raw	100	42	0.2200	0.174300	0.1743
20raw	100	42	0.2300	0.159800	0.1598
20raw	100	42	0.2400	0.146700	0.1467
20raw	100	42	0.2500	0.136800	0.1368
20raw	100	42	0.2600	0.125500	0.1255
20raw	100	42	0.2700	0.115900	0.1159
20raw	100	42	0.2800	0.106200	0.1062
20raw	100	42	0.2900	0.097700	0.0977
20raw	100	42	0.3000	0.091300	0.0913
20raw	100	42	0.3100	0.085200	0.0852
20raw	100	42	0.3200	0.078700	0.0787
20raw	100	42	0.3300	0.073200	0.0732
20raw	100	42	0.3400	0.066900	0.0669
20raw	100	42	0.3500	0.061600	0.0616
20raw	100	42	0.3600	0.056500	0.0565
20raw	100	42	0.3700	0.052100	0.0521
20raw	100	42	0.3800	0.048100	0.0481
20raw	100	42	0.3900	0.044500	0.0445
20raw	100	42	0.4000	0.041800	0.0418
20raw	100	42	0.4100	0.039300	0.0393
20raw	100	42	0.4200	0.036200	0.0362
20raw	100	42	0.4300	0.043900	0.0339
20raw	100	42	0.4400	0.041000	0.0310
20raw	100	42	0.4500	0.038000	0.0280
20raw	100	42	0.4600	0.036200	0.0262
20raw	100	42	0.4700	0.033700	0.0237
20raw	100	42	0.4800	0.031500	0.0215
20raw	100	42	0.4900	0.030400	0.0204
20raw	100	42	0.5000	0.029000	0.0190
20raw	100	42	0.5100	0.036800	0.0168
20raw	100	42	0.5200	0.035500	0.0155
20raw	100	42	0.5300	0.045200	0.0152
20raw	100	42	0.5400	0.043800	0.0138
20raw	100	42	0.5500	0.053400	0.0134
20raw	100	42	0.5600	0.051500	0.0115
20raw	100	42	0.5700	0.060800	0.0108
20raw	100	42	0.5800	0.070100	0.0101
20raw	100	42	0.5900	0.079600	0.0096
20raw	100	42	0.6000	0.079500	0.0095
20raw	100	42	0.6100	0.088400	0.0084
20raw	100	42	0.6200	0.097900	0.0079
20raw	100	42	0.6300	0.117600	0.0076
20raw	100	42	0.6400	0.127200	0.0072
20raw	100	42	0.6500	0.146700	0.0067
20raw	100	42	0.6600	0.146100	0.0061
20raw	100	42	0.6700	0.155900	0.0059
20raw	100	42	0.6800	0.165600	0.0056
20raw	100	42	0.6900	0.185000	0.0050
20raw	100	42	0.7000	0.214500	0.0045
20raw	100	42	0.7100	0.244000	0.0040
20raw	100	42	0.7200	0.273700	0.0037
20raw	100	42	0.7300	0.293400	0.0034
20raw	100	42	0.7400	0.312800	0.0028
20raw	100	42	0.7500	0.362500	0.0025
20raw	100	42	0.7600	0.372100	0.0021
20raw	100	42	0.7700	0.391900	0.0019
20raw	100	42	0.7800	0.431500	0.0015
20raw	100	42	0.7900	0.471200	0.0012
20raw	100	42	0.8000	0.491200	0.0012
20raw	100	42	0.8100	0.511000	0.0010
20raw	100	42	0.8200	0.520900	0.0009
20raw	100	42	0.8300	0.550900	0.0009
20raw	100	42	0.8400	0.600700	0.0007
20raw	100	42	0.8500	0.640600	0.0006
20raw	100	42	0.8600	0.680500	0.0005
20raw	100	42	0.8700	0.720500	0.0005
20raw	100	42	0.8800	0.770400	0.0004
20raw	100	42	0.8900	0.810300	0.0003
20raw	100	42	0.9000	0.830100	0.0001
20raw	100	42	0.9100	0.920100	0.0001
20raw	100	42	0.9200	0.960100	0.0001
20raw	100	42	0.9300	1.010100	0.0001
20raw	100	42	0.9400	1.050000	0.0000
20raw	100	42	0.9500	1.110000	0.0000
20raw	100	42	0.9600	1.160000	0.0000
20raw	100	42	0.9700	1.250000	0.0000
20raw	100	42	0.9800	1.370000	0.0000
20raw	100	42	0.9900	1.430000	0.0000
20raw	100	42	1.0000	1.440000	0.0000
20raw	1000	42	0.0100	0.968100	0.9681
20raw	1000	42	0.0200	0.918600	0.9186
20raw	1000	42	0.0300	0.865800	0.8658
20raw	1000	42	0.0400	0.801500	0.8015
20raw	1000	42	0.0500	0.743000	0.7430
20raw	1000	42	0.0600	0.680100	0.6801
20raw	1000	42	0.0700	0.624800	0.6248
20raw	1000	42	0.0800	0.571100	0.5711
20raw	1000	42	0.0900	0.518200	0.5182
20raw	1000	42	0.1000	0.474600	0.4746
20raw	1000	42	0.1100	0.435800	0.4358
20raw	1000	42	0.1200	0.398300	0.3983
20raw	1000	42	0.1300	0.368500	0.3685
20raw	1000	42	0.1400	0.342600	0.3426
20raw	1000	42	0.1500	0.310900	0.3109
20raw	1000	42	0.1600	0.287000	0.2870
20raw	1000	42	0.1700	0.263900	0.2639
20raw	1000	42	0.1800	0.242100	0.2421
20raw	1000	42	0.1900	0.222300	0.2223
20raw	1000	42	0.2000	0.205500	0.2055
20raw	1000	42	0.2100	0.188700	0.1887
20raw	1000	42	0.2200	0.174300	0.1743
20raw	1000	42	0.2300	0.159800	0.1598
20raw	1000	42	0.2400	0.146700	0.1467
20raw	1000	42	0.2500	0.136800	0.1368
20raw	1000	42	0.2600	0.125500	0.1255
20raw	1000	42	0.2700	0.115900	0.1159
20raw	1000	42	0.2800	0.106200	0.1062
20raw	1000	42	0.2900	0.097700	0.0977
20raw	1000	42	0.3000	0.091300	0.0913
20raw	1000	42	0.3100	0.085200	0.0852
20raw	1000	42	0.3200	0.078700	0.0787
20raw	1000	42	0.3300	0.073200	0.0732
20raw	1000	42	0.3400	0.066900	0.0669
20raw	1000	42	0.3500	0.061600	0.0616
20raw	1000	42	0.3600	0.056500	0.0565
20raw	1000	42	0.3700	0.052100	0.0521
20raw	1000	42	0.3800	0.048100	0.0481
20raw	1000	42	0.3900	0.044500	0.0445
20raw	1000	42	0.4000	0.041800	0.0418
20raw	1000	42	0.4100	0.039300	0.0393
20raw	1000	42	0.4200	0.036200	0.0362
20raw	1000	42	0.4300	0.133900	0.0339
20raw	1000	42	0.4400	0.131000	0.0310
20raw	1000	42	0.4500	0.128000	0.0280
20raw	1000	42	0.4600	0.126200	0.0262
20raw	1000	42	0.4700	0.123700	0.0237
20raw	1000	42	0.4800	0.121500	0.0215
20raw	1000	42	0.4900	0.120400	0.0204
20raw	1000	42	0.5000	0.119000	0.0190
20raw	1000	42	0.5100	0.216800	0.0168
20raw	1000	42	0.5200	0.215500	0.0155
20raw	1000	42	0.5300	0.315200	0.0152
20raw	1000	42	0.5400	0.313800	0.0138
20raw	1000	42	0.5500	0.413400	0.0134
20raw	1000	42	0.5600	0.411500	0.0115
20raw	1000	42	0.5700	0.510800	0.0108
20raw	1000	42	0.5800	0.610100	0.0101
20raw	1000	42	0.5900	0.709600	0.0096
20raw	1000	42	0.6000	0.709500	0.0095
20raw	1000	42	0.6100	0.808400	0.0084
20raw	1000	42	0.6200	0.907900	0.0079
20raw	1000	42	0.6300	1.107600	0.0076
20raw	1000	42	0.6400	1.207200	0.0072
20raw	1000	42	0.6500	1.406700	0.0067
20raw	1000	42	0.6600	1.406100	0.0061
20raw	1000	42	0.6700	1.505900	0.0059
20raw	1000	42	0.6800	1.605600	0.0056
20raw	1000	42	0.6900	1.805000	0.0050
20raw	1000	42	0.7000	2.104500	0.0045
20raw	1000	42	0.7100	2.404000	0.0040
20raw	1000	42	0.7200	2.703700	0.0037
20raw	1000	42	0.7300	2.903400	0.0034
20raw	1000	42	0.7400	3.102800	0.0028
20raw	1000	42	0.7500	3.602500	0.0025
20raw	1000	42	0.7600	3.702100	0.0021
20raw	1000	42	0.7700	3.901900	0.0019
20raw	1000	42	0.7800	4.301500	0.0015
20raw	1000	42	0.7900	4.701200	0.0012
20raw	1000	42	0.8000	4.901200	0.0012
20raw	1000	42	0.8100	5.101000	0.0010
20raw	1000	42	0.8200	5.200900	0.0009
20raw	1000	42	0.8300	5.500900	0.0009
20raw	1000	42	0.8400	6.000700	0.0007
20raw	1000	42	0.8500	6.400600	0.0006
20raw	1000	42	0.8600	6.800500	0.0005
20raw	1000	42	0.8700	7.200500	0.0005
20raw	1000	42	0.8800	7.700400	0.0004
20raw	1000	42	0.8900	8.100300	0.0003
20raw	1000	42	0.9000	8.300100	0.0001
20raw	1000	42	0.9100	9.200100	0.0001
20raw	1000	42	0.9200	9.600100	0.0001
20raw	1000	42	0.9300	10.100100	0.0001
20raw	1000	42	0.9400	10.500000	0.0000
20raw	1000	42	0.9500	11.100000	0.0000
20raw	1000	42	0.9600	11.600000	0.0000
20raw	1000	42	0.9700	12.500000	0.0000
20raw	1000	42	0.9800	13.700000	0.0000
20raw	1000	42	0.9900	14.300000	0.0000
20raw	1000	42	1.0000	14.400000	0.0000
20raw	1	179	0.0100	0.969800	0.9698
20raw	1	179	0.0200	0.929600	0.9296
20raw	1	179	0.0300	0.878400	0.8784
20raw	1	179	0.0400	0.824000	0.8240
20raw	1	179	0.0500	0.767800	0.7678
20raw	1	179	0.0600	0.711400	0.7114
20raw	1	179	0.0700	0.656000	0.6560
20raw	1	179	0.0800	0.605800	0.6058
20raw	1	179	0.0900	0.555300	0.5553
20raw	1	179	0.1000	0.510900	0.5109
20raw	1	179	0.1100	0.467200	0.4672
20raw	1	179	0.1200	0.426800	0.4268
20raw	1	179	0.1300	0.391000	0.3910
20raw	1	179	0.1400	0.358200	0.3582
20raw	1	179	0.1500	0.327700	0.3277
20raw	1	179	0.1600	0.301600	0.3016
20raw	1	179	0.1700	0.277100	0.2771
20raw	1	179	0.1800	0.253000	0.2530
20raw	1	179	0.1900	0.232900	0.2329
20raw	1	179	0.2000	0.211600	0.2116
20raw	1	179	0.2100	0.196900	0.1969
20raw	1	179	0.2200	0.181600	0.1816
20raw	1	179	0.2300	0.167800	0.1678
20raw	1	179	0.2400	0.155300	0.1553
20raw	1	179	0.2500	0.143200	0.1432
20raw	1	179	0.2600	0.131500	0.1315
20raw	1	179	0.2700	0.121100	0.1211
20raw	1	179	0.2800	0.111900	0.1119
20raw	1	179	0.2900	0.103800	0.1038
20raw	1	179	0.3000	0.094400	0.0944
20raw	1	179	0.3100	0.084800	0.0848
20raw	1	179	0.3200	0.078100	0.0781
20raw	1	179	0.3300	0.071500	0.0715
20raw	1	179	0.3400	0.066300	0.0663
20raw	1	179	0.3500	0.062100	0.0621
20raw	1	179	0.3600	0.058100	0.0581
20raw	1	179	0.3700	0.054600	0.0546
20raw	1	179	0.3800	0.051300	0.0513
20raw	1	179	0.3900	0.047900	0.0479
20raw	1	179	0.4000	0.044200	0.0442
20raw	1	179	0.4100	0.040800	0.0408
20raw	1	179	0.4200	0.037100	0.0370
20raw	1	179	0.4300	0.034600	0.0345
20raw	1	179	0.4400	0.032200	0.0321
20raw	1	179	0.4500	0.029600	0.0295
20raw	1	179	0.4600	0.027700	0.0276
20raw	1	179	0.4700	0.025900	0.0258
20raw	1	179	0.4800	0.024100	0.0240
20raw	1	179	0.4900	0.023100	0.0230
20raw	1	179	0.5000	0.022300	0.0222
20raw	1	179	0.5100	0.021300	0.0211
20raw	1	179	0.5200	0.020500	0.0202
20raw	1	179	0.5300	0.019200	0.0189
20raw	1	179	0.5400	0.017700	0.0174
20raw	1	179	0.5500	0.017200	0.0168
20raw	1	179	0.5600	0.015900	0.0155
20raw	1	179	0.5700	0.014400	0.0140
20raw	1	179	0.5800	0.013500	0.0131
20raw	1	179	0.5900	0.012600	0.0122
20raw	1	179	0.6000	0.011700	0.0111
20raw	1	179	0.6100	0.010700	0.0100
20raw	1	179	0.6200	0.010400	0.0096
20raw	1	179	0.6300	0.009700	0.0089
20raw	1	179	0.6400	0.009300	0.0085
20raw	1	179	0.6500	0.009200	0.0081
20raw	1	179	0.6600	0.009200	0.0079
20raw	1	179	0.6700	0.008500	0.0070
20raw	1	179	0.6800	0.008400	0.0066
20raw	1	179	0.6900	0.007800	0.0060
20raw	1	179	0.7000	0.007700	0.0057
20raw	1	179	0.7100	0.007700	0.0052
20raw	1	179	0.7200	0.007600	0.0044
20raw	1	179	0.7300	0.007400	0.0041
20raw	1	179	0.7400	0.007200	0.0038
20raw	1	179	0.7500	0.007000	0.0032
20raw	1	179	0.7600	0.006700	0.0028
20raw	1	179	0.7700	0.006500	0.0025
20raw	1	179	0.7800	0.006500	0.0022
20raw	1	179	0.7900	0.007000	0.0021
20raw	1	179	0.8000	0.007200	0.0018
20raw	1	179	0.8100	0.006800	0.0014
20raw	1	179	0.8200	0.006900	0.0011
20raw	1	179	0.8300	0.006800	0.0008
20raw	1	179	0.8400	0.007000	0.0007
20raw	1	179	0.8500	0.007700	0.0007
20raw	1	179	0.8600	0.007800	0.0006
20raw	1	179	0.8700	0.008100	0.0005
20raw	1	179	0.8800	0.008700	0.0005
20raw	1	179	0.8900	0.009000	0.0005
20raw	1	179	0.9000	0.009400	0.0004
20raw	1	179	0.9100	0.009600	0.0002
20raw	1	179	0.9200	0.009600	0.0001
20raw	1	179	0.9300	0.010200	0.0001
20raw	1	179	0.9400	0.011000	0.0001
20raw	1	179	0.9500	0.011200	0.0001
20raw	1	179	0.9600	0.011600	0.0000
20raw	1	179	0.9700	0.012700	0.0000
20raw	1	179	0.9800	0.013600	0.0000
20raw	1	179	0.9900	0.014400	0.0000
20raw	1	179	1.0000	0.014400	0.0000
20raw	10	179	0.0100	0.969800	0.9698
20raw	10	179	0.0200	0.929600	0.9296
20raw	10	179	0.0300	0.878400	0.8784
20raw	10	179	0.0400	0.824000	0.8240
20raw	10	179	0.0500	0.767800	0.7678
20raw	10	179	0.0600	0.711400	0.7114
20raw	10	179	0.0700	0.656000	0.6560
20raw	10	179	0.0800	0.605800	0.6058
20raw	10	179	0.0900	0.555300	0.5553
20raw	10	179	0.1000	0.510900	0.5109
20raw	10	179	0.1100	0.467200	0.4672
20raw	10	179	0.1200	0.426800	0.4268
20raw	10	179	0.1300	0.391000	0.3910
20raw	10	179	0.1400	0.358200	0.3582
20raw	10	179	0.1500	0.327700	0.3277
20raw	10	179	0.1600	0.301600	0.3016
20raw	10	179	0.1700	0.277100	0.2771
20raw	10	179	0.1800	0.253000	0.2530
20raw	10	179	0.1900	0.232900	0.2329
20raw	10	179	0.2000	0.211600	0.2116
20raw	10	179	0.2100	0.196900	0.1969
20raw	10	179	0.2200	0.181600	0.1816
20raw	10	179	0.2300	0.167800	0.1678
20raw	10	179	0.2400	0.155300	0.1553
20raw	10	179	0.2500	0.143200	0.1432
20raw	10	179	0.2600	0.131500	0.1315
20raw	10	179	0.2700	0.121100	0.1211
20raw	10	179	0.2800	0.111900	0.1119
20raw	10	179	0.2900	0.103800	0.1038
20raw	10	179	0.3000	0.094400	0.0944
20raw	10	179	0.3100	0.084800	0.0848
20raw	10	179	0.3200	0.078100	0.0781
20raw	10	179	0.3300	0.071500	0.0715
20raw	10	179	0.3400	0.066300	0.0663
20raw	10	179	0.3500	0.062100	0.0621
20raw	10	179	0.3600	0.058100	0.0581
20raw	10	179	0.3700	0.054600	0.0546
20raw	10	179	0.3800	0.051300	0.0513
20raw	10	179	0.3900	0.047900	0.0479
20raw	10	179	0.4000	0.044200	0.0442
20raw	10	179	0.4100	0.040800	0.0408
20raw	10	179	0.4200	0.038000	0.0370
20raw	10	179	0.4300	0.035500	0.0345
20raw	10	179	0.4400	0.033100	0.0321
20raw	10	179	0.4500	0.030500	0.0295
20raw	10	179	0.4600	0.028600	0.0276
20raw	10	179	0.4700	0.026800	0.0258
20raw	10	179	0.4800	0.025000	0.0240
20raw	10	179	0.4900	0.024000	0.0230
20raw	10	179	0.5000	0.023200	0.0222
20raw	10	179	0.5100	0.023100	0.0211
20raw	10	179	0.5200	0.023200	0.0202
20raw	10	179	0.5300	0.021900	0.0189
20raw	10	179	0.5400	0.020400	0.0174
20raw	10	179	0.5500	0.020800	0.0168
20raw	10	179	0.5600	0.019500	0.0155
20raw	10	179	0.5700	0.018000	0.0140
20raw	10	179	0.5800	0.017100	0.0131
20raw	10	179	0.5900	0.016200	0.0122
20raw	10	179	0.6000	0.017100	0.0111
20raw	10	179	0.6100	0.017000	0.0100
20raw	10	179	0.6200	0.017600	0.0096
20raw	10	179	0.6300	0.016900	0.0089
20raw	10	179	0.6400	0.016500	0.0085
20raw	10	179	0.6500	0.019100	0.0081
20raw	10	179	0.6600	0.020900	0.0079
20raw	10	179	0.6700	0.022000	0.0070
20raw	10	179	0.6800	0.024600	0.0066
20raw	10	179	0.6900	0.024000	0.0060
20raw	10	179	0.7000	0.025700	0.0057
20raw	10	179	0.7100	0.030200	0.0052
20raw	10	179	0.7200	0.036400	0.0044
20raw	10	179	0.7300	0.037100	0.0041
20raw	10	179	0.7400	0.037800	0.0038
20raw	10	179	0.7500	0.041200	0.0032
20raw	10	179	0.7600	0.041800	0.0028
20raw	10	179	0.7700	0.042500	0.0025
20raw	10	179	0.7800	0.045200	0.0022
20raw	10	179	0.7900	0.051100	0.0021
20raw	10	179	0.8000	0.055800	0.0018
20raw	10	179	0.8100	0.055400	0.0014
20raw	10	179	0.8200	0.059100	0.0011
20raw	10	179	0.8300	0.060800	0.0008
20raw	10	179	0.8400	0.063700	0.0007
20raw	10	179	0.8500	0.070700	0.0007
20raw	10	179	0.8600	0.072600	0.0006
20raw	10	179	0.8700	0.076500	0.0005
20raw	10	179	0.8800	0.082500	0.0005
20raw	10	179	0.8900	0.085500	0.0005
20raw	10	179	0.9000	0.090400	0.0004
20raw	10	179	0.9100	0.094200	0.0002
20raw	10	179	0.9200	0.095100	0.0001
20raw	10	179	0.9300	0.101100	0.0001
20raw	10	179	0.9400	0.109100	0.0001
20raw	10	179	0.9500	0.111100	0.0001
20raw	10	179	0.9600	0.116000	0.0000
20raw	10	179	0.9700	0.127000	0.0000
20raw	10	179	0.9800	0.136000	0.0000
20raw	10	179	0.9900	0.144000	0.0000
20raw	10	179	1.0000	0.144000	0.0000
20raw	100	179	0.0100	0.969800	0.9698
20raw	100	179	0.0200	0.929600	0.9296
