method	controller	threshold	trigger_step	apply_step	trigger_zvf	trigger_pcd	saved_prompts	wasted_prompts	rollout_cost
grpo	zvf_triage	0.5	33	34	0.6875	0.0469	0	14	256
grpo	zvf_triage	0.5	34	35	0.875	0.0186	0	15	256
grpo	zvf_triage	0.5	35	36	0.9375	0.0117	0	13	256
grpo	zvf_triage	0.5	36	37	0.8125	0.0283	0	12	256
grpo	zvf_triage	0.5	37	38	0.75	0.0459	0	11	256
grpo	zvf_triage	0.5	38	39	0.6875	0.0518	0	12	256
grpo	zvf_triage	0.6	0	1	0.6875	0.0391	0	8	256
grpo	zvf_triage	0.6	2	3	0.6875	0.0527	0	12	256
grpo	zvf_triage	0.6	3	4	0.75	0.0371	0	11	256
grpo	zvf_triage	0.6	4	5	0.6875	0.0576	0	11	256
grpo	zvf_triage	0.6	5	6	0.6875	0.0566	0	13	256
grpo	zvf_triage	0.6	6	7	0.8125	0.0332	0	11	256
grpo	zvf_triage	0.6	7	8	0.6875	0.0479	0	9	256
grpo	zvf_triage	0.6	9	10	0.6875	0.0518	0	11	256
grpo	zvf_triage	0.6	10	11	0.6875	0.0518	0	11	256
grpo	zvf_triage	0.6	11	12	0.6875	0.0566	0	13	256
grpo	zvf_triage	0.6	12	13	0.8125	0.0381	0	9	256
grpo	zvf_triage	0.6	14	15	0.75	0.041	0	12	256
grpo	zvf_triage	0.6	15	16	0.75	0.0518	0	10	256
grpo	zvf_triage	0.6	16	17	0.625	0.0742	0	8	256
grpo	zvf_triage	0.6	19	20	0.625	0.0566	0	10	256
grpo	zvf_triage	0.6	20	21	0.625	0.0723	0	12	256
grpo	zvf_triage	0.6	21	22	0.75	0.043	0	12	256
grpo	zvf_triage	0.6	22	23	0.75	0.0479	0	14	256
grpo	zvf_triage	0.6	23	24	0.875	0.0186	0	13	256
grpo	zvf_triage	0.6	24	25	0.8125	0.0205	0	9	256
grpo	zvf_triage	0.6	26	27	0.8125	0.0254	0	15	256
grpo	zvf_triage	0.6	27	28	0.9375	0.0156	0	13	256
grpo	zvf_triage	0.6	28	29	0.8125	0.0283	0	13	256
grpo	zvf_triage	0.6	29	30	0.8125	0.0293	0	13	256
grpo	zvf_triage	0.6	30	31	0.8125	0.0254	0	12	256
grpo	zvf_triage	0.6	31	32	0.75	0.0322	0	11	256
grpo	zvf_triage	0.6	32	33	0.6875	0.0605	0	11	256
grpo	zvf_triage	0.6	33	34	0.6875	0.0469	0	14	256
grpo	zvf_triage	0.6	34	35	0.875	0.0186	0	15	256
grpo	zvf_triage	0.6	35	36	0.9375	0.0117	0	13	256
grpo	zvf_triage	0.6	36	37	0.8125	0.0283	0	12	256
grpo	zvf_triage	0.6	37	38	0.75	0.0459	0	11	256
grpo	zvf_triage	0.6	38	39	0.6875	0.0518	0	12	256
grpo	zvf_triage	0.7	3	4	0.75	0.0371	0	11	256
grpo	zvf_triage	0.7	6	7	0.8125	0.0332	0	11	256
grpo	zvf_triage	0.7	12	13	0.8125	0.0381	0	9	256
grpo	zvf_triage	0.7	14	15	0.75	0.041	0	12	256
grpo	zvf_triage	0.7	15	16	0.75	0.0518	0	10	256
grpo	zvf_triage	0.7	21	22	0.75	0.043	0	12	256
grpo	zvf_triage	0.7	22	23	0.75	0.0479	0	14	256
grpo	zvf_triage	0.7	23	24	0.875	0.0186	0	13	256
grpo	zvf_triage	0.7	24	25	0.8125	0.0205	0	9	256
grpo	zvf_triage	0.7	26	27	0.8125	0.0254	0	15	256
grpo	zvf_triage	0.7	27	28	0.9375	0.0156	0	13	256
grpo	zvf_triage	0.7	28	29	0.8125	0.0283	0	13	256
grpo	zvf_triage	0.7	29	30	0.8125	0.0293	0	13	256
grpo	zvf_triage	0.7	30	31	0.8125	0.0254	0	12	256
grpo	zvf_triage	0.7	31	32	0.75	0.0322	0	11	256
grpo	zvf_triage	0.7	34	35	0.875	0.0186	0	15	256
grpo	zvf_triage	0.7	35	36	0.9375	0.0117	0	13	256
grpo	zvf_triage	0.7	36	37	0.8125	0.0283	0	12	256
grpo	zvf_triage	0.7	37	38	0.75	0.0459	0	11	256
grpo	zvf_triage	0.8	6	7	0.8125	0.0332	0	11	256
grpo	zvf_triage	0.8	12	13	0.8125	0.0381	0	9	256
grpo	zvf_triage	0.8	23	24	0.875	0.0186	0	13	256
grpo	zvf_triage	0.8	24	25	0.8125	0.0205	0	9	256
grpo	zvf_triage	0.8	26	27	0.8125	0.0254	0	15	256
grpo	zvf_triage	0.8	27	28	0.9375	0.0156	0	13	256
grpo	zvf_triage	0.8	28	29	0.8125	0.0283	0	13	256
grpo	zvf_triage	0.8	29	30	0.8125	0.0293	0	13	256
grpo	zvf_triage	0.8	30	31	0.8125	0.0254	0	12	256
grpo	zvf_triage	0.8	34	35	0.875	0.0186	0	15	256
grpo	zvf_triage	0.8	35	36	0.9375	0.0117	0	13	256
grpo	zvf_triage	0.8	36	37	0.8125	0.0283	0	12	256
grpo	zvf_triage	0.9	27	28	0.9375	0.0156	0	13	256
grpo	zvf_triage	0.9	35	36	0.9375	0.0117	0	13	256
grpo	dualformer_auto	0	0	0	0.6875	0.0391	0	11	82
grpo	dualformer_auto	0	1	1	0.5	0.0908	0	8	100
grpo	dualformer_auto	0	2	2	0.6875	0.0527	0	11	84
grpo	dualformer_auto	0	3	3	0.75	0.0371	0	12	84
grpo	dualformer_auto	0	4	4	0.6875	0.0576	0	11	92
grpo	dualformer_auto	0	5	5	0.6875	0.0566	0	11	122
grpo	dualformer_auto	0	6	6	0.8125	0.0332	0	13	90
grpo	dualformer_auto	0	7	7	0.6875	0.0479	0	11	110
grpo	dualformer_auto	0	8	8	0.5625	0.0732	0	9	118
grpo	dualformer_auto	0	9	9	0.6875	0.0518	0	11	74
grpo	dualformer_auto	0	10	10	0.6875	0.0518	0	11	70
grpo	dualformer_auto	0	11	11	0.6875	0.0566	0	11	112
grpo	dualformer_auto	0	12	12	0.8125	0.0381	0	13	58
grpo	dualformer_auto	0	13	13	0.5625	0.0693	0	9	110
grpo	dualformer_auto	0	14	14	0.75	0.041	0	12	70
grpo	dualformer_auto	0	15	15	0.75	0.0518	0	12	88
grpo	dualformer_auto	0	16	16	0.625	0.0742	0	10	124
grpo	dualformer_auto	0	17	17	0.5	0.0859	0	8	92
grpo	dualformer_auto	0	18	18	0.5625	0.0947	0	9	148
grpo	dualformer_auto	0	19	19	0.625	0.0566	0	10	94
grpo	dualformer_auto	0	20	20	0.625	0.0723	0	10	96
grpo	dualformer_auto	0	21	21	0.75	0.043	0	12	78
grpo	dualformer_auto	0	22	22	0.75	0.0479	0	12	80
grpo	dualformer_auto	0	23	23	0.875	0.0186	0	14	62
grpo	dualformer_auto	0	24	24	0.8125	0.0205	0	13	50
grpo	dualformer_auto	0	25	25	0.5625	0.0771	0	9	106
grpo	dualformer_auto	0	26	26	0.8125	0.0254	0	13	64
grpo	dualformer_auto	0	27	27	0.9375	0.0156	0	15	46
grpo	dualformer_auto	0	28	28	0.8125	0.0283	0	13	64
grpo	dualformer_auto	0	29	29	0.8125	0.0293	0	13	50
grpo	dualformer_auto	0	30	30	0.8125	0.0254	0	13	50
grpo	dualformer_auto	0	31	31	0.75	0.0322	0	12	56
grpo	dualformer_auto	0	32	32	0.6875	0.0605	0	11	74
grpo	dualformer_auto	0	33	33	0.6875	0.0469	0	11	72
grpo	dualformer_auto	0	34	34	0.875	0.0186	0	14	60
grpo	dualformer_auto	0	35	35	0.9375	0.0117	0	15	66
grpo	dualformer_auto	0	36	36	0.8125	0.0283	0	13	64
grpo	dualformer_auto	0	37	37	0.75	0.0459	0	12	108
grpo	dualformer_auto	0	38	38	0.6875	0.0518	0	11	92
grpo	dualformer_auto	0	39	39	0.75	0.0479	0	12	94
grpo	oracle	0	0	0	0.6875	0.0391	0	11	168
grpo	oracle	0	1	1	0.5	0.0908	0	8	192
grpo	oracle	0	2	2	0.6875	0.0527	0	11	168
grpo	oracle	0	3	3	0.75	0.0371	0	12	160
grpo	oracle	0	4	4	0.6875	0.0576	0	11	168
grpo	oracle	0	5	5	0.6875	0.0566	0	11	168
grpo	oracle	0	6	6	0.8125	0.0332	0	13	152
grpo	oracle	0	7	7	0.6875	0.0479	0	11	168
grpo	oracle	0	8	8	0.5625	0.0732	0	9	184
grpo	oracle	0	9	9	0.6875	0.0518	0	11	168
grpo	oracle	0	10	10	0.6875	0.0518	0	11	168
grpo	oracle	0	11	11	0.6875	0.0566	0	11	168
grpo	oracle	0	12	12	0.8125	0.0381	0	13	152
grpo	oracle	0	13	13	0.5625	0.0693	0	9	184
grpo	oracle	0	14	14	0.75	0.041	0	12	160
grpo	oracle	0	15	15	0.75	0.0518	0	12	160
grpo	oracle	0	16	16	0.625	0.0742	0	10	176
grpo	oracle	0	17	17	0.5	0.0859	0	8	192
grpo	oracle	0	18	18	0.5625	0.0947	0	9	184
grpo	oracle	0	19	19	0.625	0.0566	0	10	176
grpo	oracle	0	20	20	0.625	0.0723	0	10	176
grpo	oracle	0	21	21	0.75	0.043	0	12	160
grpo	oracle	0	22	22	0.75	0.0479	0	12	160
grpo	oracle	0	23	23	0.875	0.0186	0	14	144
grpo	oracle	0	24	24	0.8125	0.0205	0	13	152
grpo	oracle	0	25	25	0.5625	0.0771	0	9	184
grpo	oracle	0	26	26	0.8125	0.0254	0	13	152
grpo	oracle	0	27	27	0.9375	0.0156	0	15	136
grpo	oracle	0	28	28	0.8125	0.0283	0	13	152
grpo	oracle	0	29	29	0.8125	0.0293	0	13	152
grpo	oracle	0	30	30	0.8125	0.0254	0	13	152
grpo	oracle	0	31	31	0.75	0.0322	0	12	160
grpo	oracle	0	32	32	0.6875	0.0605	0	11	168
grpo	oracle	0	33	33	0.6875	0.0469	0	11	168
grpo	oracle	0	34	34	0.875	0.0186	0	14	144
grpo	oracle	0	35	35	0.9375	0.0117	0	15	136
grpo	oracle	0	36	36	0.8125	0.0283	0	13	152
grpo	oracle	0	37	37	0.75	0.0459	0	12	160
grpo	oracle	0	38	38	0.6875	0.0518	0	11	168
grpo	oracle	0	39	39	0.75	0.0479	0	12	160
aero	zvf_triage	0.5	0	1	0.6875	0.042	0	11	256
aero	zvf_triage	0.5	1	2	0.6875	0.0713	0	13	256
aero	zvf_triage	0.5	2	3	0.8125	0.0205	0	11	256
aero	zvf_triage	0.5	3	4	0.6875	0.0596	0	12	256
aero	zvf_triage	0.5	4	5	0.75	0.0586	0	9	256
aero	zvf_triage	0.5	5	6	0.5625	0.0703	0	12	256
aero	zvf_triage	0.5	6	7	0.75	0.0498	0	10	256
aero	zvf_triage	0.5	7	8	0.625	0.0654	0	11	256
aero	zvf_triage	0.5	8	9	0.6875	0.0723	0	10	256
aero	zvf_triage	0.5	9	10	0.625	0.0664	0	12	256
aero	zvf_triage	0.5	10	11	0.75	0.042	0	9	256
aero	zvf_triage	0.5	11	12	0.5625	0.085	0	11	256
aero	zvf_triage	0.5	12	13	0.6875	0.0596	0	9	256
aero	zvf_triage	0.5	13	14	0.5625	0.1006	0	12	256
aero	zvf_triage	0.5	14	15	0.75	0.0449	0	13	256
aero	zvf_triage	0.5	15	16	0.8125	0.0361	0	9	256
aero	zvf_triage	0.5	16	17	0.5625	0.084	0	9	256
aero	zvf_triage	0.5	17	18	0.5625	0.0859	0	10	256
aero	zvf_triage	0.5	18	19	0.625	0.0684	0	10	256
aero	zvf_triage	0.5	19	20	0.625	0.0723	0	10	256
aero	zvf_triage	0.5	20	21	0.625	0.0664	0	13	256
aero	zvf_triage	0.5	21	22	0.8125	0.0293	0	11	256
aero	zvf_triage	0.5	22	23	0.6875	0.042	0	13	256
aero	zvf_triage	0.5	23	24	0.8125	0.0303	0	13	256
aero	zvf_triage	0.5	24	25	0.8125	0.0205	0	11	256
aero	zvf_triage	0.5	25	26	0.6875	0.0518	0	14	256
aero	zvf_triage	0.5	26	27	0.875	0.0264	0	15	256
aero	zvf_triage	0.5	27	28	0.9375	0.0146	0	13	256
aero	zvf_triage	0.5	28	29	0.8125	0.0293	0	14	256
aero	zvf_triage	0.5	29	30	0.875	0.0234	0	13	256
aero	zvf_triage	0.5	30	31	0.8125	0.0254	0	13	256
aero	zvf_triage	0.5	31	32	0.8125	0.0254	0	12	256
aero	zvf_triage	0.5	32	33	0.75	0.0488	0	10	256
aero	zvf_triage	0.5	33	34	0.625	0.0615	0	14	256
aero	zvf_triage	0.5	34	35	0.875	0.0215	0	13	256
aero	zvf_triage	0.5	35	36	0.8125	0.0342	0	13	256
aero	zvf_triage	0.5	36	37	0.8125	0.0303	0	11	256
aero	zvf_triage	0.5	37	38	0.6875	0.0508	0	11	256
aero	zvf_triage	0.5	38	39	0.6875	0.0518	0	10	256
aero	zvf_triage	0.6	0	1	0.6875	0.042	0	11	256
aero	zvf_triage	0.6	1	2	0.6875	0.0713	0	13	256
aero	zvf_triage	0.6	2	3	0.8125	0.0205	0	11	256
aero	zvf_triage	0.6	3	4	0.6875	0.0596	0	12	256
aero	zvf_triage	0.6	4	5	0.75	0.0586	0	9	256
aero	zvf_triage	0.6	6	7	0.75	0.0498	0	10	256
aero	zvf_triage	0.6	7	8	0.625	0.0654	0	11	256
aero	zvf_triage	0.6	8	9	0.6875	0.0723	0	10	256
aero	zvf_triage	0.6	9	10	0.625	0.0664	0	12	256
aero	zvf_triage	0.6	10	11	0.75	0.042	0	9	256
aero	zvf_triage	0.6	12	13	0.6875	0.0596	0	9	256
aero	zvf_triage	0.6	14	15	0.75	0.0449	0	13	256
aero	zvf_triage	0.6	15	16	0.8125	0.0361	0	9	256
aero	zvf_triage	0.6	18	19	0.625	0.0684	0	10	256
aero	zvf_triage	0.6	19	20	0.625	0.0723	0	10	256
aero	zvf_triage	0.6	20	21	0.625	0.0664	0	13	256
aero	zvf_triage	0.6	21	22	0.8125	0.0293	0	11	256
aero	zvf_triage	0.6	22	23	0.6875	0.042	0	13	256
aero	zvf_triage	0.6	23	24	0.8125	0.0303	0	13	256
aero	zvf_triage	0.6	24	25	0.8125	0.0205	0	11	256
aero	zvf_triage	0.6	25	26	0.6875	0.0518	0	14	256
aero	zvf_triage	0.6	26	27	0.875	0.0264	0	15	256
aero	zvf_triage	0.6	27	28	0.9375	0.0146	0	13	256
aero	zvf_triage	0.6	28	29	0.8125	0.0293	0	14	256
aero	zvf_triage	0.6	29	30	0.875	0.0234	0	13	256
aero	zvf_triage	0.6	30	31	0.8125	0.0254	0	13	256
aero	zvf_triage	0.6	31	32	0.8125	0.0254	0	12	256
aero	zvf_triage	0.6	32	33	0.75	0.0488	0	10	256
aero	zvf_triage	0.6	33	34	0.625	0.0615	0	14	256
aero	zvf_triage	0.6	34	35	0.875	0.0215	0	13	256
aero	zvf_triage	0.6	35	36	0.8125	0.0342	0	13	256
aero	zvf_triage	0.6	36	37	0.8125	0.0303	0	11	256
aero	zvf_triage	0.6	37	38	0.6875	0.0508	0	11	256
aero	zvf_triage	0.6	38	39	0.6875	0.0518	0	10	256
aero	zvf_triage	0.7	2	3	0.8125	0.0205	0	11	256
aero	zvf_triage	0.7	4	5	0.75	0.0586	0	9	256
aero	zvf_triage	0.7	6	7	0.75	0.0498	0	10	256
aero	zvf_triage	0.7	10	11	0.75	0.042	0	9	256
aero	zvf_triage	0.7	14	15	0.75	0.0449	0	13	256
aero	zvf_triage	0.7	15	16	0.8125	0.0361	0	9	256
aero	zvf_triage	0.7	21	22	0.8125	0.0293	0	11	256
aero	zvf_triage	0.7	23	24	0.8125	0.0303	0	13	256
aero	zvf_triage	0.7	24	25	0.8125	0.0205	0	11	256
aero	zvf_triage	0.7	26	27	0.875	0.0264	0	15	256
aero	zvf_triage	0.7	27	28	0.9375	0.0146	0	13	256
aero	zvf_triage	0.7	28	29	0.8125	0.0293	0	14	256
aero	zvf_triage	0.7	29	30	0.875	0.0234	0	13	256
aero	zvf_triage	0.7	30	31	0.8125	0.0254	0	13	256
aero	zvf_triage	0.7	31	32	0.8125	0.0254	0	12	256
aero	zvf_triage	0.7	32	33	0.75	0.0488	0	10	256
aero	zvf_triage	0.7	34	35	0.875	0.0215	0	13	256
aero	zvf_triage	0.7	35	36	0.8125	0.0342	0	13	256
aero	zvf_triage	0.7	36	37	0.8125	0.0303	0	11	256
aero	zvf_triage	0.8	2	3	0.8125	0.0205	0	11	256
aero	zvf_triage	0.8	15	16	0.8125	0.0361	0	9	256
aero	zvf_triage	0.8	21	22	0.8125	0.0293	0	11	256
aero	zvf_triage	0.8	23	24	0.8125	0.0303	0	13	256
aero	zvf_triage	0.8	24	25	0.8125	0.0205	0	11	256
aero	zvf_triage	0.8	26	27	0.875	0.0264	0	15	256
aero	zvf_triage	0.8	27	28	0.9375	0.0146	0	13	256
aero	zvf_triage	0.8	28	29	0.8125	0.0293	0	14	256
aero	zvf_triage	0.8	29	30	0.875	0.0234	0	13	256
aero	zvf_triage	0.8	30	31	0.8125	0.0254	0	13	256
aero	zvf_triage	0.8	31	32	0.8125	0.0254	0	12	256
aero	zvf_triage	0.8	34	35	0.875	0.0215	0	13	256
aero	zvf_triage	0.8	35	36	0.8125	0.0342	0	13	256
aero	zvf_triage	0.8	36	37	0.8125	0.0303	0	11	256
aero	zvf_triage	0.9	27	28	0.9375	0.0146	0	13	256
aero	dualformer_auto	0	0	0	0.6875	0.042	0	11	92
aero	dualformer_auto	0	1	1	0.6875	0.0713	0	11	108
aero	dualformer_auto	0	2	2	0.8125	0.0205	0	13	64
aero	dualformer_auto	0	3	3	0.6875	0.0596	0	11	110
aero	dualformer_auto	0	4	4	0.75	0.0586	0	12	94
aero	dualformer_auto	0	5	5	0.5625	0.0703	0	9	130
aero	dualformer_auto	0	6	6	0.75	0.0498	0	12	108
aero	dualformer_auto	0	7	7	0.625	0.0654	0	10	120
aero	dualformer_auto	0	8	8	0.6875	0.0723	0	11	116
aero	dualformer_auto	0	9	9	0.625	0.0664	0	10	84
aero	dualformer_auto	0	10	10	0.75	0.042	0	12	74
aero	dualformer_auto	0	11	11	0.5625	0.085	0	9	114
aero	dualformer_auto	0	12	12	0.6875	0.0596	0	11	82
aero	dualformer_auto	0	13	13	0.5625	0.1006	0	9	136
aero	dualformer_auto	0	14	14	0.75	0.0449	0	12	64
aero	dualformer_auto	0	15	15	0.8125	0.0361	0	13	74
aero	dualformer_auto	0	16	16	0.5625	0.084	0	9	124
aero	dualformer_auto	0	17	17	0.5625	0.0859	0	9	112
aero	dualformer_auto	0	18	18	0.625	0.0684	0	10	118
aero	dualformer_auto	0	19	19	0.625	0.0723	0	10	106
aero	dualformer_auto	0	20	20	0.625	0.0664	0	10	92
aero	dualformer_auto	0	21	21	0.8125	0.0293	0	13	62
aero	dualformer_auto	0	22	22	0.6875	0.042	0	11	66
aero	dualformer_auto	0	23	23	0.8125	0.0303	0	13	68
aero	dualformer_auto	0	24	24	0.8125	0.0205	0	13	50
aero	dualformer_auto	0	25	25	0.6875	0.0518	0	11	84
aero	dualformer_auto	0	26	26	0.875	0.0264	0	14	80
aero	dualformer_auto	0	27	27	0.9375	0.0146	0	15	46
aero	dualformer_auto	0	28	28	0.8125	0.0293	0	13	62
aero	dualformer_auto	0	29	29	0.875	0.0234	0	14	52
aero	dualformer_auto	0	30	30	0.8125	0.0254	0	13	50
aero	dualformer_auto	0	31	31	0.8125	0.0254	0	13	56
aero	dualformer_auto	0	32	32	0.75	0.0488	0	12	76
aero	dualformer_auto	0	33	33	0.625	0.0615	0	10	84
aero	dualformer_auto	0	34	34	0.875	0.0215	0	14	62
aero	dualformer_auto	0	35	35	0.8125	0.0342	0	13	82
aero	dualformer_auto	0	36	36	0.8125	0.0303	0	13	60
aero	dualformer_auto	0	37	37	0.6875	0.0508	0	11	118
aero	dualformer_auto	0	38	38	0.6875	0.0518	0	11	92
aero	dualformer_auto	0	39	39	0.625	0.0488	0	10	94
aero	oracle	0	0	0	0.6875	0.042	0	11	168
aero	oracle	0	1	1	0.6875	0.0713	0	11	168
aero	oracle	0	2	2	0.8125	0.0205	0	13	152
aero	oracle	0	3	3	0.6875	0.0596	0	11	168
aero	oracle	0	4	4	0.75	0.0586	0	12	160
aero	oracle	0	5	5	0.5625	0.0703	0	9	184
aero	oracle	0	6	6	0.75	0.0498	0	12	160
aero	oracle	0	7	7	0.625	0.0654	0	10	176
aero	oracle	0	8	8	0.6875	0.0723	0	11	168
aero	oracle	0	9	9	0.625	0.0664	0	10	176
aero	oracle	0	10	10	0.75	0.042	0	12	160
aero	oracle	0	11	11	0.5625	0.085	0	9	184
aero	oracle	0	12	12	0.6875	0.0596	0	11	168
aero	oracle	0	13	13	0.5625	0.1006	0	9	184
aero	oracle	0	14	14	0.75	0.0449	0	12	160
aero	oracle	0	15	15	0.8125	0.0361	0	13	152
aero	oracle	0	16	16	0.5625	0.084	0	9	184
aero	oracle	0	17	17	0.5625	0.0859	0	9	184
aero	oracle	0	18	18	0.625	0.0684	0	10	176
aero	oracle	0	19	19	0.625	0.0723	0	10	176
aero	oracle	0	20	20	0.625	0.0664	0	10	176
aero	oracle	0	21	21	0.8125	0.0293	0	13	152
aero	oracle	0	22	22	0.6875	0.042	0	11	168
aero	oracle	0	23	23	0.8125	0.0303	0	13	152
aero	oracle	0	24	24	0.8125	0.0205	0	13	152
aero	oracle	0	25	25	0.6875	0.0518	0	11	168
aero	oracle	0	26	26	0.875	0.0264	0	14	144
aero	oracle	0	27	27	0.9375	0.0146	0	15	136
aero	oracle	0	28	28	0.8125	0.0293	0	13	152
aero	oracle	0	29	29	0.875	0.0234	0	14	144
aero	oracle	0	30	30	0.8125	0.0254	0	13	152
aero	oracle	0	31	31	0.8125	0.0254	0	13	152
aero	oracle	0	32	32	0.75	0.0488	0	12	160
aero	oracle	0	33	33	0.625	0.0615	0	10	176
aero	oracle	0	34	34	0.875	0.0215	0	14	144
aero	oracle	0	35	35	0.8125	0.0342	0	13	152
aero	oracle	0	36	36	0.8125	0.0303	0	13	152
aero	oracle	0	37	37	0.6875	0.0508	0	11	168
aero	oracle	0	38	38	0.6875	0.0518	0	11	168
aero	oracle	0	39	39	0.625	0.0488	0	10	176
gift	zvf_triage	0.5	0	1	0.75	0.0537	0	9	256
gift	zvf_triage	0.5	1	2	0.5625	0.0752	0	11	256
gift	zvf_triage	0.5	2	3	0.6875	0.0342	0	9	256
gift	zvf_triage	0.5	3	4	0.5625	0.0674	0	11	256
gift	zvf_triage	0.5	4	5	0.6875	0.0518	0	10	256
gift	zvf_triage	0.5	5	6	0.625	0.0488	0	12	256
gift	zvf_triage	0.5	6	7	0.75	0.0479	0	11	256
gift	zvf_triage	0.5	7	8	0.6875	0.0439	0	10	256
gift	zvf_triage	0.5	8	9	0.625	0.0674	0	10	256
gift	zvf_triage	0.5	9	10	0.625	0.0537	0	12	256
gift	zvf_triage	0.5	10	11	0.75	0.0361	0	10	256
gift	zvf_triage	0.5	11	12	0.625	0.0693	0	12	256
gift	zvf_triage	0.5	12	13	0.75	0.0449	0	9	256
gift	zvf_triage	0.5	13	14	0.5625	0.0908	0	13	256
gift	zvf_triage	0.5	14	15	0.8125	0.0371	0	10	256
gift	zvf_triage	0.5	15	16	0.625	0.0625	0	10	256
gift	zvf_triage	0.5	16	17	0.625	0.0635	0	12	256
gift	zvf_triage	0.5	17	18	0.75	0.0625	0	10	256
gift	zvf_triage	0.5	18	19	0.625	0.0703	0	12	256
gift	zvf_triage	0.5	19	20	0.75	0.041	0	11	256
gift	zvf_triage	0.5	20	21	0.6875	0.0566	0	12	256
gift	zvf_triage	0.5	21	22	0.75	0.0479	0	14	256
gift	zvf_triage	0.5	22	23	0.875	0.0215	0	14	256
gift	zvf_triage	0.5	23	24	0.875	0.0215	0	14	256
gift	zvf_triage	0.5	24	25	0.875	0.0137	0	12	256
gift	zvf_triage	0.5	25	26	0.75	0.0537	0	13	256
gift	zvf_triage	0.5	26	27	0.8125	0.0283	0	15	256
gift	zvf_triage	0.5	27	28	0.9375	0.0117	0	14	256
gift	zvf_triage	0.5	28	29	0.875	0.0186	0	15	256
gift	zvf_triage	0.5	29	30	0.9375	0.0146	0	14	256
gift	zvf_triage	0.5	30	31	0.875	0.0273	0	15	256
gift	zvf_triage	0.5	31	32	0.9375	0.0068	0	12	256
gift	zvf_triage	0.5	32	33	0.75	0.043	0	15	256
gift	zvf_triage	0.5	33	34	0.9375	0.0068	0	16	256
gift	zvf_triage	0.5	34	35	1.0	0.0	0	15	256
gift	zvf_triage	0.5	35	36	0.9375	0.0068	0	15	256
gift	zvf_triage	0.5	36	37	0.9375	0.0156	0	14	256
gift	zvf_triage	0.5	37	38	0.875	0.0215	0	15	256
gift	zvf_triage	0.5	38	39	0.9375	0.0146	0	13	256
gift	zvf_triage	0.6	0	1	0.75	0.0537	0	9	256
gift	zvf_triage	0.6	2	3	0.6875	0.0342	0	9	256
gift	zvf_triage	0.6	4	5	0.6875	0.0518	0	10	256
gift	zvf_triage	0.6	5	6	0.625	0.0488	0	12	256
gift	zvf_triage	0.6	6	7	0.75	0.0479	0	11	256
gift	zvf_triage	0.6	7	8	0.6875	0.0439	0	10	256
gift	zvf_triage	0.6	8	9	0.625	0.0674	0	10	256
gift	zvf_triage	0.6	9	10	0.625	0.0537	0	12	256
gift	zvf_triage	0.6	10	11	0.75	0.0361	0	10	256
gift	zvf_triage	0.6	11	12	0.625	0.0693	0	12	256
gift	zvf_triage	0.6	12	13	0.75	0.0449	0	9	256
