method	controller	trigger_label	threshold	fires	saved	missed	rollouts_used	baseline_rollouts	cost_ratio_pt	cost_ratio_lo	cost_ratio_hi	saved_per_fire	savings_per_rollout_pt	savings_per_rollout_lo	savings_per_rollout_hi
aero	zvf_triage	ZVF>=tau	0.8000	14	10	36	6912	5120	1.3500	1.2000	1.5000	0.7143	1.446759	0.292969	1.660156
aero	zvf_triage	ZVF>=tau	0.9000	1	0	46	5248	5120	1.0250	1.0000	1.0750	0.0000	0.000000	0.000000	0.000000
aero	yobs_triage	Y_obs<=tau (1-ZVF)	0.1250	4	3	43	5632	5120	1.1000	1.0250	1.2000	0.7500	0.532670	0.000000	0.781250
aero	yobs_triage	Y_obs<=tau (1-ZVF)	0.1500	4	3	43	5632	5120	1.1000	1.0250	1.2000	0.7500	0.532670	0.000000	0.781250
aero	yobs_triage	Y_obs<=tau (1-ZVF)	0.2000	14	10	36	6912	5120	1.3500	1.2000	1.5000	0.7143	1.446759	0.292969	1.660156
aero	yobs_triage	Y_obs<=tau (1-ZVF)	0.2500	19	18	28	7552	5120	1.4750	1.3250	1.6250	0.9474	2.383475	0.781250	2.832031
aero	yobs_triage	Y_obs<=tau (1-ZVF)	0.3000	19	18	28	7552	5120	1.4750	1.3250	1.6250	0.9474	2.383475	0.781250	2.832031
aero	ddiv_triage	delta_div>=tau	0.0300	28	33	13	8704	5120	1.7000	1.5500	1.8250	1.1786	3.791360	1.953125	4.687500
aero	ddiv_triage	delta_div>=tau	0.0400	24	25	21	8192	5120	1.6000	1.4500	1.7500	1.0417	3.051758	1.269531	3.808594
aero	ddiv_triage	delta_div>=tau	0.0500	16	13	33	7168	5120	1.4000	1.2500	1.5500	0.8125	1.813616	0.390625	2.148438
aero	ddiv_triage	delta_div>=tau	0.0600	11	4	42	6528	5120	1.2750	1.1500	1.4000	0.3636	0.612745	0.000000	1.074219
aero	ddiv_triage	delta_div>=tau	0.0700	5	4	42	5760	5120	1.1250	1.0250	1.2250	0.8000	0.694444	0.000000	1.074219
areal	zvf_triage	ZVF>=tau	0.5000	40	40	0	10240	5120	2.0000	2.0000	2.0000	1.0000	3.906250	3.027344	4.882812
areal	zvf_triage	ZVF>=tau	0.6000	33	29	11	9344	5120	1.8250	1.7000	1.9250	0.8788	3.103596	1.953125	3.710938
areal	zvf_triage	ZVF>=tau	0.7000	17	13	27	7296	5120	1.4250	1.2750	1.5750	0.7647	1.781798	0.585938	1.953125
areal	zvf_triage	ZVF>=tau	0.8000	11	6	34	6528	5120	1.2750	1.1500	1.4250	0.5455	0.919118	0.195312	1.074219
areal	zvf_triage	ZVF>=tau	0.9000	1	1	39	5248	5120	1.0250	1.0000	1.0750	1.0000	0.190549	0.000000	0.292969
areal	yobs_triage	Y_obs<=tau (1-ZVF)	0.1250	5	3	37	5760	5120	1.1250	1.0250	1.2250	0.6000	0.520833	0.000000	0.683594
areal	yobs_triage	Y_obs<=tau (1-ZVF)	0.1500	5	3	37	5760	5120	1.1250	1.0250	1.2250	0.6000	0.520833	0.000000	0.683594
areal	yobs_triage	Y_obs<=tau (1-ZVF)	0.2000	11	6	34	6528	5120	1.2750	1.1500	1.4250	0.5455	0.919118	0.195312	1.074219
areal	yobs_triage	Y_obs<=tau (1-ZVF)	0.2500	17	13	27	7296	5120	1.4250	1.2750	1.5750	0.7647	1.781798	0.683594	1.953125
areal	yobs_triage	Y_obs<=tau (1-ZVF)	0.3000	17	13	27	7296	5120	1.4250	1.2750	1.5750	0.7647	1.781798	0.683594	1.953125
areal	ddiv_triage	delta_div>=tau	0.0300	29	26	14	8832	5120	1.7250	1.5750	1.8500	0.8966	2.943841	1.660156	3.515625
areal	ddiv_triage	delta_div>=tau	0.0400	25	20	20	8320	5120	1.6250	1.4750	1.7750	0.8000	2.403846	1.171875	2.734375
areal	ddiv_triage	delta_div>=tau	0.0500	20	19	21	7680	5120	1.5000	1.3500	1.6500	0.9500	2.473958	1.074219	2.636719
areal	ddiv_triage	delta_div>=tau	0.0600	14	12	28	6912	5120	1.3500	1.2000	1.5000	0.8571	1.736111	0.488281	1.953125
areal	ddiv_triage	delta_div>=tau	0.0700	13	12	28	6784	5120	1.3250	1.2000	1.4750	0.9231	1.768868	0.488281	1.953125
gift	zvf_triage	ZVF>=tau	0.5000	40	38	0	10240	5120	2.0000	2.0000	2.0000	0.9500	3.710938	2.441406	5.078125
gift	zvf_triage	ZVF>=tau	0.6000	37	30	8	9856	5120	1.9250	1.8500	2.0000	0.8108	3.043831	1.757812	4.101562
gift	zvf_triage	ZVF>=tau	0.7000	26	13	25	8448	5120	1.6500	1.5000	1.8000	0.5000	1.538826	0.585938	2.050781
gift	zvf_triage	ZVF>=tau	0.8000	17	4	34	7296	5120	1.4250	1.2750	1.5750	0.2353	0.548246	0.097656	0.781250
gift	zvf_triage	ZVF>=tau	0.9000	8	1	37	6144	5120	1.2000	1.0750	1.3250	0.1250	0.162760	0.000000	0.292969
gift	yobs_triage	Y_obs<=tau (1-ZVF)	0.1250	14	3	35	6912	5120	1.3500	1.2250	1.5000	0.2143	0.434028	0.000000	0.683594
gift	yobs_triage	Y_obs<=tau (1-ZVF)	0.1500	14	3	35	6912	5120	1.3500	1.2000	1.5000	0.2143	0.434028	0.000000	0.585938
gift	yobs_triage	Y_obs<=tau (1-ZVF)	0.2000	17	4	34	7296	5120	1.4250	1.2750	1.5750	0.2353	0.548246	0.097656	0.781250
gift	yobs_triage	Y_obs<=tau (1-ZVF)	0.2500	26	13	25	8448	5120	1.6500	1.5000	1.8000	0.5000	1.538826	0.585938	2.050781
gift	yobs_triage	Y_obs<=tau (1-ZVF)	0.3000	26	13	25	8448	5120	1.6500	1.5000	1.7750	0.5000	1.538826	0.585938	2.050781
gift	ddiv_triage	delta_div>=tau	0.0300	22	30	8	7936	5120	1.5500	1.4000	1.7000	1.3636	3.780242	1.660156	4.394531
gift	ddiv_triage	delta_div>=tau	0.0400	18	24	14	7424	5120	1.4500	1.3000	1.6000	1.3333	3.232759	1.171875	3.710938
gift	ddiv_triage	delta_div>=tau	0.0500	13	19	19	6784	5120	1.3250	1.2000	1.4750	1.4615	2.800708	0.781250	3.027344
gift	ddiv_triage	delta_div>=tau	0.0600	9	13	25	6272	5120	1.2250	1.1000	1.3500	1.4444	2.072704	0.390625	2.441406
gift	ddiv_triage	delta_div>=tau	0.0700	7	10	28	6016	5120	1.1750	1.0750	1.3000	1.4286	1.662234	0.195312	2.050781
