fset	rate	resample	seed	eff_rate	n	min_cost	opt_threshold	catch_at_1pct
24full	0.0144	4	42	0.0144	10000	0.011800	0.5600	0.6250
24full	0.0144	4	179	0.0144	10000	0.019900	0.4800	0.6597
24full	0.0144	4	316	0.0144	10000	0.018900	0.5000	0.6319
24full	0.0200	0	42	0.0200	7200	0.012361	0.5600	0.4861
24full	0.0200	0	179	0.0200	7200	0.018750	0.4800	0.4931
24full	0.0200	0	316	0.0200	7200	0.018472	0.5000	0.4722
24full	0.0200	1	42	0.0200	7200	0.013056	0.5600	0.4861
24full	0.0200	1	179	0.0200	7200	0.020556	0.4800	0.4931
24full	0.0200	1	316	0.0200	7200	0.019583	0.5000	0.4861
24full	0.0200	2	42	0.0200	7200	0.012917	0.5600	0.4861
24full	0.0200	2	179	0.0200	7200	0.019306	0.4800	0.5000
24full	0.0200	2	316	0.0200	7200	0.019583	0.5000	0.4792
24full	0.0200	3	42	0.0200	7200	0.014167	0.5600	0.4861
24full	0.0200	3	179	0.0200	7200	0.020833	0.4800	0.5000
24full	0.0200	3	316	0.0200	7200	0.020000	0.5000	0.4792
24full	0.0200	4	42	0.0200	7200	0.012778	0.5600	0.4931
24full	0.0200	4	179	0.0200	7200	0.020278	0.4800	0.5000
24full	0.0200	4	316	0.0200	7200	0.020000	0.5000	0.4861
24full	0.0300	0	42	0.0300	4800	0.013750	0.5600	0.3264
24full	0.0300	0	179	0.0300	4800	0.022500	0.4800	0.3333
24full	0.0300	0	316	0.0300	4800	0.020208	0.5000	0.3264
24full	0.0300	1	42	0.0300	4800	0.012083	0.5600	0.3264
24full	0.0300	1	179	0.0300	4800	0.018125	0.4800	0.3333
24full	0.0300	1	316	0.0300	4800	0.016875	0.5000	0.3264
24full	0.0300	2	42	0.0300	4800	0.011458	0.5600	0.3264
24full	0.0300	2	179	0.0300	4800	0.020833	0.4800	0.3333
24full	0.0300	2	316	0.0300	4800	0.020625	0.5000	0.3264
24full	0.0300	3	42	0.0300	4800	0.011042	0.5600	0.3264
24full	0.0300	3	179	0.0300	4800	0.017083	0.4800	0.3333
24full	0.0300	3	316	0.0300	4800	0.016250	0.5000	0.3264
24full	0.0300	4	42	0.0300	4800	0.016458	0.5600	0.3264
24full	0.0300	4	179	0.0300	4800	0.023333	0.4800	0.3333
24full	0.0300	4	316	0.0300	4800	0.023125	0.5000	0.3264
24full	0.0500	0	42	0.0500	2880	0.013542	0.5300	0.2014
24full	0.0500	0	179	0.0500	2880	0.017708	0.4800	0.2014
24full	0.0500	0	316	0.0500	2880	0.017708	0.5000	0.2014
24full	0.0500	1	42	0.0500	2880	0.013542	0.5600	0.2014
24full	0.0500	1	179	0.0500	2880	0.019444	0.4800	0.2014
24full	0.0500	1	316	0.0500	2880	0.021181	0.5000	0.2014
24full	0.0500	2	42	0.0500	2880	0.010069	0.5600	0.2014
24full	0.0500	2	179	0.0500	2880	0.017014	0.4800	0.2014
24full	0.0500	2	316	0.0500	2880	0.017361	0.5000	0.2014
24full	0.0500	3	42	0.0500	2880	0.014931	0.5600	0.2014
24full	0.0500	3	179	0.0500	2880	0.019444	0.4800	0.2014
24full	0.0500	3	316	0.0500	2880	0.018403	0.5000	0.2014
24full	0.0500	4	42	0.0500	2880	0.012153	0.5600	0.2014
24full	0.0500	4	179	0.0500	2880	0.020833	0.4800	0.2014
24full	0.0500	4	316	0.0500	2880	0.018750	0.5000	0.2014
23_noVmean	0.0050	0	42	0.0050	28800	0.017951	0.5400	0.9236
23_noVmean	0.0050	0	179	0.0050	28800	0.017917	0.5200	0.8889
23_noVmean	0.0050	0	316	0.0050	28800	0.015590	0.5400	0.9306
23_noVmean	0.0050	1	42	0.0050	28800	0.018333	0.5400	0.9444
23_noVmean	0.0050	1	179	0.0050	28800	0.017014	0.5200	0.8889
23_noVmean	0.0050	1	316	0.0050	28800	0.015799	0.5400	0.9236
23_noVmean	0.0050	2	42	0.0050	28800	0.018194	0.5400	0.9167
23_noVmean	0.0050	2	179	0.0050	28800	0.017465	0.5200	0.8889
23_noVmean	0.0050	2	316	0.0050	28800	0.016354	0.5400	0.9375
23_noVmean	0.0050	3	42	0.0050	28800	0.017326	0.5400	0.9444
23_noVmean	0.0050	3	179	0.0050	28800	0.016875	0.5200	0.8889
23_noVmean	0.0050	3	316	0.0050	28800	0.015278	0.5400	0.9375
23_noVmean	0.0050	4	42	0.0050	28800	0.018160	0.5400	0.9236
23_noVmean	0.0050	4	179	0.0050	28800	0.017812	0.5200	0.8889
23_noVmean	0.0050	4	316	0.0050	28800	0.016840	0.5400	0.9236
23_noVmean	0.0100	0	42	0.0100	14400	0.022639	0.5400	0.7986
23_noVmean	0.0100	0	179	0.0100	14400	0.019653	0.4900	0.7569
23_noVmean	0.0100	0	316	0.0100	14400	0.021736	0.5400	0.7847
23_noVmean	0.0100	1	42	0.0100	14400	0.021111	0.5400	0.7986
23_noVmean	0.0100	1	179	0.0100	14400	0.018125	0.4900	0.7639
23_noVmean	0.0100	1	316	0.0100	14400	0.020694	0.5400	0.7708
23_noVmean	0.0100	2	42	0.0100	14400	0.021875	0.5400	0.7986
23_noVmean	0.0100	2	179	0.0100	14400	0.018819	0.4900	0.7569
23_noVmean	0.0100	2	316	0.0100	14400	0.020417	0.5400	0.7500
23_noVmean	0.0100	3	42	0.0100	14400	0.022569	0.5400	0.7778
23_noVmean	0.0100	3	179	0.0100	14400	0.019583	0.4900	0.7778
23_noVmean	0.0100	3	316	0.0100	14400	0.019653	0.5400	0.7639
23_noVmean	0.0100	4	42	0.0100	14400	0.022778	0.5400	0.8125
23_noVmean	0.0100	4	179	0.0100	14400	0.019653	0.4900	0.7917
23_noVmean	0.0100	4	316	0.0100	14400	0.020347	0.5400	0.7639
23_noVmean	0.0144	0	42	0.0144	10000	0.025200	0.5400	0.6319
23_noVmean	0.0144	0	179	0.0144	10000	0.017700	0.4900	0.6389
23_noVmean	0.0144	0	316	0.0144	10000	0.023600	0.5400	0.6250
23_noVmean	0.0144	1	42	0.0144	10000	0.023800	0.4600	0.6319
23_noVmean	0.0144	1	179	0.0144	10000	0.019800	0.4900	0.6389
