rate_label	target_rate	actual_rate_train	actual_rate_test	rho	L_usd	model	tau_star_train	tau_star_test	cost_train_at_tau_star	cost_test_at_tau_star_test	cost_test_at_tau_star_train	transfer_gap_usd_per_dec	transfer_gap_rel_pct	n_train	n_test
0.50%	0.005000	0.005007	0.005047	200	100.000000	XGB-24full	0.035000	0.010000	0.010324	0.195909	0.238560	0.042651	21.770821	49529	9906
0.50%	0.005000	0.005007	0.005047	200	100.000000	XGB-4sensor	0.010000	0.010000	0.141338	0.369339	0.369339	0.000000	0.000000	49529	9906
0.50%	0.005000	0.005007	0.005047	500	250.000000	XGB-20raw	0.025000	0.010000	0.010660	0.400414	0.510600	0.110186	27.517963	49529	9906
0.50%	0.005000	0.005007	0.005047	500	250.000000	XGB-24full	0.035000	0.005000	0.016381	0.409264	0.586833	0.177569	43.387415	49529	9906
0.50%	0.005000	0.005007	0.005047	500	250.000000	XGB-4sensor	0.005000	0.005000	0.215285	0.691315	0.691315	0.000000	0.000000	49529	9906
0.10%	0.001000	0.000993	0.001014	10	5.000000	XGB-20raw	0.060000	0.060000	0.000000	0.004561	0.004561	0.000000	0.000000	49330	9866
0.10%	0.001000	0.000993	0.001014	10	5.000000	XGB-24full	0.055000	0.045000	0.003500	0.008061	0.008061	0.000000	0.000000	49330	9866
0.10%	0.001000	0.000993	0.001014	10	5.000000	XGB-4sensor	0.035000	0.050000	0.005304	0.008162	0.008467	0.000304	3.725273	49330	9866
0.10%	0.001000	0.000993	0.001014	50	25.000000	XGB-20raw	0.060000	0.005000	0.000000	0.021995	0.022806	0.000811	3.686636	49330	9866
0.10%	0.001000	0.000993	0.001014	50	25.000000	XGB-24full	0.055000	0.045000	0.003500	0.026306	0.026306	0.000000	0.000000	49330	9866
0.10%	0.001000	0.000993	0.001014	50	25.000000	XGB-4sensor	0.015000	0.050000	0.008385	0.026407	0.029448	0.003041	11.514944	49330	9866
0.10%	0.001000	0.000993	0.001014	100	50.000000	XGB-20raw	0.060000	0.005000	0.000000	0.042266	0.045611	0.003345	7.913669	49330	9866
0.10%	0.001000	0.000993	0.001014	100	50.000000	XGB-24full	0.055000	0.045000	0.003500	0.049111	0.049111	0.000000	0.000000	49330	9866
0.10%	0.001000	0.000993	0.001014	100	50.000000	XGB-4sensor	0.015000	0.050000	0.010413	0.049213	0.052253	0.003041	6.178802	49330	9866
0.10%	0.001000	0.000993	0.001014	200	100.000000	XGB-20raw	0.060000	0.005000	0.000000	0.082810	0.091222	0.008413	10.159119	49330	9866
0.10%	0.001000	0.000993	0.001014	200	100.000000	XGB-24full	0.055000	0.045000	0.003500	0.094722	0.094722	0.000000	0.000000	49330	9866
0.10%	0.001000	0.000993	0.001014	200	100.000000	XGB-4sensor	0.015000	0.050000	0.014467	0.094824	0.097864	0.003041	3.206735	49330	9866
0.10%	0.001000	0.000993	0.001014	500	250.000000	XGB-20raw	0.060000	0.005000	0.000000	0.204439	0.228056	0.023616	11.551810	49330	9866
0.10%	0.001000	0.000993	0.001014	500	250.000000	XGB-24full	0.055000	0.045000	0.003500	0.231556	0.231556	0.000000	0.000000	49330	9866
0.10%	0.001000	0.000993	0.001014	500	250.000000	XGB-4sensor	0.005000	0.050000	0.024572	0.231657	0.248584	0.016927	7.306836	49330	9866
0.05%	0.000500	0.000507	0.000507	10	5.000000	XGB-20raw	0.030000	0.030000	0.000000	0.002535	0.002535	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	10	5.000000	XGB-24full	0.030000	0.015000	0.003500	0.006035	0.006035	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	10	5.000000	XGB-4sensor	0.040000	0.065000	0.004139	0.006035	0.006086	0.000051	0.840146	49306	9861
0.05%	0.000500	0.000507	0.000507	50	25.000000	XGB-20raw	0.030000	0.030000	0.000000	0.012676	0.012676	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	50	25.000000	XGB-24full	0.030000	0.015000	0.003500	0.016176	0.016176	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	50	25.000000	XGB-4sensor	0.030000	0.065000	0.005802	0.016176	0.016379	0.000203	1.253812	49306	9861
0.05%	0.000500	0.000507	0.000507	100	50.000000	XGB-20raw	0.030000	0.030000	0.000000	0.025352	0.025352	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	100	50.000000	XGB-24full	0.030000	0.015000	0.003500	0.028852	0.028852	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	100	50.000000	XGB-4sensor	0.010000	0.065000	0.006532	0.028852	0.030881	0.002028	7.029543	49306	9861
0.05%	0.000500	0.000507	0.000507	200	100.000000	XGB-20raw	0.030000	0.030000	0.000000	0.050705	0.050705	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	200	100.000000	XGB-24full	0.030000	0.015000	0.003500	0.054205	0.054205	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	200	100.000000	XGB-4sensor	0.010000	0.065000	0.007546	0.054205	0.056233	0.002028	3.741720	49306	9861
0.05%	0.000500	0.000507	0.000507	500	250.000000	XGB-20raw	0.030000	0.030000	0.000000	0.126762	0.126762	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	500	250.000000	XGB-24full	0.030000	0.015000	0.003500	0.130262	0.130262	0.000000	0.000000	49306	9861
0.05%	0.000500	0.000507	0.000507	500	250.000000	XGB-4sensor	0.005000	0.065000	0.009240	0.130262	0.136752	0.006490	4.982431	49306	9861
