cell_id	model	task_slice	G	mean_reward	zvf_overall	max_step_zvf	n_sat_band_steps	sat_band_cell	rollouts_baseline	rollouts_C1	rollouts_C2	rollouts_C3
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e	meta-llama/Llama-3.2-3B	humaneval_subset	16	0.0	1.0	1.0	32	True	512	1024	256	256
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310	meta-llama/Llama-3.2-3B	humaneval_subset	16	0.0	1.0	1.0	32	True	512	1024	256	256
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa	meta-llama/Llama-3.2-3B	humaneval_subset	16	0.0	1.0	1.0	32	True	512	1024	256	256
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.0625	0.875	1.0	28	True	64	120	72	64
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.0625	0.875	1.0	28	True	64	120	72	64
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.015625	0.96875	1.0	31	True	64	126	66	64
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.03125	0.9375	1.0	30	True	64	124	68	64
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.0390625	0.4375	1.0	14	True	1024	1472	1376	800
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.0234375	0.59375	1.0	19	True	1024	1632	1136	720
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.0537109375	0.34375	1.0	11	True	1024	1376	1520	848
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.0390625	0.84375	1.0	27	True	128	236	94	74
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.0546875	0.8125	1.0	26	True	128	232	100	76
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.03125	0.875	1.0	28	True	128	240	88	72
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.0078125	0.96875	1.0	31	True	128	252	70	66
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.01953125	0.625	1.0	20	True	1024	1664	1088	704
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73	meta-llama/Llama-3.2-3B	gsm8k_hard	8	0.03515625	0.8125	1.0	26	True	256	464	200	152
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b	meta-llama/Llama-3.2-3B	gsm8k_hard	8	0.04296875	0.75	1.0	24	True	256	448	224	160
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10	meta-llama/Llama-3.2-3B	gsm8k_hard	8	0.0078125	0.9375	1.0	30	True	256	496	152	136
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3	meta-llama/Llama-3.2-3B	gsm8k_hard	8	0.0234375	0.8125	1.0	26	True	256	464	200	152
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.041015625	0.625	1.0	20	True	512	832	544	352
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.04296875	0.5625	1.0	18	True	512	800	592	368
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.017578125	0.75	1.0	24	True	512	896	448	320
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.078125	0.90625	1.0	29	True	64	122	70	64
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.015625	0.78125	1.0	25	True	512	912	424	312
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.03125	1.0	1.0	32	True	64	128	64	64
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.0	1.0	1.0	32	True	64	128	64	64
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.046875	0.96875	1.0	31	True	64	126	66	64
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.0361328125	0.4375	1.0	14	True	1024	1472	1376	800
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.0380859375	0.5	1.0	16	True	1024	1536	1280	768
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.025390625	0.5	1.0	16	True	1024	1536	1280	768
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	meta-llama/Llama-3.2-3B	gsm8k_easy	4	0.015625	0.9375	1.0	30	True	128	248	76	68
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	meta-llama/Llama-3.2-3B	gsm8k_easy	4	0.0625	0.78125	1.0	25	True	128	228	106	78
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	meta-llama/Llama-3.2-3B	gsm8k_easy	8	0.06640625	0.625	1.0	20	True	256	416	272	176
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	meta-llama/Llama-3.2-3B	gsm8k_easy	8	0.0234375	0.84375	1.0	27	True	256	472	188	148
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	meta-llama/Llama-3.2-3B	gsm8k_easy	16	0.0390625	0.59375	1.0	19	True	512	816	568	360
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	meta-llama/Llama-3.2-3B	gsm8k_easy	16	0.044921875	0.5	1.0	16	True	512	768	640	384
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.0244140625	0.59375	1.0	19	True	1024	1632	1136	720
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	Qwen/Qwen3.5-4B	humaneval_subset	2	0.0	1.0	1.0	32	True	64	128	64	64
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	Qwen/Qwen3.5-4B	humaneval_subset	2	0.0	1.0	1.0	32	True	64	128	64	64
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	Qwen/Qwen3.5-4B	humaneval_subset	2	0.0	1.0	1.0	32	True	64	128	64	64
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	Qwen/Qwen3.5-4B	humaneval_subset	2	0.0	1.0	1.0	32	True	64	128	64	64
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	Qwen/Qwen3.5-4B	humaneval_subset	4	0.0	1.0	1.0	32	True	128	256	64	64
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	Qwen/Qwen3.5-4B	humaneval_subset	4	0.0	1.0	1.0	32	True	128	256	64	64
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	Qwen/Qwen3.5-4B	humaneval_subset	32	0.0	1.0	1.0	32	True	1024	2048	512	512
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	Qwen/Qwen3.5-4B	humaneval_subset	4	0.0	1.0	1.0	32	True	128	256	64	64
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	Qwen/Qwen3.5-4B	humaneval_subset	4	0.0	1.0	1.0	32	True	128	256	64	64
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	Qwen/Qwen3.5-4B	humaneval_subset	8	0.0	1.0	1.0	32	True	256	512	128	128
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	Qwen/Qwen3.5-4B	humaneval_subset	8	0.0	1.0	1.0	32	True	256	512	128	128
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	Qwen/Qwen3.5-4B	humaneval_subset	8	0.0	1.0	1.0	32	True	256	512	128	128
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	Qwen/Qwen3.5-4B	humaneval_subset	8	0.0	1.0	1.0	32	True	256	512	128	128
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	Qwen/Qwen3.5-4B	humaneval_subset	16	0.0	1.0	1.0	32	True	512	1024	256	256
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	Qwen/Qwen3.5-4B	humaneval_subset	16	0.0	1.0	1.0	32	True	512	1024	256	256
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	Qwen/Qwen3.5-4B	humaneval_subset	16	0.0	1.0	1.0	32	True	512	1024	256	256
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.828125	0.78125	1.0	25	True	64	114	78	64
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.90625	0.9375	1.0	30	True	64	124	68	64
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	Qwen/Qwen3.5-4B	humaneval_subset	16	0.0	1.0	1.0	32	True	512	1024	256	256
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.796875	0.84375	1.0	27	True	64	118	74	64
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.875	0.8125	1.0	26	True	64	116	76	64
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.8212890625	0.59375	1.0	19	True	1024	1632	1136	720
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.81640625	0.65625	1.0	21	True	1024	1696	1040	688
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.8173828125	0.34375	1.0	11	True	1024	1376	1520	848
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.845703125	0.65625	1.0	21	True	1024	1696	1040	688
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.9453125	0.90625	1.0	29	True	128	244	82	70
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.796875	0.75	1.0	24	True	128	224	112	80
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.7734375	0.6875	1.0	22	True	128	216	124	84
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.8125	0.71875	1.0	23	True	128	220	118	82
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	Qwen/Qwen3.5-4B	gsm8k_hard	8	0.90625	0.8125	1.0	26	True	256	464	200	152
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	Qwen/Qwen3.5-4B	gsm8k_hard	8	0.84765625	0.75	1.0	24	True	256	448	224	160
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	Qwen/Qwen3.5-4B	gsm8k_hard	8	0.79296875	0.625	1.0	20	True	256	416	272	176
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	Qwen/Qwen3.5-4B	gsm8k_hard	8	0.83203125	0.6875	1.0	22	True	256	432	248	168
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	Qwen/Qwen3.5-4B	gsm8k_hard	16	0.77734375	0.53125	1.0	17	True	512	784	616	376
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	Qwen/Qwen3.5-4B	gsm8k_hard	16	0.76171875	0.5	1.0	16	True	512	768	640	384
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	Qwen/Qwen3.5-4B	gsm8k_hard	16	0.90234375	0.71875	1.0	23	True	512	880	472	328
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	Qwen/Qwen3.5-4B	gsm8k_hard	16	0.775390625	0.53125	1.0	17	True	512	784	616	376
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	Qwen/Qwen3.5-4B	gsm8k_easy	2	0.8125	0.875	1.0	28	True	64	120	72	64
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	Qwen/Qwen3.5-4B	gsm8k_easy	2	0.84375	0.8125	1.0	26	True	64	116	76	64
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	Qwen/Qwen3.5-4B	gsm8k_easy	2	0.890625	0.84375	1.0	27	True	64	118	74	64
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	Qwen/Qwen3.5-4B	gsm8k_easy	2	0.84375	0.9375	1.0	30	True	64	124	68	64
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	Qwen/Qwen3.5-4B	gsm8k_easy	32	0.8271484375	0.5	1.0	16	True	1024	1536	1280	768
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	Qwen/Qwen3.5-4B	gsm8k_easy	32	0.734375	0.46875	1.0	15	True	1024	1504	1328	784
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	Qwen/Qwen3.5-4B	gsm8k_easy	32	0.7900390625	0.4375	1.0	14	True	1024	1472	1376	800
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	Qwen/Qwen3.5-4B	gsm8k_easy	4	0.75	0.8125	1.0	26	True	128	232	100	76
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	Qwen/Qwen3.5-4B	gsm8k_easy	32	0.7939453125	0.46875	1.0	15	True	1024	1504	1328	784
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	Qwen/Qwen3.5-4B	gsm8k_easy	4	0.8046875	0.71875	1.0	23	True	128	220	118	82
