decile	cost_ratio	contrast	mean_gap	lo	hi	mean_target	mean_20raw	ci_negative	ci_positive
8	1000	24full-20raw	-0.005600	-0.009620	-0.000800	0.008200	0.013800	1	0
8	1000	4sensor-20raw	0.092200	0.071800	0.114800	0.106000	0.013800	0	1
8	10000	24full-20raw	-0.005600	-0.009600	-0.000800	0.008200	0.013800	1	0
8	10000	4sensor-20raw	0.092200	0.071800	0.112600	0.106000	0.013800	0	1
9	1	24full-20raw	-0.003600	-0.004400	-0.002600	0.000000	0.003600	1	0
9	1	4sensor-20raw	-0.001600	-0.002800	-0.000200	0.002000	0.003600	1	0
9	10	24full-20raw	-0.004600	-0.005800	-0.003600	0.000000	0.004600	1	0
9	10	4sensor-20raw	0.003200	-0.000600	0.006000	0.007800	0.004600	0	0
9	100	24full-20raw	-0.004600	-0.005800	-0.003600	0.000000	0.004600	1	0
9	100	4sensor-20raw	0.007000	-0.000200	0.016000	0.011600	0.004600	0	0
9	1000	24full-20raw	-0.004600	-0.005800	-0.003600	0.000000	0.004600	1	0
9	1000	4sensor-20raw	0.007000	-0.000200	0.016000	0.011600	0.004600	0	0
9	10000	24full-20raw	-0.004600	-0.005800	-0.003600	0.000000	0.004600	1	0
9	10000	4sensor-20raw	0.007000	-0.000200	0.016000	0.011600	0.004600	0	0
