controller	method	step	fired	zvf_obs	Gstar	zvf_target	cost_ratio	delta_z	net_benefit
STATIC_G16	areal	11	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
STATIC_G16	areal	12	1	0.8125	16	0.8126	2.0000	-0.0001	-0.5001
STATIC_G16	areal	13	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	areal	14	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	15	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	16	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	areal	17	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
STATIC_G16	areal	18	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	areal	19	1	0.7500	16	0.7513	2.0000	-0.0013	-0.5013
STATIC_G16	areal	20	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	21	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	22	1	0.8125	16	0.8273	2.0000	-0.0148	-0.5148
STATIC_G16	areal	23	1	0.8125	16	0.8205	2.0000	-0.0080	-0.5080
STATIC_G16	areal	24	1	0.8750	16	0.8830	2.0000	-0.0080	-0.5080
STATIC_G16	areal	25	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	areal	26	1	0.8750	16	0.8757	2.0000	-0.0007	-0.5007
STATIC_G16	areal	27	1	0.9375	16	0.9381	2.0000	-0.0006	-0.5006
STATIC_G16	areal	28	1	0.8750	16	0.8824	2.0000	-0.0074	-0.5074
STATIC_G16	areal	29	1	0.8125	16	0.8273	2.0000	-0.0148	-0.5148
STATIC_G16	areal	30	1	0.7500	16	0.7654	2.0000	-0.0154	-0.5154
STATIC_G16	areal	31	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	areal	32	1	0.7500	16	0.7581	2.0000	-0.0081	-0.5081
STATIC_G16	areal	33	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	areal	34	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	35	1	0.8125	16	0.8279	2.0000	-0.0154	-0.5154
STATIC_G16	areal	36	1	0.7500	16	0.7654	2.0000	-0.0154	-0.5154
STATIC_G16	areal	37	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	38	1	0.8125	16	0.8205	2.0000	-0.0080	-0.5080
STATIC_G16	areal	39	1	0.7500	16	0.7587	2.0000	-0.0087	-0.5087
DUALFORMER_AUTO_d4	grpo	0	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	1	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	2	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	3	1	0.7500	12	0.7791	1.5000	-0.0291	-0.2791
DUALFORMER_AUTO_d4	grpo	4	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	5	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	6	1	0.8125	12	0.8273	1.5000	-0.0148	-0.2648
DUALFORMER_AUTO_d4	grpo	7	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	8	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	9	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	10	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	11	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	12	1	0.8125	12	0.8167	1.5000	-0.0042	-0.2542
DUALFORMER_AUTO_d4	grpo	13	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	14	1	0.7500	12	0.7772	1.5000	-0.0272	-0.2772
DUALFORMER_AUTO_d4	grpo	15	1	0.7500	12	0.7631	1.5000	-0.0131	-0.2631
DUALFORMER_AUTO_d4	grpo	16	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	17	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	18	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	19	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	grpo	20	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
