cost_llm	cost_ratio	rate	tree	rule	n_test_eff	n_llm_calls	n_pos_caught_at_K	cpd_usd	cpf_usd
0.003	30.0	0.0005	XGB-4sensor	absolute_band	10000	0	2	0.0001	0.5
0.01	100.0	0.0144	XGB-20raw	xgb_only	10000	0	141	0.0001	0.0070921985815602835
0.01	100.0	0.0144	XGB-20raw	gradient_band	10000	9	141	0.00010891	0.007724113475177305
0.01	100.0	0.0144	XGB-20raw	absolute_band	10000	21	141	0.00012079	0.008566666666666667
0.01	100.0	0.0144	XGB-24full	xgb_only	10000	0	143	0.0001	0.006993006993006993
0.01	100.0	0.0144	XGB-24full	gradient_band	10000	9	143	0.00010891	0.007616083916083915
0.01	100.0	0.0144	XGB-24full	absolute_band	10000	22	143	0.00012178	0.008516083916083916
0.01	100.0	0.0144	XGB-4sensor	xgb_only	10000	0	78	0.0001	0.01282051282051282
0.01	100.0	0.0144	XGB-4sensor	gradient_band	10000	39	78	0.00013861	0.017770512820512823
0.01	100.0	0.0144	XGB-4sensor	absolute_band	10000	1	78	0.00010099000000000001	0.012947435897435898
0.01	100.0	0.01	XGB-20raw	xgb_only	10000	0	100	0.0001	0.01
0.01	100.0	0.01	XGB-20raw	gradient_band	10000	16	100	0.00011584000000000002	0.011584
0.01	100.0	0.01	XGB-20raw	absolute_band	10000	14	100	0.00011386000000000001	0.011386
0.01	100.0	0.01	XGB-24full	xgb_only	10000	0	99	0.0001	0.010101010101010102
0.01	100.0	0.01	XGB-24full	gradient_band	10000	16	99	0.00011584000000000002	0.011701010101010103
0.01	100.0	0.01	XGB-24full	absolute_band	10000	12	99	0.00011188	0.011301010101010102
0.01	100.0	0.01	XGB-4sensor	xgb_only	10000	0	56	0.0001	0.017857142857142856
0.01	100.0	0.01	XGB-4sensor	gradient_band	10000	42	56	0.00014157999999999998	0.025282142857142857
0.01	100.0	0.01	XGB-4sensor	absolute_band	10000	0	56	0.0001	0.017857142857142856
0.01	100.0	0.005	XGB-20raw	xgb_only	10000	0	50	0.0001	0.02
0.01	100.0	0.005	XGB-20raw	gradient_band	10000	33	50	0.00013267	0.026534
0.01	100.0	0.005	XGB-20raw	absolute_band	10000	7	50	0.00010693	0.021386
0.01	100.0	0.005	XGB-24full	xgb_only	10000	0	50	0.0001	0.02
0.01	100.0	0.005	XGB-24full	gradient_band	10000	40	50	0.00013959999999999998	0.027919999999999997
