axis	stratum	n_stratum	noise_sigma	k_pct	delta_median	delta_lo	delta_hi	sig_unfavorable
V_mean_q	1	2000	0.25	3.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.5	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.5	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.5	3.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	2	2000	0.0	1.5	-0.0035000000000000586	-0.10350000000000015	0.09650000000000003	False
V_mean_q	2	2000	0.0	2.0	-0.0034999999999998366	-0.0535000000000001	0.14650000000000007	False
V_mean_q	2	2000	0.0	3.0	0.046499999999999986	-0.0035000000000000586	0.14674999999999994	False
V_mean_q	2	2000	0.05	1.5	-0.0035000000000000586	-0.10350000000000015	0.09650000000000003	False
V_mean_q	2	2000	0.05	2.0	-0.0034999999999998366	-0.0535000000000001	0.14650000000000007	False
V_mean_q	2	2000	0.05	3.0	0.046499999999999986	-0.0035000000000000586	0.14674999999999994	False
V_mean_q	2	2000	0.1	1.5	-0.0035000000000000586	-0.10350000000000015	0.14649999999999985	False
V_mean_q	2	2000	0.1	2.0	0.046499999999999986	-0.0535000000000001	0.14650000000000007	False
V_mean_q	2	2000	0.1	3.0	0.046499999999999986	-0.0035000000000000586	0.14674999999999994	False
V_mean_q	2	2000	0.25	1.5	-0.0035000000000000586	-0.10350000000000015	0.14649999999999985	False
V_mean_q	2	2000	0.25	2.0	0.046499999999999986	-0.0535000000000001	0.14650000000000007	False
V_mean_q	2	2000	0.25	3.0	0.046499999999999986	-0.0035000000000000586	0.14674999999999994	False
V_mean_q	2	2000	0.5	1.5	-0.0035000000000000586	-0.10350000000000015	0.14649999999999985	False
V_mean_q	2	2000	0.5	2.0	0.046499999999999986	-0.05349999999999966	0.14650000000000007	False
V_mean_q	2	2000	0.5	3.0	0.046499999999999986	-0.0035000000000000586	0.14675000000000038	False
V_mean_q	3	2000	0.0	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.0	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.0	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.003249999999999531	False
V_mean_q	3	2000	0.05	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.05	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.05	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.003249999999999531	False
V_mean_q	3	2000	0.1	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.1	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.1	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.003249999999999531	False
V_mean_q	3	2000	0.25	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.25	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.25	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.003249999999999975	False
V_mean_q	3	2000	0.5	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.5	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
V_mean_q	3	2000	0.5	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.003249999999999531	False
V_mean_q	4	2000	0.0	1.5	-0.0034999999999998366	-0.15350000000000108	0.04774999999999974	False
V_mean_q	4	2000	0.0	2.0	-0.05349999999999966	-0.20350000000000001	-0.002749999999999808	False
V_mean_q	4	2000	0.0	3.0	-0.05250000000000021	-0.15300000000000047	-0.0019999999999997797	False
V_mean_q	4	2000	0.05	1.5	-0.0034999999999998366	-0.15350000000000108	0.04774999999999974	False
V_mean_q	4	2000	0.05	2.0	-0.05349999999999966	-0.20350000000000001	-0.002749999999999808	False
V_mean_q	4	2000	0.05	3.0	-0.05250000000000021	-0.15300000000000047	-0.0017500000000012506	False
V_mean_q	4	2000	0.1	1.5	-0.0034999999999998366	-0.15350000000000108	0.04750000000000032	False
V_mean_q	4	2000	0.1	2.0	-0.05349999999999966	-0.20350000000000001	-0.002749999999999808	False
V_mean_q	4	2000	0.1	3.0	-0.05250000000000021	-0.15300000000000047	-0.0019999999999997797	False
V_mean_q	4	2000	0.25	1.5	-0.0034999999999998366	-0.20349999999999913	0.04774999999999974	False
V_mean_q	4	2000	0.25	2.0	-0.05349999999999966	-0.20350000000000001	-0.002749999999999808	False
V_mean_q	4	2000	0.25	3.0	-0.05250000000000021	-0.15300000000000047	-0.0019999999999997797	False
V_mean_q	4	2000	0.5	1.5	-0.0034999999999998366	-0.15350000000000108	0.04750000000000032	False
V_mean_q	4	2000	0.5	2.0	-0.05349999999999966	-0.20350000000000001	-0.0027500000000006963	False
V_mean_q	4	2000	0.5	3.0	-0.05274999999999963	-0.1532499999999999	-0.002249999999999197	False
Amount_q	2	2000	0.0	1.5	-0.0034999999999999476	-0.0035000000000000586	0.09650000000000003	False
Amount_q	2	2000	0.0	2.0	-0.0034999999999999476	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.0	3.0	0.046499999999999986	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.05	1.5	-0.0034999999999999476	-0.0035000000000000586	0.09650000000000003	False
Amount_q	2	2000	0.05	2.0	-0.0034999999999999476	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.05	3.0	0.046499999999999986	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.1	1.5	-0.0034999999999999476	-0.0035000000000000586	0.09700000000000009	False
Amount_q	2	2000	0.1	2.0	0.046499999999999986	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.1	3.0	0.046499999999999986	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.25	1.5	-0.0034999999999999476	-0.0035000000000000586	0.09650000000000003	False
Amount_q	2	2000	0.25	2.0	0.046499999999999986	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.25	3.0	0.046499999999999986	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.5	1.5	-0.0034999999999999476	-0.0035000000000000586	0.09700000000000009	False
Amount_q	2	2000	0.5	2.0	0.046499999999999986	-0.003500000000000003	0.14650000000000007	False
Amount_q	2	2000	0.5	3.0	0.046499999999999986	-0.003500000000000003	0.14650000000000007	False
Amount_q	3	2000	0.0	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.0	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.0	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.05	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.05	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.05	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.1	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.1	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.1	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.25	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.25	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.25	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.5	1.5	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.5	2.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	3	2000	0.5	3.0	-0.0034999999999998366	-0.0034999999999998366	-0.0034999999999998366	False
Amount_q	4	2000	0.0	1.5	-0.0035000000000007248	-0.15350000000000108	0.046499999999999986	False
Amount_q	4	2000	0.0	2.0	-0.05349999999999966	-0.2035000000000018	0.046499999999999986	False
Amount_q	4	2000	0.0	3.0	-0.053500000000001435	-0.15350000000000108	-0.0035000000000007248	False
Amount_q	4	2000	0.05	1.5	-0.0035000000000007248	-0.15350000000000108	0.046499999999999986	False
Amount_q	4	2000	0.05	2.0	-0.05349999999999966	-0.2035000000000018	0.046499999999999986	False
Amount_q	4	2000	0.05	3.0	-0.053500000000001435	-0.15350000000000108	-0.0035000000000007248	False
Amount_q	4	2000	0.1	1.5	-0.0035000000000007248	-0.15350000000000108	0.046499999999999986	False
Amount_q	4	2000	0.1	2.0	-0.05349999999999966	-0.2035000000000018	0.046499999999999986	False
Amount_q	4	2000	0.1	3.0	-0.053500000000001435	-0.15350000000000108	-0.0035000000000007248	False
Amount_q	4	2000	0.25	1.5	-0.0035000000000007248	-0.15350000000000108	0.046499999999999986	False
Amount_q	4	2000	0.25	2.0	-0.05349999999999966	-0.2035000000000018	0.046499999999999986	False
Amount_q	4	2000	0.25	3.0	-0.053500000000001435	-0.15350000000000108	-0.0035000000000007248	False
Amount_q	4	2000	0.5	1.5	-0.0035000000000007248	-0.15350000000000108	0.046499999999999986	False
Amount_q	4	2000	0.5	2.0	-0.05349999999999966	-0.2035000000000018	0.046499999999999986	False
Amount_q	4	2000	0.5	3.0	-0.053500000000001435	-0.15350000000000108	-0.0035000000000007248	False
Time_t	0	3334	0.0	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.003050089982003623	False
Time_t	0	3334	0.0	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.003050089982003623	False
Time_t	0	3334	0.0	3.0	-0.003050089982003623	-0.0035000000000000586	-0.002450209958008376	False
Time_t	0	3334	0.05	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.003050089982003623	False
Time_t	0	3334	0.05	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.003050089982003623	False
Time_t	0	3334	0.05	3.0	-0.003050089982003623	-0.0035000000000000586	-0.002450209958008376	False
Time_t	0	3334	0.1	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.003050089982003623	False
Time_t	0	3334	0.1	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.003050089982003623	False
Time_t	0	3334	0.1	3.0	-0.003050089982003623	-0.0035000000000000586	-0.002450209958008376	False
Time_t	0	3334	0.25	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.003050089982003623	False
Time_t	0	3334	0.25	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.003200059988002435	False
Time_t	0	3334	0.25	3.0	-0.003050089982003623	-0.0035000000000000586	-0.002450209958008265	False
Time_t	0	3334	0.5	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.003050089982003623	False
Time_t	0	3334	0.5	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.003200059988002435	False
Time_t	0	3334	0.5	3.0	-0.003200059988002324	-0.0035000000000000586	-0.0026001799640071876	False
Time_t	1	3333	0.0	1.5	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.0	2.0	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.0	3.0	-0.0034999999999998366	-0.0035000000000000586	-0.003199969996999563	False
Time_t	1	3333	0.05	1.5	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.05	2.0	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.05	3.0	-0.0034999999999998366	-0.0035000000000000586	-0.003199969996999563	False
Time_t	1	3333	0.1	1.5	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.1	2.0	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.1	3.0	-0.0034999999999998366	-0.0035000000000000586	-0.0030499549954994265	False
Time_t	1	3333	0.25	1.5	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.25	2.0	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.25	3.0	-0.0034999999999998366	-0.0035000000000000586	-0.003199969996999563	False
Time_t	1	3333	0.5	1.5	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.5	2.0	-0.0034999999999998366	-0.0035000000000000586	-0.0034999999999998366	False
Time_t	1	3333	0.5	3.0	-0.0034999999999998366	-0.0035000000000000586	-0.003199969996999563	False
Time_t	2	3333	0.0	1.5	-0.0034999999999998366	-0.06350600060005984	0.08650900090009017	False
Time_t	2	3333	0.0	2.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.0	3.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.05	1.5	-0.0034999999999998366	-0.06350600060005984	0.08650900090009017	False
Time_t	2	3333	0.05	2.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.05	3.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.1	1.5	0.026503000300030166	-0.06350600060005984	0.11651200120012017	False
Time_t	2	3333	0.1	2.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.1	3.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.25	1.5	-0.0034999999999998366	-0.06350600060005984	0.08650900090009017	False
Time_t	2	3333	0.25	2.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.25	3.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.5	1.5	-0.0034999999999998366	-0.06350600060005984	0.11651200120012017	False
Time_t	2	3333	0.5	2.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
Time_t	2	3333	0.5	3.0	-0.0034999999999998366	-0.09350900090008984	0.08650900090009017	False
