entry_id	framework	openness	label_claimed	item	frac_reported	schema_ok	badge
verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	loss_form	0.167	1	60
verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	reference_kl	1.0	1	60
verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	sampler_backend	1.0	1	60
verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	telemetry	0.0	1	60
verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	group_size_schedule	1.0	1	60
verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	heldout_split	1.0	1	60
verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	decontamination	0.0	1	60
zvf130_cppo	worktree-zvf130-batch	open	cppo	loss_form	0.0	1	43
zvf130_cppo	worktree-zvf130-batch	open	cppo	reference_kl	0.0	1	43
zvf130_cppo	worktree-zvf130-batch	open	cppo	sampler_backend	1.0	1	43
zvf130_cppo	worktree-zvf130-batch	open	cppo	telemetry	1.0	1	43
zvf130_cppo	worktree-zvf130-batch	open	cppo	group_size_schedule	0.0	1	43
zvf130_cppo	worktree-zvf130-batch	open	cppo	heldout_split	1.0	1	43
zvf130_cppo	worktree-zvf130-batch	open	cppo	decontamination	0.0	1	43
zvf130_es	worktree-zvf130-batch	open	es	loss_form	0.0	1	43
zvf130_es	worktree-zvf130-batch	open	es	reference_kl	0.0	1	43
zvf130_es	worktree-zvf130-batch	open	es	sampler_backend	1.0	1	43
zvf130_es	worktree-zvf130-batch	open	es	telemetry	1.0	1	43
zvf130_es	worktree-zvf130-batch	open	es	group_size_schedule	0.0	1	43
zvf130_es	worktree-zvf130-batch	open	es	heldout_split	1.0	1	43
zvf130_es	worktree-zvf130-batch	open	es	decontamination	0.0	1	43
zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	loss_form	0.0	1	43
zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	reference_kl	0.0	1	43
zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	sampler_backend	1.0	1	43
