source	target	tau	is_source_self	is_source_selected	fires	cost_ratio	cost_ratio_ci_lo	cost_ratio_ci_hi	saved	wasted
gift	grpo	0.75	0	0	20	1.5000	1.3500	1.6500	0	258
gift	grpo	0.80	0	0	12	1.3000	1.1500	1.4500	0	162
gift	grpo	0.85	0	0	4	1.1000	1.0250	1.2000	0	58
gift	grpo	0.90	0	0	2	1.0500	1.0000	1.1250	0	30
gift	aero	0.50	0	0	38	1.9500	1.8750	2.0000	0	439
gift	aero	0.60	0	0	33	1.8250	1.7000	1.9500	0	394
gift	aero	0.65	0	0	26	1.6500	1.5000	1.8000	0	324
gift	aero	0.70	0	0	19	1.4750	1.3250	1.6250	0	247
gift	aero	0.75	0	0	19	1.4750	1.3250	1.6250	0	247
gift	aero	0.80	0	0	14	1.3500	1.2000	1.4750	0	187
gift	aero	0.85	0	0	4	1.1000	1.0250	1.2000	0	57
gift	aero	0.90	0	0	1	1.0250	1.0000	1.0750	0	15
gift	gift	0.50	1	0	38	1.9500	1.8750	2.0000	0	472
gift	gift	0.60	1	0	36	1.9000	1.8000	1.9750	0	454
gift	gift	0.65	1	0	29	1.7250	1.6000	1.8750	0	384
gift	gift	0.70	1	0	25	1.6250	1.4750	1.7750	0	340
gift	gift	0.75	1	0	25	1.6250	1.4750	1.7750	0	340
gift	gift	0.80	1	0	17	1.4250	1.2750	1.5750	0	244
gift	gift	0.85	1	0	14	1.3500	1.2000	1.5000	0	205
gift	gift	0.90	1	0	8	1.2000	1.0750	1.3250	0	121
gift	areal	0.50	0	0	38	1.9500	1.8750	2.0000	0	433
gift	areal	0.60	0	0	32	1.8000	1.6750	1.9250	0	382
gift	areal	0.65	0	0	28	1.7000	1.5500	1.8500	0	342
gift	areal	0.70	0	0	17	1.4250	1.2750	1.5750	0	221
gift	areal	0.75	0	0	17	1.4250	1.2750	1.5750	0	221
gift	areal	0.80	0	0	11	1.2750	1.1500	1.4250	0	149
gift	areal	0.85	0	0	5	1.1250	1.0250	1.2250	0	71
gift	areal	0.90	0	0	1	1.0250	1.0000	1.0750	0	15
areal	grpo	0.50	0	0	38	1.9500	1.8750	2.0000	0	442
areal	grpo	0.60	0	0	33	1.8250	1.7000	1.9250	0	398
areal	grpo	0.65	0	0	30	1.7500	1.6250	1.8750	0	368
areal	grpo	0.70	0	0	20	1.5000	1.3500	1.6500	0	258
areal	grpo	0.75	0	0	20	1.5000	1.3500	1.6500	0	258
areal	grpo	0.80	0	0	12	1.3000	1.1750	1.4500	0	162
areal	grpo	0.85	0	0	4	1.1000	1.0250	1.2000	0	58
areal	grpo	0.90	0	0	2	1.0500	1.0000	1.1250	0	30
areal	aero	0.50	0	0	38	1.9500	1.8750	2.0000	0	439
areal	aero	0.60	0	0	33	1.8250	1.7000	1.9250	0	394
areal	aero	0.65	0	0	26	1.6500	1.5000	1.8000	0	324
areal	aero	0.70	0	0	19	1.4750	1.3250	1.6250	0	247
areal	aero	0.75	0	0	19	1.4750	1.3250	1.6250	0	247
areal	aero	0.80	0	0	14	1.3500	1.2000	1.5000	0	187
areal	aero	0.85	0	0	4	1.1000	1.0250	1.2000	0	57
areal	aero	0.90	0	0	1	1.0250	1.0000	1.0750	0	15
areal	gift	0.50	0	0	38	1.9500	1.8750	2.0000	0	472
areal	gift	0.60	0	0	36	1.9000	1.8000	1.9750	0	454
areal	gift	0.65	0	0	29	1.7250	1.5750	1.8500	0	384
areal	gift	0.70	0	0	25	1.6250	1.4750	1.7750	0	340
areal	gift	0.75	0	0	25	1.6250	1.4750	1.7750	0	340
areal	gift	0.80	0	0	17	1.4250	1.2750	1.5750	0	244
areal	gift	0.85	0	0	14	1.3500	1.2000	1.5000	0	205
areal	gift	0.90	0	0	8	1.2000	1.0750	1.3250	0	121
areal	areal	0.50	1	0	38	1.9500	1.8750	2.0000	0	433
areal	areal	0.60	1	0	32	1.8000	1.6750	1.9250	0	382
areal	areal	0.65	1	0	28	1.7000	1.5500	1.8250	0	342
areal	areal	0.70	1	0	17	1.4250	1.2750	1.5750	0	221
areal	areal	0.75	1	0	17	1.4250	1.2750	1.5750	0	221
areal	areal	0.80	1	0	11	1.2750	1.1500	1.4250	0	149
areal	areal	0.85	1	0	5	1.1250	1.0250	1.2250	0	71
areal	areal	0.90	1	0	1	1.0250	1.0000	1.0750	0	15
