seed	rate_pct	fset	tier	utility	opt_tau	n_pos_te	tp	fp	alerted	fn	precision	recall	f1	cost_per_caught
20260706	1.44	20raw+minmax	mid_tier	VALUE	0.476	144	144	238	382	0	0.3769633507853403	1.0	0.5475285171102662	0.01326388888888889
20260706	1.44	20raw+minmax	mid_tier	PREC_CONSTRAINED	0.556	144	142	140	282	2	0.5035460992907801	0.9861111111111112	0.6666666666666666	0.009929577464788732
20260706	1.44	20raw+minmax	mid_tier	COST_CONSTRAINED	0.001	144	144	9849	9993	0	0.01441008706094266	1.0	0.028410772417875107	0.34697916666666667
20260706	1.44	20raw+minmax	frontier_gpt4	F1	0.766	144	122	28	150	22	0.8133333333333334	0.8472222222222222	0.8299319727891157	0.036885245901639344
20260706	1.44	20raw+minmax	frontier_gpt4	VALUE	0.476	144	144	238	382	0	0.3769633507853403	1.0	0.5475285171102662	0.07958333333333333
20260706	1.44	20raw+minmax	frontier_gpt4	PREC_CONSTRAINED	0.556	144	142	140	282	2	0.5035460992907801	0.9861111111111112	0.6666666666666666	0.05957746478873239
20260706	1.44	20raw+minmax	frontier_gpt4	COST_CONSTRAINED	0.001	144	144	9849	9993	0	0.01441008706094266	1.0	0.028410772417875107	2.0818749999999997
20260706	1.44	20raw+stat	cheap_heuristic	F1	0.751	144	124	34	158	20	0.7848101265822784	0.8611111111111112	0.8211920529801324	0.0001274193548387097
20260706	1.44	20raw+stat	cheap_heuristic	VALUE	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.0002
20260706	1.44	20raw+stat	cheap_heuristic	PREC_CONSTRAINED	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.0002
20260706	1.44	20raw+stat	cheap_heuristic	COST_CONSTRAINED	0.001	144	144	9844	9988	0	0.014417300760913096	1.0	0.028424792735886297	0.006936111111111112
20260706	1.44	20raw+stat	small_open	F1	0.751	144	124	34	158	20	0.7848101265822784	0.8611111111111112	0.8211920529801324	0.000764516129032258
20260706	1.44	20raw+stat	small_open	VALUE	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.0012
20260706	1.44	20raw+stat	small_open	PREC_CONSTRAINED	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.0012
20260706	1.44	20raw+stat	small_open	COST_CONSTRAINED	0.001	144	144	9844	9988	0	0.014417300760913096	1.0	0.028424792735886297	0.04161666666666666
20260706	1.44	20raw+stat	iter120_default	F1	0.751	144	124	34	158	20	0.7848101265822784	0.8611111111111112	0.8211920529801324	0.0012741935483870969
20260706	1.44	20raw+stat	iter120_default	VALUE	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.002
20260706	1.44	20raw+stat	iter120_default	PREC_CONSTRAINED	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.002
20260706	1.44	20raw+stat	iter120_default	COST_CONSTRAINED	0.001	144	144	9844	9988	0	0.014417300760913096	1.0	0.028424792735886297	0.06936111111111111
20260706	1.44	20raw+stat	mid_tier	F1	0.751	144	124	34	158	20	0.7848101265822784	0.8611111111111112	0.8211920529801324	0.006370967741935484
20260706	1.44	20raw+stat	mid_tier	VALUE	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.01
20260706	1.44	20raw+stat	mid_tier	PREC_CONSTRAINED	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.01
20260706	1.44	20raw+stat	mid_tier	COST_CONSTRAINED	0.001	144	144	9844	9988	0	0.014417300760913096	1.0	0.028424792735886297	0.34680555555555553
20260706	1.44	20raw+stat	frontier_gpt4	F1	0.751	144	124	34	158	20	0.7848101265822784	0.8611111111111112	0.8211920529801324	0.03822580645161291
20260706	1.44	20raw+stat	frontier_gpt4	VALUE	0.576	144	144	144	288	0	0.5	1.0	0.6666666666666666	0.060000000000000005
