method	step	mean_dH	max_dH	eta	bits_per_rollout	n_boundary	n_mid_edge
areal	39	0.389138	0.421731	0.922716	0.048642	12	4
gift	0	0.390006	0.422757	0.922530	0.048751	12	4
gift	1	0.395491	0.422757	0.935504	0.049436	9	7
gift	2	0.388992	0.408867	0.951390	0.048624	11	5
gift	3	0.394903	0.418057	0.944615	0.049363	9	7
gift	4	0.390945	0.421731	0.927001	0.048868	11	5
gift	5	0.391603	0.421731	0.928561	0.048950	10	6
gift	6	0.389368	0.421731	0.923262	0.048671	12	4
gift	7	0.390141	0.418057	0.933224	0.048768	11	5
gift	8	0.393620	0.422757	0.931079	0.049203	10	6
gift	9	0.392177	0.421731	0.929922	0.049022	10	6
gift	10	0.388054	0.422757	0.917913	0.048507	12	4
gift	11	0.393965	0.422757	0.931895	0.049246	10	6
gift	12	0.389138	0.421731	0.922716	0.048642	12	4
gift	13	0.397099	0.422757	0.939308	0.049637	9	7
gift	14	0.387051	0.422757	0.915540	0.048381	13	3
gift	15	0.393046	0.422757	0.929721	0.049131	10	6
gift	16	0.393326	0.421731	0.932647	0.049166	10	6
gift	17	0.390658	0.422757	0.924072	0.048832	12	4
gift	18	0.393850	0.422757	0.931623	0.049231	10	6
gift	19	0.388628	0.422757	0.919270	0.048578	12	4
gift	20	0.391303	0.422757	0.925598	0.048913	11	5
gift	21	0.389368	0.421731	0.923262	0.048671	12	4
gift	22	0.384376	0.421731	0.911425	0.048047	14	2
gift	23	0.384376	0.421731	0.911425	0.048047	14	2
gift	24	0.383572	0.408867	0.938134	0.047947	14	2
gift	25	0.390006	0.422757	0.922530	0.048751	12	4
gift	26	0.386183	0.421731	0.915709	0.048273	13	3
gift	27	0.382339	0.418057	0.914562	0.047792	15	1
gift	28	0.384146	0.418057	0.918884	0.048018	14	2
gift	29	0.382569	0.421731	0.907140	0.047821	15	1
gift	30	0.385014	0.422757	0.910722	0.048127	14	2
gift	31	0.381765	0.408867	0.933714	0.047721	15	1
gift	32	0.388793	0.421731	0.921898	0.048599	12	4
gift	33	0.381765	0.408867	0.933714	0.047721	15	1
gift	34	0.379958	0.379958	1.000000	0.047495	16	0
gift	35	0.381765	0.408867	0.933714	0.047721	15	1
gift	36	0.382633	0.422757	0.905090	0.047829	15	1
gift	37	0.384376	0.421731	0.911425	0.048047	14	2
gift	38	0.382569	0.421731	0.907140	0.047821	15	1
gift	39	0.387625	0.422757	0.916898	0.048453	13	3
grpo	0	0.389567	0.418057	0.931851	0.048696	11	5
grpo	1	0.398166	0.422757	0.941832	0.049771	8	8
grpo	2	0.391009	0.422757	0.924902	0.048876	11	5
grpo	3	0.388334	0.418057	0.928902	0.048542	12	4
grpo	4	0.391584	0.422757	0.926263	0.048948	11	5
grpo	5	0.391303	0.422757	0.925598	0.048913	11	5
grpo	6	0.386757	0.421731	0.917070	0.048345	13	3
grpo	7	0.390435	0.422757	0.923545	0.048804	11	5
grpo	8	0.395363	0.421731	0.937477	0.049420	9	7
grpo	9	0.390945	0.421731	0.927001	0.048868	11	5
grpo	10	0.390945	0.421731	0.927001	0.048868	11	5
grpo	11	0.391303	0.422757	0.925598	0.048913	11	5
grpo	12	0.387331	0.421731	0.918431	0.048416	13	3
grpo	13	0.394852	0.422757	0.933993	0.049356	9	7
grpo	14	0.388628	0.422757	0.919270	0.048578	12	4
grpo	15	0.389662	0.422757	0.921716	0.048708	12	4
grpo	16	0.394360	0.421731	0.935098	0.049295	10	6
grpo	17	0.397808	0.422757	0.940985	0.049726	8	8
grpo	18	0.397609	0.422757	0.940514	0.049701	9	7
grpo	19	0.392407	0.421731	0.930468	0.049051	10	6
grpo	20	0.394194	0.422757	0.932436	0.049274	10	6
grpo	21	0.388793	0.421731	0.921898	0.048599	12	4
grpo	22	0.389368	0.421731	0.923262	0.048671	12	4
grpo	23	0.384146	0.418057	0.918884	0.048018	14	2
grpo	24	0.385379	0.408867	0.942553	0.048172	13	3
grpo	25	0.395656	0.422757	0.935895	0.049457	9	7
grpo	26	0.385953	0.418057	0.923207	0.048244	13	3
grpo	27	0.382633	0.422757	0.905090	0.047829	15	1
grpo	28	0.386183	0.421731	0.915709	0.048273	13	3
grpo	29	0.386247	0.422757	0.913638	0.048281	13	3
grpo	30	0.385953	0.418057	0.923207	0.048244	13	3
grpo	31	0.387760	0.418057	0.927529	0.048470	12	4
grpo	32	0.391813	0.422757	0.926804	0.048977	11	5
grpo	33	0.390371	0.421731	0.925640	0.048796	11	5
grpo	34	0.384146	0.418057	0.918884	0.048018	14	2
grpo	35	0.382339	0.418057	0.914562	0.047792	15	1
grpo	36	0.386183	0.421731	0.915709	0.048273	13	3
grpo	37	0.389202	0.422757	0.920628	0.048650	12	4
grpo	38	0.390945	0.421731	0.927001	0.048868	11	5
grpo	39	0.389368	0.421731	0.923262	0.048671	12	4
