method	seed	step	group_size	zvf	frac_all_zero	frac_all_one	pcd	larq	reward_mean	mean_len	cv_len	lag1_autocorr	loss
grpo	0	36	8	0.8125	0.0625	0.75	0.0341796875	0.951171875	0.8828125	339.2109375	0.3079042425507045	-0.5125883674928609	0.8816242218017578
grpo	0	37	8	0.6875	0.125	0.5625	0.0576171875	0.826171875	0.7109375	375.5	0.28116453294468435	-0.08779613950615425	318.55091083049774
grpo	0	38	8	0.6875	0.0625	0.625	0.0546875	0.90625	0.796875	351.5390625	0.2676947244929499	0.32174327873057257	81.10154724121094
grpo	0	39	8	0.8125	0.125	0.6875	0.0283203125	0.830078125	0.7734375	369.3046875	0.2780460764968791	0.3719550105029638	105.63116455078125
aero	0	0	8	0.75	0.0625	0.6875	0.0439453125	0.908203125	0.8203125	354.453125	0.29694611444475305	nan	549.3590393066406
aero	0	1	8	0.5	0.0	0.5	0.08203125	0.9921875	0.828125	360.4921875	0.31252359163221677	nan	274.0804901123047
aero	0	2	8	0.8125	0.0625	0.75	0.0302734375	0.927734375	0.8671875	386.5703125	0.23181447384643544	1.0	140.36270904541016
aero	0	3	8	0.625	0.125	0.5	0.06640625	0.8828125	0.75	402.4453125	0.23176070765483464	-0.88249750329277	641.1804962158203
aero	0	4	8	0.6875	0.0	0.6875	0.048828125	0.98828125	0.890625	381.9375	0.26028198762346305	-0.8490250219585762	331.76730155944824
aero	0	5	8	0.625	0.125	0.5	0.0556640625	0.759765625	0.6484375	404.5703125	0.26629228283216616	-0.8807456788149599	110.59176731109619
aero	0	6	8	0.75	0.0625	0.6875	0.0478515625	0.884765625	0.7890625	380.375	0.24115716841590257	-0.44615187096570147	240.25491333007812
aero	0	7	8	0.8125	0.1875	0.625	0.0341796875	0.826171875	0.7578125	395.7890625	0.22141698087443454	-0.42915028288495577	0.7123184204101562
aero	0	8	8	0.6875	0.0625	0.625	0.0703125	0.890625	0.75	374.9140625	0.3006951126610714	-0.3789229775672879	256.5860373079777
aero	0	9	8	0.6875	0.0	0.6875	0.0478515625	0.947265625	0.8515625	378.6015625	0.26710899979718	-0.4137024370944963	118.74281692504883
aero	0	10	8	0.5625	0.0	0.5625	0.060546875	0.98046875	0.859375	385.2578125	0.2356910840139731	-0.3249159730558064	611.8660840988159
aero	0	11	8	0.625	0.125	0.5	0.0546875	0.828125	0.71875	375.8515625	0.3030317819628754	-0.4695993721086632	298.5554437637329
aero	0	12	8	0.75	0.0	0.75	0.0556640625	0.962890625	0.8515625	357.671875	0.23853189476481235	-0.49873262034860383	471.3449935913086
aero	0	13	8	0.4375	0.0625	0.375	0.0986328125	0.876953125	0.6796875	400.3828125	0.2561007547586684	-0.550236856979326	483.8921260237694
aero	0	14	8	0.75	0.0	0.75	0.048828125	0.98828125	0.890625	360.7109375	0.2681061518072597	-0.5144481766638301	98.24466705322266
aero	0	15	8	0.75	0.0	0.75	0.0478515625	0.978515625	0.8828125	371.2890625	0.2475126354644649	-0.33650587420754285	295.76704025268555
aero	0	16	8	0.625	0.125	0.5	0.0625	0.84375	0.71875	383.265625	0.2800827057094578	-0.4418852340464258	508.3172136247158
aero	0	17	8	0.5625	0.0	0.5625	0.0888671875	0.966796875	0.7890625	387.78125	0.26131720144820464	-0.4544122276112759	521.5743198394775
aero	0	18	8	0.5625	0.1875	0.375	0.0869140625	0.837890625	0.6640625	427.984375	0.18614506020044455	-0.3317826748495403	461.153413772583
aero	0	19	8	0.625	0.0625	0.5625	0.072265625	0.91015625	0.765625	362.1015625	0.3060082217019525	-0.35775233888594954	555.1908931732178
aero	0	20	8	0.6875	0.0	0.6875	0.052734375	0.98046875	0.875	362.59375	0.2605705911312498	-0.29868184098440576	469.7631721496582
aero	0	21	8	0.875	0.0625	0.8125	0.013671875	0.90234375	0.875	351.921875	0.26194995770718094	-0.10417916529891631	141.5792465209961
aero	0	22	8	0.75	0.0	0.75	0.04296875	1.0078125	0.921875	319.3515625	0.30339315719826987	0.15796762805840747	384.8463478088379
aero	0	23	8	0.75	0.0	0.75	0.0322265625	0.978515625	0.9140625	364.3671875	0.2386653313376492	0.45236941963357646	180.2863006591797
aero	0	24	8	0.8125	0.0	0.8125	0.025390625	0.97265625	0.921875	341.7109375	0.29999150068163166	0.49147293195376607	123.40337371826172
aero	0	25	8	0.6875	0.0625	0.625	0.0576171875	0.904296875	0.7890625	355.2890625	0.24399398002870243	0.5455145293979743	651.0518817901611
aero	0	26	8	0.75	0.0625	0.6875	0.037109375	0.91796875	0.84375	348.828125	0.25070829616196655	0.5089551908174316	190.78899002075195
aero	0	27	8	0.9375	0.0	0.9375	0.0146484375	1.005859375	0.9765625	333.796875	0.2134651100674367	0.4783549783549784	140.08525848388672
aero	0	28	8	0.75	0.0	0.75	0.0439453125	0.970703125	0.8828125	372.5625	0.24147646553028032	-0.00585716253724206	390.77852630615234
aero	0	29	8	0.875	0.0	0.875	0.013671875	0.96484375	0.9375	346.390625	0.24679138701059172	-0.09156610589505457	133.44693756103516
aero	0	30	8	0.8125	0.0	0.8125	0.025390625	0.98828125	0.9375	325.8671875	0.2710201682217645	-0.03487008175821323	314.49811935424805
aero	0	31	8	0.875	0.0625	0.8125	0.013671875	0.94921875	0.921875	329.4921875	0.2928225846681311	0.012486716259298631	84.62505722045898
aero	0	32	8	0.75	0.0	0.75	0.037109375	0.94921875	0.875	326.796875	0.311765291128296	-0.016584015225524672	489.8151512145996
aero	0	33	8	0.6875	0.0	0.6875	0.0556640625	0.994140625	0.8828125	326.4140625	0.3324915444150533	-0.016584015225524672	429.5558738708496
aero	0	34	8	0.875	0.0625	0.8125	0.0224609375	0.943359375	0.8984375	355.7109375	0.2689835438697412	0.1330851391722933	171.8109588623047
aero	0	35	8	0.8125	0.125	0.6875	0.0283203125	0.892578125	0.8359375	376.328125	0.2400757483481917	-0.31656076640909964	323.5091857910156
aero	0	36	8	0.875	0.0625	0.8125	0.0263671875	0.951171875	0.8984375	333.2421875	0.3084054313765206	0.04868964773009866	42.42339324951172
aero	0	37	8	0.75	0.125	0.625	0.0439453125	0.783203125	0.6953125	376.6171875	0.2885038252514323	0.06617840393061884	278.5552444458008
aero	0	38	8	0.75	0.0625	0.6875	0.0439453125	0.908203125	0.8203125	342.546875	0.28929196835777576	0.24857326601827268	-184.48863792419434
aero	0	39	8	0.75	0.0625	0.6875	0.03515625	0.8671875	0.796875	360.8984375	0.28415084145991404	0.1983539613171389	314.68782806396484
gift	0	0	8	0.75	0.0625	0.6875	0.0478515625	0.931640625	0.8359375	360.25	0.28770647709739866	nan	-17471.99774169922
gift	0	1	8	0.625	0.0	0.625	0.0693359375	0.974609375	0.8359375	363.78125	0.31349548232441143	nan	-17774.454528808594
gift	0	2	8	0.6875	0.0625	0.625	0.046875	0.921875	0.828125	384.484375	0.23491494843980434	nan	-19823.53826904297
gift	0	3	8	0.6875	0.125	0.5625	0.064453125	0.89453125	0.765625	403.9140625	0.21880770934703034	0.9948497511671099	-17915.417205810547
gift	0	4	8	0.6875	0.0	0.6875	0.0478515625	0.931640625	0.8359375	381.78125	0.26466079601369286	-0.2807017543859649	-18908.23846435547
gift	0	5	8	0.75	0.1875	0.5625	0.05078125	0.7578125	0.65625	405.59375	0.2574822102588055	-0.36506673049912874	-14767.880157470703
gift	0	6	8	0.8125	0.0625	0.75	0.03515625	0.8984375	0.828125	382.296875	0.22917714983644202	-0.3652333450755314	-18858.238357543945
gift	0	7	8	0.8125	0.1875	0.625	0.0302734375	0.802734375	0.7421875	390.09375	0.24404071836046418	-0.3984887089668752	-16468.611251831055
gift	0	8	8	0.625	0.0	0.625	0.07421875	0.9296875	0.78125	379.09375	0.2901269894042322	-0.37422218520115336	-16981.570693969727
gift	0	9	8	0.625	0.0	0.625	0.0615234375	0.974609375	0.8515625	364.7265625	0.27815994934299565	-0.36805639441258065	-18442.11587524414
gift	0	10	8	0.75	0.0625	0.6875	0.0478515625	0.947265625	0.8515625	382.796875	0.23508926774386346	-0.2995904080458896	-19438.717071533203
gift	0	11	8	0.625	0.0	0.625	0.0693359375	0.927734375	0.7890625	371.703125	0.31491771845040223	-0.3514046656473869	-17288.06866455078
gift	0	12	8	0.6875	0.0	0.6875	0.0625	1.015625	0.890625	347.2109375	0.2500064574918059	-0.2951723742079131	-18584.609954833984
gift	0	13	8	0.5625	0.0625	0.5	0.0771484375	0.865234375	0.7109375	390.2421875	0.256428787903785	-0.40699522125471316	-15885.318496704102
gift	0	14	8	0.875	0.0625	0.8125	0.0263671875	0.951171875	0.8984375	342.0	0.27340720435455906	-0.5043980576855653	-18520.978881835938
gift	0	15	8	0.6875	0.0	0.6875	0.0498046875	0.966796875	0.8671875	362.5546875	0.2571459114327746	-0.391674996831278	-18802.314178466797
gift	0	16	8	0.625	0.0625	0.5625	0.0634765625	0.900390625	0.7734375	368.546875	0.29285426185090396	-0.4491676013323807	-17306.151092529297
gift	0	17	8	0.5625	0.0	0.5625	0.07421875	0.9609375	0.8125	386.671875	0.2715155659594107	-0.5848615571278292	-18418.14040374756
gift	0	18	8	0.5	0.125	0.375	0.0771484375	0.849609375	0.6953125	421.171875	0.20342873190094488	-0.41209406494960804	-17501.840759277344
gift	0	19	8	0.8125	0.0625	0.75	0.0302734375	0.912109375	0.8515625	339.0078125	0.3097053161996972	-0.48753462603878117	-16964.699096679688
gift	0	20	8	0.6875	0.0	0.6875	0.046875	0.984375	0.890625	352.921875	0.27794028102653723	-0.37126009789858594	-18808.664306640625
gift	0	21	8	0.6875	0.0	0.6875	0.056640625	0.95703125	0.84375	326.25	0.2927634318596636	-0.288296566857386	-16053.975067138672
