strategy	seed	evaluations	running_postvar
GRIDSEARCH	4	9	0.0645
GRIDSEARCH	4	10	0.0663
GRIDSEARCH	4	11	0.0677
GRIDSEARCH	4	12	0.0711
GRIDSEARCH	4	13	0.0548
GRIDSEARCH	4	14	0.0242
GRIDSEARCH	4	15	0.0328
GRIDSEARCH	4	16	0.0348
GRIDSEARCH	4	17	0.0365
GRIDSEARCH	4	18	0.0619
GRIDSEARCH	4	19	0.0583
GRIDSEARCH	4	20	0.0679
GRIDSEARCH	4	21	0.0811
GRIDSEARCH	4	22	0.0735
GRIDSEARCH	4	23	0.0736
GRIDSEARCH	4	24	0.0640
GRIDSEARCH	4	25	0.0611
GRIDSEARCH	4	26	0.0318
GRIDSEARCH	4	27	0.0593
GRIDSEARCH	4	28	0.0623
GRIDSEARCH	4	29	0.0566
GRIDSEARCH	4	30	0.0534
GRIDSEARCH	4	31	0.0610
GRIDSEARCH	4	32	0.0653
GRIDSEARCH	4	33	0.0594
GRIDSEARCH	4	34	0.0574
GRIDSEARCH	4	35	0.0687
GRIDSEARCH	4	36	0.0577
GRIDSEARCH	4	37	0.0551
GRIDSEARCH	4	38	0.0511
GRIDSEARCH	4	39	0.0524
GRIDSEARCH	4	40	0.0411
GRIDSEARCH	4	41	0.0578
GRIDSEARCH	4	42	0.0683
GRIDSEARCH	4	43	0.0669
GRIDSEARCH	4	44	0.0611
GRIDSEARCH	4	45	0.0399
GRIDSEARCH	4	46	0.0006
GRIDSEARCH	4	47	0.0472
GRIDSEARCH	4	48	0.0484
MIPRO_BO	0	6	0.0599
MIPRO_BO	0	7	0.0622
MIPRO_BO	0	8	0.0765
MIPRO_BO	0	9	0.0683
MIPRO_BO	0	10	0.0605
MIPRO_BO	0	11	0.0467
MIPRO_BO	0	12	0.0520
MIPRO_BO	0	13	0.0577
MIPRO_BO	0	14	0.0385
MIPRO_BO	0	15	0.0129
MIPRO_BO	0	16	0.0018
MIPRO_BO	0	17	0.0011
MIPRO_BO	0	18	0.0011
MIPRO_BO	0	19	0.0012
MIPRO_BO	0	20	0.0124
MIPRO_BO	0	21	0.0121
MIPRO_BO	0	22	0.0104
MIPRO_BO	0	23	0.0116
MIPRO_BO	0	24	0.0291
MIPRO_BO	0	25	0.0306
MIPRO_BO	0	26	0.0342
MIPRO_BO	0	27	0.0565
MIPRO_BO	0	28	0.0586
MIPRO_BO	0	29	0.0515
MIPRO_BO	0	30	0.0542
MIPRO_BO	0	31	0.0580
MIPRO_BO	0	32	0.0740
MIPRO_BO	0	33	0.0723
MIPRO_BO	0	34	0.0699
MIPRO_BO	0	35	0.0670
MIPRO_BO	0	36	0.0546
MIPRO_BO	0	37	0.0536
MIPRO_BO	0	38	0.0434
MIPRO_BO	0	39	0.0445
MIPRO_BO	0	40	0.0606
MIPRO_BO	0	41	0.0709
MIPRO_BO	0	42	0.0743
MIPRO_BO	0	43	0.0724
MIPRO_BO	0	44	0.0668
MIPRO_BO	0	45	0.0627
MIPRO_BO	0	46	0.0691
MIPRO_BO	0	47	0.0672
MIPRO_BO	0	48	0.0402
MIPRO_BO	1	6	0.0672
MIPRO_BO	1	7	0.0687
MIPRO_BO	1	8	0.0816
MIPRO_BO	1	9	0.0712
MIPRO_BO	1	10	0.0620
MIPRO_BO	1	11	0.0499
MIPRO_BO	1	12	0.0524
MIPRO_BO	1	13	0.0534
MIPRO_BO	1	14	0.0354
MIPRO_BO	1	15	0.0178
MIPRO_BO	1	16	0.0011
MIPRO_BO	1	17	0.0006
MIPRO_BO	1	18	0.0006
MIPRO_BO	1	19	0.0004
MIPRO_BO	1	20	0.0114
MIPRO_BO	1	21	0.0115
MIPRO_BO	1	22	0.0113
MIPRO_BO	1	23	0.0362
MIPRO_BO	1	24	0.0374
MIPRO_BO	1	25	0.0521
MIPRO_BO	1	26	0.0536
MIPRO_BO	1	27	0.0674
MIPRO_BO	1	28	0.0635
MIPRO_BO	1	29	0.0620
MIPRO_BO	1	30	0.0561
MIPRO_BO	1	31	0.0571
MIPRO_BO	1	32	0.0643
MIPRO_BO	1	33	0.0358
MIPRO_BO	1	34	0.0528
MIPRO_BO	1	35	0.0677
MIPRO_BO	1	36	0.0699
MIPRO_BO	1	37	0.0598
MIPRO_BO	1	38	0.0525
MIPRO_BO	1	39	0.0467
MIPRO_BO	1	40	0.0413
MIPRO_BO	1	41	0.0300
MIPRO_BO	1	42	0.0389
MIPRO_BO	1	43	0.0405
MIPRO_BO	1	44	0.0321
MIPRO_BO	1	45	0.0343
MIPRO_BO	1	46	0.0091
MIPRO_BO	1	47	0.0413
MIPRO_BO	1	48	0.0488
MIPRO_BO	2	6	0.0643
MIPRO_BO	2	7	0.0670
MIPRO_BO	2	8	0.0845
MIPRO_BO	2	9	0.0771
MIPRO_BO	2	10	0.0657
MIPRO_BO	2	11	0.0524
MIPRO_BO	2	12	0.0572
MIPRO_BO	2	13	0.0566
MIPRO_BO	2	14	0.0429
MIPRO_BO	2	15	0.0173
MIPRO_BO	2	16	0.0015
MIPRO_BO	2	17	0.0006
MIPRO_BO	2	18	0.0007
MIPRO_BO	2	19	0.0003
MIPRO_BO	2	20	0.0110
MIPRO_BO	2	21	0.0111
MIPRO_BO	2	22	0.0109
MIPRO_BO	2	23	0.0106
MIPRO_BO	2	24	0.0379
MIPRO_BO	2	25	0.0371
MIPRO_BO	2	26	0.0352
MIPRO_BO	2	27	0.0645
MIPRO_BO	2	28	0.0631
MIPRO_BO	2	29	0.0672
MIPRO_BO	2	30	0.0642
MIPRO_BO	2	31	0.0690
MIPRO_BO	2	32	0.0542
MIPRO_BO	2	33	0.0597
MIPRO_BO	2	34	0.0592
MIPRO_BO	2	35	0.0358
MIPRO_BO	2	36	0.0360
MIPRO_BO	2	37	0.0370
MIPRO_BO	2	38	0.0387
MIPRO_BO	2	39	0.0322
MIPRO_BO	2	40	0.0387
MIPRO_BO	2	41	0.0548
MIPRO_BO	2	42	0.0609
MIPRO_BO	2	43	0.0797
MIPRO_BO	2	44	0.0679
MIPRO_BO	2	45	0.0681
MIPRO_BO	2	46	0.0666
MIPRO_BO	2	47	0.0607
MIPRO_BO	2	48	0.0557
MIPRO_BO	3	6	0.0662
MIPRO_BO	3	7	0.0704
MIPRO_BO	3	8	0.0855
MIPRO_BO	3	9	0.0749
MIPRO_BO	3	10	0.0667
MIPRO_BO	3	11	0.0529
MIPRO_BO	3	12	0.0556
MIPRO_BO	3	13	0.0566
MIPRO_BO	3	14	0.0410
MIPRO_BO	3	15	0.0173
MIPRO_BO	3	16	0.0016
MIPRO_BO	3	17	0.0008
MIPRO_BO	3	18	0.0007
MIPRO_BO	3	19	0.0003
MIPRO_BO	3	20	0.0117
MIPRO_BO	3	21	0.0111
MIPRO_BO	3	22	0.0112
MIPRO_BO	3	23	0.0107
MIPRO_BO	3	24	0.0276
MIPRO_BO	3	25	0.0485
MIPRO_BO	3	26	0.0505
MIPRO_BO	3	27	0.0435
MIPRO_BO	3	28	0.0338
MIPRO_BO	3	29	0.0399
MIPRO_BO	3	30	0.0465
MIPRO_BO	3	31	0.0381
MIPRO_BO	3	32	0.0540
MIPRO_BO	3	33	0.0600
MIPRO_BO	3	34	0.0737
MIPRO_BO	3	35	0.0730
MIPRO_BO	3	36	0.0823
MIPRO_BO	3	37	0.0771
MIPRO_BO	3	38	0.0650
MIPRO_BO	3	39	0.0685
MIPRO_BO	3	40	0.0674
MIPRO_BO	3	41	0.0331
MIPRO_BO	3	42	0.0360
MIPRO_BO	3	43	0.0524
MIPRO_BO	3	44	0.0621
MIPRO_BO	3	45	0.0628
MIPRO_BO	3	46	0.0573
MIPRO_BO	3	47	0.0613
MIPRO_BO	3	48	0.0397
MIPRO_BO	4	6	0.0750
MIPRO_BO	4	7	0.0810
MIPRO_BO	4	8	0.0869
MIPRO_BO	4	9	0.0754
MIPRO_BO	4	10	0.0579
MIPRO_BO	4	11	0.0535
MIPRO_BO	4	12	0.0487
MIPRO_BO	4	13	0.0468
MIPRO_BO	4	14	0.0374
MIPRO_BO	4	15	0.0119
MIPRO_BO	4	16	0.0011
MIPRO_BO	4	17	0.0011
MIPRO_BO	4	18	0.0010
MIPRO_BO	4	19	0.0013
MIPRO_BO	4	20	0.0110
MIPRO_BO	4	21	0.0106
MIPRO_BO	4	22	0.0122
MIPRO_BO	4	23	0.0139
MIPRO_BO	4	24	0.0136
MIPRO_BO	4	25	0.0141
MIPRO_BO	4	26	0.0387
MIPRO_BO	4	27	0.0601
MIPRO_BO	4	28	0.0578
MIPRO_BO	4	29	0.0611
MIPRO_BO	4	30	0.0576
MIPRO_BO	4	31	0.0569
MIPRO_BO	4	32	0.0512
MIPRO_BO	4	33	0.0522
MIPRO_BO	4	34	0.0489
MIPRO_BO	4	35	0.0514
MIPRO_BO	4	36	0.0541
MIPRO_BO	4	37	0.0551
MIPRO_BO	4	38	0.0610
MIPRO_BO	4	39	0.0640
MIPRO_BO	4	40	0.0701
MIPRO_BO	4	41	0.0635
MIPRO_BO	4	42	0.0793
MIPRO_BO	4	43	0.0723
MIPRO_BO	4	44	0.0797
MIPRO_BO	4	45	0.0646
MIPRO_BO	4	46	0.0654
MIPRO_BO	4	47	0.0535
MIPRO_BO	4	48	0.0453
