strategy	seed	k	eval_score	cum_regret	best_so_far
MIPRO_BO	2	7	0.9377	1.3803	0.9481
MIPRO_BO	2	8	0.3253	2.0032	0.9481
MIPRO_BO	2	9	0.3778	2.5735	0.9481
MIPRO_BO	2	10	0.5432	2.9784	0.9481
MIPRO_BO	2	11	0.8157	3.1109	0.9481
MIPRO_BO	2	12	0.8556	3.2035	0.9481
MIPRO_BO	2	13	0.9322	3.2194	0.9481
MIPRO_BO	2	14	0.9167	3.2509	0.9481
MIPRO_BO	2	15	0.8816	3.3174	0.9481
MIPRO_BO	2	16	0.8796	3.3859	0.9481
MIPRO_BO	2	17	0.8866	3.4475	0.9481
MIPRO_BO	2	18	0.8545	3.5411	0.9481
MIPRO_BO	2	19	0.8897	3.5996	0.9481
MIPRO_BO	2	20	0.5992	3.9486	0.9481
MIPRO_BO	2	21	0.8911	4.0056	0.9481
MIPRO_BO	2	22	0.8652	4.0886	0.9481
MIPRO_BO	2	23	0.8637	4.1730	0.9481
MIPRO_BO	2	24	0.3770	4.7441	0.9481
MIPRO_BO	2	25	0.8727	4.8196	0.9481
MIPRO_BO	2	26	0.9015	4.8662	0.9481
MIPRO_BO	2	27	0.3023	5.5121	0.9481
MIPRO_BO	2	28	0.8386	5.6217	0.9481
MIPRO_BO	2	29	0.9256	5.6442	0.9481
MIPRO_BO	2	30	0.4048	6.1875	0.9481
MIPRO_BO	2	31	0.4038	6.7318	0.9481
MIPRO_BO	2	32	0.5902	7.0898	0.9481
MIPRO_BO	2	33	0.2471	7.7908	0.9481
MIPRO_BO	2	34	0.8326	7.9063	0.9481
MIPRO_BO	2	35	0.3680	8.4864	0.9481
MIPRO_BO	2	36	0.3963	9.0383	0.9481
MIPRO_BO	2	37	0.6062	9.3803	0.9481
MIPRO_BO	2	38	0.3411	9.9873	0.9481
MIPRO_BO	2	39	0.3610	10.5744	0.9481
MIPRO_BO	2	40	0.8855	10.6370	0.9481
MIPRO_BO	2	41	0.8896	10.6955	0.9481
MIPRO_BO	2	42	0.9207	10.7230	0.9481
MIPRO_BO	2	43	0.3041	11.3670	0.9481
MIPRO_BO	2	44	0.8287	11.4865	0.9481
MIPRO_BO	2	45	0.3593	12.0753	0.9481
MIPRO_BO	2	46	0.4608	12.5626	0.9481
MIPRO_BO	2	47	0.8126	12.6982	0.9481
MIPRO_BO	2	48	0.8686	12.7777	0.9481
MIPRO_BO	3	1	0.8386	0.1096	0.8386
MIPRO_BO	3	2	0.8855	0.1722	0.8855
MIPRO_BO	3	3	0.9256	0.1947	0.9256
MIPRO_BO	3	4	0.3411	0.8017	0.9256
MIPRO_BO	3	5	0.9481	0.8017	0.9481
MIPRO_BO	3	6	0.3770	1.3729	0.9481
MIPRO_BO	3	7	0.9207	1.4003	0.9481
MIPRO_BO	3	8	0.3253	2.0232	0.9481
MIPRO_BO	3	9	0.3778	2.5935	0.9481
MIPRO_BO	3	10	0.5432	2.9984	0.9481
MIPRO_BO	3	11	0.8157	3.1309	0.9481
MIPRO_BO	3	12	0.8556	3.2235	0.9481
MIPRO_BO	3	13	0.9322	3.2394	0.9481
MIPRO_BO	3	14	0.8816	3.3060	0.9481
MIPRO_BO	3	15	0.9167	3.3374	0.9481
MIPRO_BO	3	16	0.8545	3.4311	0.9481
MIPRO_BO	3	17	0.8866	3.4926	0.9481
MIPRO_BO	3	18	0.8796	3.5611	0.9481
MIPRO_BO	3	19	0.8897	3.6196	0.9481
MIPRO_BO	3	20	0.5992	3.9686	0.9481
MIPRO_BO	3	21	0.8911	4.0256	0.9481
MIPRO_BO	3	22	0.8652	4.1086	0.9481
MIPRO_BO	3	23	0.8326	4.2241	0.9481
MIPRO_BO	3	24	0.4608	4.7114	0.9481
MIPRO_BO	3	25	0.3101	5.3495	0.9481
MIPRO_BO	3	26	0.8126	5.4850	0.9481
MIPRO_BO	3	27	0.5902	5.8429	0.9481
MIPRO_BO	3	28	0.6062	6.1849	0.9481
MIPRO_BO	3	29	0.9026	6.2304	0.9481
MIPRO_BO	3	30	0.3593	6.8193	0.9481
MIPRO_BO	3	31	0.8956	6.8718	0.9481
MIPRO_BO	3	32	0.3041	7.5159	0.9481
MIPRO_BO	3	33	0.4048	8.0592	0.9481
MIPRO_BO	3	34	0.8896	8.1177	0.9481
