task	algo	seed	window	n_in_window	rwd_base	rwd_lh	len_base	len_lh	cum_dR	cum_dL	cum_eff	bwd_signed	abs_bwd	fwd_signed	abs_fwd	phi_L	phi_R
arithmetic_easy	dr_grpo	123	1	10	0.503125	0.960938	5.964062	4.367188	0.457812	1.596875	0.286693	0.499742	0.499742	-0.045596	0.045596	0.389165	-0.200762
arithmetic_easy	dr_grpo	123	2	10	0.503125	0.9875	5.964062	4.645313	0.484375	1.31875	0.367299	-0.512157	0.512157	0.263865	0.263865	0.654141	0.016667
arithmetic_easy	dr_grpo	123	3	10	0.503125	0.990625	5.964062	4.5375	0.4875	1.426563	0.341731	-0.345672	0.345672	-0.683384	0.683384	0.052682	0.061934
arithmetic_easy	dr_grpo	456	0	10	0.528125	0.870313	5.99375	4.451562	0.342188	1.542188	0.221884	0.153427	0.153427	0.525818	0.525818	0.667297	0.775061
arithmetic_easy	dr_grpo	456	1	10	0.528125	0.920312	5.99375	4.576562	0.392188	1.417188	0.276736	0.26937	0.26937	0.136774	0.136774	-0.214076	-0.824242
arithmetic_easy	dr_grpo	456	2	10	0.528125	0.995313	5.99375	4.475	0.467188	1.51875	0.307613	0.253853	0.253853	-0.430019	0.430019	-0.258773	-0.192053
arithmetic_easy	dr_grpo	456	3	10	0.528125	0.992188	5.99375	4.465625	0.464063	1.528125	0.303681	0.115994	0.115994	-0.020439	0.020439	-0.004316	-0.081633
arithmetic_easy	dr_grpo	789	0	10	0.496875	0.86875	6.1375	4.64375	0.371875	1.49375	0.248954	-0.552819	0.552819	-0.675082	0.675082	0.602497	0.794282
arithmetic_easy	dr_grpo	789	1	10	0.496875	0.982812	6.1375	4.521875	0.485937	1.615625	0.300774	0.123378	0.123378	0.324342	0.324342	-0.145126	0.036545
arithmetic_easy	dr_grpo	789	2	10	0.496875	0.959375	6.1375	4.596875	0.4625	1.540625	0.300203	-0.873647	0.873647	0.33741	0.33741	-0.458133	-0.324427
arithmetic_easy	dr_grpo	789	3	10	0.496875	0.984375	6.1375	4.4875	0.4875	1.65	0.295455	0.160709	0.160709	0.225498	0.225498	0.208333	-1.25
arithmetic_easy	dr_grpo	1024	0	10	0.525	0.915625	6.079688	4.5875	0.390625	1.492188	0.26178	0.157356	0.157356	0.210831	0.210831	0.599205	0.755274
arithmetic_easy	dr_grpo	1024	1	10	0.525	0.98125	6.079688	4.585938	0.45625	1.49375	0.305439	-0.666139	0.666139	0.615587	0.615587	0.181635	-0.283582
arithmetic_easy	dr_grpo	1024	2	10	0.525	0.995313	6.079688	4.4125	0.470313	1.667188	0.282099	0.063647	0.063647	-0.144756	0.144756	0.5	-0.197674
arithmetic_easy	dr_grpo	1024	3	10	0.525	0.996875	6.079688	4.5	0.471875	1.579688	0.298714	0.529458	0.529458	-0.053272	0.053272	-0.357143	-0.25
gsm8k_cot	grpo	42	0	7	0.208333	0.28125	195.369792	193.054688	0.072917	2.315104	0.031496	0.695365	0.695365	0.280178	0.280178	-0.329618	-0.484653
gsm8k_cot	grpo	42	1	8	0.208333	0.296875	195.369792	190.964844	0.088542	4.404948	0.020101	0.999326	0.999326	-0.274305	0.274305	-0.069998	-0.239677
gsm8k_cot	grpo	42	2	7	0.208333	0.339844	195.369792	183.296875	0.13151	12.072917	0.010893	-0.951967	0.951967	1.018521	1.018521	0.269032	0.244976
gsm8k_cot	grpo	42	3	8	0.208333	0.25	195.369792	169.285156	0.041667	26.084635	0.001597	-0.229274	0.229274	0.470069	0.470069	-0.003501	-0.390698
gsm8k_cot	grpo	123	0	7	0.307292	0.277344	193.697917	192.71875	-0.029948	0.979167	-0.030585	0.180637	0.180637	0.004286	0.004286	-0.410907	-0.264286
gsm8k_cot	grpo	123	1	8	0.307292	0.28125	193.697917	192.667969	-0.026042	1.029948	-0.025284	0.536863	0.536863	-0.535977	0.535977	-0.332557	-0.564367
gsm8k_cot	grpo	123	2	7	0.307292	0.289062	193.697917	187.367188	-0.018229	6.330729	-0.002879	-0.408787	0.408787	1.339597	1.339597	0.509904	0.0
gsm8k_cot	grpo	123	3	8	0.307292	0.246094	193.697917	181.921875	-0.061198	11.776042	-0.005197	0.44172	0.44172	0.727707	0.727707	0.069552	0.32971
gsm8k_cot	grpo	456	0	7	0.15625	0.308594	195.822917	191.984375	0.152344	3.838542	0.039688	-0.721042	0.721042	-0.128363	0.128363	1.326454	0.51259
gsm8k_cot	grpo	456	1	8	0.15625	0.285156	195.822917	189.601562	0.128906	6.221354	0.02072	0.550918	0.550918	0.19758	0.19758	-0.921532	-0.152542
gsm8k_cot	grpo	456	2	7	0.15625	0.226562	195.822917	191.277344	0.070312	4.545573	0.015468	0.451	0.451	0.675656	0.675656	-0.237254	-0.233415
gsm8k_cot	grpo	456	3	8	0.15625	0.3125	195.822917	191.101562	0.15625	4.721354	0.033094	1.64209	1.64209	-0.603487	0.603487	-0.539013	-0.682313
gsm8k_cot	dr_grpo	42	0	7	0.223958	0.273438	194.458333	190.308594	0.049479	4.14974	0.011923	0.766287	0.766287	-0.695771	0.695771	-0.471274	-0.353933
gsm8k_cot	dr_grpo	42	1	8	0.223958	0.324219	194.458333	191.046875	0.10026	3.411458	0.029389	0.525708	0.525708	-0.169005	0.169005	0.226629	-0.018606
gsm8k_cot	dr_grpo	42	2	7	0.223958	0.347656	194.458333	187.6875	0.123698	6.770833	0.018269	0.411035	0.411035	-0.079438	0.079438	0.253917	-0.310559
gsm8k_cot	dr_grpo	42	3	8	0.223958	0.273438	194.458333	183.464844	0.049479	10.99349	0.004501	-0.080382	0.080382	0.031794	0.031794	0.376876	-0.503388
gsm8k_cot	dr_grpo	123	0	7	0.291667	0.242188	192.921875	191.621094	-0.049479	1.300781	-0.038038	0.549299	0.549299	0.016524	0.016524	-0.258023	-0.168906
gsm8k_cot	dr_grpo	123	1	8	0.291667	0.246094	192.921875	192.089844	-0.045573	0.832031	-0.054773	0.701619	0.701619	-0.007249	0.007249	-0.808305	-1.065737
gsm8k_cot	dr_grpo	123	2	7	0.291667	0.296875	192.921875	189.347656	0.005208	3.574219	0.001457	0.009409	0.009409	-0.064021	0.064021	-0.549893	-0.710204
gsm8k_cot	dr_grpo	123	3	8	0.291667	0.234375	192.921875	186.621094	-0.057292	6.300781	-0.009093	1.031711	1.031711	0.550686	0.550686	0.03252	0.340224
gsm8k_cot	dr_grpo	456	0	7	0.166667	0.273438	195.541667	193.726562	0.106771	1.815104	0.058824	-1.044509	1.044509	0.08272	0.08272	-0.124962	0.53022
gsm8k_cot	dr_grpo	456	1	8	0.166667	0.261719	195.541667	189.398438	0.095052	6.143229	0.015473	0.061938	0.061938	0.375617	0.375617	-0.653506	-0.029713
gsm8k_cot	dr_grpo	456	2	7	0.166667	0.253906	195.541667	192.300781	0.08724	3.240885	0.026918	0.564718	0.564718	0.59029	0.59029	-0.270174	-0.139535
gsm8k_cot	dr_grpo	456	3	8	0.166667	0.292969	195.541667	192.59375	0.126302	2.947917	0.042845	0.59645	0.59645	-0.310681	0.310681	-0.666178	-0.345154
