step	G	mu_reward	sigma_A2_emp	mean_zvf_emp	one_minus_zvf_emp	one_minus_zvf_iid	adv_signal_residual
13	8	0.8958	1.0000	0.7083	0.2917	0.5852	-0.2936
13	16	0.8815	1.0000	0.4792	0.5208	0.8671	-0.3462
14	2	0.9062	1.0000	0.8125	0.1875	0.1699	0.0176
14	4	0.9583	1.0000	0.8958	0.1042	0.1565	-0.0524
14	8	0.9401	1.0000	0.7500	0.2500	0.3899	-0.1399
14	16	0.9557	1.0000	0.6042	0.3958	0.5154	-0.1196
15	2	0.9375	1.0000	0.9167	0.0833	0.1172	-0.0339
15	4	0.9427	1.0000	0.8750	0.1250	0.2102	-0.0852
15	8	0.9688	1.0000	0.9167	0.0833	0.2243	-0.1410
15	16	0.9661	1.0000	0.7083	0.2917	0.4237	-0.1320
16	2	0.9271	0.6667	0.9375	0.0625	0.1352	-0.0727
16	4	0.9427	0.6667	0.8542	0.1458	0.2102	-0.0644
16	8	0.9323	1.0000	0.7083	0.2917	0.4293	-0.1376
16	16	0.9479	1.0000	0.7292	0.2708	0.5751	-0.3042
17	2	0.9375	1.0000	0.9167	0.0833	0.1172	-0.0339
17	4	0.9375	1.0000	0.9167	0.0833	0.2275	-0.1442
17	8	0.9323	1.0000	0.8333	0.1667	0.4293	-0.2626
17	16	0.9297	1.0000	0.7292	0.2708	0.6885	-0.4177
18	2	0.9271	0.6667	0.9375	0.0625	0.1352	-0.0727
18	4	0.9583	0.6667	0.9167	0.0833	0.1565	-0.0732
18	8	0.9740	1.0000	0.8333	0.1667	0.1903	-0.0236
18	16	0.9792	1.0000	0.8333	0.1667	0.2860	-0.1193
19	2	0.9479	0.6667	0.9375	0.0625	0.0987	-0.0362
19	4	0.9531	1.0000	0.8750	0.1250	0.1747	-0.0497
19	8	0.9766	1.0000	0.8958	0.1042	0.1728	-0.0687
19	16	0.9766	1.0000	0.8125	0.1875	0.3158	-0.1283
20	2	0.9688	0.6667	0.9375	0.0625	0.0605	0.0020
20	4	0.9635	1.0000	0.8750	0.1250	0.1380	-0.0130
20	8	0.9818	0.6667	0.9167	0.0833	0.1369	-0.0535
20	16	0.9844	1.0000	0.8542	0.1458	0.2227	-0.0769
21	2	0.9792	0.6667	0.9583	0.0417	0.0408	0.0009
21	4	0.9740	1.0000	0.9167	0.0833	0.1002	-0.0168
21	8	0.9922	0.6667	0.9583	0.0417	0.0608	-0.0192
21	16	0.9974	0.3333	0.9583	0.0417	0.0409	0.0008
22	2	0.9688	0.3333	0.9792	0.0208	0.0605	-0.0397
22	4	0.9375	1.0000	0.8542	0.1458	0.2275	-0.0817
22	8	0.9505	1.0000	0.8125	0.1875	0.3337	-0.1462
22	16	0.9531	1.0000	0.7917	0.2083	0.5361	-0.3278
23	2	0.9792	0.6667	0.9583	0.0417	0.0408	0.0009
23	4	0.9635	1.0000	0.8958	0.1042	0.1380	-0.0339
23	8	0.9688	1.0000	0.8333	0.1667	0.2243	-0.0576
23	16	0.9831	1.0000	0.8750	0.1250	0.2390	-0.1140
24	2	0.9688	0.3333	0.9375	0.0625	0.0605	0.0020
24	4	0.9688	0.3333	0.9792	0.0208	0.1193	-0.0984
24	8	0.9766	1.0000	0.8958	0.1042	0.1728	-0.0687
24	16	0.9948	0.6667	0.9375	0.0625	0.0802	-0.0177
25	2	0.9479	1.0000	0.8958	0.1042	0.0987	0.0054
25	4	0.9792	1.0000	0.9167	0.0833	0.0808	0.0026
25	8	0.9948	0.3333	0.9792	0.0208	0.0409	-0.0201
25	16	0.9974	0.3333	0.9583	0.0417	0.0409	0.0008
26	2	0.9792	0.6667	0.9583	0.0417	0.0408	0.0009
26	4	0.9844	0.3333	0.9792	0.0208	0.0611	-0.0402
26	8	0.9688	0.6667	0.9167	0.0833	0.2243	-0.1410
26	16	0.9701	1.0000	0.9375	0.0625	0.3852	-0.3227
27	2	0.9896	0.3333	0.9792	0.0208	0.0206	0.0002
27	4	0.9948	0.3333	0.9792	0.0208	0.0207	0.0002
27	8	0.9948	0.3333	0.9583	0.0417	0.0409	0.0008
27	16	0.9987	0.3333	0.9792	0.0208	0.0206	0.0002
28	2	0.9688	0.3333	0.9792	0.0208	0.0605	-0.0397
28	4	0.9896	0.3333	0.9792	0.0208	0.0410	-0.0202
28	8	0.9583	0.3333	0.9375	0.0625	0.2886	-0.2261
28	16	0.9974	0.6667	0.9583	0.0417	0.0409	0.0008
29	2	0.9896	0.3333	0.9792	0.0208	0.0206	0.0002
29	4	0.9896	0.3333	0.9792	0.0208	0.0410	-0.0202
29	8	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000
29	16	0.9883	0.6667	0.9167	0.0833	0.1719	-0.0886
30	2	0.9479	0.3333	0.9792	0.0208	0.0987	-0.0779
30	4	0.9219	1.0000	0.9167	0.0833	0.2777	-0.1944
30	8	0.9036	0.6667	0.9167	0.0833	0.5554	-0.4720
30	16	0.9453	1.0000	0.8958	0.1042	0.5934	-0.4892
31	2	0.9792	0.0000	1.0000	0.0000	0.0408	-0.0408
31	4	0.9740	0.3333	0.9792	0.0208	0.1002	-0.0793
31	8	0.9661	0.3333	0.9583	0.0417	0.2408	-0.1992
31	16	0.9766	0.6667	0.9167	0.0833	0.3158	-0.2324
32	2	0.9792	0.3333	0.9583	0.0417	0.0408	0.0009
32	4	0.9896	0.3333	0.9583	0.0417	0.0410	0.0006
32	8	0.9557	0.6667	0.9375	0.0625	0.3039	-0.2414
32	16	0.9818	0.3333	0.9583	0.0417	0.2550	-0.2133
33	2	0.9792	0.6667	0.9583	0.0417	0.0408	0.0009
33	4	0.9583	0.6667	0.9583	0.0417	0.1565	-0.1149
33	8	0.9922	0.6667	0.9583	0.0417	0.0608	-0.0192
33	16	0.9896	0.6667	0.9583	0.0417	0.1543	-0.1126
34	2	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000
34	4	0.9844	0.3333	0.9792	0.0208	0.0611	-0.0402
34	8	0.9948	0.3333	0.9792	0.0208	0.0409	-0.0201
34	16	0.9974	0.6667	0.9583	0.0417	0.0409	0.0008
35	2	0.9688	0.3333	0.9792	0.0208	0.0605	-0.0397
35	4	0.9635	0.3333	0.9792	0.0208	0.1380	-0.1172
35	8	0.9740	0.6667	0.9583	0.0417	0.1903	-0.1486
35	16	0.9805	0.6667	0.9375	0.0625	0.2706	-0.2081
36	2	0.9688	0.3333	0.9792	0.0208	0.0605	-0.0397
36	4	0.9688	0.3333	0.9583	0.0417	0.1193	-0.0776
36	8	0.9792	0.6667	0.9583	0.0417	0.1550	-0.1133
36	16	0.9922	0.6667	0.9375	0.0625	0.1179	-0.0554
37	2	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000
37	4	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000
37	8	0.9974	0.3333	0.9792	0.0208	0.0206	0.0002
37	16	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000
38	2	0.9583	0.6667	0.9583	0.0417	0.0799	-0.0382
38	4	0.9583	0.6667	0.9583	0.0417	0.1565	-0.1149
38	8	0.9818	0.6667	0.9583	0.0417	0.1369	-0.0952
38	16	0.9766	1.0000	0.8958	0.1042	0.3158	-0.2116
39	2	0.9896	0.3333	0.9792	0.0208	0.0206	0.0002
39	4	0.9948	0.3333	0.9792	0.0208	0.0207	0.0002
39	8	0.9870	0.6667	0.9375	0.0625	0.0995	-0.0370
39	16	0.9974	0.3333	0.9792	0.0208	0.0409	-0.0200
