anchor	k	r2_sat	r2_const	r2_linear	delta_sat_const
Qwen3-8B	7	-5.084738025296076e-06	-0.8616336633663364	-2.542621299757517	0.8616285786283111
Qwen3-8B	8	-0.02430489336076036	-0.937516832749798	-6.103030933174049	0.9132119393890377
Qwen3-8B	9	-0.05363909896380359	-0.39316484778862715	-5.291201975237741	0.33952574882482356
Qwen3-8B	10	-0.12674064475232405	-1.0659062103929022	-6.216867371723914	0.9391655656405782
Qwen3-8B	11	-0.1305029093790524	-0.10865191146881292	-3.5801530948778097	-0.021850997910239478
Qwen3-8B	12	-0.05245762695448408	-0.5540983606557377	-0.5789730388836232	0.5016407337012536
Qwen3-8B	13	-0.0010116739656562679	-4.095170454545455	-0.3430424886468837	4.094158780579798
Qwen3-8B	14	-0.04334262805199507	-3.6174496644295306	-0.22130307188202525	3.5741070363775354
Qwen3-8B	15	-0.006163836231738884	-0.8390410958904109	0.03759238712608315	0.832877259658672
Qwen3-8B	16	-0.0777330861137766	-2.605512489233419	-0.3655483207114705	2.5277794031196423
Qwen3-8B	17	-0.13355338119193072	-0.7105263157894735	-0.6161208462238621	0.5769729345975427
Qwen3-8B	18	-0.5693501794382729	-7.117647058823529	-2.8439848612253864	6.548296879385256
Qwen3-8B	19	-0.4261777014580508	-0.06451612903225801	-1.4039039307379944	-0.3616615724257928
Qwen3-8B	20	-0.3881160428136776	-0.04950495049504955	-0.9293140168220022	-0.33861109231862807
Qwen3-8B	21	-0.35763701389020475	-0.055309734513274256	-0.6408993890835073	-0.3023272793769305
Qwen3-8B	22	-0.5939058766046881	-1.5422740524781342	-1.0586021985404548	0.9483681758734461
Qwen3-8B	23	-0.46276367750090275	-0.0033333333333334103	-0.5890837649132703	-0.45943034416756934
Qwen3-8B	24	-0.35116521743536544	-0.0038910505836575737	-0.31866131677859366	-0.34727416685170787
Qwen3-8B	25	-0.1344072351363954	-0.9086021505376343	-0.021068508621238102	0.7741949154012389
Qwen3-8B	26	-0.2145913028276285	-0.3525179856115108	-0.09658192604364935	0.13792668278388232
Qwen3-8B	27	-0.06664069188307553	-0.25510204081632626	-0.0014520364000814023	0.18846134893325073
Llama-3.1-8B-Instruct	3	-0.3509516745928787	-0.70607210626186	-0.3508538899430731	0.35512043166898133
Llama-3.1-8B-Instruct	4	-0.4667660836087515	-0.7536965768685435	-3.6070083046384296	0.28693049325979203
Llama-3.1-8B-Instruct	5	-0.565019973440086	-0.808210251954822	-3.7502172024326237	0.24319027851473596
Llama-3.1-8B-Instruct	6	-0.12895719253487714	-1.9305386302705334	-14.9472919267634	1.8015814377356563
Llama-3.1-8B-Instruct	7	-0.2166651653251077	-0.7947976878612719	-1.6916415541518632	0.5781325225361642
Llama-3.1-8B-Instruct	8	-0.31037763718788924	-0.8620689655172413	-0.05285081639761424	0.5516913283293521
Llama-3.1-8B-Instruct	9	-0.26321701865721203	-0.036184210526315486	-0.14317517278043934	-0.22703280813089655
Llama-3.1-8B-Instruct	10	-0.22933837183100048	-0.03806228373702436	-0.1984536953509486	-0.19127608809397612
Llama-3.1-8B-Instruct	11	-0.3171292812144748	-0.8999999999999999	-0.11345248648803263	0.5828707187855251
Llama-3.1-8B-Instruct	12	-0.41870931127566235	-1.0	-0.4186851211072571	0.5812906887243376
Llama-3.1-8B-Instruct	13	-0.4545304059525068	-0.4545075125208682	-0.45450751252086885	-2.289343163863755e-05
Llama-3.1-8B-Instruct	14	-0.315777386016328	-0.14490161001788904	-0.12106896425833291	-0.17087577599843895
Llama-3.1-8B-Instruct	15	-0.4282261489427879	-1.0773930753564156	-0.2666610273182626	0.6491669264136277
Llama-3.1-8B-Instruct	16	-0.13772755213517285	-9.726618705035971	-1.522725212995684	9.588891152900798
Llama-3.1-8B-Instruct	17	-0.0982413988652242	-0.03495145631067942	-1.3133723773156771	-0.06328994255454479
Llama-3.1-8B-Instruct	18	-0.09868186531622425	-0.05174234424498425	-0.8592321956367879	-0.04693952107124
Llama-3.1-8B-Instruct	19	-0.10045140784149309	-0.0567129629629628	-0.572567983881082	-0.04373844487853029
Llama-3.1-8B-Instruct	20	-0.04706316774565966	-0.2941176470588236	-0.6986585585296026	0.24705447931316393
Llama-3.1-8B-Instruct	21	-0.05001297522960546	-0.03644314868804677	-0.4675685603253712	-0.013569826541558694
Llama-3.1-8B-Instruct	22	-0.004817139255237857	-0.8705035971223021	-0.7562272450496104	0.8656864578670642
Llama-3.1-8B-Instruct	23	-0.0018037926759322254	-0.4242424242424243	-0.8557440075898468	0.4224386315664921
Llama-3.1-8B-Instruct	24	-1.702784754036636	-45.30188679245283	-15.701352783821452	43.59910203841619
Llama-3.1-8B-Instruct	25	-1.0889659618487157	-0.625	-9.270933431952695	-0.46396596184871575
Llama-3.1-8B-Instruct	26	-0.5699963038948312	-0.9259259259259258	-5.196407626561482	0.3559296220310946
Llama-3.1-8B-Instruct	27	-2.8533258837305286	-6.124999999999999	-13.130588195720915	3.2716741162694705
gpt-oss-20B	3	-0.6364858542782816	-0.6420438767009167	-253.5842821438488	0.005558022422635034
gpt-oss-20B	4	-0.5788248673386929	-0.24458024152480706	-88.36767059508229	-0.3342446258138858
gpt-oss-20B	5	-0.6875459145227536	-0.6974829086389063	-53.84462399005578	0.009936994116152675
gpt-oss-20B	6	-0.020977012259858263	-2.042016806722689	-0.05349568398788418	2.0210397944628307
gpt-oss-20B	7	-0.005054856163482446	-0.6761833208114201	-1.4195587654671158	0.6711284646479376
gpt-oss-20B	8	-0.00911945356894961	-0.6097560975609757	-0.3036223358523049	0.6006366439920261
gpt-oss-20B	9	-0.06145545281372522	-3.597297297297297	-2.89267506142507	3.535841844483572
gpt-oss-20B	10	-0.02152242644973068	-0.17585848074921961	-0.3122866160421707	0.15433605429948893
