method	seed	lag	r	n_pairs
cppo	4	10	0.782595	90
es	0	-10	0.751699	100
es	0	-5	0.774253	105
es	0	-1	0.791992	109
es	0	0	0.805336	110
es	0	1	0.821000	109
es	0	5	0.837416	105
es	0	10	0.849692	100
es	1	-10	0.746157	90
es	1	-5	0.745628	95
es	1	-1	0.764282	99
es	1	0	0.771750	100
es	1	1	0.769565	99
es	1	5	0.793737	95
es	1	10	0.823285	90
es	2	-10	0.698839	90
es	2	-5	0.704916	95
es	2	-1	0.748946	99
es	2	0	0.745007	100
es	2	1	0.748891	99
es	2	5	0.811219	95
es	2	10	0.844617	90
es	3	-10	0.696859	90
es	3	-5	0.748182	95
es	3	-1	0.757324	99
es	3	0	0.768823	100
es	3	1	0.766692	99
es	3	5	0.790015	95
es	3	10	0.832680	90
es	4	-10	0.715039	90
es	4	-5	0.739372	95
es	4	-1	0.768158	99
es	4	0	0.766049	100
es	4	1	0.771884	99
es	4	5	0.804145	95
es	4	10	0.842287	90
gift	0	-10	0.464126	100
gift	0	-5	0.494611	105
gift	0	-1	0.524947	109
gift	0	0	0.534561	110
gift	0	1	0.538347	109
gift	0	5	0.549307	105
gift	0	10	0.576151	100
gift	1	-10	0.532319	90
gift	1	-5	0.544468	95
gift	1	-1	0.556568	99
gift	1	0	0.567133	100
gift	1	1	0.566412	99
gift	1	5	0.591167	95
gift	1	10	0.602181	90
gift	2	-10	0.508055	90
gift	2	-5	0.521499	95
gift	2	-1	0.546158	99
gift	2	0	0.545661	100
gift	2	1	0.544366	99
gift	2	5	0.574489	95
gift	2	10	0.594082	90
gift	3	-10	0.503140	90
gift	3	-5	0.540844	95
gift	3	-1	0.551328	99
gift	3	0	0.557990	100
gift	3	1	0.576350	99
gift	3	5	0.587507	95
gift	3	10	0.601745	90
gift	4	-10	0.508160	90
gift	4	-5	0.533741	95
gift	4	-1	0.556549	99
gift	4	0	0.553603	100
gift	4	1	0.560210	99
gift	4	5	0.562464	95
gift	4	10	0.596334	90
grpo	0	-10	0.869535	290
grpo	0	-5	0.872140	295
grpo	0	-1	0.874126	299
grpo	0	0	0.873558	300
grpo	0	1	0.874856	299
grpo	0	5	0.881987	295
grpo	0	10	0.892003	290
grpo	1	-10	0.868152	290
grpo	1	-5	0.877137	295
grpo	1	-1	0.879232	299
grpo	1	0	0.881057	300
grpo	1	1	0.882742	299
grpo	1	5	0.890745	295
grpo	1	10	0.901680	290
grpo	2	-10	0.847147	290
grpo	2	-5	0.851118	295
grpo	2	-1	0.857654	299
grpo	2	0	0.859621	300
grpo	2	1	0.860208	299
grpo	2	5	0.865768	295
grpo	2	10	0.876039	290
grpo	3	-10	0.847434	290
grpo	3	-5	0.856508	295
grpo	3	-1	0.855044	299
grpo	3	0	0.855660	300
grpo	3	1	0.858154	299
grpo	3	5	0.864782	295
grpo	3	10	0.873274	290
grpo	4	-10	0.841563	290
grpo	4	-5	0.841771	295
grpo	4	-1	0.842997	299
grpo	4	0	0.842057	300
grpo	4	1	0.844018	299
grpo	4	5	0.852970	295
grpo	4	10	0.859279	290
mcgrpo	0	-10	0.496990	100
mcgrpo	0	-5	0.533783	105
mcgrpo	0	-1	0.564102	109
mcgrpo	0	0	0.574018	110
mcgrpo	0	1	0.587966	109
mcgrpo	0	5	0.602867	105
mcgrpo	0	10	0.644149	100
mcgrpo	1	-10	0.513088	90
mcgrpo	1	-5	0.545361	95
mcgrpo	1	-1	0.571901	99
mcgrpo	1	0	0.572001	100
mcgrpo	1	1	0.581594	99
mcgrpo	1	5	0.601177	95
mcgrpo	1	10	0.634668	90
mcgrpo	2	-10	0.581185	90
mcgrpo	2	-5	0.601984	95
mcgrpo	2	-1	0.608359	99
mcgrpo	2	0	0.612641	100
mcgrpo	2	1	0.615215	99
mcgrpo	2	5	0.629442	95
mcgrpo	2	10	0.653927	90
mcgrpo	3	-10	0.525611	90
mcgrpo	3	-5	0.550995	95
mcgrpo	3	-1	0.574477	99
mcgrpo	3	0	0.583931	100
mcgrpo	3	1	0.581935	99
mcgrpo	3	5	0.620632	95
mcgrpo	3	10	0.642203	90
mcgrpo	4	-10	0.554854	90
mcgrpo	4	-5	0.579343	95
mcgrpo	4	-1	0.594435	99
mcgrpo	4	0	0.594201	100
mcgrpo	4	1	0.608415	99
mcgrpo	4	5	0.633475	95
mcgrpo	4	10	0.647628	90
ngrpo	0	-10	0.714565	90
ngrpo	0	-5	0.739090	95
ngrpo	0	-1	0.749640	99
ngrpo	0	0	0.752516	100
ngrpo	0	1	0.755029	99
ngrpo	0	5	0.777796	95
ngrpo	0	10	0.811206	90
ngrpo	1	-10	0.719078	90
ngrpo	1	-5	0.730041	95
ngrpo	1	-1	0.744512	99
ngrpo	1	0	0.746782	100
ngrpo	1	1	0.754646	99
ngrpo	1	5	0.774301	95
ngrpo	1	10	0.806642	90
ngrpo	2	-10	0.721842	90
ngrpo	2	-5	0.728356	95
ngrpo	2	-1	0.728951	99
ngrpo	2	0	0.731811	100
ngrpo	2	1	0.732941	99
ngrpo	2	5	0.755149	95
ngrpo	2	10	0.780499	90
ngrpo	3	-10	0.669993	90
ngrpo	3	-5	0.702474	95
ngrpo	3	-1	0.726555	99
ngrpo	3	0	0.728356	100
ngrpo	3	1	0.738094	99
ngrpo	3	5	0.766896	95
ngrpo	3	10	0.805189	90
ngrpo	4	-10	0.723252	90
ngrpo	4	-5	0.739936	95
ngrpo	4	-1	0.762749	99
ngrpo	4	0	0.760572	100
ngrpo	4	1	0.769952	99
ngrpo	4	5	0.791911	95
ngrpo	4	10	0.813583	90
scafgrpo	0	-10	0.789081	90
scafgrpo	0	-5	0.821981	95
scafgrpo	0	-1	0.837081	99
scafgrpo	0	0	0.835762	100
scafgrpo	0	1	0.828800	99
scafgrpo	0	5	0.813675	95
scafgrpo	0	10	0.837726	90
scafgrpo	1	-10	0.776044	90
scafgrpo	1	-5	0.790008	95
scafgrpo	1	-1	0.806255	99
scafgrpo	1	0	0.812092	100
scafgrpo	1	1	0.799844	99
scafgrpo	1	5	0.796288	95
scafgrpo	1	10	0.816756	90
scafgrpo	2	-10	0.712826	90
scafgrpo	2	-5	0.750680	95
scafgrpo	2	-1	0.773742	99
scafgrpo	2	0	0.784336	100
scafgrpo	2	1	0.772109	99
scafgrpo	2	5	0.795981	95
scafgrpo	2	10	0.804338	90
scafgrpo	3	-10	0.783872	90
scafgrpo	3	-5	0.792244	95
scafgrpo	3	-1	0.789649	99
scafgrpo	3	0	0.802928	100
scafgrpo	3	1	0.783360	99
scafgrpo	3	5	0.761668	95
scafgrpo	3	10	0.778751	90
scafgrpo	4	-10	0.806611	90
scafgrpo	4	-5	0.831480	95
scafgrpo	4	-1	0.832620	99
scafgrpo	4	0	0.830121	100
scafgrpo	4	1	0.851064	99
scafgrpo	4	5	0.832828	95
scafgrpo	4	10	0.826836	90
