# Per-prompt Iso-G sizing on tinker_gsm8k (Qwen3-8B).
# Restricts to prompts with p_x in (0.05, 0.95) for finite G sizing.
# For each (problem, seed, Y_target): smallest G s.t. yield(p_x, G) >= target,
# under both the iid baseline and the empirical anti-herding-corrected base.
# G_iid=-1 or G_emp=-1 means unreachable within G_MAX=32.
# Source: scripts/zvf_iter46_isog.py
source	seed	problem_id	p_x	delta_div	Y_target	G_iid	G_emp	dG
tinker_gsm8k	42	9	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	10	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	10	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	10	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	10	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	10	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	12	0.2500	0.1001	0.50	3	3	0
tinker_gsm8k	42	12	0.2500	0.1001	0.70	5	4	1
tinker_gsm8k	42	12	0.2500	0.1001	0.80	6	5	1
tinker_gsm8k	42	12	0.2500	0.1001	0.90	9	6	3
tinker_gsm8k	42	12	0.2500	0.1001	0.95	11	7	4
tinker_gsm8k	42	13	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	13	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	13	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	13	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	13	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	14	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	14	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	14	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	14	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	14	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	15	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	15	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	15	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	15	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	15	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	16	0.3750	0.0237	0.50	3	3	0
tinker_gsm8k	42	16	0.3750	0.0237	0.70	3	3	0
tinker_gsm8k	42	16	0.3750	0.0237	0.80	4	4	0
tinker_gsm8k	42	16	0.3750	0.0237	0.90	6	5	1
tinker_gsm8k	42	16	0.3750	0.0237	0.95	7	6	1
tinker_gsm8k	42	18	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	18	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	18	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	18	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	18	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	19	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	19	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	19	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	19	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	19	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	20	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	20	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	20	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	20	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	20	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	21	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	21	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	21	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	21	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	21	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	23	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	23	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	23	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	23	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	23	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	25	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	25	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	25	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	25	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	25	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	26	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	26	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	26	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	26	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	26	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	27	0.2500	0.1001	0.50	3	3	0
tinker_gsm8k	42	27	0.2500	0.1001	0.70	5	4	1
tinker_gsm8k	42	27	0.2500	0.1001	0.80	6	5	1
tinker_gsm8k	42	27	0.2500	0.1001	0.90	9	6	3
tinker_gsm8k	42	27	0.2500	0.1001	0.95	11	7	4
tinker_gsm8k	42	28	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	28	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	28	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	28	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	28	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	29	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	29	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	29	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	29	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	29	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	30	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	30	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	30	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	30	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	30	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	32	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	32	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	32	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	32	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	32	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	33	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	33	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	33	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	33	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	33	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	34	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	34	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	34	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	34	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	34	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	35	0.3750	0.0237	0.50	3	3	0
tinker_gsm8k	42	35	0.3750	0.0237	0.70	3	3	0
tinker_gsm8k	42	35	0.3750	0.0237	0.80	4	4	0
tinker_gsm8k	42	35	0.3750	0.0237	0.90	6	5	1
tinker_gsm8k	42	35	0.3750	0.0237	0.95	7	6	1
tinker_gsm8k	42	36	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	36	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	36	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	36	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	36	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	37	0.3750	0.0237	0.50	3	3	0
tinker_gsm8k	42	37	0.3750	0.0237	0.70	3	3	0
tinker_gsm8k	42	37	0.3750	0.0237	0.80	4	4	0
tinker_gsm8k	42	37	0.3750	0.0237	0.90	6	5	1
tinker_gsm8k	42	37	0.3750	0.0237	0.95	7	6	1
tinker_gsm8k	42	38	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	38	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	38	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	38	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	38	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	39	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	39	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	39	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	39	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	39	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	40	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	40	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	40	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	40	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	40	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	41	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	41	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	41	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	41	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	41	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	42	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	42	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	42	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	42	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	42	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	43	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	43	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	43	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	43	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	43	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	45	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	45	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	45	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	45	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	45	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	46	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	46	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	46	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	46	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	46	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	47	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	47	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	47	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	47	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	47	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	49	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	49	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	49	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	49	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	49	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	50	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	50	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	50	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	50	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	50	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	51	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	51	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	51	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	51	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	51	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	52	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	52	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	52	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	52	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	52	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	53	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	53	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	53	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	53	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	53	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	54	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	54	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	54	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	54	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	54	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	56	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	56	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	56	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	56	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	56	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	57	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	57	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	57	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	57	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	57	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	58	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	58	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	58	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	58	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	58	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	60	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	60	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	60	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	60	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	60	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	61	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	61	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	61	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	61	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	61	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	62	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	62	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	62	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	62	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	62	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	63	0.2500	0.1001	0.50	3	3	0
tinker_gsm8k	42	63	0.2500	0.1001	0.70	5	4	1
tinker_gsm8k	42	63	0.2500	0.1001	0.80	6	5	1
tinker_gsm8k	42	63	0.2500	0.1001	0.90	9	6	3
tinker_gsm8k	42	63	0.2500	0.1001	0.95	11	7	4
tinker_gsm8k	42	64	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	64	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	64	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	64	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	64	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	65	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	65	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	65	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	65	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	65	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	66	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	66	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	66	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	66	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	66	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	67	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	67	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	67	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	67	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	67	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	69	0.3750	0.0237	0.50	3	3	0
tinker_gsm8k	42	69	0.3750	0.0237	0.70	3	3	0
tinker_gsm8k	42	69	0.3750	0.0237	0.80	4	4	0
tinker_gsm8k	42	69	0.3750	0.0237	0.90	6	5	1
tinker_gsm8k	42	69	0.3750	0.0237	0.95	7	6	1
tinker_gsm8k	42	71	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	71	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	71	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	71	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	71	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	72	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	72	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	72	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	72	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	72	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	74	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	74	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	74	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	74	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	74	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	75	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	75	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	75	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	75	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	75	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	77	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	77	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	77	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	77	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	77	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	79	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	79	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	79	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	79	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	79	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	80	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	80	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	80	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	80	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	80	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	81	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	81	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	81	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	81	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	81	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	82	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	82	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	82	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	82	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	82	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	83	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	83	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	83	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	83	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	83	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	85	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	85	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	85	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	85	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	85	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	86	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	86	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	86	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	86	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	86	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	87	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	87	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	87	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	87	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	87	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	88	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	88	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	88	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	88	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	88	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	89	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	89	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	89	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	89	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	89	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	91	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	91	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	91	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	91	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	91	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	92	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	92	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	92	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	92	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	92	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	93	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	93	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	93	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	93	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	93	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	94	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	94	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	94	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	94	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	94	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	95	0.8750	0.3436	0.50	6	2	4
tinker_gsm8k	42	95	0.8750	0.3436	0.70	10	4	6
tinker_gsm8k	42	95	0.8750	0.3436	0.80	13	5	8
tinker_gsm8k	42	95	0.8750	0.3436	0.90	18	7	11
tinker_gsm8k	42	95	0.8750	0.3436	0.95	23	7	16
tinker_gsm8k	42	96	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	96	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	96	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	96	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	96	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	97	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	97	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	97	0.7500	0.1001	0.80	6	5	1
