G	seed	step	zvf	advantage_variance	mean_reward	entropy	grad_norm
2	123	31	1.0	0.0	1.0	0.006683	0.0
2	123	32	1.0	0.0	1.0	0.007426	0.0
2	123	33	0.9375	0.999996	0.96875	0.016813	1.380939
2	123	34	1.0	0.0	1.0	0.006229	0.0
2	123	35	1.0	0.0	1.0	0.013488	0.0
2	123	36	1.0	0.0	1.0	0.036612	0.0
2	123	37	1.0	0.0	1.0	0.00696	0.0
2	123	38	0.9375	0.999996	0.90625	0.012775	1.183593
2	123	39	1.0	0.0	1.0	0.00934	0.0
2	456	0	0.75	0.999996	0.25	1.111061	1.076151
2	456	1	0.6875	0.999996	0.15625	0.961533	0.68255
2	456	2	0.375	0.999996	0.375	0.900381	1.561097
2	456	3	0.5625	0.999996	0.46875	0.843467	1.202597
2	456	4	0.5	0.999996	0.5	0.852394	1.356624
2	456	5	0.625	0.999996	0.5625	0.67246	0.834081
2	456	6	0.625	0.999996	0.75	0.690523	0.914842
2	456	7	0.875	0.999996	0.9375	0.571222	0.718944
2	456	8	0.5625	0.999996	0.71875	0.647664	1.495174
2	456	9	0.5625	0.999996	0.65625	0.696591	0.929096
2	456	10	0.5	0.999996	0.75	0.568199	1.91682
2	456	11	0.6875	0.999996	0.71875	0.784806	1.172238
2	456	12	0.8125	0.999996	0.90625	0.444981	1.267135
2	456	13	0.8125	0.999996	0.84375	0.273745	1.655805
2	456	14	0.8125	0.999996	0.90625	0.291246	0.57208
2	456	15	0.875	0.999996	0.875	0.266698	0.656358
2	456	16	1.0	0.0	1.0	0.134595	0.0
2	456	17	0.9375	0.999996	0.90625	0.141473	0.714933
2	456	18	0.875	0.999996	0.875	0.150775	1.286373
2	456	19	0.875	0.999996	0.9375	0.08952	2.701683
2	456	20	0.875	0.999996	0.9375	0.072028	0.863475
2	456	21	0.9375	0.999996	0.96875	0.095358	0.414284
2	456	22	0.9375	0.999996	0.96875	0.08295	1.112619
2	456	23	0.9375	0.999996	0.96875	0.077315	1.137231
2	456	24	1.0	0.0	1.0	0.035715	0.0
2	456	25	0.875	0.999996	0.9375	0.088953	1.393133
2	456	26	1.0	0.0	1.0	0.035468	0.0
2	456	27	0.9375	0.999996	0.96875	0.040622	0.92228
2	456	28	1.0	0.0	1.0	0.029296	0.0
2	456	29	0.9375	0.999996	0.96875	0.038355	2.266391
2	456	30	0.9375	0.999996	0.96875	0.060656	0.544738
2	456	31	1.0	0.0	0.9375	0.068145	0.0
2	456	32	0.875	0.999996	0.9375	0.053811	1.325537
2	456	33	1.0	0.0	1.0	0.020295	0.0
2	456	34	1.0	0.0	1.0	0.019664	0.0
2	456	35	1.0	0.0	1.0	0.01756	0.0
2	456	36	1.0	0.0	1.0	0.02585	0.0
2	456	37	1.0	0.0	1.0	0.01609	0.0
2	456	38	0.9375	0.999996	0.96875	0.041879	1.117835
2	456	39	0.9375	0.999996	0.96875	0.02278	1.127708
4	42	0	0.4375	0.999996	0.21875	0.965581	3.925644
4	42	1	0.4375	0.999996	0.265625	1.209731	1.456411
4	42	2	0.3125	0.999996	0.3125	0.968298	1.802494
4	42	3	0.0625	0.999996	0.546875	0.806384	2.567354
4	42	4	0.1875	0.999995	0.625	0.564219	1.594178
4	42	5	0.125	0.999996	0.671875	0.730479	1.621459
4	42	6	0.3125	0.999995	0.6875	0.523534	1.533249
4	42	7	0.5625	0.999996	0.75	0.50607	1.032287
4	42	8	0.6875	0.999995	0.859375	0.477554	0.942618
4	42	9	0.625	0.999995	0.84375	0.463451	0.701742
4	42	10	0.5625	0.999996	0.796875	0.38378	1.747654
4	42	11	0.75	0.999996	0.84375	0.378754	1.568519
4	42	12	0.4375	0.999996	0.828125	0.334339	1.923631
4	42	13	0.75	0.999996	0.921875	0.22122	1.493982
4	42	14	0.9375	0.999995	0.984375	0.162111	0.103669
4	42	15	0.875	0.999995	0.96875	0.085352	1.018771
4	42	16	0.6875	0.999995	0.859375	0.171999	1.765732
4	42	17	0.875	0.999995	0.96875	0.099285	0.959365
4	42	18	0.875	0.999995	0.96875	0.05471	2.262593
4	42	19	0.9375	0.999995	0.984375	0.039609	0.613875
4	42	20	0.875	0.999995	0.96875	0.051021	0.999906
4	42	21	0.9375	0.999995	0.984375	0.030618	0.002929
4	42	22	0.8125	0.999995	0.921875	0.065064	1.525843
4	42	23	0.875	0.999996	0.953125	0.056092	1.551441
4	42	24	0.9375	0.999996	0.90625	0.030096	2.393501
4	42	25	0.9375	0.999995	0.984375	0.028076	0.410884
4	42	26	1.0	0.0	1.0	0.013695	0.0
4	42	27	0.9375	0.999995	0.984375	0.011636	0.005475
4	42	28	1.0	0.0	1.0	0.011866	0.0
4	42	29	0.9375	0.999996	0.96875	0.017675	1.652393
4	42	30	0.875	0.999996	0.9375	0.015736	0.851167
4	42	31	0.9375	0.999995	0.984375	0.017107	0.000896
4	42	32	1.0	0.0	1.0	0.007392	0.0
4	42	33	0.9375	0.999995	0.953125	0.02239	1.206831
4	42	34	1.0	0.0	1.0	0.008836	0.0
4	42	35	0.9375	0.999995	0.890625	0.029921	1.002463
4	42	36	1.0	0.0	0.9375	0.01234	0.0
4	42	37	1.0	0.0	1.0	0.005836	0.0
4	42	38	1.0	0.0	1.0	0.010023	0.0
4	42	39	0.9375	0.999995	0.984375	0.007192	1.481975
4	123	0	0.5	0.999996	0.171875	1.274221	1.815055
4	123	1	0.1875	0.999995	0.28125	1.194313	2.316421
4	123	2	0.25	0.999996	0.484375	0.895058	1.517771
4	123	3	0.25	0.999995	0.40625	0.743614	1.252461
4	123	4	0.25	0.999996	0.65625	0.718864	1.348573
4	123	5	0.3125	0.999996	0.640625	0.609728	1.394058
4	123	6	0.25	0.999995	0.78125	0.691857	1.710893
4	123	7	0.5625	0.999996	0.859375	0.463425	0.806251
4	123	8	0.5	0.999996	0.8125	0.423166	1.49266
4	123	9	0.6875	0.999996	0.90625	0.375335	1.13675
4	123	10	0.8125	0.999995	0.921875	0.337458	1.65253
4	123	11	0.625	0.999995	0.828125	0.292642	1.643709
4	123	12	0.75	0.999996	0.90625	0.211554	1.464708
4	123	13	0.875	0.999996	0.890625	0.121634	0.520511
4	123	14	0.875	0.999996	0.9375	0.127849	0.697029
4	123	15	0.9375	0.999995	0.984375	0.075742	0.013427
4	123	16	1.0	0.0	1.0	0.053474	0.0
4	123	17	0.9375	0.999995	0.984375	0.070513	0.021824
4	123	18	1.0	0.0	0.9375	0.087636	0.0
4	123	19	0.75	0.999996	0.890625	0.057978	1.851154
4	123	20	0.875	0.999996	0.953125	0.071873	1.820403
4	123	21	0.875	0.999996	0.953125	0.023632	0.786033
4	123	22	0.875	0.999995	0.9375	0.0417	1.347051
4	123	23	0.9375	0.999996	0.96875	0.021763	0.888827
4	123	24	1.0	0.0	1.0	0.010162	0.0
4	123	25	0.875	0.999995	0.96875	0.01126	0.715789
4	123	26	0.9375	0.999995	0.953125	0.015635	1.147017
4	123	27	1.0	0.0	1.0	0.012294	0.0
4	123	28	0.9375	0.999996	0.96875	0.015793	3.809819
4	123	29	1.0	0.0	1.0	0.008164	0.0
4	123	30	0.9375	0.999996	0.90625	0.021343	3.463827
4	123	31	1.0	0.0	1.0	0.003987	0.0
4	123	32	1.0	0.0	1.0	0.003956	0.0
4	123	33	0.9375	0.999995	0.921875	0.028762	0.637407
4	123	34	0.9375	0.999995	0.953125	0.009488	2.121752
4	123	35	1.0	0.0	1.0	0.014481	0.0
4	123	36	0.875	0.999995	0.96875	0.01609	5.039674
4	123	37	1.0	0.0	1.0	0.002161	0.0
4	123	38	0.9375	0.999995	0.984375	0.008014	3.196704
4	123	39	1.0	0.0	1.0	0.001106	0.0
4	456	0	0.125	0.999995	0.234375	1.245843	5.570808
4	456	1	0.1875	0.999996	0.3125	1.081394	2.4242
4	456	2	0.1875	0.999996	0.375	0.796761	1.4532
4	456	3	0.125	0.999996	0.578125	0.829877	1.850241
4	456	4	0.3125	0.999996	0.546875	0.776324	1.570351
4	456	5	0.3125	0.999996	0.625	0.581828	1.708314
4	456	6	0.25	0.999996	0.75	0.492993	1.734151
4	456	7	0.5	0.999996	0.8125	0.573092	0.92115
4	456	8	0.375	0.999995	0.78125	0.496429	1.33304
4	456	9	0.5625	0.999996	0.859375	0.452329	1.35034
4	456	10	0.625	0.999996	0.84375	0.3978	1.725812
4	456	11	0.625	0.999995	0.875	0.474192	2.579702
4	456	12	0.6875	0.999996	0.90625	0.343503	0.998778
4	456	13	0.625	0.999995	0.828125	0.384853	1.04452
4	456	14	0.875	0.999996	0.953125	0.144868	0.175044
4	456	15	0.8125	0.999996	0.875	0.134097	0.850583
4	456	16	0.875	0.999995	0.96875	0.090077	0.129068
4	456	17	0.9375	0.999995	0.859375	0.124185	0.482311
4	456	18	0.875	0.999995	0.96875	0.054729	1.8102
4	456	19	0.9375	0.999995	0.984375	0.066013	1.474019
4	456	20	0.875	0.999995	0.96875	0.047502	0.359761
4	456	21	0.9375	0.999995	0.984375	0.022716	1.115946
4	456	22	0.875	0.999996	0.953125	0.043352	1.28453
4	456	23	0.875	0.999995	0.96875	0.03276	1.080128
4	456	24	1.0	0.0	1.0	0.013881	0.0
4	456	25	0.9375	0.999995	0.984375	0.011483	0.000717
4	456	26	1.0	0.0	1.0	0.011111	0.0
4	456	27	1.0	0.0	1.0	0.011418	0.0
4	456	28	1.0	0.0	1.0	0.009768	0.0
4	456	29	1.0	0.0	1.0	0.006843	0.0
4	456	30	0.9375	0.999995	0.921875	0.04499	1.610462
4	456	31	1.0	0.0	0.9375	0.036479	0.0
4	456	32	0.875	0.999995	0.96875	0.039288	2.26785
4	456	33	1.0	0.0	1.0	0.006441	0.0
4	456	34	1.0	0.0	1.0	0.004541	0.0
4	456	35	1.0	0.0	1.0	0.005097	0.0
4	456	36	1.0	0.0	1.0	0.008317	0.0
4	456	37	1.0	0.0	1.0	0.004995	0.0
4	456	38	0.9375	0.999995	0.890625	0.02863	1.041192
4	456	39	1.0	0.0	1.0	0.005884	0.0
8	42	0	0.3125	0.999995	0.140625	1.214253	3.252486
8	42	1	0.1875	0.999995	0.226562	1.06217	2.824121
8	42	2	0.0625	0.999995	0.335938	0.865448	2.066316
8	42	3	0.0625	0.999996	0.570312	0.749477	1.801315
8	42	4	0.0625	0.999995	0.664062	0.571077	1.721835
8	42	5	0.0	0.999995	0.671875	0.567735	1.831353
8	42	6	0.1875	0.999995	0.695312	0.566666	1.508908
8	42	7	0.1875	0.999995	0.804688	0.438361	1.488712
8	42	8	0.375	0.999995	0.851562	0.516089	1.656335
8	42	9	0.3125	0.999995	0.796875	0.444644	1.476399
8	42	10	0.4375	0.999995	0.84375	0.371482	0.90544
8	42	11	0.3125	0.999994	0.820312	0.272765	1.830742
8	42	12	0.625	0.999994	0.9375	0.193219	0.528586
8	42	13	0.75	0.999994	0.929688	0.12128	1.67919
8	42	14	0.8125	0.999994	0.976562	0.053222	0.492391
8	42	15	0.9375	0.999994	0.992188	0.059442	0.443241
8	42	16	0.625	0.999994	0.882812	0.078809	1.634548
8	42	17	0.875	0.999995	0.976562	0.058193	0.861969
8	42	18	0.9375	0.999994	0.992188	0.01512	0.014882
8	42	19	0.9375	0.999994	0.992188	0.011467	0.016523
8	42	20	1.0	0.0	1.0	0.016575	0.0
8	42	21	1.0	0.0	1.0	0.005852	0.0
8	42	22	0.75	0.999994	0.96875	0.010946	1.56736
8	42	23	0.875	0.999995	0.960938	0.01446	2.119935
8	42	24	0.8125	0.999995	0.945312	0.01974	1.606998
8	42	25	0.9375	0.999995	0.984375	0.016191	0.805883
8	42	26	1.0	0.0	1.0	0.00472	0.0
8	42	27	1.0	0.0	1.0	0.002519	0.0
8	42	28	1.0	0.0	0.9375	0.012415	0.0
8	42	29	1.0	0.0	1.0	0.010152	0.0
8	42	30	1.0	0.0	0.9375	0.007912	0.0
8	42	31	0.875	0.999995	0.960938	0.025386	3.286246
8	42	32	0.9375	0.999995	0.953125	0.011223	2.318043
8	42	33	0.9375	0.999994	0.992188	0.004524	0.941361
8	42	34	1.0	0.0	1.0	0.014109	0.0
8	42	35	1.0	0.0	0.9375	0.011993	0.0
8	42	36	0.9375	0.999994	0.945312	0.011447	1.298254
8	42	37	1.0	0.0	1.0	0.000681	0.0
8	42	38	1.0	0.0	1.0	0.000993	0.0
8	42	39	1.0	0.0	1.0	0.000839	0.0
8	123	0	0.125	0.999995	0.234375	1.212024	2.812283
8	123	1	0.125	0.999995	0.320312	1.073909	2.263741
8	123	2	0.0625	0.999995	0.398438	0.77987	1.731626
8	123	3	0.125	0.999995	0.429688	0.795995	1.594481
8	123	4	0.0	0.999995	0.640625	0.637613	1.862785
8	123	5	0.0625	0.999995	0.6875	0.532626	2.464757
8	123	6	0.25	0.999995	0.804688	0.571706	1.522877
8	123	7	0.0625	0.999995	0.757812	0.515177	1.522983
8	123	8	0.5	0.999995	0.90625	0.376543	1.249672
8	123	9	0.5	0.999995	0.898438	0.367679	0.938338
8	123	10	0.4375	0.999995	0.867188	0.321413	2.704091
8	123	11	0.4375	0.999995	0.875	0.277475	1.678392
8	123	12	0.625	0.999995	0.875	0.25908	1.643319
8	123	13	0.875	0.999995	0.875	0.177876	0.470637
8	123	14	0.75	0.999995	0.890625	0.149729	0.709471
8	123	15	0.9375	0.999994	0.992188	0.075907	0.039936
8	123	16	0.75	0.999994	0.96875	0.08538	1.409022
8	123	17	0.8125	0.999995	0.960938	0.098262	1.114861
8	123	18	0.875	0.999994	0.984375	0.046396	0.880549
8	123	19	0.8125	0.999995	0.945312	0.03952	3.124949
8	123	20	0.8125	0.999995	0.953125	0.032661	1.411121
8	123	21	0.9375	0.999995	0.984375	0.021306	1.486025
8	123	22	0.875	0.999995	0.953125	0.025469	2.102173
8	123	23	0.875	0.999994	0.984375	0.012888	0.827764
8	123	24	0.9375	0.999994	0.992188	0.00978	1.18215
8	123	25	1.0	0.0	1.0	0.004245	0.0
8	123	26	0.875	0.999994	0.9375	0.013958	0.870635
8	123	27	0.875	0.999994	0.984375	0.016559	1.200669
8	123	28	0.8125	0.999995	0.9375	0.021083	4.617664
8	123	29	1.0	0.0	1.0	0.007735	0.0
8	123	30	0.9375	0.999995	0.890625	0.019115	2.057725
8	123	31	1.0	0.0	1.0	0.008702	0.0
8	123	32	1.0	0.0	1.0	0.005947	0.0
8	123	33	0.9375	0.999995	0.984375	0.016389	1.236286
8	123	34	0.9375	0.999995	0.984375	0.009083	1.623264
8	123	35	0.9375	0.999994	0.992188	0.005718	1.925186
8	123	36	0.9375	0.999994	0.992188	0.006891	0.007662
8	123	37	1.0	0.0	1.0	0.003286	0.0
8	123	38	0.9375	0.999996	0.96875	0.012767	2.675942
8	123	39	0.9375	0.999994	0.992188	0.00765	0.004301
8	456	0	0.125	0.999995	0.273438	1.244863	5.616373
8	456	1	0.125	0.999996	0.367188	1.122204	2.74629
8	456	2	0.0	0.999996	0.398438	0.922352	2.052517
8	456	3	0.0625	0.999996	0.5	0.75179	1.899935
8	456	4	0.0	0.999996	0.640625	0.662995	2.397059
8	456	5	0.125	0.999995	0.75	0.644043	1.649982
8	456	6	0.25	0.999995	0.8125	0.491433	1.314059
8	456	7	0.3125	0.999995	0.789062	0.605747	1.415637
8	456	8	0.25	0.999995	0.859375	0.533453	1.150818
8	456	9	0.4375	0.999995	0.84375	0.602706	1.290989
8	456	10	0.4375	0.999995	0.835938	0.45135	1.936953
8	456	11	0.625	0.999994	0.882812	0.416093	0.730002
8	456	12	0.5	0.999995	0.90625	0.258272	1.652108
8	456	13	0.5	0.999995	0.882812	0.224364	1.619518
8	456	14	0.6875	0.999994	0.953125	0.107222	0.409491
8	456	15	0.875	0.999996	0.921875	0.123482	1.369817
8	456	16	0.75	0.999995	0.945312	0.065426	1.653383
8	456	17	0.8125	0.999995	0.859375	0.069807	1.111252
8	456	18	0.6875	0.999994	0.945312	0.042611	1.760984
8	456	19	0.9375	0.999994	0.992188	0.040705	0.693774
8	456	20	0.9375	0.999994	0.992188	0.023192	0.71644
8	456	21	0.9375	0.999994	0.992188	0.018529	0.314464
8	456	22	0.8125	0.999994	0.929688	0.03462	1.183776
8	456	23	0.75	0.999994	0.960938	0.021969	1.146879
8	456	24	0.9375	0.999994	0.992188	0.010246	1.032183
8	456	25	1.0	0.0	1.0	0.004057	0.0
8	456	26	0.875	0.999995	0.96875	0.017477	2.075363
8	456	27	1.0	0.0	1.0	0.010277	0.0
8	456	28	1.0	0.0	1.0	0.007775	0.0
8	456	29	1.0	0.0	1.0	0.002126	0.0
8	456	30	0.8125	0.999994	0.882812	0.051225	2.099949
8	456	31	1.0	0.0	0.9375	0.036663	0.0
8	456	32	0.875	0.999996	0.914062	0.034255	2.90668
8	456	33	1.0	0.0	1.0	0.00448	0.0
8	456	34	1.0	0.0	1.0	0.001369	0.0
8	456	35	0.9375	0.999994	0.992188	0.005478	1.203531
8	456	36	1.0	0.0	1.0	0.007672	0.0
8	456	37	0.9375	0.999994	0.992188	0.001087	0.000818
8	456	38	0.9375	0.999996	0.976562	0.017598	1.206607
8	456	39	0.875	0.999995	0.96875	0.019111	3.083791
16	42	0	0.0	0.999994	0.191406	1.258986	3.715765
16	42	1	0.0	0.999995	0.269531	1.191025	3.447644
16	42	2	0.0	0.999995	0.324219	0.971359	1.958331
16	42	3	0.0	0.999996	0.496094	0.707035	1.797569
16	42	4	0.0	0.999996	0.554688	0.664459	1.914231
16	42	5	0.0	0.999995	0.671875	0.587516	1.97165
16	42	6	0.0	0.999994	0.746094	0.521654	1.44876
16	42	7	0.0625	0.999994	0.847656	0.489248	1.405461
16	42	8	0.125	0.999994	0.847656	0.434643	1.413873
16	42	9	0.1875	0.999993	0.84375	0.381668	1.122116
16	42	10	0.375	0.999993	0.878906	0.390486	0.922165
16	42	11	0.0625	0.999994	0.78125	0.395256	1.740238
16	42	12	0.375	0.999993	0.910156	0.209567	1.057711
16	42	13	0.5	0.999993	0.894531	0.140687	1.573585
16	42	14	0.5625	0.999992	0.960938	0.080084	0.840389
16	42	15	0.6875	0.999992	0.976562	0.033783	0.460472
16	42	16	0.75	0.999995	0.894531	0.064864	1.782265
16	42	17	0.75	0.999992	0.980469	0.026915	1.26062
16	42	18	0.9375	0.999992	0.996094	0.009207	0.880573
16	42	19	0.8125	0.999992	0.988281	0.008169	0.196977
16	42	20	0.8125	0.999992	0.988281	0.018794	1.014593
16	42	21	1.0	0.0	1.0	0.003038	0.0
16	42	22	0.9375	0.999992	0.996094	0.009311	1.07219
16	42	23	0.875	0.999994	0.96875	0.011405	2.158405
16	42	24	0.875	0.999993	0.988281	0.018781	2.404658
16	42	25	0.875	0.999992	0.992188	0.009237	1.191187
16	42	26	0.9375	0.999992	0.996094	0.003807	1.090046
16	42	27	1.0	0.0	1.0	0.001315	0.0
16	42	28	0.9375	0.999992	0.996094	0.005708	0.963597
16	42	29	0.875	0.999995	0.976562	0.00833	3.723546
16	42	30	0.9375	0.999995	0.988281	0.004546	1.405998
16	42	31	1.0	0.0	1.0	0.004707	0.0
16	42	32	1.0	0.0	1.0	0.001324	0.0
16	42	33	0.9375	0.999996	0.976562	0.00991	2.032249
16	42	34	0.9375	0.999992	0.996094	0.003084	0.754267
16	42	35	0.875	0.999996	0.945312	0.02699	2.983181
16	42	36	0.9375	0.999994	0.992188	0.002692	1.740517
16	42	37	1.0	0.0	1.0	0.002006	0.0
16	42	38	0.9375	0.999994	0.992188	0.0031	1.810285
16	42	39	1.0	0.0	1.0	0.000263	0.0
16	123	0	0.0625	0.999994	0.171875	1.302578	3.56538
16	123	1	0.125	0.999995	0.214844	1.17892	2.516347
16	123	2	0.0	0.999996	0.441406	0.756199	1.896885
16	123	3	0.0	0.999996	0.5	0.79861	2.014585
16	123	4	0.0	0.999996	0.660156	0.619946	1.947024
16	123	5	0.0	0.999995	0.734375	0.610718	2.03353
16	123	6	0.0	0.999995	0.738281	0.521283	1.688215
16	123	7	0.1875	0.999994	0.871094	0.504262	1.328406
16	123	8	0.375	0.999994	0.902344	0.33687	1.19393
16	123	9	0.1875	0.999992	0.910156	0.356185	0.793741
16	123	10	0.375	0.999994	0.875	0.304813	1.995868
16	123	11	0.375	0.999993	0.898438	0.320287	1.297797
16	123	12	0.4375	0.999993	0.894531	0.233279	1.729309
16	123	13	0.5	0.999992	0.863281	0.161258	0.749737
16	123	14	0.625	0.999993	0.941406	0.073601	0.590703
16	123	15	0.75	0.999993	0.96875	0.052554	0.615917
16	123	16	0.6875	0.999992	0.96875	0.05446	0.765128
16	123	17	0.6875	0.999994	0.949219	0.054303	1.458109
16	123	18	0.8125	0.999994	0.960938	0.033922	1.151932
16	123	19	0.75	0.999994	0.964844	0.034291	2.541185
16	123	20	0.875	0.999993	0.988281	0.017662	1.252513
16	123	21	0.875	0.999992	0.992188	0.010684	0.36153
16	123	22	0.625	0.999993	0.9375	0.023738	2.501483
16	123	23	0.875	0.999993	0.988281	0.009714	1.271657
16	123	24	0.9375	0.999992	0.996094	0.004441	0.955774
16	123	25	1.0	0.0	1.0	0.001537	0.0
16	123	26	0.9375	0.999994	0.945312	0.007003	1.07091
16	123	27	0.9375	0.999992	0.996094	0.003416	1.114792
16	123	28	1.0	0.0	1.0	0.002197	0.0
16	123	29	0.875	0.999993	0.988281	0.009134	2.036157
16	123	30	0.875	0.999995	0.945312	0.015873	3.825671
16	123	31	0.9375	0.999992	0.996094	0.001914	0.000915
16	123	32	1.0	0.0	1.0	0.001507	0.0
16	123	33	0.9375	0.999994	0.992188	0.004958	1.290112
16	123	34	0.9375	0.999992	0.996094	0.004588	1.327742
16	123	35	1.0	0.0	1.0	0.012342	0.0
16	123	36	0.875	0.999994	0.984375	0.010058	2.491364
16	123	37	1.0	0.0	1.0	0.000408	0.0
16	123	38	0.9375	0.999996	0.957031	0.005174	3.852366
16	123	39	1.0	0.0	1.0	0.000998	0.0
16	456	0	0.125	0.999995	0.207031	1.236778	4.359409
16	456	1	0.0	0.999995	0.25	1.220686	2.785076
16	456	2	0.0625	0.999996	0.371094	0.884386	1.809247
16	456	3	0.0	0.999996	0.511719	0.816734	1.992615
16	456	4	0.0	0.999996	0.582031	0.723058	2.292285
16	456	5	0.0	0.999995	0.722656	0.64392	2.181921
16	456	6	0.0	0.999995	0.753906	0.578862	1.737925
16	456	7	0.0625	0.999994	0.792969	0.6006	1.217063
16	456	8	0.1875	0.999993	0.882812	0.478081	1.163132
16	456	9	0.125	0.999994	0.863281	0.413852	1.501534
16	456	10	0.375	0.999994	0.875	0.359934	1.554627
16	456	11	0.4375	0.999994	0.859375	0.295816	0.755335
16	456	12	0.5625	0.999994	0.90625	0.181057	1.552439
16	456	13	0.4375	0.999993	0.886719	0.149111	1.287099
16	456	14	0.625	0.999993	0.964844	0.071297	0.420967
16	456	15	0.6875	0.999993	0.953125	0.08912	1.532145
16	456	16	0.75	0.999992	0.980469	0.041542	0.944574
16	456	17	0.75	0.999992	0.859375	0.041578	1.145328
16	456	18	0.75	0.999992	0.980469	0.023852	1.401531
16	456	19	0.875	0.999994	0.976562	0.032191	2.118766
16	456	20	0.875	0.999995	0.976562	0.022832	0.805672
16	456	21	1.0	0.0	1.0	0.007346	0.0
16	456	22	0.8125	0.999993	0.925781	0.026439	1.393337
16	456	23	0.875	0.999992	0.992188	0.016565	0.522972
16	456	24	1.0	0.0	1.0	0.005608	0.0
16	456	25	1.0	0.0	1.0	0.003455	0.0
16	456	26	0.9375	0.999996	0.96875	0.018498	1.984091
16	456	27	1.0	0.0	1.0	0.008234	0.0
16	456	28	0.9375	0.999992	0.996094	0.005812	0.935914
