T_tokens	G_a	G_b	gap_log2	acc_a	acc_b	diff	diff_ci_low	diff_ci_high	retention	retention_ci_low	retention_ci_high	tost_p_eps0.02	tost_p_eps0.05	tost_p_eps0.1	tost_p_eps0.2	tost_equiv_eps0.05	wu_97_6_in_CI
16000000	4	64	4.0	0.63	0.8	-0.17	-0.23	-0.11	0.7875	0.7229	0.8571	0.0	4.4e-05	0.011108	0.836457	True	False
16000000	8	16	1.0	0.78	0.82	-0.04	-0.1	0.02	0.9512	0.8824	1.0253	0.256771	0.62804	0.975002	1.0	False	True
16000000	8	32	2.0	0.78	0.84	-0.06	-0.12	0.0	0.9286	0.8621	1.0	0.095663	0.37196	0.904337	0.999998	False	True
16000000	8	64	3.0	0.78	0.8	-0.02	-0.08	0.04	0.975	0.9036	1.0519	0.5	0.836457	0.995517	1.0	False	True
16000000	16	32	1.0	0.82	0.84	-0.02	-0.08	0.04	0.9762	0.908	1.0494	0.5	0.836457	0.995517	1.0	False	True
16000000	16	64	2.0	0.82	0.8	0.02	-0.04	0.08	1.025	0.9518	1.1039	0.904337	0.988892	0.999956	1.0	False	True
16000000	32	64	1.0	0.84	0.8	0.04	-0.02	0.1	1.05	0.9759	1.1299	0.975002	0.998359	0.999998	1.0	False	True
64000000	4	8	1.0	0.64	0.8	-0.16	-0.22	-0.1	0.8	0.7349	0.8701	2e-06	0.000163	0.024998	0.904337	True	False
64000000	4	16	2.0	0.64	0.85	-0.21	-0.27	-0.15	0.7529	0.6932	0.8171	0.0	0.0	0.000163	0.37196	True	False
64000000	4	32	3.0	0.64	0.88	-0.24	-0.3	-0.18	0.7273	0.6703	0.7882	0.0	0.0	2e-06	0.095663	True	False
64000000	4	64	4.0	0.64	0.87	-0.23	-0.29	-0.17	0.7356	0.6778	0.7976	0.0	0.0	1.1e-05	0.163543	True	False
64000000	8	16	1.0	0.8	0.85	-0.05	-0.11	0.01	0.9412	0.875	1.0122	0.163543	0.5	0.948801	1.0	False	True
64000000	8	32	2.0	0.8	0.88	-0.08	-0.14	-0.02	0.9091	0.8462	0.9765	0.024998	0.163543	0.743229	0.999956	False	True
64000000	8	64	3.0	0.8	0.87	-0.07	-0.13	-0.01	0.9195	0.8556	0.9881	0.051199	0.256771	0.836457	0.999989	False	True
64000000	16	32	1.0	0.85	0.88	-0.03	-0.09	0.03	0.9659	0.9011	1.0353	0.37196	0.743229	0.988892	1.0	False	True
64000000	16	64	2.0	0.85	0.87	-0.02	-0.08	0.04	0.977	0.9111	1.0476	0.5	0.836457	0.995517	1.0	False	True
64000000	32	64	1.0	0.88	0.87	0.01	-0.05	0.07	1.0115	0.9444	1.0833	0.836457	0.975002	0.999837	1.0	False	True
