method	seed	failure_label	failure_bin	mean_zvf	lag1_zvf_rolling_w15	slope	risk_mag	risk_csd	risk_drift	zvf_risk	zvf_risk_max
mcgrpo	2	plateau	0	0.1499	0.3366	9.3e-05	0.7110727872016187	0.24342367071091936	0.23647560918549204	0.3823287933530437	0.7110727872016187
mcgrpo	3	plateau	0	0.1441	0.3224	-0.000143	0.7181695430683517	0.21823188129949037	0.22393160218057157	0.369353124006365	0.7181695430683517
mcgrpo	0	drift	1	0.1332	0.3038	0.000488	0.7312158390991065	0.18816162100433986	0.25853440144233647	0.3651524425203692	0.7312158390991065
aero	0	plateau	0	0.2215	0.3307	0.000659	0.6156204156535869	0.2327228175737989	0.2684894543137727	0.3547454243457301	0.6156204156535869
areal	1	plateau	0	0.1232	0.2572	-0.000182	0.7428433966574473	0.12697211516506993	0.2219048726326045	0.33072005110629005	0.7428433966574473
areal	4	plateau	0	0.1241	0.2483	-0.000139	0.7418104984144137	0.11742955376731433	0.22414021475281484	0.3260859693585442	0.7418104984144137
gift	3	plateau	0	0.1151	0.2374	-1.8e-05	0.7520172359719902	0.10659532371315973	0.23051597977813365	0.3250060286038037	0.7520172359719902
gift	2	plateau	0	0.1157	0.2195	0.000219	0.7513452727249748	0.09070970888737519	0.24336842438762876	0.3194321211387058	0.7513452727249748
es	4	plateau	0	0.1191	0.1921	0.000956	0.747514522318836	0.070502234423103	0.2863454648485481	0.31677456687691186	0.747514522318836
gift	4	plateau	0	0.1173	0.2172	6e-05	0.7495474231576995	0.08883040932609612	0.23469278148577621	0.31621798790751315	0.7495474231576995
gift	0	drift	1	0.1053	0.2087	-1.3e-05	0.7628195031708752	0.08218673805893617	0.23078215486739317	0.31609565095420933	0.7628195031708752
es	1	plateau	0	0.115	0.1526	0.001068	0.7521291114395701	0.048614384504900895	0.2932606755908224	0.308598060802486	0.7521291114395701
es	0	drift	1	0.1056	0.0997	0.001385	0.7624936824854363	0.02922699210600958	0.31335084436118815	0.3060317696708733	0.7624936824854363
areal	3	plateau	0	0.1239	0.1817	0.000162	0.7420402649343216	0.06398397114762357	0.24023346024673436	0.3026507571034551	0.7420402649343216
es	2	plateau	0	0.1163	0.105	0.000916	0.7506720923354948	0.030768859357148008	0.28389954430840575	0.2973659662409036	0.7506720923354948
es	3	plateau	0	0.1151	0.0643	0.001241	0.7520172359719902	0.020694007181182916	0.30413161259771665	0.29677849690173186	0.7520172359719902
gift	1	plateau	0	0.1176	0.1419	0.000252	0.7492093644474798	0.04389782544156781	0.24519604112034188	0.2957509302790962	0.7492093644474798
areal	2	plateau	0	0.1215	0.153	6.2e-05	0.7447870416562085	0.04879972299879996	0.23480056588801326	0.2947960871738652	0.7447870416562085
aero	1	plateau	0	0.2185	0.2427	0.00039	0.6198708296204114	0.11174890826305649	0.2529387144490264	0.29242344590745695	0.6198708296204114
scafgrpo	1	plateau	0	0.3126	0.2102	0.001909	0.48110899655018263	0.08332533368784692	0.3481230064042842	0.2556199670898351	0.48110899655018263
scafgrpo	4	plateau	0	0.3208	0.106	0.002297	0.4688404321319602	0.031068484159667398	0.3749825682322257	0.2311828853658669	0.4688404321319602
scafgrpo	0	plateau	0	0.3151	-0.1721	0.00243	0.4773654805726128	0.00198331560857945	0.38437958434641306	0.2210772188453562	0.4773654805726128
scafgrpo	3	plateau	0	0.3216	0.0102	0.001581	0.46764527359127195	0.012152421052618493	0.32613904116976794	0.2115976008376444	0.46764527359127195
scafgrpo	2	plateau	0	0.3131	-0.07	0.0012	0.48036011016352737	0.005486298899450404	0.3015347839974612	0.20715813929827565	0.48036011016352737
