# Iter 42 Pillar 2 early-trace ZVF as predictor of late failure mode.
# Per-run row: early features (fp05_frac = first_pass_zvf05 / n_steps,
#   burden_05 = auc_above_zvf05, etc.) + late outcome label.
# kNN-LOO with k=3 over z-scored features predicting {collapse,
#   plateau, drift, converged}. Same taxonomy as iter 38.
# Source: scripts/zvf_iter42.py
kind	method	seed	group_size	n_steps	fp05_frac	fp07_frac	fp09_frac	early_bloom05	early_bloom07	early_bloom09	burden_05	burden_07	mean_zvf	zvf_std	zvf_lag1	last10_avg	peak	label	pred	correct
variance_mitigation	scafgrpo	3	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.3216	0.0604	0.7732	0.4073	0.4099	plateau	plateau	1
variance_mitigation	scafgrpo	4	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.3208	0.0694	0.8068	0.4093	0.4096	plateau	plateau	1
variance_mitigation	mcgrpo	0	8	110	0.8909	1.0000	1.0000	0	0	0	0.0070	0.0000	0.1332	0.1937	0.9571	0.3962	0.4020	plateau	plateau	1
variance_mitigation	mcgrpo	1	8	100	0.8800	1.0000	1.0000	0	0	0	0.0073	0.0000	0.1525	0.1978	0.9520	0.3982	0.4047	plateau	plateau	1
variance_mitigation	mcgrpo	2	8	100	0.8400	1.0000	1.0000	0	0	0	0.0080	0.0000	0.1499	0.2009	0.9592	0.3972	0.4053	plateau	plateau	1
variance_mitigation	mcgrpo	3	8	100	0.8600	1.0000	1.0000	0	0	0	0.0086	0.0000	0.1441	0.2045	0.9622	0.3980	0.3998	plateau	plateau	1
variance_mitigation	mcgrpo	4	8	100	0.8800	1.0000	1.0000	0	0	0	0.0084	0.0000	0.1505	0.1994	0.9606	0.3972	0.4018	plateau	plateau	1
variance_mitigation	gift	0	8	110	0.9455	1.0000	1.0000	0	0	0	0.0009	0.0000	0.1053	0.1613	0.9485	0.4038	0.4153	plateau	plateau	1
variance_mitigation	gift	1	8	100	0.9100	1.0000	1.0000	0	0	0	0.0010	0.0000	0.1176	0.1642	0.9425	0.4019	0.4081	plateau	plateau	1
variance_mitigation	gift	2	8	100	0.9500	1.0000	1.0000	0	0	0	0.0008	0.0000	0.1157	0.1618	0.9403	0.4031	0.4083	plateau	plateau	1
variance_mitigation	gift	3	8	100	0.9500	1.0000	1.0000	0	0	0	0.0010	0.0000	0.1151	0.1648	0.9539	0.4027	0.4100	plateau	plateau	1
variance_mitigation	gift	4	8	100	0.9400	1.0000	1.0000	0	0	0	0.0011	0.0000	0.1173	0.1621	0.9306	0.4012	0.4042	plateau	plateau	1
variance_mitigation	areal	0	8	110	0.9091	1.0000	1.0000	0	0	0	0.0011	0.0000	0.1118	0.1632	0.9495	0.4026	0.4019	plateau	plateau	1
variance_mitigation	areal	1	8	100	0.9000	1.0000	1.0000	0	0	0	0.0001	0.0000	0.1232	0.1657	0.9491	0.4057	0.4107	plateau	plateau	1
variance_mitigation	areal	2	8	100	0.9300	1.0000	1.0000	0	0	0	0.0014	0.0000	0.1215	0.1688	0.9451	0.4042	0.4113	plateau	plateau	1
variance_mitigation	areal	3	8	100	0.9400	1.0000	1.0000	0	0	0	0.0023	0.0000	0.1239	0.1692	0.9424	0.4046	0.4080	plateau	plateau	1
variance_mitigation	areal	4	8	100	0.9600	1.0000	1.0000	0	0	0	0.0016	0.0000	0.1241	0.1688	0.9418	0.4038	0.4029	plateau	plateau	1
variance_mitigation	es	0	8	110	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.1056	0.1026	0.9214	0.3897	0.3922	plateau	plateau	1
variance_mitigation	es	1	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.1150	0.1025	0.9270	0.3906	0.3922	plateau	plateau	1
variance_mitigation	es	2	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.1163	0.1005	0.9188	0.3895	0.3927	plateau	plateau	1
variance_mitigation	es	3	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.1151	0.0990	0.8951	0.3909	0.3992	plateau	plateau	1
variance_mitigation	es	4	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.1191	0.1012	0.9301	0.3892	0.3909	plateau	plateau	1
tinker_prompt_zvf	qwen3_8b_gsm8k	42	8	200	0.0050	0.0050	0.0050	1	1	1	0.0650	0.0390	0.1300	0.3363	-0.1502	0.7875	0.6969	converged	converged	1
tinker_prompt_zvf	qwen3_8b_gsm8k	123	8	200	0.0450	0.0450	0.0450	1	1	1	0.0950	0.0570	0.1900	0.3923	0.0891	0.7625	0.7125	converged	converged	1
tinker_prompt_zvf	qwen3_8b_gsm8k	456	8	200	0.0200	0.0200	0.0200	1	1	1	0.0775	0.0465	0.1550	0.3619	0.0447	0.7500	0.6731	converged	converged	1
