# Pillar 2 iter82 ZVF hazard / survival reframing
# Source: scripts/zvf_iter82.py
# Hazard: h(t) = P(collapse at t+1 | alive at t)
# Alarm threshold: ZVF > 0.5
source	method	seed	n_steps	t_fail	failed	mean_zvf	peak_zvf	zvf_run_max	zvf_iat	acc_pre_drift	mean_acc	mean_composite_ews	zvf_quartile
variance_mitigation	grpo	3	300	154	1	0.480633	0.9573	156	1	0.00134999	0.26264	0.65548	high
variance_mitigation	grpo	4	300	152	1	0.482381	0.9376	156	1	0.00100245	0.262513	0.680866	high
variance_mitigation	mcgrpo	0	110	109	1	0.133206	0.6105	8	1.1	0.00133851	0.251926	0.363129	low
variance_mitigation	mcgrpo	1	100	99	1	0.15248	0.6145	12	1	0.00139971	0.275519	0.45922	mid
variance_mitigation	mcgrpo	2	100	98	1	0.14994	0.6594	12	1.25	0.00136056	0.275426	0.360277	mid
variance_mitigation	mcgrpo	3	100	98	1	0.144115	0.6168	11	1.18182	0.00149551	0.275696	0.336108	mid
variance_mitigation	mcgrpo	4	100	99	1	0.150529	0.6458	12	1	0.00145304	0.27522	0.361114	mid
variance_mitigation	ngrpo	0	100	75	1	0.303603	0.7727	35	1	0.00242596	0.268254	0.412842	high
variance_mitigation	ngrpo	1	100	76	1	0.302016	0.8157	33	1.0303	0.00237348	0.269233	0.374852	high
variance_mitigation	ngrpo	2	100	76	1	0.299377	0.7773	34	1	0.00239913	0.268018	0.378215	high
variance_mitigation	ngrpo	3	100	77	1	0.297451	0.7862	34	1	0.00239197	0.268258	0.391397	mid
variance_mitigation	ngrpo	4	100	77	1	0.299268	0.8236	32	1.03125	0.0023673	0.268111	0.39822	mid
variance_mitigation	scafgrpo	0	100	-1	0	0.315069	0.4375	0	nan	0.00381982	0.283106	0.427467	high
variance_mitigation	scafgrpo	1	100	-1	0	0.312559	0.4379	0	nan	0.0038279	0.283793	0.449782	high
variance_mitigation	scafgrpo	2	100	-1	0	0.313074	0.4693	0	nan	0.00382493	0.284283	0.36855	high
variance_mitigation	scafgrpo	3	100	-1	0	0.321604	0.4353	0	nan	0.00381078	0.283859	0.318195	high
variance_mitigation	scafgrpo	4	100	-1	0	0.320764	0.4732	0	nan	0.00382209	0.283577	0.433742	high
