algo	seed	model	n_steps	r_first	r_last	r_mean	model_name	param_p1	param_p2	ss_res	r2	aic	bic	hit_bound
grpo	456	Qwen/Qwen2.5-0.5B	40	0.2734375	0.9921875	0.92265625	B_michaelis_menten	1.0627400013387904	1.794810728001991	0.119623	0.8724	-114.9764	-111.5986	False
grpo	456	Qwen/Qwen2.5-0.5B	40	0.2734375	0.9921875	0.92265625	C_hill_n2	0.99005331790901	2.1628032697191304	0.059786	0.9362	-142.7191	-139.3414	False
grpo	456	Qwen/Qwen2.5-0.5B	40	0.2734375	0.9921875	0.92265625	D_power_law	1.095391920773554	0.7133449937009511	0.146733	0.8435	-106.8058	-103.4281	False
grpo	456	Qwen/Qwen2.5-0.5B	40	0.2734375	0.9921875	0.92265625	E_linear	0.7703124999997255	0.007431402439034555	0.643	0.314	-47.7045	-44.3267	False
grpo	789	Qwen/Qwen2.5-0.5B	40	0.28125	0.9375	0.919140625	A_saturation_exp	0.9789758853158074	0.347752702364235	0.053333	0.9433	-147.2882	-143.9105	False
grpo	789	Qwen/Qwen2.5-0.5B	40	0.28125	0.9375	0.919140625	B_michaelis_menten	1.0572602853131252	1.7718897260923827	0.133604	0.8581	-110.5552	-107.1775	False
grpo	789	Qwen/Qwen2.5-0.5B	40	0.28125	0.9375	0.919140625	C_hill_n2	0.9864228591771947	2.1628300180989615	0.060413	0.9358	-142.3023	-138.9245	False
grpo	789	Qwen/Qwen2.5-0.5B	40	0.28125	0.9375	0.919140625	D_power_law	1.0873475020755488	0.7219248805312622	0.160883	0.8291	-103.1232	-99.7454	False
grpo	789	Qwen/Qwen2.5-0.5B	40	0.28125	0.9375	0.919140625	E_linear	0.7670072115382333	0.007421142120083502	0.647688	0.3119	-47.4139	-44.0362	False
grpo	1024	Qwen/Qwen2.5-0.5B	40	0.2109375	1.0	0.9326171875	A_saturation_exp	0.9942985963815126	0.3458555746851719	0.029286	0.9704	-171.2661	-167.8883	False
grpo	1024	Qwen/Qwen2.5-0.5B	40	0.2109375	1.0	0.9326171875	B_michaelis_menten	1.0761869031205848	1.8162734473218323	0.109545	0.8893	-118.497	-115.1192	False
grpo	1024	Qwen/Qwen2.5-0.5B	40	0.2109375	1.0	0.9326171875	C_hill_n2	1.0011930316142093	2.144348201305818	0.021237	0.9785	-184.1214	-180.7437	False
grpo	1024	Qwen/Qwen2.5-0.5B	40	0.2109375	1.0	0.9326171875	D_power_law	1.1106392414871125	0.7073355482753159	0.140426	0.8581	-108.5631	-105.1854	False
grpo	1024	Qwen/Qwen2.5-0.5B	40	0.2109375	1.0	0.9326171875	E_linear	0.7737680288457872	0.007748739446542661	0.669679	0.3234	-46.0784	-42.7006	False
ppo	42	Qwen/Qwen2.5-0.5B	40	0.140625	0.96875	0.6857421875	A_saturation_exp	1.321899710416075	0.04182070614708369	0.220124	0.9471	-90.5827	-87.2049	False
ppo	42	Qwen/Qwen2.5-0.5B	40	0.140625	0.96875	0.6857421875	B_michaelis_menten	1.999999999999998	33.86430950339598	0.248156	0.9404	-85.788	-82.4102	False
ppo	42	Qwen/Qwen2.5-0.5B	40	0.140625	0.96875	0.6857421875	C_hill_n2	1.1587851762017	13.68730270609769	0.120815	0.971	-114.5799	-111.2021	False
ppo	42	Qwen/Qwen2.5-0.5B	40	0.140625	0.96875	0.6857421875	D_power_law	1.9999999999999998	0.15636049775110308	1.314603	0.6841	-19.0987	-15.721	False
ppo	42	Qwen/Qwen2.5-0.5B	40	0.140625	0.96875	0.6857421875	E_linear	0.15063100962177878	0.02610298428681759	0.529146	0.8728	-55.4997	-52.1219	False
ppo	123	Qwen/Qwen2.5-0.5B	40	0.171875	0.9765625	0.784375	A_saturation_exp	1.048296016915887	0.09119752694544078	0.178861	0.9311	-98.886	-95.5082	False
ppo	123	Qwen/Qwen2.5-0.5B	40	0.171875	0.9765625	0.784375	B_michaelis_menten	1.349421859408697	11.416876085607587	0.214298	0.9175	-91.6555	-88.2778	False
ppo	123	Qwen/Qwen2.5-0.5B	40	0.171875	0.9765625	0.784375	C_hill_n2	1.0458639346550616	8.091409583010567	0.291893	0.8876	-79.2948	-75.9171	False
ppo	123	Qwen/Qwen2.5-0.5B	40	0.171875	0.9765625	0.784375	D_power_law	1.9999999999677402	0.1810012150487637	0.450931	0.8263	-61.8977	-58.52	False
ppo	123	Qwen/Qwen2.5-0.5B	40	0.171875	0.9765625	0.784375	E_linear	0.38734975961532037	0.019367084896812888	0.597214	0.77	-50.6593	-47.2816	False
ppo	456	Qwen/Qwen2.5-0.5B	40	0.1953125	0.828125	0.259765625	A_saturation_exp	1.9999999999981972	0.00798327950932961	1.398979	0.577	-16.6104	-13.2326	False
ppo	456	Qwen/Qwen2.5-0.5B	40	0.1953125	0.828125	0.259765625	B_michaelis_menten	1.999999999999761	115.01333949416085	1.51794	0.541	-13.3459	-9.9682	False
ppo	456	Qwen/Qwen2.5-0.5B	40	0.1953125	0.828125	0.259765625	C_hill_n2	1.9999999999979974	55.29490424105265	0.718416	0.7828	-43.2684	-39.8906	False
ppo	456	Qwen/Qwen2.5-0.5B	40	0.1953125	0.828125	0.259765625	D_power_law	1.9999999994336164	0.054030609465635725	2.515328	0.2395	6.856	10.2338	False
ppo	456	Qwen/Qwen2.5-0.5B	40	0.1953125	0.828125	0.259765625	E_linear	-0.1672175480723413	0.020828447466997285	0.995059	0.6991	-30.2382	-26.8604	False
ppo	789	Qwen/Qwen2.5-0.5B	40	0.234375	0.984375	0.7322265625	A_saturation_exp	1.0533472057323985	0.07162014082745385	0.325048	0.856	-74.9914	-71.6136	False
ppo	789	Qwen/Qwen2.5-0.5B	40	0.234375	0.984375	0.7322265625	B_michaelis_menten	1.3781391105030882	14.80087017090328	0.30238	0.866	-77.8829	-74.5052	False
ppo	789	Qwen/Qwen2.5-0.5B	40	0.234375	0.984375	0.7322265625	C_hill_n2	1.0065091932136356	9.263932620549285	0.601797	0.7334	-50.3535	-46.9758	False
ppo	789	Qwen/Qwen2.5-0.5B	40	0.234375	0.984375	0.7322265625	D_power_law	1.9999999999984426	0.16478033922699648	0.485281	0.785	-58.9612	-55.5834	False
ppo	789	Qwen/Qwen2.5-0.5B	40	0.234375	0.984375	0.7322265625	E_linear	0.33795072115384617	0.01923296787054409	0.285596	0.8735	-80.1672	-76.7894	False
ppo	1024	Qwen/Qwen2.5-0.5B	40	0.1640625	0.9453125	0.7412109375	A_saturation_exp	0.9795050704088204	0.09350434081614702	0.083386	0.959	-129.4109	-126.0332	False
ppo	1024	Qwen/Qwen2.5-0.5B	40	0.1640625	0.9453125	0.7412109375	B_michaelis_menten	1.2382921671499967	10.531018663273743	0.061255	0.9699	-141.7485	-138.3708	False
ppo	1024	Qwen/Qwen2.5-0.5B	40	0.1640625	0.9453125	0.7412109375	C_hill_n2	0.9481104138217836	6.957806008972238	0.224237	0.8898	-89.8422	-86.4645	False
ppo	1024	Qwen/Qwen2.5-0.5B	40	0.1640625	0.9453125	0.7412109375	D_power_law	1.9999999999999998	0.16776621298252592	0.192269	0.9056	-95.9946	-92.6168	False
ppo	1024	Qwen/Qwen2.5-0.5B	40	0.1640625	0.9453125	0.7412109375	E_linear	0.3688100961538423	0.018165894699812526	0.276769	0.864	-81.423	-78.0452	False
