section	task	algo	bin	len_min	len_max	len_mid	mean_reward	n_steps	seed	model
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L1	176.3750	185.9531	182.8906	0.269531	8	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L2	186.2031	190.4062	189.1339	0.321429	7	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L3	190.4219	192.6562	191.3728	0.279018	7	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L4	194.0938	196.3281	195.3047	0.230469	8	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L1	179.4219	188.9375	185.6953	0.394531	8	456	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L2	190.4062	193.4844	191.7232	0.234375	7	456	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L3	193.5781	195.2188	194.5179	0.270089	7	456	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L4	195.2656	197.5938	196.3262	0.160156	8	456	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L1	177.8594	185.8594	183.0137	0.339844	8	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L2	187.8438	191.4844	190.1942	0.285714	7	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L3	191.5312	194.8906	192.7299	0.281250	7	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L4	195.2031	199.0312	196.8496	0.181641	8	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L1	180.6406	188.3281	184.4727	0.320312	8	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L2	188.9219	190.3750	189.3438	0.256696	7	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L3	190.5000	192.9844	191.6071	0.270089	7	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	L4	193.5469	197.8281	195.3281	0.197266	8	123	Qwen/Qwen2.5-1.5B-Instruct
