G	step	n_seeds	mean_zvf	sem_zvf	mean_grad_norm	sem_grad_norm	mean_entropy	sem_entropy	mean_mean_reward	sem_mean_reward	mean_advantage_variance	sem_advantage_variance
4	14	3	0.8958	0.0208	0.3252	0.187	0.1449	0.0099	0.9583	0.0138	1.0	0.0
4	15	3	0.875	0.0361	0.6276	0.3109	0.0984	0.0181	0.9427	0.0342	1.0	0.0
4	16	3	0.8542	0.0908	0.6316	0.5683	0.1052	0.035	0.9427	0.0426	0.6667	0.3333
4	17	3	0.9167	0.0208	0.4878	0.2707	0.098	0.0155	0.9375	0.0393	1.0	0.0
4	18	3	0.9167	0.0417	1.3576	0.6912	0.0657	0.011	0.9583	0.0104	0.6667	0.3333
4	19	3	0.875	0.0625	1.313	0.3661	0.0545	0.0078	0.9531	0.0312	1.0	0.0
4	20	3	0.875	0.0	1.06	0.4227	0.0568	0.0076	0.9635	0.0052	1.0	0.0
4	21	3	0.9167	0.0208	0.635	0.3301	0.0257	0.0025	0.974	0.0104	1.0	0.0
4	22	3	0.8542	0.0208	1.3858	0.0723	0.05	0.0075	0.9375	0.009	1.0	0.0
4	23	3	0.8958	0.0208	1.1735	0.1969	0.0369	0.0101	0.9635	0.0052	1.0	0.0
4	24	3	0.9792	0.0208	0.7978	0.7978	0.018	0.0061	0.9688	0.0312	0.3333	0.3333
4	25	3	0.9167	0.0208	0.3758	0.2072	0.0169	0.0056	0.9792	0.0052	1.0	0.0
4	26	3	0.9792	0.0208	0.3823	0.3823	0.0135	0.0013	0.9844	0.0156	0.3333	0.3333
4	27	3	0.9792	0.0208	0.0018	0.0018	0.0118	0.0003	0.9948	0.0052	0.3333	0.3333
4	28	3	0.9792	0.0208	1.2699	1.2699	0.0125	0.0018	0.9896	0.0104	0.3333	0.3333
4	29	3	0.9792	0.0208	0.5508	0.5508	0.0109	0.0034	0.9896	0.0104	0.3333	0.3333
4	30	3	0.9167	0.0208	1.9752	0.7759	0.0274	0.009	0.9219	0.009	1.0	0.0
4	31	3	0.9792	0.0208	0.0003	0.0003	0.0192	0.0094	0.974	0.0188	0.3333	0.3333
4	32	3	0.9583	0.0417	0.756	0.756	0.0169	0.0112	0.9896	0.0104	0.3333	0.3333
4	33	3	0.9583	0.0208	0.6147	0.3486	0.0192	0.0066	0.9583	0.0227	0.6667	0.3333
4	34	3	0.9792	0.0208	0.7073	0.7073	0.0076	0.0016	0.9844	0.0156	0.3333	0.3333
4	35	3	0.9792	0.0208	0.3342	0.3342	0.0165	0.0072	0.9635	0.0365	0.3333	0.3333
4	36	3	0.9583	0.0417	1.6799	1.6799	0.0122	0.0022	0.9688	0.018	0.3333	0.3333
4	37	3	1.0	0.0	0.0	0.0	0.0043	0.0011	1.0	0.0	0.0	0.0
4	38	3	0.9583	0.0208	1.4126	0.9413	0.0156	0.0066	0.9583	0.0342	0.6667	0.3333
4	39	3	0.9792	0.0208	0.494	0.494	0.0047	0.0018	0.9948	0.0052	0.3333	0.3333
8	0	3	0.1875	0.0625	3.8937	0.8707	1.2237	0.0106	0.2161	0.0394	1.0	0.0
8	1	3	0.1458	0.0208	2.6114	0.1753	1.0861	0.0184	0.3047	0.0413	1.0	0.0
8	2	3	0.0417	0.0208	1.9502	0.1093	0.8559	0.0414	0.3776	0.0208	1.0	0.0
8	3	3	0.0833	0.0208	1.7652	0.09	0.7658	0.0151	0.5	0.0406	1.0	0.0
8	4	3	0.0208	0.0208	1.9939	0.2056	0.6239	0.0274	0.6484	0.0078	1.0	0.0
8	5	3	0.0625	0.0361	1.982	0.247	0.5815	0.0329	0.7031	0.0239	1.0	0.0
8	6	3	0.2292	0.0208	1.4486	0.0674	0.5433	0.026	0.7708	0.0378	1.0	0.0
8	7	3	0.1875	0.0722	1.4758	0.0317	0.5198	0.0484	0.7839	0.0138	1.0	0.0
8	8	3	0.375	0.0722	1.3523	0.1547	0.4754	0.0497	0.8724	0.0171	1.0	0.0
8	9	3	0.4167	0.0551	1.2352	0.1578	0.4717	0.0692	0.8464	0.0293	1.0	0.0
8	10	3	0.4375	0.0	1.8488	0.5211	0.3814	0.0378	0.849	0.0094	1.0	0.0
8	11	3	0.4583	0.0908	1.413	0.3443	0.3221	0.047	0.8594	0.0197	1.0	0.0
8	12	3	0.5833	0.0417	1.2747	0.3731	0.2369	0.0218	0.9062	0.018	1.0	0.0
8	13	3	0.7083	0.1102	1.2564	0.3933	0.1745	0.0298	0.8958	0.0171	1.0	0.0
8	14	3	0.75	0.0361	0.5371	0.0894	0.1034	0.0279	0.9401	0.0256	1.0	0.0
8	15	3	0.9167	0.0208	0.6177	0.3937	0.0863	0.0192	0.9688	0.0234	1.0	0.0
8	16	3	0.7083	0.0417	1.5657	0.0785	0.0765	0.0059	0.9323	0.0256	1.0	0.0
8	17	3	0.8333	0.0208	1.0294	0.0837	0.0754	0.0119	0.9323	0.0367	1.0	0.0
8	18	3	0.8333	0.0751	0.8855	0.5041	0.0347	0.0099	0.974	0.0145	1.0	0.0
8	19	3	0.8958	0.0417	1.2784	0.9437	0.0306	0.0096	0.9766	0.0156	1.0	0.0
8	20	3	0.9167	0.0551	0.7092	0.4074	0.0241	0.0047	0.9818	0.0145	0.6667	0.3333
8	21	3	0.9583	0.0208	0.6002	0.4521	0.0152	0.0048	0.9922	0.0045	0.6667	0.3333
8	22	3	0.8125	0.0361	1.6178	0.2663	0.0237	0.0069	0.9505	0.0114	1.0	0.0
8	23	3	0.8333	0.0417	1.3649	0.3886	0.0164	0.0028	0.9688	0.0078	1.0	0.0
8	24	3	0.8958	0.0417	1.2738	0.1721	0.0133	0.0032	0.9766	0.0156	1.0	0.0
8	25	3	0.9792	0.0208	0.2686	0.2686	0.0082	0.004	0.9948	0.0052	0.3333	0.3333
8	26	3	0.9167	0.0417	0.982	0.6017	0.0121	0.0038	0.9688	0.018	0.6667	0.3333
8	27	3	0.9583	0.0417	0.4002	0.4002	0.0098	0.0041	0.9948	0.0052	0.3333	0.3333
8	28	3	0.9375	0.0625	1.5392	1.5392	0.0138	0.0039	0.9583	0.0208	0.3333	0.3333
8	29	3	1.0	0.0	0.0	0.0	0.0067	0.0024	1.0	0.0	0.0	0.0
8	30	3	0.9167	0.0551	1.3859	0.6931	0.0261	0.013	0.9036	0.0171	0.6667	0.3333
8	31	3	0.9583	0.0417	1.0954	1.0954	0.0236	0.0081	0.9661	0.0182	0.3333	0.3333
8	32	3	0.9375	0.0361	1.7416	0.8872	0.0171	0.0087	0.9557	0.0248	0.6667	0.3333
8	33	3	0.9583	0.0208	0.7259	0.3728	0.0085	0.004	0.9922	0.0045	0.6667	0.3333
8	34	3	0.9792	0.0208	0.5411	0.5411	0.0082	0.0037	0.9948	0.0052	0.3333	0.3333
8	35	3	0.9583	0.0208	1.0429	0.5615	0.0077	0.0021	0.974	0.0182	0.6667	0.3333
8	36	3	0.9583	0.0208	0.4353	0.4315	0.0087	0.0014	0.9792	0.0171	0.6667	0.3333
8	37	3	0.9792	0.0208	0.0003	0.0003	0.0017	0.0008	0.9974	0.0026	0.3333	0.3333
8	38	3	0.9583	0.0208	1.2942	0.7737	0.0105	0.0049	0.9818	0.0094	0.6667	0.3333
8	39	3	0.9375	0.0361	1.0294	1.0272	0.0092	0.0053	0.987	0.0094	0.6667	0.3333
16	0	3	0.0625	0.0361	3.8802	0.2435	1.2661	0.0193	0.1901	0.0102	1.0	0.0
16	1	3	0.0417	0.0417	2.9164	0.2767	1.1969	0.0124	0.2448	0.016	1.0	0.0
16	2	3	0.0208	0.0208	1.8882	0.0433	0.8706	0.0625	0.3789	0.0341	1.0	0.0
16	3	3	0.0	0.0	1.9349	0.069	0.7741	0.034	0.5026	0.0047	1.0	0.0
16	4	3	0.0	0.0	2.0512	0.1209	0.6692	0.0299	0.599	0.0316	1.0	0.0
16	5	3	0.0	0.0	2.0624	0.0624	0.6141	0.0164	0.7096	0.0192	1.0	0.0
16	6	3	0.0	0.0	1.625	0.0893	0.5406	0.0191	0.7461	0.0045	1.0	0.0
16	7	3	0.1042	0.0417	1.317	0.0547	0.5314	0.0349	0.8372	0.0231	1.0	0.0
16	8	3	0.2292	0.0751	1.257	0.0789	0.4165	0.0418	0.8776	0.016	1.0	0.0
16	9	3	0.1667	0.0208	1.1391	0.2045	0.3839	0.0167	0.8724	0.0197	1.0	0.0
16	10	3	0.375	0.0	1.4909	0.3116	0.3517	0.0251	0.8763	0.0013	1.0	0.0
16	11	3	0.2917	0.116	1.2645	0.2848	0.3371	0.0299	0.8464	0.0345	1.0	0.0
16	12	3	0.4583	0.0551	1.4465	0.201	0.208	0.0151	0.9036	0.0047	1.0	0.0
16	13	3	0.4792	0.0208	1.2035	0.2415	0.1504	0.006	0.8815	0.0094	1.0	0.0
16	14	3	0.6042	0.0208	0.6174	0.1218	0.075	0.0026	0.9557	0.0072	1.0	0.0
16	15	3	0.7083	0.0208	0.8695	0.3343	0.0585	0.0162	0.9661	0.0069	1.0	0.0
16	16	3	0.7292	0.0208	1.164	0.3134	0.0536	0.0067	0.9479	0.0269	1.0	0.0
16	17	3	0.7292	0.0208	1.288	0.0913	0.0409	0.0079	0.9297	0.0363	1.0	0.0
16	18	3	0.8333	0.0551	1.1447	0.1504	0.0223	0.0072	0.9792	0.0102	1.0	0.0
16	19	3	0.8125	0.0361	1.619	0.7214	0.0249	0.0084	0.9766	0.0068	1.0	0.0
16	20	3	0.8542	0.0208	1.0243	0.1291	0.0198	0.0016	0.9844	0.0039	1.0	0.0
16	21	3	0.9583	0.0417	0.1205	0.1205	0.007	0.0022	0.9974	0.0026	0.3333	0.3333
16	22	3	0.7917	0.0908	1.6557	0.4329	0.0198	0.0053	0.9531	0.0217	1.0	0.0
16	23	3	0.875	0.0	1.3177	0.4727	0.0126	0.0021	0.9831	0.0072	1.0	0.0
16	24	3	0.9375	0.0361	1.1201	0.699	0.0096	0.0046	0.9948	0.0034	0.6667	0.3333
16	25	3	0.9583	0.0417	0.3971	0.3971	0.0047	0.0023	0.9974	0.0026	0.3333	0.3333
16	26	3	0.9375	0.0	1.3817	0.3013	0.0098	0.0045	0.9701	0.0147	1.0	0.0
16	27	3	0.9792	0.0208	0.3716	0.3716	0.0043	0.002	0.9987	0.0013	0.3333	0.3333
16	28	3	0.9583	0.0208	0.6332	0.3167	0.0046	0.0012	0.9974	0.0013	0.6667	0.3333
16	29	3	0.9167	0.0417	1.9199	1.0765	0.0065	0.0022	0.9883	0.0068	0.6667	0.3333
16	30	3	0.8958	0.0208	2.4888	0.71	0.0223	0.0126	0.9453	0.0248	1.0	0.0
16	31	3	0.9167	0.0551	0.3144	0.3139	0.0111	0.0079	0.9766	0.0215	0.6667	0.3333
16	32	3	0.9583	0.0417	0.428	0.428	0.0055	0.004	0.9818	0.0182	0.3333	0.3333
16	33	3	0.9583	0.0208	1.1075	0.5937	0.0056	0.0023	0.9896	0.0069	0.6667	0.3333
16	34	3	0.9583	0.0208	0.694	0.3845	0.0032	0.0008	0.9974	0.0013	0.6667	0.3333
16	35	3	0.9375	0.0361	1.183	0.9148	0.0145	0.0067	0.9805	0.0176	0.6667	0.3333
16	36	3	0.9375	0.0361	1.4106	0.7379	0.0053	0.0024	0.9922	0.0045	0.6667	0.3333
16	37	3	1.0	0.0	0.0	0.0	0.0013	0.0005	1.0	0.0	0.0	0.0
16	38	3	0.8958	0.0417	2.484	0.6842	0.008	0.0039	0.9766	0.0103	1.0	0.0
16	39	3	0.9792	0.0208	0.3836	0.3836	0.0046	0.004	0.9974	0.0026	0.3333	0.3333
