task	algo	seed	tau	slope	intercept	ols_slope	ols_pearson_r	n_steps
arithmetic_easy	dr_grpo	1024	0.5	-0.003616	1.015366	-0.271634	-0.9544	40
arithmetic_easy	dr_grpo	1024	0.75	0.006525	0.970691	-0.271634	-0.9544	40
arithmetic_easy	dr_grpo	1024	0.9	0.014113	0.939229	-0.271634	-0.9544	40
gsm8k_cot	grpo	42	0.1	0.000328	0.077238	-0.004474	-0.3947	30
gsm8k_cot	grpo	42	0.25	0.00043	0.095873	-0.004474	-0.3947	30
gsm8k_cot	grpo	42	0.5	0.000968	0.091166	-0.004474	-0.3947	30
gsm8k_cot	grpo	42	0.75	0.002038	-0.005436	-0.004474	-0.3947	30
gsm8k_cot	grpo	42	0.9	0.002898	-0.10448	-0.004474	-0.3947	30
gsm8k_cot	grpo	123	0.1	0.001066	-0.031409	-0.003128	-0.1879	30
gsm8k_cot	grpo	123	0.25	0.001304	-0.021796	-0.003128	-0.1879	30
gsm8k_cot	grpo	123	0.5	0.001445	-0.011379	-0.003128	-0.1879	30
gsm8k_cot	grpo	123	0.75	0.002916	-0.244241	-0.003128	-0.1879	30
gsm8k_cot	grpo	123	0.9	0.004143	-0.435623	-0.003128	-0.1879	30
gsm8k_cot	grpo	456	0.1	0.001596	-0.177689	-0.018973	-0.7699	30
gsm8k_cot	grpo	456	0.25	0.00082	0.009264	-0.018973	-0.7699	30
gsm8k_cot	grpo	456	0.5	0.000872	0.076419	-0.018973	-0.7699	30
gsm8k_cot	grpo	456	0.75	0.003541	-0.317232	-0.018973	-0.7699	30
gsm8k_cot	grpo	456	0.9	0.004991	-0.579306	-0.018973	-0.7699	30
gsm8k_cot	dr_grpo	42	0.1	-0.0009	0.303203	-0.010274	-0.5575	30
gsm8k_cot	dr_grpo	42	0.25	-0.000864	0.345449	-0.010274	-0.5575	30
gsm8k_cot	dr_grpo	42	0.5	-0.001198	0.474837	-0.010274	-0.5575	30
gsm8k_cot	dr_grpo	42	0.75	0.000967	0.146981	-0.010274	-0.5575	30
gsm8k_cot	dr_grpo	42	0.9	0.003577	-0.26473	-0.010274	-0.5575	30
gsm8k_cot	dr_grpo	123	0.1	0.000152	0.11782	-0.011273	-0.5924	30
gsm8k_cot	dr_grpo	123	0.25	-0.000481	0.282169	-0.011273	-0.5924	30
gsm8k_cot	dr_grpo	123	0.5	-0.000112	0.281803	-0.011273	-0.5924	30
gsm8k_cot	dr_grpo	123	0.75	0.00176	-0.023843	-0.011273	-0.5924	30
gsm8k_cot	dr_grpo	123	0.9	0.002847	-0.196668	-0.011273	-0.5924	30
gsm8k_cot	dr_grpo	456	0.1	-0.000665	0.226876	-0.019915	-0.7627	30
gsm8k_cot	dr_grpo	456	0.25	-0.000971	0.348751	-0.019915	-0.7627	30
gsm8k_cot	dr_grpo	456	0.5	-0.000663	0.362449	-0.019915	-0.7627	30
gsm8k_cot	dr_grpo	456	0.75	0.002509	-0.170416	-0.019915	-0.7627	30
gsm8k_cot	dr_grpo	456	0.9	0.003525	-0.299787	-0.019915	-0.7627	30
