# Pillar 2 Iter 66 — empirical CDF of per-step ZVF per library
# Columns: method, zvf, ecdf
method	zvf	ecdf
gift	0.34	0.8469184890656064
gift	0.36	0.8548707753479126
gift	0.38	0.8707753479125249
gift	0.4	0.882703777335984
gift	0.42	0.9005964214711729
gift	0.44	0.9085487077534792
gift	0.46	0.9224652087475149
gift	0.48	0.9363817097415507
gift	0.5	0.9622266401590457
gift	0.52	0.9761431411530815
gift	0.54	0.9940357852882704
gift	0.56	0.9960238568588469
gift	0.58	1.0
gift	0.6	1.0
gift	0.62	1.0
gift	0.64	1.0
gift	0.66	1.0
gift	0.68	1.0
gift	0.7	1.0
gift	0.72	1.0
gift	0.74	1.0
gift	0.76	1.0
gift	0.78	1.0
gift	0.8	1.0
gift	0.82	1.0
gift	0.84	1.0
gift	0.86	1.0
gift	0.88	1.0
gift	0.9	1.0
gift	0.92	1.0
gift	0.94	1.0
gift	0.96	1.0
gift	0.98	1.0
gift	1.0	1.0
grpo	0.0	0.05858585858585859
grpo	0.02	0.1111111111111111
grpo	0.04	0.18585858585858586
grpo	0.06	0.22626262626262628
grpo	0.08	0.2606060606060606
grpo	0.1	0.2868686868686869
grpo	0.12	0.298989898989899
grpo	0.14	0.31717171717171716
grpo	0.16	0.3333333333333333
grpo	0.18	0.34545454545454546
grpo	0.2	0.3575757575757576
grpo	0.22	0.36767676767676766
grpo	0.24	0.3696969696969697
grpo	0.26	0.37575757575757573
grpo	0.28	0.38181818181818183
grpo	0.3	0.3878787878787879
grpo	0.32	0.402020202020202
grpo	0.34	0.4080808080808081
grpo	0.36	0.4161616161616162
grpo	0.38	0.4303030303030303
grpo	0.4	0.4404040404040404
grpo	0.42	0.44242424242424244
grpo	0.44	0.4484848484848485
grpo	0.46	0.45656565656565656
grpo	0.48	0.46464646464646464
grpo	0.5	0.4707070707070707
grpo	0.52	0.4808080808080808
grpo	0.54	0.4909090909090909
grpo	0.56	0.49696969696969695
grpo	0.58	0.5050505050505051
grpo	0.6	0.5131313131313131
grpo	0.62	0.5232323232323233
grpo	0.64	0.5272727272727272
grpo	0.66	0.5393939393939394
grpo	0.68	0.5454545454545454
grpo	0.7	0.5656565656565656
grpo	0.72	0.5818181818181818
grpo	0.74	0.593939393939394
grpo	0.76	0.6101010101010101
grpo	0.78	0.6242424242424243
grpo	0.8	0.6444444444444445
grpo	0.82	0.6626262626262627
grpo	0.84	0.7070707070707071
grpo	0.86	0.795959595959596
grpo	0.88	0.8666666666666667
grpo	0.9	0.9454545454545454
grpo	0.92	0.9818181818181818
grpo	0.94	0.997979797979798
grpo	0.96	1.0
grpo	0.98	1.0
grpo	1.0	1.0
mcgrpo	0.0	0.27236580516898606
mcgrpo	0.02	0.4194831013916501
mcgrpo	0.04	0.510934393638171
mcgrpo	0.06	0.5785288270377733
mcgrpo	0.08	0.6222664015904572
mcgrpo	0.1	0.6381709741550696
mcgrpo	0.12	0.6640159045725647
mcgrpo	0.14	0.679920477137177
mcgrpo	0.16	0.705765407554672
mcgrpo	0.18	0.7137176938369781
mcgrpo	0.2	0.7176938369781312
mcgrpo	0.22	0.7375745526838966
mcgrpo	0.24	0.7475149105367793
mcgrpo	0.26	0.7594433399602386
mcgrpo	0.28	0.7654075546719682
mcgrpo	0.3	0.7733598409542743
mcgrpo	0.32	0.7833001988071571
mcgrpo	0.34	0.7892644135188867
mcgrpo	0.36	0.7972166998011928
mcgrpo	0.38	0.8071570576540755
mcgrpo	0.4	0.8250497017892644
mcgrpo	0.42	0.8330019880715706
mcgrpo	0.44	0.8469184890656064
mcgrpo	0.46	0.8608349900596421
mcgrpo	0.48	0.8747514910536779
mcgrpo	0.5	0.8807157057654076
mcgrpo	0.52	0.8886679920477137
mcgrpo	0.54	0.9085487077534792
mcgrpo	0.56	0.9363817097415507
mcgrpo	0.58	0.9582504970178927
mcgrpo	0.6	0.9821073558648111
mcgrpo	0.62	0.9960238568588469
mcgrpo	0.64	0.9960238568588469
mcgrpo	0.66	1.0
mcgrpo	0.68	1.0
mcgrpo	0.7	1.0
mcgrpo	0.72	1.0
mcgrpo	0.74	1.0
mcgrpo	0.76	1.0
mcgrpo	0.78	1.0
mcgrpo	0.8	1.0
mcgrpo	0.82	1.0
mcgrpo	0.84	1.0
mcgrpo	0.86	1.0
mcgrpo	0.88	1.0
mcgrpo	0.9	1.0
mcgrpo	0.92	1.0
mcgrpo	0.94	1.0
mcgrpo	0.96	1.0
mcgrpo	0.98	1.0
mcgrpo	1.0	1.0
ngrpo	0.0	0.13737373737373737
ngrpo	0.02	0.23434343434343435
ngrpo	0.04	0.3292929292929293
ngrpo	0.06	0.3898989898989899
ngrpo	0.08	0.43636363636363634
ngrpo	0.1	0.45454545454545453
ngrpo	0.12	0.46464646464646464
ngrpo	0.14	0.48282828282828283
ngrpo	0.16	0.49696969696969695
ngrpo	0.18	0.5050505050505051
ngrpo	0.2	0.5171717171717172
ngrpo	0.22	0.5292929292929293
ngrpo	0.24	0.5373737373737374
ngrpo	0.26	0.5494949494949495
ngrpo	0.28	0.5555555555555556
ngrpo	0.3	0.5696969696969697
ngrpo	0.32	0.5777777777777777
ngrpo	0.34	0.5878787878787879
ngrpo	0.36	0.597979797979798
ngrpo	0.38	0.6080808080808081
ngrpo	0.4	0.6121212121212121
ngrpo	0.42	0.6202020202020202
ngrpo	0.44	0.6262626262626263
ngrpo	0.46	0.6363636363636364
ngrpo	0.48	0.6505050505050505
ngrpo	0.5	0.6565656565656566
ngrpo	0.52	0.6626262626262627
ngrpo	0.54	0.6727272727272727
ngrpo	0.56	0.6848484848484848
ngrpo	0.58	0.692929292929293
ngrpo	0.6	0.705050505050505
ngrpo	0.62	0.7313131313131314
ngrpo	0.64	0.7515151515151515
ngrpo	0.66	0.7717171717171717
ngrpo	0.68	0.797979797979798
ngrpo	0.7	0.8242424242424242
ngrpo	0.72	0.8626262626262626
ngrpo	0.74	0.9171717171717172
ngrpo	0.76	0.9717171717171718
ngrpo	0.78	0.9919191919191919
ngrpo	0.8	0.9959595959595959
ngrpo	0.82	0.997979797979798
ngrpo	0.84	1.0
ngrpo	0.86	1.0
ngrpo	0.88	1.0
ngrpo	0.9	1.0
ngrpo	0.92	1.0
ngrpo	0.94	1.0
ngrpo	0.96	1.0
ngrpo	0.98	1.0
ngrpo	1.0	1.0
scafgrpo	0.0	0.0
scafgrpo	0.02	0.0
scafgrpo	0.04	0.0
scafgrpo	0.06	0.0
scafgrpo	0.08	0.0
scafgrpo	0.1	0.0
scafgrpo	0.12	0.0
scafgrpo	0.14	0.0
scafgrpo	0.16	0.00202020202020202
scafgrpo	0.18	0.00808080808080808
scafgrpo	0.2	0.024242424242424242
scafgrpo	0.22	0.06868686868686869
scafgrpo	0.24	0.1292929292929293
scafgrpo	0.26	0.2222222222222222
scafgrpo	0.28	0.3151515151515151
scafgrpo	0.3	0.4262626262626263
scafgrpo	0.32	0.494949494949495
scafgrpo	0.34	0.5858585858585859
scafgrpo	0.36	0.6888888888888889
scafgrpo	0.38	0.806060606060606
scafgrpo	0.4	0.8848484848484849
scafgrpo	0.42	0.9616161616161616
scafgrpo	0.44	0.9959595959595959
scafgrpo	0.46	0.9959595959595959
scafgrpo	0.48	1.0
scafgrpo	0.5	1.0
scafgrpo	0.52	1.0
scafgrpo	0.54	1.0
scafgrpo	0.56	1.0
scafgrpo	0.58	1.0
scafgrpo	0.6	1.0
scafgrpo	0.62	1.0
scafgrpo	0.64	1.0
scafgrpo	0.66	1.0
scafgrpo	0.68	1.0
scafgrpo	0.7	1.0
scafgrpo	0.72	1.0
scafgrpo	0.74	1.0
scafgrpo	0.76	1.0
scafgrpo	0.78	1.0
scafgrpo	0.8	1.0
scafgrpo	0.82	1.0
scafgrpo	0.84	1.0
scafgrpo	0.86	1.0
scafgrpo	0.88	1.0
scafgrpo	0.9	1.0
scafgrpo	0.92	1.0
scafgrpo	0.94	1.0
scafgrpo	0.96	1.0
scafgrpo	0.98	1.0
scafgrpo	1.0	1.0
