method	seed	tau	first_crossing_step	collapse_onset_step	lead_time	zvf_mean
gift	1	0.4	88	NA	NA	0.1176
gift	1	0.5	91	NA	NA	0.1176
gift	1	0.6	never	NA	NA	0.1176
gift	1	0.7	never	NA	NA	0.1176
gift	2	0.4	88	NA	NA	0.1157
gift	2	0.5	95	NA	NA	0.1157
gift	2	0.6	never	NA	NA	0.1157
gift	2	0.7	never	NA	NA	0.1157
gift	3	0.4	88	NA	NA	0.1151
gift	3	0.5	95	NA	NA	0.1151
gift	3	0.6	never	NA	NA	0.1151
gift	3	0.7	never	NA	NA	0.1151
gift	4	0.4	84	NA	NA	0.1173
gift	4	0.5	94	NA	NA	0.1173
gift	4	0.6	never	NA	NA	0.1173
gift	4	0.7	never	NA	NA	0.1173
areal	0	0.4	87	NA	NA	0.1221
areal	0	0.5	90	NA	NA	0.1221
areal	0	0.6	never	NA	NA	0.1221
areal	0	0.7	never	NA	NA	0.1221
areal	1	0.4	87	NA	NA	0.1232
areal	1	0.5	90	NA	NA	0.1232
areal	1	0.6	never	NA	NA	0.1232
areal	1	0.7	never	NA	NA	0.1232
areal	2	0.4	86	NA	NA	0.1215
areal	2	0.5	93	NA	NA	0.1215
areal	2	0.6	never	NA	NA	0.1215
areal	2	0.7	never	NA	NA	0.1215
areal	3	0.4	85	NA	NA	0.1239
areal	3	0.5	94	NA	NA	0.1239
areal	3	0.6	never	NA	NA	0.1239
areal	3	0.7	never	NA	NA	0.1239
areal	4	0.4	86	NA	NA	0.1241
areal	4	0.5	96	NA	NA	0.1241
areal	4	0.6	never	NA	NA	0.1241
areal	4	0.7	never	NA	NA	0.1241
es	0	0.4	never	NA	NA	0.1161
es	0	0.5	never	NA	NA	0.1161
es	0	0.6	never	NA	NA	0.1161
es	0	0.7	never	NA	NA	0.1161
es	1	0.4	never	NA	NA	0.1150
es	1	0.5	never	NA	NA	0.1150
es	1	0.6	never	NA	NA	0.1150
es	1	0.7	never	NA	NA	0.1150
es	2	0.4	never	NA	NA	0.1163
es	2	0.5	never	NA	NA	0.1163
es	2	0.6	never	NA	NA	0.1163
es	2	0.7	never	NA	NA	0.1163
es	3	0.4	never	NA	NA	0.1151
es	3	0.5	never	NA	NA	0.1151
es	3	0.6	never	NA	NA	0.1151
es	3	0.7	never	NA	NA	0.1151
es	4	0.4	never	NA	NA	0.1191
es	4	0.5	never	NA	NA	0.1191
es	4	0.6	never	NA	NA	0.1191
es	4	0.7	never	NA	NA	0.1191
