task	q	side	delta	ci_lo	ci_hi	p	n
arithmetic_easy	3	k=+2	0.002353202504486296	-0.2749822636089664	0.1856869861058352	0.603	5
arithmetic_easy	3	k=+3	0.00345442696868278	-0.03477515142788006	0.49623477590603965	0.583	5
arithmetic_easy	4	fwd	-0.35739076497785327	-0.5719520728619437	0.05524241288433707	0.112	5
arithmetic_easy	4	bwd	0.21028989147127963	-0.5183663138179194	0.5422725636961625	0.681	5
arithmetic_easy	4	fwd_signed	0.2132856928224098	-0.6335050315421105	0.8202445545002681	0.124	5
arithmetic_easy	4	bwd_signed	0.1212267997188714	-0.4542602758480523	0.47273942973400823	0.124	5
arithmetic_easy	4	k=-3	-0.3085271476227003	-0.5477821574240407	0.1331650832007903	0.105	5
arithmetic_easy	4	k=-2	0.0031287663686731526	-0.4450539339387551	0.5830176941398943	0.626	5
arithmetic_easy	4	k=-1	0.3625987549435431	0.11797262075386933	0.48688235361068655	0.0	5
arithmetic_easy	4	k=+0	0.017162535448462968	-0.3312709565731018	0.6176214738708405	0.648	5
arithmetic_easy	4	k=+1	0.15567473287090544	-0.11903184320678988	0.2820689895944414	0.124	5
arithmetic_easy	4	k=+2	-0.10004265159702902	-0.673358630284396	0.18544772386059605	0.606	5
arithmetic_easy	4	k=+3	0.1588854419490755	0.03125935482499746	0.5480746631865274	0.0	5
gsm8k_cot	0	fwd	0.19431236642970479	-0.5018569931561863	0.46718569313908515	0.555	3
gsm8k_cot	0	bwd	0.26149340838950763	0.010410557200413173	0.6923732988796324	0.0	3
gsm8k_cot	0	fwd_signed	-0.08752392513186388	-0.316790021676209	0.14053185402723456	0.48	3
gsm8k_cot	0	bwd_signed	0.10541529822139578	-0.3068627350090879	0.9768926934685024	0.48	3
gsm8k_cot	0	k=-3	-0.21197787873119686	-0.43378340158583417	0.18871559619807043	0.48	3
gsm8k_cot	0	k=-2	0.21219890232718483	-0.49961801694436014	0.45525375668842183	0.48	3
gsm8k_cot	0	k=-1	0.08394494311880812	0.004039685737201815	0.9766716698725144	0.0	3
gsm8k_cot	0	k=+0	-0.1367335735423323	-0.25529268169714225	0.5414311542058674	0.499	3
gsm8k_cot	0	k=+1	0.1170481508523239	-0.4093235074161976	0.25752455506958055	0.555	3
gsm8k_cot	0	k=+2	0.015507227840997395	-0.43037933419527585	0.11424846018685565	0.499	3
gsm8k_cot	0	k=+3	0.07702625789899123	-0.09076475701194497	0.08533085399383149	0.48	3
gsm8k_cot	1	fwd	0.21953099286954564	-0.02161875588571638	0.25318186266232734	0.499	3
gsm8k_cot	1	bwd	0.06721382830959999	-0.18225982895858783	0.1598138231934546	0.499	3
gsm8k_cot	1	fwd_signed	-0.35447295884740193	-0.507578658104398	0.08089069863497077	0.499	3
gsm8k_cot	1	bwd_signed	0.0673765808433392	-0.43210081562891706	0.3473284767261117	0.499	3
gsm8k_cot	1	k=-3	0.10601326125693368	0.0246029842048791	0.32420449380813376	0.0	3
gsm8k_cot	1	k=-2	0.4683875945669521	-1.2124101691583633	0.5344613275068092	0.499	3
gsm8k_cot	1	k=-1	-0.22707237909777406	-0.49168773086834905	0.4561048597213125	0.499	3
gsm8k_cot	1	k=+0	0.09225931870741486	-0.23111701887036978	0.2607370883002702	0.555	3
gsm8k_cot	1	k=+1	-0.4859140679840768	-0.5189036095418045	0.21696333122686046	0.48	3
gsm8k_cot	1	k=+2	0.10553380760071421	-0.18231453377260526	0.5355087136131043	0.48	3
gsm8k_cot	1	k=+3	-0.1271983977210353	-0.38912175630165713	0.06428559456367101	0.499	3
gsm8k_cot	2	fwd	-0.04101275606980623	-0.8683958865712483	0.5023065438206846	0.555	3
gsm8k_cot	2	bwd	0.00893801767868091	-0.4137609840824462	1.2512836662805333	0.48	3
gsm8k_cot	2	fwd_signed	0.5398527927791816	-0.3324952098039876	0.7608666008227253	0.555	3
gsm8k_cot	2	bwd_signed	0.19362880394375737	0.1405387523911263	0.784928128211119	0.0	3
gsm8k_cot	2	k=-3	0.0	-0.23317776903470724	0.0	1.445	3
gsm8k_cot	2	k=-2	0.3036948940131018	0.25048870713862403	0.3566620090771565	0.0	3
gsm8k_cot	2	k=-1	-0.10994995474749775	-0.11006609006934441	0.6614438881686697	0.555	3
gsm8k_cot	2	k=+0	-0.10498219143250434	-0.608662740344014	-0.08788067613843288	0.0	3
gsm8k_cot	2	k=+1	-0.05376464287426153	-0.18368700699723534	0.35591275154510976	0.499	3
gsm8k_cot	2	k=+2	0.18394004123407193	-0.23371386981510078	0.8146312436969868	0.555	3
gsm8k_cot	2	k=+3	0.0	0.0	0.08490566700834853	1.445	3
gsm8k_cot	3	fwd	0.08008898455149893	0.029187778371690287	1.3119197659676574	0.0	3
gsm8k_cot	3	bwd	-0.7045129094153733	-1.0107212214295778	-0.5625759788879736	0.0	3
gsm8k_cot	3	fwd_signed	0.11367487686220146	-0.23765484721792826	0.7108824380225306	0.499	3
