step	G	n_seeds	seed_std	seed_mad	seed_iqr	predicted_mc_std	sigma_A_emp_per_seed	sigma_A_empirical_div_predicted_MC
21	16	3	0.0037	0.0026	0.0078	0.2500	0.5773	2.3094
22	2	3	0.0255	0.0208	0.0625	0.7071	0.5773	0.8165
22	4	3	0.0128	0.0104	0.0312	0.5000	1.0000	2.0000
22	8	3	0.0161	0.0130	0.0391	0.3536	1.0000	2.8284
22	16	3	0.0308	0.0234	0.0703	0.2500	1.0000	4.0000
23	2	3	0.0147	0.0104	0.0312	0.7071	0.8165	1.1547
23	4	3	0.0074	0.0052	0.0156	0.5000	1.0000	2.0000
23	8	3	0.0110	0.0078	0.0234	0.3536	1.0000	2.8284
23	16	3	0.0103	0.0078	0.0234	0.2500	1.0000	4.0000
24	2	3	0.0442	0.0312	0.0938	0.7071	0.5773	0.8165
24	4	3	0.0442	0.0312	0.0938	0.5000	0.5773	1.1547
24	8	3	0.0221	0.0156	0.0469	0.3536	1.0000	2.8284
24	16	3	0.0049	0.0039	0.0117	0.2500	0.8165	3.2660
25	2	3	0.0147	0.0104	0.0312	0.7071	1.0000	1.4142
25	4	3	0.0074	0.0052	0.0156	0.5000	1.0000	2.0000
25	8	3	0.0074	0.0052	0.0156	0.3536	0.5773	1.6330
25	16	3	0.0037	0.0026	0.0078	0.2500	0.5773	2.3094
26	2	3	0.0147	0.0104	0.0312	0.7071	0.8165	1.1547
26	4	3	0.0221	0.0156	0.0469	0.5000	0.5773	1.1547
26	8	3	0.0255	0.0208	0.0625	0.3536	0.8165	2.3094
26	16	3	0.0208	0.0169	0.0508	0.2500	1.0000	4.0000
27	2	3	0.0147	0.0104	0.0312	0.7071	0.5773	0.8165
27	4	3	0.0074	0.0052	0.0156	0.5000	0.5773	1.1547
27	8	3	0.0074	0.0052	0.0156	0.3536	0.5773	1.6330
27	16	3	0.0018	0.0013	0.0039	0.2500	0.5773	2.3094
28	2	3	0.0255	0.0208	0.0625	0.7071	0.5773	0.8165
28	4	3	0.0147	0.0104	0.0312	0.5000	0.5773	1.1547
28	8	3	0.0295	0.0208	0.0625	0.3536	0.5773	1.6330
28	16	3	0.0018	0.0013	0.0039	0.2500	0.8165	3.2660
29	2	3	0.0147	0.0104	0.0312	0.7071	0.5773	0.8165
29	4	3	0.0147	0.0104	0.0312	0.5000	0.5773	1.1547
29	8	3	0.0000	0.0000	0.0000	0.3536	0.0000	0.0000
29	16	3	0.0096	0.0078	0.0234	0.2500	0.8165	3.2660
30	2	3	0.0531	0.0417	0.1250	0.7071	0.5773	0.8165
30	4	3	0.0128	0.0104	0.0312	0.5000	1.0000	2.0000
30	8	3	0.0242	0.0182	0.0547	0.3536	0.8165	2.3094
30	16	3	0.0351	0.0286	0.0859	0.2500	1.0000	4.0000
31	2	3	0.0295	0.0208	0.0625	0.7071	0.0000	0.0000
31	4	3	0.0266	0.0208	0.0625	0.5000	0.5773	1.1547
31	8	3	0.0258	0.0208	0.0625	0.3536	0.5773	1.6330
31	16	3	0.0304	0.0221	0.0664	0.2500	0.8165	3.2660
32	2	3	0.0295	0.0208	0.0625	0.7071	0.5773	0.8165
32	4	3	0.0147	0.0104	0.0312	0.5000	0.5773	1.1547
32	8	3	0.0351	0.0286	0.0859	0.3536	0.8165	2.3094
32	16	3	0.0258	0.0182	0.0547	0.2500	0.5773	2.3094
33	2	3	0.0147	0.0104	0.0312	0.7071	0.8165	1.1547
33	4	3	0.0321	0.0260	0.0781	0.5000	0.8165	1.6330
33	8	3	0.0064	0.0052	0.0156	0.3536	0.8165	2.3094
33	16	3	0.0097	0.0078	0.0234	0.2500	0.8165	3.2660
34	2	3	0.0000	0.0000	0.0000	0.7071	0.0000	0.0000
34	4	3	0.0221	0.0156	0.0469	0.5000	0.5773	1.1547
34	8	3	0.0074	0.0052	0.0156	0.3536	0.5773	1.6330
34	16	3	0.0018	0.0013	0.0039	0.2500	0.8165	3.2660
35	2	3	0.0442	0.0312	0.0938	0.7071	0.5773	0.8165
35	4	3	0.0516	0.0365	0.1094	0.5000	0.5773	1.1547
35	8	3	0.0258	0.0182	0.0547	0.3536	0.8165	2.3094
35	16	3	0.0249	0.0182	0.0547	0.2500	0.8165	3.2660
36	2	3	0.0442	0.0312	0.0938	0.7071	0.5773	0.8165
36	4	3	0.0255	0.0208	0.0625	0.5000	0.5773	1.1547
36	8	3	0.0242	0.0182	0.0547	0.3536	0.8165	2.3094
36	16	3	0.0064	0.0052	0.0156	0.2500	0.8165	3.2660
37	2	3	0.0000	0.0000	0.0000	0.7071	0.0000	0.0000
37	4	3	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000
37	8	3	0.0037	0.0026	0.0078	0.3536	0.5773	1.6330
37	16	3	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000
38	2	3	0.0390	0.0312	0.0938	0.7071	0.8165	1.1547
38	4	3	0.0483	0.0365	0.1094	0.5000	0.8165	1.6330
38	8	3	0.0133	0.0104	0.0312	0.3536	0.8165	2.3094
38	16	3	0.0146	0.0117	0.0352	0.2500	1.0000	4.0000
39	2	3	0.0147	0.0104	0.0312	0.7071	0.5773	0.8165
39	4	3	0.0074	0.0052	0.0156	0.5000	0.5773	1.1547
39	8	3	0.0133	0.0104	0.0312	0.3536	0.8165	2.3094
39	16	3	0.0037	0.0026	0.0078	0.2500	0.5773	2.3094
