# Pillar 2 iter82 survival S(t) by ZVF quartile (pooled across all methods)
# Source: scripts/zvf_iter82.py
group	t	S
by_method:es	40	1.0000
by_method:es	45	1.0000
by_method:es	50	1.0000
by_method:es	55	1.0000
by_method:es	60	1.0000
by_method:es	65	1.0000
by_method:es	70	1.0000
by_method:es	75	1.0000
by_method:es	80	1.0000
by_method:es	85	1.0000
by_method:es	90	1.0000
by_method:es	95	1.0000
by_method:es	100	1.0000
by_method:es	105	1.0000
by_method:es	110	1.0000
by_method:gift	0	1.0000
by_method:gift	5	1.0000
by_method:gift	10	1.0000
by_method:gift	15	1.0000
by_method:gift	20	1.0000
by_method:gift	25	1.0000
by_method:gift	30	1.0000
by_method:gift	35	1.0000
by_method:gift	40	1.0000
by_method:gift	45	1.0000
by_method:gift	50	1.0000
by_method:gift	55	1.0000
by_method:gift	60	1.0000
by_method:gift	65	1.0000
by_method:gift	70	1.0000
by_method:gift	75	1.0000
by_method:gift	80	1.0000
by_method:gift	85	1.0000
by_method:gift	90	1.0000
by_method:gift	95	1.0000
by_method:gift	100	1.0000
by_method:gift	105	1.0000
by_method:gift	110	1.0000
by_method:groupsize	0	1.0000
by_method:groupsize	5	1.0000
by_method:groupsize	10	1.0000
by_method:groupsize	15	1.0000
by_method:groupsize	20	0.0000
by_method:groupsize	25	0.0000
by_method:groupsize	30	0.0000
by_method:groupsize	35	0.0000
by_method:groupsize	40	0.0000
by_method:grpo	0	1.0000
by_method:grpo	5	1.0000
by_method:grpo	10	1.0000
by_method:grpo	15	1.0000
by_method:grpo	20	1.0000
by_method:grpo	25	1.0000
by_method:grpo	30	1.0000
by_method:grpo	35	1.0000
by_method:grpo	40	1.0000
by_method:grpo	45	1.0000
by_method:grpo	50	1.0000
by_method:grpo	55	1.0000
by_method:grpo	60	1.0000
by_method:grpo	65	1.0000
by_method:grpo	70	1.0000
by_method:grpo	75	1.0000
by_method:grpo	80	1.0000
by_method:grpo	85	1.0000
by_method:grpo	90	1.0000
by_method:grpo	95	1.0000
by_method:grpo	100	1.0000
by_method:grpo	105	1.0000
by_method:grpo	110	1.0000
by_method:grpo	115	1.0000
by_method:grpo	120	1.0000
by_method:grpo	125	1.0000
by_method:grpo	130	1.0000
by_method:grpo	135	1.0000
by_method:grpo	140	1.0000
by_method:grpo	145	1.0000
by_method:grpo	150	1.0000
by_method:grpo	155	0.0000
by_method:grpo	160	0.0000
by_method:grpo	165	0.0000
by_method:grpo	170	0.0000
by_method:grpo	175	0.0000
by_method:grpo	180	0.0000
by_method:grpo	185	0.0000
by_method:grpo	190	0.0000
by_method:grpo	195	0.0000
by_method:grpo	200	0.0000
by_method:grpo	205	0.0000
by_method:grpo	210	0.0000
by_method:grpo	215	0.0000
by_method:grpo	220	0.0000
by_method:grpo	225	0.0000
by_method:grpo	230	0.0000
by_method:grpo	235	0.0000
by_method:grpo	240	0.0000
by_method:grpo	245	0.0000
by_method:grpo	250	0.0000
by_method:grpo	255	0.0000
by_method:grpo	260	0.0000
by_method:grpo	265	0.0000
by_method:grpo	270	0.0000
by_method:grpo	275	0.0000
by_method:grpo	280	0.0000
by_method:grpo	285	0.0000
by_method:grpo	290	0.0000
by_method:grpo	295	0.0000
by_method:grpo	300	0.0000
by_method:mcgrpo	0	1.0000
by_method:mcgrpo	5	1.0000
by_method:mcgrpo	10	1.0000
by_method:mcgrpo	15	1.0000
by_method:mcgrpo	20	1.0000
by_method:mcgrpo	25	1.0000
by_method:mcgrpo	30	1.0000
by_method:mcgrpo	35	1.0000
by_method:mcgrpo	40	1.0000
by_method:mcgrpo	45	1.0000
by_method:mcgrpo	50	1.0000
by_method:mcgrpo	55	1.0000
by_method:mcgrpo	60	1.0000
by_method:mcgrpo	65	1.0000
by_method:mcgrpo	70	1.0000
by_method:mcgrpo	75	1.0000
by_method:mcgrpo	80	1.0000
by_method:mcgrpo	85	1.0000
by_method:mcgrpo	90	1.0000
by_method:mcgrpo	95	1.0000
by_method:mcgrpo	100	0.2000
by_method:mcgrpo	105	0.2000
by_method:mcgrpo	110	0.0000
by_method:ngrpo	0	1.0000
by_method:ngrpo	5	1.0000
by_method:ngrpo	10	1.0000
by_method:ngrpo	15	1.0000
by_method:ngrpo	20	1.0000
by_method:ngrpo	25	1.0000
by_method:ngrpo	30	1.0000
by_method:ngrpo	35	1.0000
by_method:ngrpo	40	1.0000
by_method:ngrpo	45	1.0000
by_method:ngrpo	50	1.0000
by_method:ngrpo	55	1.0000
by_method:ngrpo	60	1.0000
by_method:ngrpo	65	1.0000
by_method:ngrpo	70	1.0000
by_method:ngrpo	75	0.8000
by_method:ngrpo	80	0.0000
by_method:ngrpo	85	0.0000
by_method:ngrpo	90	0.0000
by_method:ngrpo	95	0.0000
by_method:ngrpo	100	0.0000
by_method:scafgrpo	0	1.0000
by_method:scafgrpo	5	1.0000
by_method:scafgrpo	10	1.0000
by_method:scafgrpo	15	1.0000
by_method:scafgrpo	20	1.0000
by_method:scafgrpo	25	1.0000
by_method:scafgrpo	30	1.0000
by_method:scafgrpo	35	1.0000
by_method:scafgrpo	40	1.0000
by_method:scafgrpo	45	1.0000
by_method:scafgrpo	50	1.0000
by_method:scafgrpo	55	1.0000
by_method:scafgrpo	60	1.0000
by_method:scafgrpo	65	1.0000
by_method:scafgrpo	70	1.0000
by_method:scafgrpo	75	1.0000
by_method:scafgrpo	80	1.0000
by_method:scafgrpo	85	1.0000
by_method:scafgrpo	90	1.0000
by_method:scafgrpo	95	1.0000
by_method:scafgrpo	100	1.0000
by_method:tinker_gsm8k	0	1.0000
by_method:tool_use	0	1.0000
by_method:tool_use	5	1.0000
