framework	method	n_entries	entry_ids
verl	delta_reinforce	1	delta:delta_reinforce
verl	delta_scafgrpo	1	delta:delta_scafgrpo
verl	delta_tool_use_llama-8b-inst	1	delta:delta_tool_use_llama-8b-inst
verl	delta_tool_use_qwen3-32b	1	delta:delta_tool_use_qwen3-32b
verl	drgrpo	0	NONE
verl	es	0	NONE
verl	gift	0	NONE
verl	grpo	1	verl_grpo_qwen3-8b_gsm8k
verl	gspo	0	NONE
verl	mcgrpo	0	NONE
verl	ngrpo	0	NONE
verl	ppo-reinforce	0	NONE
verl	scafgrpo	0	NONE
verl	tool_use_llama-8b-inst	0	NONE
verl	tool_use_qwen3-32b	0	NONE
worktree-zvf130-batch	aero	1	zvf130_aero
worktree-zvf130-batch	areal	1	zvf130_areal
worktree-zvf130-batch	cppo	1	zvf130_cppo
worktree-zvf130-batch	dapo	0	NONE
worktree-zvf130-batch	delta_adaptiveg	1	delta:delta_adaptiveg
worktree-zvf130-batch	delta_aero	1	delta:delta_aero
worktree-zvf130-batch	delta_areal	1	delta:delta_areal
worktree-zvf130-batch	delta_cppo	1	delta:delta_cppo
worktree-zvf130-batch	delta_dapo	1	delta:delta_dapo
worktree-zvf130-batch	delta_drgrpo	1	delta:delta_drgrpo
worktree-zvf130-batch	delta_es	1	delta:delta_es
worktree-zvf130-batch	delta_gift	1	delta:delta_gift
worktree-zvf130-batch	delta_gspo	1	delta:delta_gspo
worktree-zvf130-batch	delta_liteppo	1	delta:delta_liteppo
worktree-zvf130-batch	delta_mcgrpo	1	delta:delta_mcgrpo
worktree-zvf130-batch	delta_ngrpo	1	delta:delta_ngrpo
worktree-zvf130-batch	delta_ppo	1	delta:delta_ppo
worktree-zvf130-batch	delta_ppo_reinforce	1	delta:delta_ppo_reinforce
worktree-zvf130-batch	delta_reinforce	1	delta:delta_reinforce
worktree-zvf130-batch	delta_scafgrpo	1	delta:delta_scafgrpo
worktree-zvf130-batch	delta_tool_use_llama-8b-inst	1	delta:delta_tool_use_llama-8b-inst
worktree-zvf130-batch	delta_tool_use_qwen3-32b	1	delta:delta_tool_use_qwen3-32b
worktree-zvf130-batch	drgrpo	0	NONE
worktree-zvf130-batch	es	1	zvf130_es
worktree-zvf130-batch	gift	1	zvf130_gift
worktree-zvf130-batch	grpo	1	zvf130_grpo
worktree-zvf130-batch	gspo	0	NONE
worktree-zvf130-batch	mcgrpo	1	zvf130_mcgrpo
worktree-zvf130-batch	ngrpo	1	zvf130_ngrpo
worktree-zvf130-batch	ppo-reinforce	0	NONE
worktree-zvf130-batch	scafgrpo	1	zvf130_scafgrpo
worktree-zvf130-batch	tool_use_llama-8b-inst	1	zvf130_tool_use_llama-8b-inst
worktree-zvf130-batch	tool_use_qwen3-32b	1	zvf130_tool_use_qwen3-32b
