cell_id	mutation_id	mutation_name	n_checks_failed	flipped_check_ids	caught
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	M6	seed_swap	1	C06	1
