method	pillar	step	metric
aero	P6	7	-0.625000
aero	P6	8	-0.687500
aero	P6	9	-0.625000
aero	P6	10	-0.750000
aero	P6	11	-0.562500
aero	P6	12	-0.687500
aero	P6	13	-0.562500
aero	P6	14	-0.750000
aero	P6	15	-0.812500
aero	P6	16	-0.562500
aero	P6	17	-0.562500
aero	P6	18	-0.625000
aero	P6	19	-0.625000
aero	P6	20	-0.625000
aero	P6	21	-0.812500
aero	P6	22	-0.687500
aero	P6	23	-0.812500
aero	P6	24	-0.812500
aero	P6	25	-0.687500
aero	P6	26	-0.875000
aero	P6	27	-0.937500
aero	P6	28	-0.812500
aero	P6	29	-0.875000
aero	P6	30	-0.812500
aero	P6	31	-0.812500
aero	P6	32	-0.750000
aero	P6	33	-0.625000
aero	P6	34	-0.875000
aero	P6	35	-0.812500
aero	P6	36	-0.812500
aero	P6	37	-0.687500
aero	P6	38	-0.687500
aero	P6	39	-0.625000
areal	P6	0	-0.687500
areal	P6	1	-0.500000
areal	P6	2	-0.687500
areal	P6	3	-0.687500
areal	P6	4	-0.500000
areal	P6	5	-0.750000
areal	P6	6	-0.687500
areal	P6	7	-0.875000
areal	P6	8	-0.625000
areal	P6	9	-0.687500
areal	P6	10	-0.687500
areal	P6	11	-0.500000
areal	P6	12	-0.812500
areal	P6	13	-0.562500
areal	P6	14	-0.687500
areal	P6	15	-0.687500
areal	P6	16	-0.625000
areal	P6	17	-0.500000
areal	P6	18	-0.562500
areal	P6	19	-0.750000
areal	P6	20	-0.687500
areal	P6	21	-0.687500
areal	P6	22	-0.812500
areal	P6	23	-0.812500
areal	P6	24	-0.875000
areal	P6	25	-0.625000
areal	P6	26	-0.875000
areal	P6	27	-0.937500
areal	P6	28	-0.875000
areal	P6	29	-0.812500
areal	P6	30	-0.750000
areal	P6	31	-0.562500
areal	P6	32	-0.750000
areal	P6	33	-0.625000
areal	P6	34	-0.687500
areal	P6	35	-0.812500
areal	P6	36	-0.750000
areal	P6	37	-0.687500
areal	P6	38	-0.812500
areal	P6	39	-0.750000
gift	P6	0	-0.750000
gift	P6	1	-0.562500
gift	P6	2	-0.687500
gift	P6	3	-0.562500
gift	P6	4	-0.687500
gift	P6	5	-0.625000
gift	P6	6	-0.750000
gift	P6	7	-0.687500
gift	P6	8	-0.625000
gift	P6	9	-0.625000
gift	P6	10	-0.750000
gift	P6	11	-0.625000
gift	P6	12	-0.750000
gift	P6	13	-0.562500
gift	P6	14	-0.812500
gift	P6	15	-0.625000
gift	P6	16	-0.625000
gift	P6	17	-0.750000
gift	P6	18	-0.625000
gift	P6	19	-0.750000
gift	P6	20	-0.687500
gift	P6	21	-0.750000
gift	P6	22	-0.875000
gift	P6	23	-0.875000
gift	P6	24	-0.875000
gift	P6	25	-0.750000
gift	P6	26	-0.812500
gift	P6	27	-0.937500
gift	P6	28	-0.875000
gift	P6	29	-0.937500
gift	P6	30	-0.875000
gift	P6	31	-0.937500
gift	P6	32	-0.750000
gift	P6	33	-0.937500
gift	P6	34	-1.000000
gift	P6	35	-0.937500
gift	P6	36	-0.937500
gift	P6	37	-0.875000
gift	P6	38	-0.937500
gift	P6	39	-0.812500
grpo	P7	0	10.366859
grpo	P7	1	10.466540
grpo	P7	2	10.566222
grpo	P7	3	10.167496
grpo	P7	4	10.267178
grpo	P7	5	8.771958
grpo	P7	6	10.167496
grpo	P7	7	9.071002
grpo	P7	8	9.270364
grpo	P7	9	11.263991
grpo	P7	10	11.263991
grpo	P7	11	9.170683
grpo	P7	12	12.061442
grpo	P7	13	9.469727
grpo	P7	14	11.164310
grpo	P7	15	10.865266
grpo	P7	16	9.370046
grpo	P7	17	10.765584
grpo	P7	18	8.273551
grpo	P7	19	9.968134
grpo	P7	20	10.566222
grpo	P7	21	10.964947
grpo	P7	22	11.263991
grpo	P7	23	11.263991
grpo	P7	24	11.862079
grpo	P7	25	10.067815
grpo	P7	26	11.164310
grpo	P7	27	12.360486
grpo	P7	28	11.463354
grpo	P7	29	12.161123
grpo	P7	30	11.961760
grpo	P7	31	11.662716
grpo	P7	32	11.363672
grpo	P7	33	11.164310
grpo	P7	34	11.463354
grpo	P7	35	10.964947
grpo	P7	36	11.463354
grpo	P7	37	9.270364
grpo	P7	38	10.267178
grpo	P7	39	10.267178
aero	P7	0	9.859270
aero	P7	1	10.249736
aero	P7	2	10.835435
aero	P7	3	9.468803
aero	P7	4	10.347352
aero	P7	5	8.004556
aero	P7	6	9.273570
aero	P7	7	8.883104
aero	P7	8	9.371187
aero	P7	9	10.737818
aero	P7	10	10.640202
aero	P7	11	9.468803
aero	P7	12	10.835435
aero	P7	13	8.883104
aero	P7	14	11.518751
aero	P7	15	11.030668
aero	P7	16	8.980721
aero	P7	17	9.761653
aero	P7	18	8.785488
aero	P7	19	9.761653
aero	P7	20	10.347352
aero	P7	21	11.323518
aero	P7	22	11.225901
aero	P7	23	10.835435
aero	P7	24	11.616367
aero	P7	25	10.249736
aero	P7	26	10.249736
aero	P7	27	12.202066
aero	P7	28	11.323518
aero	P7	29	11.713984
aero	P7	30	11.713984
aero	P7	31	11.323518
aero	P7	32	10.933051
aero	P7	33	10.835435
aero	P7	34	11.128284
aero	P7	35	10.249736
aero	P7	36	11.225901
aero	P7	37	8.785488
aero	P7	38	10.054503
aero	P7	39	9.566420
areal	P7	0	11.078718
areal	P7	1	10.978003
areal	P7	2	10.474425
areal	P7	3	9.567984
areal	P7	4	10.675856
areal	P7	5	8.460112
areal	P7	6	10.575140
areal	P7	7	9.668700
areal	P7	8	9.668700
areal	P7	9	11.078718
areal	P7	10	11.380865
areal	P7	11	9.467268
areal	P7	12	11.783728
areal	P7	13	9.265837
areal	P7	14	11.481581
areal	P7	15	10.776572
areal	P7	16	9.668700
areal	P7	17	10.172278
areal	P7	18	8.560828
areal	P7	19	9.668700
areal	P7	20	10.877287
areal	P7	21	10.877287
areal	P7	22	11.683012
areal	P7	23	11.280150
areal	P7	24	11.985159
areal	P7	25	10.675856
areal	P7	26	10.776572
areal	P7	27	12.287306
areal	P7	28	11.683012
areal	P7	29	12.287306
areal	P7	30	11.783728
areal	P7	31	11.280150
areal	P7	32	11.582297
areal	P7	33	11.280150
areal	P7	34	11.078718
areal	P7	35	10.877287
areal	P7	36	11.582297
areal	P7	37	8.661543
areal	P7	38	10.071562
areal	P7	39	10.272993
gift	P7	0	10.091209
gift	P7	1	9.898996
gift	P7	2	10.475636
gift	P7	3	9.322355
gift	P7	4	10.667850
gift	P7	5	7.688540
gift	P7	6	9.706782
gift	P7	7	8.937928
gift	P7	8	8.745714
gift	P7	9	10.860063
gift	P7	10	10.860063
gift	P7	11	9.322355
gift	P7	12	11.532810
gift	P7	13	8.745714
gift	P7	14	11.532810
gift	P7	15	10.379529
gift	P7	16	9.130141
gift	P7	17	9.995102
gift	P7	18	8.649608
gift	P7	19	10.379529
gift	P7	20	10.187316
gift	P7	21	10.667850
gift	P7	22	10.956170
gift	P7	23	10.956170
gift	P7	24	11.532810
gift	P7	25	10.475636
gift	P7	26	11.052277
gift	P7	27	11.725024
gift	P7	28	11.436704
gift	P7	29	11.821131
gift	P7	30	11.340597
gift	P7	31	11.436704
gift	P7	32	10.379529
gift	P7	33	11.436704
gift	P7	34	11.532810
gift	P7	35	10.091209
gift	P7	36	11.148383
gift	P7	37	9.610675
gift	P7	38	10.283423
gift	P7	39	10.667850
grpo	P8	0	0.002240
grpo	P8	1	0.002245
grpo	P8	2	0.002154
grpo	P8	3	0.002010
grpo	P8	4	0.002100
grpo	P8	5	0.001703
grpo	P8	6	0.002078
grpo	P8	7	0.001807
grpo	P8	8	0.001909
grpo	P8	9	0.002380
grpo	P8	10	0.002300
grpo	P8	11	0.001919
grpo	P8	12	0.002813
grpo	P8	13	0.001867
grpo	P8	14	0.002540
grpo	P8	15	0.002377
grpo	P8	16	0.001980
grpo	P8	17	0.002223
grpo	P8	18	0.001522
grpo	P8	19	0.002205
grpo	P8	20	0.002310
grpo	P8	21	0.002484
grpo	P8	22	0.002946
grpo	P8	23	0.002634
grpo	P8	24	0.002821
grpo	P8	25	0.002360
grpo	P8	26	0.002681
grpo	P8	27	0.003116
grpo	P8	28	0.002570
grpo	P8	29	0.002889
grpo	P8	30	0.003049
grpo	P8	31	0.002902
grpo	P8	32	0.002922
grpo	P8	33	0.002898
grpo	P8	34	0.002846
grpo	P8	35	0.002515
grpo	P8	36	0.002875
grpo	P8	37	0.002082
grpo	P8	38	0.002607
grpo	P8	39	0.002371
aero	P8	0	0.002183
aero	P8	1	0.002325
aero	P8	2	0.002290
aero	P8	3	0.001863
aero	P8	4	0.002134
aero	P8	5	0.001533
aero	P8	6	0.001965
aero	P8	7	0.001791
aero	P8	8	0.002013
aero	P8	9	0.002322
aero	P8	10	0.002231
aero	P8	11	0.002046
aero	P8	12	0.002463
aero	P8	13	0.001777
aero	P8	14	0.002641
aero	P8	15	0.002378
aero	P8	16	0.001885
aero	P8	17	0.001994
aero	P8	18	0.001638
aero	P8	19	0.002172
aero	P8	20	0.002227
aero	P8	21	0.002559
aero	P8	22	0.002870
aero	P8	23	0.002414
aero	P8	24	0.002664
aero	P8	25	0.002324
aero	P8	26	0.002272
aero	P8	27	0.002922
aero	P8	28	0.002422
aero	P8	29	0.002706
aero	P8	30	0.002815
aero	P8	31	0.002618
aero	P8	32	0.002666
aero	P8	33	0.002658
aero	P8	34	0.002497
aero	P8	35	0.002189
aero	P8	36	0.002570
aero	P8	37	0.001871
aero	P8	38	0.002300
aero	P8	39	0.002088
areal	P8	0	0.002420
areal	P8	1	0.002336
areal	P8	2	0.002131
areal	P8	3	0.001805
areal	P8	4	0.002169
areal	P8	5	0.001621
areal	P8	6	0.002146
areal	P8	7	0.001888
areal	P8	8	0.001991
areal	P8	9	0.002302
areal	P8	10	0.002303
areal	P8	11	0.001921
areal	P8	12	0.002650
areal	P8	13	0.001780
areal	P8	14	0.002499
areal	P8	15	0.002229
areal	P8	16	0.002032
areal	P8	17	0.002006
areal	P8	18	0.001541
areal	P8	19	0.002043
areal	P8	20	0.002332
areal	P8	21	0.002357
areal	P8	22	0.002815
areal	P8	23	0.002366
areal	P8	24	0.002703
areal	P8	25	0.002362
areal	P8	26	0.002351
areal	P8	27	0.002794
areal	P8	28	0.002453
areal	P8	29	0.002753
areal	P8	30	0.002792
areal	P8	31	0.002530
areal	P8	32	0.002798
areal	P8	33	0.002607
areal	P8	34	0.002408
areal	P8	35	0.002247
areal	P8	36	0.002650
areal	P8	37	0.001784
areal	P8	38	0.002237
areal	P8	39	0.002153
gift	P8	0	0.002315
gift	P8	1	0.002221
gift	P8	2	0.002232
gift	P8	3	0.001881
gift	P8	4	0.002210
gift	P8	5	0.001536
gift	P8	6	0.002088
gift	P8	7	0.001854
gift	P8	8	0.001859
gift	P8	9	0.002365
gift	P8	10	0.002336
gift	P8	11	0.002062
gift	P8	12	0.002741
gift	P8	13	0.001796
gift	P8	14	0.002695
gift	P8	15	0.002326
gift	P8	16	0.002004
gift	P8	17	0.002091
gift	P8	18	0.001673
gift	P8	19	0.002421
gift	P8	20	0.002288
gift	P8	21	0.002635
gift	P8	22	0.002871
gift	P8	23	0.002585
gift	P8	24	0.002869
gift	P8	25	0.002545
gift	P8	26	0.002712
gift	P8	27	0.002988
gift	P8	28	0.002669
gift	P8	29	0.002953
gift	P8	30	0.002826
gift	P8	31	0.002985
gift	P8	32	0.002717
gift	P8	33	0.003095
gift	P8	34	0.002972
gift	P8	35	0.002467
gift	P8	36	0.003083
gift	P8	37	0.002398
gift	P8	38	0.002708
gift	P8	39	0.002610
