fset	mean_util	mean_util_f1	mean_util_value	n_seeds	pass	rate_pct	test	tier
24full	0.999960544			5	1	0.5	H2_value_positive	small_open
24full	0.99993424			5	1	0.5	H2_value_positive	iter120_default
24full	0.9996711999999999			5	1	0.5	H2_value_positive	mid_tier
24full	0.9980271999999999			5	1	0.5	H2_value_positive	frontier_gpt4
20raw	0.999990256			5	1	0.5	H2_value_positive	cheap_heuristic
20raw	0.999941536			5	1	0.5	H2_value_positive	small_open
20raw	0.99990256			5	1	0.5	H2_value_positive	iter120_default
20raw	0.9995128			5	1	0.5	H2_value_positive	mid_tier
20raw	0.9970768			5	1	0.5	H2_value_positive	frontier_gpt4
20raw+minmax	0.999991968			5	1	0.5	H2_value_positive	cheap_heuristic
20raw+minmax	0.9999518079999999			5	1	0.5	H2_value_positive	small_open
20raw+minmax	0.99991968			5	1	0.5	H2_value_positive	iter120_default
20raw+minmax	0.9995984			5	1	0.5	H2_value_positive	mid_tier
20raw+minmax	0.9975904			5	1	0.5	H2_value_positive	frontier_gpt4
20raw+stat	0.9999907840000001			5	1	0.5	H2_value_positive	cheap_heuristic
20raw+stat	0.999944704			5	1	0.5	H2_value_positive	small_open
20raw+stat	0.99990784			5	1	0.5	H2_value_positive	iter120_default
20raw+stat	0.9995391999999999			5	1	0.5	H2_value_positive	mid_tier
20raw+stat	0.9972352000000001			5	1	0.5	H2_value_positive	frontier_gpt4
24full	0.9999872399999999			5	1	0.1	H2_value_positive	cheap_heuristic
24full	0.9999234399999999			5	1	0.1	H2_value_positive	small_open
24full	0.9998724000000001			5	1	0.1	H2_value_positive	iter120_default
24full	0.999362			5	1	0.1	H2_value_positive	mid_tier
24full	0.996172			5	1	0.1	H2_value_positive	frontier_gpt4
20raw	0.99998616			5	1	0.1	H2_value_positive	cheap_heuristic
20raw	0.99991696			5	1	0.1	H2_value_positive	small_open
20raw	0.9998616			5	1	0.1	H2_value_positive	iter120_default
20raw	0.9993079999999999			5	1	0.1	H2_value_positive	mid_tier
20raw	0.995848			5	1	0.1	H2_value_positive	frontier_gpt4
20raw+minmax	0.999983			5	1	0.1	H2_value_positive	cheap_heuristic
20raw+minmax	0.999898			5	1	0.1	H2_value_positive	small_open
20raw+minmax	0.99983			5	1	0.1	H2_value_positive	iter120_default
20raw+minmax	0.99915			5	1	0.1	H2_value_positive	mid_tier
20raw+minmax	0.9949			5	1	0.1	H2_value_positive	frontier_gpt4
20raw+stat	0.99998372			5	1	0.1	H2_value_positive	cheap_heuristic
20raw+stat	0.99990232			5	1	0.1	H2_value_positive	small_open
20raw+stat	0.9998372			5	1	0.1	H2_value_positive	iter120_default
20raw+stat	0.9991860000000001			5	1	0.1	H2_value_positive	mid_tier
20raw+stat	0.995116			5	1	0.1	H2_value_positive	frontier_gpt4
24full	0.99996984			5	1	0.05	H2_value_positive	cheap_heuristic
24full	0.99981904			5	1	0.05	H2_value_positive	small_open
24full	0.9996984000000001			5	1	0.05	H2_value_positive	iter120_default
24full	0.998492			5	1	0.05	H2_value_positive	mid_tier
24full	0.990952			5	1	0.05	H2_value_positive	frontier_gpt4
20raw	0.9999732800000001			5	1	0.05	H2_value_positive	cheap_heuristic
20raw	0.9998396800000002			5	1	0.05	H2_value_positive	small_open
20raw	0.9997328			5	1	0.05	H2_value_positive	iter120_default
20raw	0.9986640000000001			5	1	0.05	H2_value_positive	mid_tier
20raw	0.9919840000000001			5	1	0.05	H2_value_positive	frontier_gpt4
20raw+minmax	0.99997504			5	1	0.05	H2_value_positive	cheap_heuristic
20raw+minmax	0.99985024			5	1	0.05	H2_value_positive	small_open
20raw+minmax	0.9997504000000002			5	1	0.05	H2_value_positive	iter120_default
20raw+minmax	0.998752			5	1	0.05	H2_value_positive	mid_tier
20raw+minmax	0.992512			5	1	0.05	H2_value_positive	frontier_gpt4
20raw+stat	0.99996176			5	1	0.05	H2_value_positive	cheap_heuristic
20raw+stat	0.99977056			5	1	0.05	H2_value_positive	small_open
20raw+stat	0.9996176			5	1	0.05	H2_value_positive	iter120_default
20raw+stat	0.9980879999999999			5	1	0.05	H2_value_positive	mid_tier
20raw+stat	0.9885280000000002			5	1	0.05	H2_value_positive	frontier_gpt4
24full		0.8274978582336946	0.9999955472222222		0	1.44	H3_value_lt_f1	cheap_heuristic
24full		0.8274978582336946	0.9999732833333332		0	1.44	H3_value_lt_f1	small_open
24full		0.8274978582336946	0.9999554722222224		0	1.44	H3_value_lt_f1	iter120_default
24full		0.7943911825193231	0.999994468		0	1.0	H3_value_lt_f1	cheap_heuristic
24full		0.7943911825193231	0.9999668079999999		0	1.0	H3_value_lt_f1	small_open
24full		0.7943911825193231	0.9999446799999999		0	1.0	H3_value_lt_f1	iter120_default
24full		0.7033503462205662	0.999993424		0	0.5	H3_value_lt_f1	cheap_heuristic
24full		0.7033503462205662	0.999960544		0	0.5	H3_value_lt_f1	small_open
24full		0.7033503462205662	0.99993424		0	0.5	H3_value_lt_f1	iter120_default
24full		0.5309185743262822	0.9999872399999999		0	0.1	H3_value_lt_f1	cheap_heuristic
24full		0.5309185743262822	0.9999234399999999		0	0.1	H3_value_lt_f1	small_open
24full		0.5309185743262822	0.9998724000000001		0	0.1	H3_value_lt_f1	iter120_default
24full		0.556060606060606	0.99996984		0	0.05	H3_value_lt_f1	cheap_heuristic
24full		0.556060606060606	0.99981904		0	0.05	H3_value_lt_f1	small_open
24full		0.556060606060606	0.9996984000000001		0	0.05	H3_value_lt_f1	iter120_default
