step	band	channel	eta2_point	ci_lo	ci_hi	mean_boot	ci_excludes_0p05
34	late	mean_len	0.051814	0.028737	0.108594	0.060213	0
35	late	mean_len	0.046731	0.012971	0.163966	0.062113	0
36	late	mean_len	0.048831	0.020985	0.134724	0.059935	0
37	late	mean_len	0.041046	0.012364	0.127744	0.051267	0
38	late	mean_len	0.047773	0.021044	0.147720	0.060590	0
39	late	mean_len	0.023727	0.012188	0.069142	0.030474	0
0	early	cv_len	0.001346	0.000993	0.079978	0.019221	0
1	early	cv_len	0.058083	0.014941	0.201304	0.077064	0
2	early	cv_len	0.050366	0.011872	0.186883	0.072435	0
3	early	cv_len	0.031775	0.006803	0.147947	0.049432	0
4	early	cv_len	0.007931	0.002021	0.058083	0.020829	0
5	early	cv_len	0.007859	0.002137	0.091033	0.026386	0
6	early	cv_len	0.013704	0.002228	0.094085	0.030383	0
7	early	cv_len	0.014155	0.002471	0.110677	0.035156	0
8	early	cv_len	0.017445	0.004672	0.081698	0.029665	0
9	early	cv_len	0.008577	0.002598	0.104033	0.032657	0
10	early	cv_len	0.005739	0.002041	0.075750	0.023807	0
11	early	cv_len	0.028895	0.006034	0.138187	0.050309	0
12	early	cv_len	0.022810	0.006191	0.122972	0.043747	0
13	early	cv_len	0.029918	0.006191	0.167441	0.053367	0
14	mid	cv_len	0.033723	0.008184	0.175776	0.059217	0
15	mid	cv_len	0.005559	0.002630	0.115870	0.034443	0
16	mid	cv_len	0.000643	0.000557	0.059738	0.012674	0
17	mid	cv_len	0.056946	0.024175	0.168847	0.075841	0
18	mid	cv_len	0.004552	0.001782	0.062095	0.018609	0
19	mid	cv_len	0.037471	0.010420	0.147690	0.063728	0
20	mid	cv_len	0.021873	0.002327	0.126796	0.037506	0
21	mid	cv_len	0.123932	0.039467	0.328362	0.151065	0
22	mid	cv_len	0.115540	0.050354	0.295344	0.146000	0
23	mid	cv_len	0.061258	0.007776	0.250005	0.088420	0
24	mid	cv_len	0.022409	0.002109	0.176574	0.050353	0
25	mid	cv_len	0.076951	0.017038	0.221655	0.099664	0
26	mid	cv_len	0.044514	0.007773	0.213884	0.079659	0
27	late	cv_len	0.069996	0.016503	0.256131	0.103774	0
28	late	cv_len	0.013355	0.003224	0.116424	0.036106	0
29	late	cv_len	0.032701	0.005842	0.155934	0.058202	0
30	late	cv_len	0.001705	0.002264	0.149870	0.036381	0
31	late	cv_len	0.016121	0.003151	0.131034	0.042908	0
32	late	cv_len	0.075902	0.014685	0.234826	0.102879	0
33	late	cv_len	0.106990	0.026492	0.328342	0.146946	0
34	late	cv_len	0.076842	0.024093	0.226948	0.107011	0
35	late	cv_len	0.129192	0.023913	0.360757	0.160076	0
36	late	cv_len	0.055196	0.011166	0.218505	0.078693	0
37	late	cv_len	0.027944	0.005839	0.176127	0.061783	0
38	late	cv_len	0.098585	0.023532	0.292438	0.127178	0
39	late	cv_len	0.009686	0.002772	0.118265	0.037171	0
