decile	fset	cost_ratio	seed	n_decile	pos_decile	min_cost	opt_threshold
2	4sensor	1000	42	1000	15	0.064000	0.5200
2	4sensor	1000	179	1000	15	0.204000	0.4300
2	4sensor	1000	316	1000	15	0.104000	0.4900
2	4sensor	1000	7	1000	15	0.092000	0.5000
2	4sensor	1000	911	1000	15	0.208000	0.4400
2	4sensor	10000	42	1000	15	0.064000	0.5200
2	4sensor	10000	179	1000	15	0.204000	0.4300
2	4sensor	10000	316	1000	15	0.104000	0.4900
2	4sensor	10000	7	1000	15	0.092000	0.5000
2	4sensor	10000	911	1000	15	0.208000	0.4400
3	20raw	1	42	1000	19	0.008000	0.7900
3	20raw	1	179	1000	19	0.007000	0.7400
3	20raw	1	316	1000	19	0.006000	0.6600
3	20raw	1	7	1000	19	0.005000	0.7600
3	20raw	1	911	1000	19	0.007000	0.7500
3	20raw	10	42	1000	19	0.018000	0.5100
3	20raw	10	179	1000	19	0.022000	0.4900
3	20raw	10	316	1000	19	0.015000	0.6600
3	20raw	10	7	1000	19	0.025000	0.7400
3	20raw	10	911	1000	19	0.022000	0.5100
3	20raw	100	42	1000	19	0.018000	0.5100
3	20raw	100	179	1000	19	0.022000	0.4900
3	20raw	100	316	1000	19	0.030000	0.4500
3	20raw	100	7	1000	19	0.040000	0.4000
3	20raw	100	911	1000	19	0.022000	0.5100
3	20raw	1000	42	1000	19	0.018000	0.5100
3	20raw	1000	179	1000	19	0.022000	0.4900
3	20raw	1000	316	1000	19	0.030000	0.4500
3	20raw	1000	7	1000	19	0.040000	0.4000
3	20raw	1000	911	1000	19	0.022000	0.5100
3	20raw	10000	42	1000	19	0.018000	0.5100
3	20raw	10000	179	1000	19	0.022000	0.4900
3	20raw	10000	316	1000	19	0.030000	0.4500
3	20raw	10000	7	1000	19	0.040000	0.4000
3	20raw	10000	911	1000	19	0.022000	0.5100
3	24full	1	42	1000	19	0.005000	0.8100
3	24full	1	179	1000	19	0.004000	0.7700
3	24full	1	316	1000	19	0.007000	0.7900
3	24full	1	7	1000	19	0.004000	0.8100
3	24full	1	911	1000	19	0.003000	0.7400
3	24full	10	42	1000	19	0.014000	0.5300
3	24full	10	179	1000	19	0.021000	0.5900
3	24full	10	316	1000	19	0.016000	0.5500
3	24full	10	7	1000	19	0.023000	0.5000
3	24full	10	911	1000	19	0.021000	0.7400
3	24full	100	42	1000	19	0.014000	0.5300
3	24full	100	179	1000	19	0.022000	0.4800
3	24full	100	316	1000	19	0.016000	0.5500
3	24full	100	7	1000	19	0.023000	0.5000
3	24full	100	911	1000	19	0.023000	0.4800
3	24full	1000	42	1000	19	0.014000	0.5300
3	24full	1000	179	1000	19	0.022000	0.4800
3	24full	1000	316	1000	19	0.016000	0.5500
3	24full	1000	7	1000	19	0.023000	0.5000
3	24full	1000	911	1000	19	0.023000	0.4800
3	24full	10000	42	1000	19	0.014000	0.5300
3	24full	10000	179	1000	19	0.022000	0.4800
3	24full	10000	316	1000	19	0.016000	0.5500
3	24full	10000	7	1000	19	0.023000	0.5000
3	24full	10000	911	1000	19	0.023000	0.4800
3	4sensor	1	42	1000	19	0.019000	0.8000
3	4sensor	1	179	1000	19	0.019000	0.8100
3	4sensor	1	316	1000	19	0.019000	0.8200
3	4sensor	1	7	1000	19	0.018000	0.8300
3	4sensor	1	911	1000	19	0.019000	0.8400
3	4sensor	10	42	1000	19	0.090000	0.6000
3	4sensor	10	179	1000	19	0.103000	0.6200
3	4sensor	10	316	1000	19	0.092000	0.5800
3	4sensor	10	7	1000	19	0.106000	0.5900
3	4sensor	10	911	1000	19	0.098000	0.6100
3	4sensor	100	42	1000	19	0.154000	0.5300
3	4sensor	100	179	1000	19	0.147000	0.5300
3	4sensor	100	316	1000	19	0.112000	0.5500
3	4sensor	100	7	1000	19	0.142000	0.5300
3	4sensor	100	911	1000	19	0.182000	0.5100
3	4sensor	1000	42	1000	19	0.154000	0.5300
3	4sensor	1000	179	1000	19	0.147000	0.5300
3	4sensor	1000	316	1000	19	0.112000	0.5500
3	4sensor	1000	7	1000	19	0.142000	0.5300
3	4sensor	1000	911	1000	19	0.182000	0.5100
3	4sensor	10000	42	1000	19	0.154000	0.5300
3	4sensor	10000	179	1000	19	0.147000	0.5300
3	4sensor	10000	316	1000	19	0.112000	0.5500
3	4sensor	10000	7	1000	19	0.142000	0.5300
3	4sensor	10000	911	1000	19	0.182000	0.5100
4	20raw	1	42	1000	17	0.009000	0.7600
4	20raw	1	179	1000	17	0.008000	0.8100
4	20raw	1	316	1000	17	0.008000	0.8100
4	20raw	1	7	1000	17	0.008000	0.8900
4	20raw	1	911	1000	17	0.009000	0.6700
4	20raw	10	42	1000	17	0.026000	0.5000
4	20raw	10	179	1000	17	0.017000	0.6000
4	20raw	10	316	1000	17	0.021000	0.6400
4	20raw	10	7	1000	17	0.022000	0.5400
4	20raw	10	911	1000	17	0.018000	0.6700
4	20raw	100	42	1000	17	0.026000	0.5000
4	20raw	100	179	1000	17	0.017000	0.6000
4	20raw	100	316	1000	17	0.027000	0.4900
4	20raw	100	7	1000	17	0.022000	0.5400
4	20raw	100	911	1000	17	0.030000	0.4700
4	20raw	1000	42	1000	17	0.026000	0.5000
4	20raw	1000	179	1000	17	0.017000	0.6000
4	20raw	1000	316	1000	17	0.027000	0.4900
4	20raw	1000	7	1000	17	0.022000	0.5400
4	20raw	1000	911	1000	17	0.030000	0.4700
4	20raw	10000	42	1000	17	0.026000	0.5000
4	20raw	10000	179	1000	17	0.017000	0.6000
4	20raw	10000	316	1000	17	0.027000	0.4900
4	20raw	10000	7	1000	17	0.022000	0.5400
4	20raw	10000	911	1000	17	0.030000	0.4700
4	24full	1	42	1000	17	0.005000	0.7200
4	24full	1	179	1000	17	0.006000	0.7600
4	24full	1	316	1000	17	0.006000	0.7500
4	24full	1	7	1000	17	0.009000	0.8500
4	24full	1	911	1000	17	0.004000	0.7700
4	24full	10	42	1000	17	0.014000	0.7200
4	24full	10	179	1000	17	0.018000	0.5800
4	24full	10	316	1000	17	0.016000	0.6000
4	24full	10	7	1000	17	0.019000	0.5900
4	24full	10	911	1000	17	0.016000	0.7300
4	24full	100	42	1000	17	0.023000	0.5700
4	24full	100	179	1000	17	0.018000	0.5800
4	24full	100	316	1000	17	0.016000	0.6000
4	24full	100	7	1000	17	0.019000	0.5900
4	24full	100	911	1000	17	0.030000	0.4700
4	24full	1000	42	1000	17	0.023000	0.5700
4	24full	1000	179	1000	17	0.018000	0.5800
4	24full	1000	316	1000	17	0.016000	0.6000
4	24full	1000	7	1000	17	0.019000	0.5900
4	24full	1000	911	1000	17	0.030000	0.4700
4	24full	10000	42	1000	17	0.023000	0.5700
4	24full	10000	179	1000	17	0.018000	0.5800
4	24full	10000	316	1000	17	0.016000	0.6000
4	24full	10000	7	1000	17	0.019000	0.5900
4	24full	10000	911	1000	17	0.030000	0.4700
4	4sensor	1	42	1000	17	0.014000	0.8000
4	4sensor	1	179	1000	17	0.015000	0.7600
4	4sensor	1	316	1000	17	0.014000	0.8000
4	4sensor	1	7	1000	17	0.014000	0.8100
4	4sensor	1	911	1000	17	0.014000	0.8000
4	4sensor	10	42	1000	17	0.075000	0.6400
4	4sensor	10	179	1000	17	0.070000	0.6600
4	4sensor	10	316	1000	17	0.075000	0.6900
4	4sensor	10	7	1000	17	0.094000	0.6200
4	4sensor	10	911	1000	17	0.081000	0.6600
4	4sensor	100	42	1000	17	0.216000	0.5300
4	4sensor	100	179	1000	17	0.270000	0.6100
4	4sensor	100	316	1000	17	0.185000	0.6000
4	4sensor	100	7	1000	17	0.216000	0.5900
4	4sensor	100	911	1000	17	0.166000	0.5600
4	4sensor	1000	42	1000	17	0.216000	0.5300
4	4sensor	1000	179	1000	17	0.310000	0.4800
4	4sensor	1000	316	1000	17	0.268000	0.5000
4	4sensor	1000	7	1000	17	0.444000	0.4300
4	4sensor	1000	911	1000	17	0.166000	0.5600
4	4sensor	10000	42	1000	17	0.216000	0.5300
4	4sensor	10000	179	1000	17	0.310000	0.4800
4	4sensor	10000	316	1000	17	0.268000	0.5000
4	4sensor	10000	7	1000	17	0.444000	0.4300
4	4sensor	10000	911	1000	17	0.166000	0.5600
5	20raw	1	42	1000	13	0.004000	0.8200
5	20raw	1	179	1000	13	0.006000	0.7800
5	20raw	1	316	1000	13	0.004000	0.8300
5	20raw	1	7	1000	13	0.004000	0.8100
5	20raw	1	911	1000	13	0.003000	0.8200
5	20raw	10	42	1000	13	0.013000	0.5800
5	20raw	10	179	1000	13	0.017000	0.7100
5	20raw	10	316	1000	13	0.014000	0.6100
5	20raw	10	7	1000	13	0.015000	0.6900
5	20raw	10	911	1000	13	0.009000	0.6400
5	20raw	100	42	1000	13	0.013000	0.5800
5	20raw	100	179	1000	13	0.030000	0.5000
5	20raw	100	316	1000	13	0.014000	0.6100
