metric	panel	base	method	n	mean_base	mean_method	delta_method_minus_base	ci_low	ci_high	significant	data_source	ci_method
frac_all_one	n2_same_stack_last10	grpo	areal	10	0.725	0.65625	-0.06875	-0.1375	-0.00625	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
zvf_risk_mean	zvf130_5seed	grpo	aero	5	0.5776880179873356	0.430050653146807	-0.147637	-0.285921	-0.009354	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
zvf_risk_mean	zvf130_5seed	grpo	gift	5	0.5776880179873356	0.3145005437766656	-0.263187	-0.365427	-0.160948	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
zvf_risk_mean	zvf130_5seed	grpo	areal	5	0.5776880179873356	0.3319206130908743	-0.245767	-0.354535	-0.137	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
zvf_risk_mean	zvf130_5seed	grpo	ngrpo	5	0.5776880179873356	0.446662878834344	-0.131025	-0.239395	-0.022656	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
zvf_risk_mean	zvf130_5seed	grpo	cppo	5	0.5776880179873356	0.42661061087943886	-0.151077	-0.253342	-0.048813	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
zvf_risk_mean	zvf130_5seed	grpo	mcgrpo	5	0.5776880179873356	0.40341125968913405	-0.174277	-0.288771	-0.059783	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
zvf_risk_mean	zvf130_5seed	grpo	es	5	0.5776880179873356	0.3051097720985813	-0.272578	-0.374617	-0.170539	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
zvf_risk_mean	zvf130_5seed	grpo	scafgrpo	5	0.5776880179873356	0.22532716228739566	-0.352361	-0.455533	-0.249189	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
mag_mean	zvf130_5seed	grpo	aero	5	0.48078000000000004	0.22025999999999998	-0.26052	-0.398803	-0.122237	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
mag_mean	zvf130_5seed	grpo	gift	5	0.48078000000000004	0.1142	-0.36658	-0.46882	-0.26434	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
mag_mean	zvf130_5seed	grpo	areal	5	0.48078000000000004	0.12090000000000001	-0.35988	-0.468647	-0.251113	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
mag_mean	zvf130_5seed	grpo	ngrpo	5	0.48078000000000004	0.30036	-0.18042	-0.28879	-0.07205	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
mag_mean	zvf130_5seed	grpo	cppo	5	0.48078000000000004	0.2952	-0.18558	-0.287844	-0.083316	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
mag_mean	zvf130_5seed	grpo	mcgrpo	5	0.48078000000000004	0.14604	-0.33474	-0.449234	-0.220246	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
mag_mean	zvf130_5seed	grpo	es	5	0.48078000000000004	0.11421999999999999	-0.36656	-0.468599	-0.264521	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
mag_mean	zvf130_5seed	grpo	scafgrpo	5	0.48078000000000004	0.31664	-0.16414	-0.267312	-0.060968	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
csd_mean	zvf130_5seed	grpo	aero	5	0.53178	0.39266	-0.13912	-0.277403	-0.000837	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
csd_mean	zvf130_5seed	grpo	gift	5	0.53178	0.20493999999999998	-0.32684	-0.42908	-0.2246	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
csd_mean	zvf130_5seed	grpo	areal	5	0.53178	0.23742000000000002	-0.29436	-0.403127	-0.185593	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
csd_mean	zvf130_5seed	grpo	ngrpo	5	0.53178	0.43113999999999997	-0.10064	-0.20901	0.00773	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
csd_mean	zvf130_5seed	grpo	cppo	5	0.53178	0.41513999999999995	-0.11664	-0.218904	-0.014376	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
csd_mean	zvf130_5seed	grpo	mcgrpo	5	0.53178	0.35144000000000003	-0.18034	-0.294834	-0.065846	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
csd_mean	zvf130_5seed	grpo	es	5	0.53178	0.12274	-0.40904	-0.511079	-0.307001	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
csd_mean	zvf130_5seed	grpo	scafgrpo	5	0.53178	0.01686	-0.51492	-0.618092	-0.411748	True	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
drift_mean	zvf130_5seed	grpo	aero	5	0.0099088	0.00041279999999999995	-0.009496	-0.147779	0.128787	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
drift_mean	zvf130_5seed	grpo	gift	5	0.0099088	0.0001	-0.009809	-0.112049	0.092431	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
drift_mean	zvf130_5seed	grpo	areal	5	0.0099088	-2.5999999999999954e-06	-0.009911	-0.118679	0.098856	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
drift_mean	zvf130_5seed	grpo	ngrpo	5	0.0099088	0.0019144000000000001	-0.007994	-0.116364	0.100375	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
drift_mean	zvf130_5seed	grpo	cppo	5	0.0099088	0.0017502	-0.008159	-0.110423	0.094106	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
drift_mean	zvf130_5seed	grpo	mcgrpo	5	0.0099088	0.00015560000000000001	-0.009753	-0.124247	0.104741	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
drift_mean	zvf130_5seed	grpo	es	5	0.0099088	0.0011132	-0.008796	-0.110835	0.093244	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
drift_mean	zvf130_5seed	grpo	scafgrpo	5	0.0099088	0.0018834	-0.008025	-0.111197	0.095147	False	experiments/results/zvf_iter130_method_risk.tsv	welch_norm_approx_95pct n=5
