method	policy	step	G_t	cost_t	obs_zvf	proj_zvf	proj_contrast
grpo	AG_HYB	14	12	1.5	0.75	0.7398	0.2602
grpo	AG_HYB	15	12	1.5	0.75	0.7398	0.2602
grpo	AG_HYB	16	8	1.0	0.625	0.7797	0.2203
grpo	AG_HYB	17	8	1.0	0.5	0.7797	0.2203
grpo	AG_HYB	18	8	1.0	0.5625	0.7797	0.2203
grpo	AG_HYB	19	8	1.0	0.625	0.7797	0.2203
grpo	AG_HYB	20	8	1.0	0.625	0.7797	0.2203
grpo	AG_HYB	21	12	1.5	0.75	0.7398	0.2602
grpo	AG_HYB	22	12	1.5	0.75	0.7398	0.2602
grpo	AG_HYB	23	12	1.5	0.875	0.7398	0.2602
grpo	AG_HYB	24	12	1.5	0.8125	0.7398	0.2602
grpo	AG_HYB	25	8	1.0	0.5625	0.7797	0.2203
grpo	AG_HYB	26	12	1.5	0.8125	0.7398	0.2602
grpo	AG_HYB	27	12	1.5	0.9375	0.7398	0.2602
grpo	AG_HYB	28	12	1.5	0.8125	0.7398	0.2602
grpo	AG_HYB	29	12	1.5	0.8125	0.7398	0.2602
grpo	AG_HYB	30	12	1.5	0.8125	0.7398	0.2602
grpo	AG_HYB	31	12	1.5	0.75	0.7398	0.2602
grpo	AG_HYB	32	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	33	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	34	12	1.5	0.875	0.7398	0.2602
grpo	AG_HYB	35	12	1.5	0.9375	0.7398	0.2602
grpo	AG_HYB	36	12	1.5	0.8125	0.7398	0.2602
grpo	AG_HYB	37	12	1.5	0.75	0.7398	0.2602
grpo	AG_HYB	38	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	39	12	1.5	0.75	0.7398	0.2602
aero	BASE	0	8	1.0	0.6875	0.7749	0.2251
aero	BASE	1	8	1.0	0.6875	0.7749	0.2251
aero	BASE	2	8	1.0	0.8125	0.7749	0.2251
aero	BASE	3	8	1.0	0.6875	0.7749	0.2251
aero	BASE	4	8	1.0	0.75	0.7749	0.2251
aero	BASE	5	8	1.0	0.5625	0.7749	0.2251
aero	BASE	6	8	1.0	0.75	0.7749	0.2251
aero	BASE	7	8	1.0	0.625	0.7749	0.2251
aero	BASE	8	8	1.0	0.6875	0.7749	0.2251
aero	BASE	9	8	1.0	0.625	0.7749	0.2251
aero	BASE	10	8	1.0	0.75	0.7749	0.2251
aero	BASE	11	8	1.0	0.5625	0.7749	0.2251
aero	BASE	12	8	1.0	0.6875	0.7749	0.2251
aero	BASE	13	8	1.0	0.5625	0.7749	0.2251
aero	BASE	14	8	1.0	0.75	0.7749	0.2251
aero	BASE	15	8	1.0	0.8125	0.7749	0.2251
aero	BASE	16	8	1.0	0.5625	0.7749	0.2251
aero	BASE	17	8	1.0	0.5625	0.7749	0.2251
aero	BASE	18	8	1.0	0.625	0.7749	0.2251
aero	BASE	19	8	1.0	0.625	0.7749	0.2251
aero	BASE	20	8	1.0	0.625	0.7749	0.2251
aero	BASE	21	8	1.0	0.8125	0.7749	0.2251
aero	BASE	22	8	1.0	0.6875	0.7749	0.2251
aero	BASE	23	8	1.0	0.8125	0.7749	0.2251
aero	BASE	24	8	1.0	0.8125	0.7749	0.2251
aero	BASE	25	8	1.0	0.6875	0.7749	0.2251
aero	BASE	26	8	1.0	0.875	0.7749	0.2251
aero	BASE	27	8	1.0	0.9375	0.7749	0.2251
aero	BASE	28	8	1.0	0.8125	0.7749	0.2251
aero	BASE	29	8	1.0	0.875	0.7749	0.2251
aero	BASE	30	8	1.0	0.8125	0.7749	0.2251
aero	BASE	31	8	1.0	0.8125	0.7749	0.2251
aero	BASE	32	8	1.0	0.75	0.7749	0.2251
aero	BASE	33	8	1.0	0.625	0.7749	0.2251
aero	BASE	34	8	1.0	0.875	0.7749	0.2251
aero	BASE	35	8	1.0	0.8125	0.7749	0.2251
aero	BASE	36	8	1.0	0.8125	0.7749	0.2251
aero	BASE	37	8	1.0	0.6875	0.7749	0.2251
aero	BASE	38	8	1.0	0.6875	0.7749	0.2251
aero	BASE	39	8	1.0	0.625	0.7749	0.2251
aero	STATIC16	0	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	1	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	2	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	3	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	4	16	2.0	0.75	0.7171	0.2829
aero	STATIC16	5	16	2.0	0.5625	0.7171	0.2829
aero	STATIC16	6	16	2.0	0.75	0.7171	0.2829
aero	STATIC16	7	16	2.0	0.625	0.7171	0.2829
aero	STATIC16	8	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	9	16	2.0	0.625	0.7171	0.2829
aero	STATIC16	10	16	2.0	0.75	0.7171	0.2829
aero	STATIC16	11	16	2.0	0.5625	0.7171	0.2829
aero	STATIC16	12	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	13	16	2.0	0.5625	0.7171	0.2829
aero	STATIC16	14	16	2.0	0.75	0.7171	0.2829
aero	STATIC16	15	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	16	16	2.0	0.5625	0.7171	0.2829
aero	STATIC16	17	16	2.0	0.5625	0.7171	0.2829
aero	STATIC16	18	16	2.0	0.625	0.7171	0.2829
aero	STATIC16	19	16	2.0	0.625	0.7171	0.2829
aero	STATIC16	20	16	2.0	0.625	0.7171	0.2829
aero	STATIC16	21	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	22	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	23	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	24	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	25	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	26	16	2.0	0.875	0.7171	0.2829
aero	STATIC16	27	16	2.0	0.9375	0.7171	0.2829
aero	STATIC16	28	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	29	16	2.0	0.875	0.7171	0.2829
aero	STATIC16	30	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	31	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	32	16	2.0	0.75	0.7171	0.2829
aero	STATIC16	33	16	2.0	0.625	0.7171	0.2829
aero	STATIC16	34	16	2.0	0.875	0.7171	0.2829
aero	STATIC16	35	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	36	16	2.0	0.8125	0.7171	0.2829
aero	STATIC16	37	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	38	16	2.0	0.6875	0.7171	0.2829
aero	STATIC16	39	16	2.0	0.625	0.7171	0.2829
aero	AG8	0	8	1.0	0.6875	0.7749	0.2251
aero	AG8	1	8	1.0	0.6875	0.7749	0.2251
aero	AG8	2	16	2.0	0.8125	0.7171	0.2829
aero	AG8	3	8	1.0	0.6875	0.7749	0.2251
aero	AG8	4	16	2.0	0.75	0.7171	0.2829
aero	AG8	5	8	1.0	0.5625	0.7749	0.2251
aero	AG8	6	16	2.0	0.75	0.7171	0.2829
aero	AG8	7	8	1.0	0.625	0.7749	0.2251
aero	AG8	8	8	1.0	0.6875	0.7749	0.2251
aero	AG8	9	8	1.0	0.625	0.7749	0.2251
aero	AG8	10	16	2.0	0.75	0.7171	0.2829
aero	AG8	11	8	1.0	0.5625	0.7749	0.2251
aero	AG8	12	8	1.0	0.6875	0.7749	0.2251
aero	AG8	13	8	1.0	0.5625	0.7749	0.2251
aero	AG8	14	16	2.0	0.75	0.7171	0.2829
aero	AG8	15	16	2.0	0.8125	0.7171	0.2829
aero	AG8	16	8	1.0	0.5625	0.7749	0.2251
aero	AG8	17	8	1.0	0.5625	0.7749	0.2251
aero	AG8	18	8	1.0	0.625	0.7749	0.2251
aero	AG8	19	8	1.0	0.625	0.7749	0.2251
aero	AG8	20	8	1.0	0.625	0.7749	0.2251
aero	AG8	21	16	2.0	0.8125	0.7171	0.2829
aero	AG8	22	8	1.0	0.6875	0.7749	0.2251
aero	AG8	23	16	2.0	0.8125	0.7171	0.2829
aero	AG8	24	16	2.0	0.8125	0.7171	0.2829
aero	AG8	25	8	1.0	0.6875	0.7749	0.2251
aero	AG8	26	16	2.0	0.875	0.7171	0.2829
aero	AG8	27	16	2.0	0.9375	0.7171	0.2829
aero	AG8	28	16	2.0	0.8125	0.7171	0.2829
aero	AG8	29	16	2.0	0.875	0.7171	0.2829
aero	AG8	30	16	2.0	0.8125	0.7171	0.2829
aero	AG8	31	16	2.0	0.8125	0.7171	0.2829
aero	AG8	32	16	2.0	0.75	0.7171	0.2829
aero	AG8	33	8	1.0	0.625	0.7749	0.2251
aero	AG8	34	16	2.0	0.875	0.7171	0.2829
aero	AG8	35	16	2.0	0.8125	0.7171	0.2829
aero	AG8	36	16	2.0	0.8125	0.7171	0.2829
aero	AG8	37	8	1.0	0.6875	0.7749	0.2251
aero	AG8	38	8	1.0	0.6875	0.7749	0.2251
aero	AG8	39	8	1.0	0.625	0.7749	0.2251
aero	AG_HYB	0	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	1	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	2	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	3	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	4	12	1.5	0.75	0.7381	0.2619
aero	AG_HYB	5	8	1.0	0.5625	0.7749	0.2251
aero	AG_HYB	6	12	1.5	0.75	0.7381	0.2619
aero	AG_HYB	7	8	1.0	0.625	0.7749	0.2251
aero	AG_HYB	8	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	9	8	1.0	0.625	0.7749	0.2251
aero	AG_HYB	10	12	1.5	0.75	0.7381	0.2619
aero	AG_HYB	11	8	1.0	0.5625	0.7749	0.2251
aero	AG_HYB	12	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	13	8	1.0	0.5625	0.7749	0.2251
aero	AG_HYB	14	12	1.5	0.75	0.7381	0.2619
aero	AG_HYB	15	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	16	8	1.0	0.5625	0.7749	0.2251
aero	AG_HYB	17	8	1.0	0.5625	0.7749	0.2251
aero	AG_HYB	18	8	1.0	0.625	0.7749	0.2251
aero	AG_HYB	19	8	1.0	0.625	0.7749	0.2251
aero	AG_HYB	20	8	1.0	0.625	0.7749	0.2251
aero	AG_HYB	21	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	22	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	23	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	24	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	25	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	26	12	1.5	0.875	0.7381	0.2619
aero	AG_HYB	27	12	1.5	0.9375	0.7381	0.2619
aero	AG_HYB	28	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	29	12	1.5	0.875	0.7381	0.2619
aero	AG_HYB	30	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	31	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	32	12	1.5	0.75	0.7381	0.2619
aero	AG_HYB	33	8	1.0	0.625	0.7749	0.2251
aero	AG_HYB	34	12	1.5	0.875	0.7381	0.2619
aero	AG_HYB	35	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	36	12	1.5	0.8125	0.7381	0.2619
aero	AG_HYB	37	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	38	8	1.0	0.6875	0.7749	0.2251
aero	AG_HYB	39	8	1.0	0.625	0.7749	0.2251
gift	BASE	0	8	1.0	0.75	0.7645	0.2355
gift	BASE	1	8	1.0	0.5625	0.7645	0.2355
gift	BASE	2	8	1.0	0.6875	0.7645	0.2355
gift	BASE	3	8	1.0	0.5625	0.7645	0.2355
gift	BASE	4	8	1.0	0.6875	0.7645	0.2355
gift	BASE	5	8	1.0	0.625	0.7645	0.2355
gift	BASE	6	8	1.0	0.75	0.7645	0.2355
gift	BASE	7	8	1.0	0.6875	0.7645	0.2355
gift	BASE	8	8	1.0	0.625	0.7645	0.2355
gift	BASE	9	8	1.0	0.625	0.7645	0.2355
gift	BASE	10	8	1.0	0.75	0.7645	0.2355
gift	BASE	11	8	1.0	0.625	0.7645	0.2355
gift	BASE	12	8	1.0	0.75	0.7645	0.2355
gift	BASE	13	8	1.0	0.5625	0.7645	0.2355
gift	BASE	14	8	1.0	0.8125	0.7645	0.2355
gift	BASE	15	8	1.0	0.625	0.7645	0.2355
gift	BASE	16	8	1.0	0.625	0.7645	0.2355
gift	BASE	17	8	1.0	0.75	0.7645	0.2355
gift	BASE	18	8	1.0	0.625	0.7645	0.2355
gift	BASE	19	8	1.0	0.75	0.7645	0.2355
gift	BASE	20	8	1.0	0.6875	0.7645	0.2355
gift	BASE	21	8	1.0	0.75	0.7645	0.2355
gift	BASE	22	8	1.0	0.875	0.7645	0.2355
gift	BASE	23	8	1.0	0.875	0.7645	0.2355
gift	BASE	24	8	1.0	0.875	0.7645	0.2355
gift	BASE	25	8	1.0	0.75	0.7645	0.2355
gift	BASE	26	8	1.0	0.8125	0.7645	0.2355
gift	BASE	27	8	1.0	0.9375	0.7645	0.2355
gift	BASE	28	8	1.0	0.875	0.7645	0.2355
gift	BASE	29	8	1.0	0.9375	0.7645	0.2355
gift	BASE	30	8	1.0	0.875	0.7645	0.2355
gift	BASE	31	8	1.0	0.9375	0.7645	0.2355
gift	BASE	32	8	1.0	0.75	0.7645	0.2355
gift	BASE	33	8	1.0	0.9375	0.7645	0.2355
gift	BASE	34	8	1.0	1.0	0.7645	0.2355
gift	BASE	35	8	1.0	0.9375	0.7645	0.2355
gift	BASE	36	8	1.0	0.9375	0.7645	0.2355
gift	BASE	37	8	1.0	0.875	0.7645	0.2355
gift	BASE	38	8	1.0	0.9375	0.7645	0.2355
gift	BASE	39	8	1.0	0.8125	0.7645	0.2355
gift	STATIC16	0	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	1	16	2.0	0.5625	0.7513	0.2487
gift	STATIC16	2	16	2.0	0.6875	0.7513	0.2487
gift	STATIC16	3	16	2.0	0.5625	0.7513	0.2487
gift	STATIC16	4	16	2.0	0.6875	0.7513	0.2487
gift	STATIC16	5	16	2.0	0.625	0.7513	0.2487
gift	STATIC16	6	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	7	16	2.0	0.6875	0.7513	0.2487
gift	STATIC16	8	16	2.0	0.625	0.7513	0.2487
gift	STATIC16	9	16	2.0	0.625	0.7513	0.2487
gift	STATIC16	10	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	11	16	2.0	0.625	0.7513	0.2487
gift	STATIC16	12	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	13	16	2.0	0.5625	0.7513	0.2487
gift	STATIC16	14	16	2.0	0.8125	0.7513	0.2487
gift	STATIC16	15	16	2.0	0.625	0.7513	0.2487
gift	STATIC16	16	16	2.0	0.625	0.7513	0.2487
gift	STATIC16	17	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	18	16	2.0	0.625	0.7513	0.2487
gift	STATIC16	19	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	20	16	2.0	0.6875	0.7513	0.2487
gift	STATIC16	21	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	22	16	2.0	0.875	0.7513	0.2487
gift	STATIC16	23	16	2.0	0.875	0.7513	0.2487
gift	STATIC16	24	16	2.0	0.875	0.7513	0.2487
gift	STATIC16	25	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	26	16	2.0	0.8125	0.7513	0.2487
gift	STATIC16	27	16	2.0	0.9375	0.7513	0.2487
gift	STATIC16	28	16	2.0	0.875	0.7513	0.2487
gift	STATIC16	29	16	2.0	0.9375	0.7513	0.2487
gift	STATIC16	30	16	2.0	0.875	0.7513	0.2487
gift	STATIC16	31	16	2.0	0.9375	0.7513	0.2487
gift	STATIC16	32	16	2.0	0.75	0.7513	0.2487
gift	STATIC16	33	16	2.0	0.9375	0.7513	0.2487
gift	STATIC16	34	16	2.0	1.0	0.7513	0.2487
gift	STATIC16	35	16	2.0	0.9375	0.7513	0.2487
gift	STATIC16	36	16	2.0	0.9375	0.7513	0.2487
gift	STATIC16	37	16	2.0	0.875	0.7513	0.2487
gift	STATIC16	38	16	2.0	0.9375	0.7513	0.2487
gift	STATIC16	39	16	2.0	0.8125	0.7513	0.2487
gift	AG8	0	16	2.0	0.75	0.7513	0.2487
gift	AG8	1	8	1.0	0.5625	0.7645	0.2355
gift	AG8	2	8	1.0	0.6875	0.7645	0.2355
gift	AG8	3	8	1.0	0.5625	0.7645	0.2355
gift	AG8	4	8	1.0	0.6875	0.7645	0.2355
gift	AG8	5	8	1.0	0.625	0.7645	0.2355
gift	AG8	6	16	2.0	0.75	0.7513	0.2487
gift	AG8	7	8	1.0	0.6875	0.7645	0.2355
gift	AG8	8	8	1.0	0.625	0.7645	0.2355
gift	AG8	9	8	1.0	0.625	0.7645	0.2355
gift	AG8	10	16	2.0	0.75	0.7513	0.2487
gift	AG8	11	8	1.0	0.625	0.7645	0.2355
gift	AG8	12	16	2.0	0.75	0.7513	0.2487
gift	AG8	13	8	1.0	0.5625	0.7645	0.2355
gift	AG8	14	16	2.0	0.8125	0.7513	0.2487
gift	AG8	15	8	1.0	0.625	0.7645	0.2355
gift	AG8	16	8	1.0	0.625	0.7645	0.2355
gift	AG8	17	16	2.0	0.75	0.7513	0.2487
gift	AG8	18	8	1.0	0.625	0.7645	0.2355
gift	AG8	19	16	2.0	0.75	0.7513	0.2487
gift	AG8	20	8	1.0	0.6875	0.7645	0.2355
gift	AG8	21	16	2.0	0.75	0.7513	0.2487
gift	AG8	22	16	2.0	0.875	0.7513	0.2487
gift	AG8	23	16	2.0	0.875	0.7513	0.2487
gift	AG8	24	16	2.0	0.875	0.7513	0.2487
gift	AG8	25	16	2.0	0.75	0.7513	0.2487
gift	AG8	26	16	2.0	0.8125	0.7513	0.2487
gift	AG8	27	16	2.0	0.9375	0.7513	0.2487
gift	AG8	28	16	2.0	0.875	0.7513	0.2487
gift	AG8	29	16	2.0	0.9375	0.7513	0.2487
gift	AG8	30	16	2.0	0.875	0.7513	0.2487
gift	AG8	31	16	2.0	0.9375	0.7513	0.2487
gift	AG8	32	16	2.0	0.75	0.7513	0.2487
gift	AG8	33	16	2.0	0.9375	0.7513	0.2487
gift	AG8	34	16	2.0	1.0	0.7513	0.2487
gift	AG8	35	16	2.0	0.9375	0.7513	0.2487
gift	AG8	36	16	2.0	0.9375	0.7513	0.2487
gift	AG8	37	16	2.0	0.875	0.7513	0.2487
gift	AG8	38	16	2.0	0.9375	0.7513	0.2487
gift	AG8	39	16	2.0	0.8125	0.7513	0.2487
gift	AG_HYB	0	12	1.5	0.75	0.7542	0.2458
gift	AG_HYB	1	8	1.0	0.5625	0.7645	0.2355
gift	AG_HYB	2	8	1.0	0.6875	0.7645	0.2355
gift	AG_HYB	3	8	1.0	0.5625	0.7645	0.2355
gift	AG_HYB	4	8	1.0	0.6875	0.7645	0.2355
gift	AG_HYB	5	8	1.0	0.625	0.7645	0.2355
gift	AG_HYB	6	12	1.5	0.75	0.7542	0.2458
