method	step	z_obs	g_used	cost_ratio	savings_vs_g16	mean_cm_used	mean_cm_base	contrast_retention	fired
areal	24	0.8750	16	2.0000	0.0000	0.1170	0.0973	1.2028	1
areal	25	0.6250	8	1.0000	0.5000	0.3566	0.3566	1.0000	0
areal	26	0.8750	16	2.0000	0.0000	0.1243	0.1173	1.0604	1
areal	27	0.9375	16	2.0000	0.0000	0.0619	0.0562	1.1001	1
areal	28	0.8750	16	2.0000	0.0000	0.1176	0.1020	1.1523	1
areal	29	0.8125	16	2.0000	0.0000	0.1727	0.1441	1.1991	1
areal	30	0.7500	16	2.0000	0.0000	0.2346	0.1993	1.1770	1
areal	31	0.5625	8	1.0000	0.5000	0.3024	0.3024	1.0000	0
areal	32	0.7500	16	2.0000	0.0000	0.2419	0.2193	1.1031	1
areal	33	0.6250	8	1.0000	0.5000	0.3023	0.3023	1.0000	0
areal	34	0.6875	8	1.0000	0.5000	0.2203	0.2203	1.0000	0
areal	35	0.8125	16	2.0000	0.0000	0.1721	0.1383	1.2446	1
areal	36	0.7500	16	2.0000	0.0000	0.2346	0.1993	1.1770	1
areal	37	0.6875	8	1.0000	0.5000	0.2623	0.2623	1.0000	0
areal	38	0.8125	16	2.0000	0.0000	0.1795	0.1583	1.1338	1
areal	39	0.7500	16	2.0000	0.0000	0.2413	0.2145	1.1249	1
