method	step	tau	G_N	zvf_step	n_boundary_prompts	n_total_prompts	mean_restored_step
grpo	24	0.75	16	0.8125	13	16	0.0423
grpo	26	0.75	16	0.8125	13	16	0.0338
grpo	27	0.75	16	0.9375	15	16	0.0005
grpo	28	0.75	16	0.8125	13	16	0.0296
grpo	29	0.75	16	0.8125	13	16	0.0287
grpo	30	0.75	16	0.8125	13	16	0.0338
grpo	31	0.75	16	0.75	12	16	0.0479
grpo	34	0.75	16	0.875	14	16	0.0197
grpo	35	0.75	16	0.9375	15	16	0.0056
grpo	36	0.75	16	0.8125	13	16	0.0296
grpo	37	0.75	16	0.75	12	16	0.0258
grpo	39	0.75	16	0.75	12	16	0.0226
grpo	3	0.75	32	0.75	12	16	0.0537
grpo	6	0.75	32	0.8125	13	16	0.0283
grpo	12	0.75	32	0.8125	13	16	0.014
grpo	14	0.75	32	0.75	12	16	0.0479
grpo	15	0.75	32	0.75	12	16	0.0241
grpo	21	0.75	32	0.75	12	16	0.0442
grpo	22	0.75	32	0.75	12	16	0.0298
grpo	23	0.75	32	0.875	14	16	0.0269
grpo	24	0.75	32	0.8125	13	16	0.0618
grpo	26	0.75	32	0.8125	13	16	0.0475
grpo	27	0.75	32	0.9375	15	16	0.0005
grpo	28	0.75	32	0.8125	13	16	0.0427
grpo	29	0.75	32	0.8125	13	16	0.0417
grpo	30	0.75	32	0.8125	13	16	0.0475
grpo	31	0.75	32	0.75	12	16	0.0681
grpo	34	0.75	32	0.875	14	16	0.0269
grpo	35	0.75	32	0.9375	15	16	0.0063
grpo	36	0.75	32	0.8125	13	16	0.0427
grpo	37	0.75	32	0.75	12	16	0.0336
grpo	39	0.75	32	0.75	12	16	0.0298
grpo	6	0.8	12	0.8125	13	16	0.0144
grpo	12	0.8	12	0.8125	13	16	0.0098
grpo	23	0.8	12	0.875	14	16	0.0132
grpo	24	0.8	12	0.8125	13	16	0.0267
grpo	26	0.8	12	0.8125	13	16	0.0221
grpo	27	0.8	12	0.9375	15	16	0.0005
grpo	28	0.8	12	0.8125	13	16	0.019
grpo	29	0.8	12	0.8125	13	16	0.0182
grpo	30	0.8	12	0.8125	13	16	0.0221
grpo	34	0.8	12	0.875	14	16	0.0132
grpo	35	0.8	12	0.9375	15	16	0.0043
grpo	36	0.8	12	0.8125	13	16	0.019
grpo	6	0.8	16	0.8125	13	16	0.0212
grpo	12	0.8	16	0.8125	13	16	0.0127
grpo	23	0.8	16	0.875	14	16	0.0197
grpo	24	0.8	16	0.8125	13	16	0.0423
grpo	26	0.8	16	0.8125	13	16	0.0338
grpo	27	0.8	16	0.9375	15	16	0.0005
grpo	28	0.8	16	0.8125	13	16	0.0296
grpo	29	0.8	16	0.8125	13	16	0.0287
grpo	30	0.8	16	0.8125	13	16	0.0338
grpo	34	0.8	16	0.875	14	16	0.0197
grpo	35	0.8	16	0.9375	15	16	0.0056
grpo	36	0.8	16	0.8125	13	16	0.0296
grpo	6	0.8	32	0.8125	13	16	0.0283
grpo	12	0.8	32	0.8125	13	16	0.014
grpo	23	0.8	32	0.875	14	16	0.0269
grpo	24	0.8	32	0.8125	13	16	0.0618
grpo	26	0.8	32	0.8125	13	16	0.0475
grpo	27	0.8	32	0.9375	15	16	0.0005
grpo	28	0.8	32	0.8125	13	16	0.0427
grpo	29	0.8	32	0.8125	13	16	0.0417
grpo	30	0.8	32	0.8125	13	16	0.0475
grpo	34	0.8	32	0.875	14	16	0.0269
grpo	35	0.8	32	0.9375	15	16	0.0063
grpo	36	0.8	32	0.8125	13	16	0.0427
aero	0	0.55	12	0.6875	11	16	0.0368
aero	1	0.55	12	0.6875	11	16	0.0085
aero	2	0.55	12	0.8125	13	16	0.0267
aero	3	0.55	12	0.6875	11	16	0.02
aero	4	0.55	12	0.75	12	16	0.0057
aero	5	0.55	12	0.5625	9	16	0.0408
aero	6	0.55	12	0.75	12	16	0.0141
aero	7	0.55	12	0.625	10	16	0.0296
aero	8	0.55	12	0.6875	11	16	0.0077
aero	9	0.55	12	0.625	10	16	0.0288
aero	10	0.55	12	0.75	12	16	0.0217
aero	11	0.55	12	0.5625	9	16	0.0269
aero	12	0.55	12	0.6875	11	16	0.02
aero	13	0.55	12	0.5625	9	16	0.0116
aero	14	0.55	12	0.75	12	16	0.0187
aero	15	0.55	12	0.8125	13	16	0.0114
aero	16	0.55	12	0.5625	9	16	0.0277
aero	17	0.55	12	0.5625	9	16	0.0255
aero	18	0.55	12	0.625	10	16	0.0272
aero	19	0.55	12	0.625	10	16	0.0234
aero	20	0.55	12	0.625	10	16	0.0288
aero	21	0.55	12	0.8125	13	16	0.0182
aero	22	0.55	12	0.6875	11	16	0.0368
aero	23	0.55	12	0.8125	13	16	0.0174
aero	24	0.55	12	0.8125	13	16	0.0267
aero	25	0.55	12	0.6875	11	16	0.0276
aero	26	0.55	12	0.875	14	16	0.0055
aero	27	0.55	12	0.9375	15	16	0.0013
aero	28	0.55	12	0.8125	13	16	0.0182
aero	29	0.55	12	0.875	14	16	0.0086
aero	30	0.55	12	0.8125	13	16	0.0221
aero	31	0.55	12	0.8125	13	16	0.0221
aero	32	0.55	12	0.75	12	16	0.0149
aero	33	0.55	12	0.625	10	16	0.0335
aero	34	0.55	12	0.875	14	16	0.0101
aero	35	0.55	12	0.8125	13	16	0.0136
aero	36	0.55	12	0.8125	13	16	0.0174
aero	37	0.55	12	0.6875	11	16	0.0284
aero	38	0.55	12	0.6875	11	16	0.0276
aero	39	0.55	12	0.625	10	16	0.0457
aero	0	0.55	16	0.6875	11	16	0.0578
aero	1	0.55	16	0.6875	11	16	0.0105
aero	2	0.55	16	0.8125	13	16	0.0423
aero	3	0.55	16	0.6875	11	16	0.0283
aero	4	0.55	16	0.75	12	16	0.0071
aero	5	0.55	16	0.5625	9	16	0.0606
aero	6	0.55	16	0.75	12	16	0.0183
aero	7	0.55	16	0.625	10	16	0.0457
aero	8	0.55	16	0.6875	11	16	0.0095
aero	9	0.55	16	0.625	10	16	0.0423
aero	10	0.55	16	0.75	12	16	0.031
aero	11	0.55	16	0.5625	9	16	0.0376
aero	12	0.55	16	0.6875	11	16	0.0283
aero	13	0.55	16	0.5625	9	16	0.0147
