method	controller	threshold	step	trigger_zvf	trigger_pcd
aero	zvf_triage	0.5	12	0.6875	0.0596
aero	zvf_triage	0.5	13	0.5625	0.1006
aero	zvf_triage	0.5	14	0.75	0.0449
aero	zvf_triage	0.5	15	0.8125	0.0361
aero	zvf_triage	0.5	16	0.5625	0.084
aero	zvf_triage	0.5	17	0.5625	0.0859
aero	zvf_triage	0.5	18	0.625	0.0684
aero	zvf_triage	0.5	19	0.625	0.0723
aero	zvf_triage	0.5	20	0.625	0.0664
aero	zvf_triage	0.5	21	0.8125	0.0293
aero	zvf_triage	0.5	22	0.6875	0.042
aero	zvf_triage	0.5	23	0.8125	0.0303
aero	zvf_triage	0.5	24	0.8125	0.0205
aero	zvf_triage	0.5	25	0.6875	0.0518
aero	zvf_triage	0.5	26	0.875	0.0264
aero	zvf_triage	0.5	27	0.9375	0.0146
aero	zvf_triage	0.5	28	0.8125	0.0293
aero	zvf_triage	0.5	29	0.875	0.0234
aero	zvf_triage	0.5	30	0.8125	0.0254
aero	zvf_triage	0.5	31	0.8125	0.0254
aero	zvf_triage	0.5	32	0.75	0.0488
aero	zvf_triage	0.5	33	0.625	0.0615
aero	zvf_triage	0.5	34	0.875	0.0215
aero	zvf_triage	0.5	35	0.8125	0.0342
aero	zvf_triage	0.5	36	0.8125	0.0303
aero	zvf_triage	0.5	37	0.6875	0.0508
aero	zvf_triage	0.5	38	0.6875	0.0518
aero	zvf_triage	0.5	39	0.625	0.0488
gift	zvf_triage	0.5	0	0.75	0.0537
gift	zvf_triage	0.5	1	0.5625	0.0752
gift	zvf_triage	0.5	2	0.6875	0.0342
gift	zvf_triage	0.5	3	0.5625	0.0674
gift	zvf_triage	0.5	4	0.6875	0.0518
gift	zvf_triage	0.5	5	0.625	0.0488
gift	zvf_triage	0.5	6	0.75	0.0479
gift	zvf_triage	0.5	7	0.6875	0.0439
gift	zvf_triage	0.5	8	0.625	0.0674
gift	zvf_triage	0.5	9	0.625	0.0537
gift	zvf_triage	0.5	10	0.75	0.0361
gift	zvf_triage	0.5	11	0.625	0.0693
gift	zvf_triage	0.5	12	0.75	0.0449
gift	zvf_triage	0.5	13	0.5625	0.0908
gift	zvf_triage	0.5	14	0.8125	0.0371
gift	zvf_triage	0.5	15	0.625	0.0625
gift	zvf_triage	0.5	16	0.625	0.0635
gift	zvf_triage	0.5	17	0.75	0.0625
gift	zvf_triage	0.5	18	0.625	0.0703
gift	zvf_triage	0.5	19	0.75	0.041
gift	zvf_triage	0.5	20	0.6875	0.0566
gift	zvf_triage	0.5	21	0.75	0.0479
gift	zvf_triage	0.5	22	0.875	0.0215
gift	zvf_triage	0.5	23	0.875	0.0215
gift	zvf_triage	0.5	24	0.875	0.0137
gift	zvf_triage	0.5	25	0.75	0.0537
gift	zvf_triage	0.5	26	0.8125	0.0283
gift	zvf_triage	0.5	27	0.9375	0.0117
gift	zvf_triage	0.5	28	0.875	0.0186
gift	zvf_triage	0.5	29	0.9375	0.0146
gift	zvf_triage	0.5	30	0.875	0.0273
gift	zvf_triage	0.5	31	0.9375	0.0068
gift	zvf_triage	0.5	32	0.75	0.043
gift	zvf_triage	0.5	33	0.9375	0.0068
gift	zvf_triage	0.5	34	1.0	0.0
gift	zvf_triage	0.5	35	0.9375	0.0068
gift	zvf_triage	0.5	36	0.9375	0.0156
gift	zvf_triage	0.5	37	0.875	0.0215
gift	zvf_triage	0.5	38	0.9375	0.0146
gift	zvf_triage	0.5	39	0.8125	0.042
areal	zvf_triage	0.5	0	0.6875	0.0547
areal	zvf_triage	0.5	1	0.5	0.0908
areal	zvf_triage	0.5	2	0.6875	0.043
areal	zvf_triage	0.5	3	0.6875	0.0596
areal	zvf_triage	0.5	4	0.5	0.0684
areal	zvf_triage	0.5	5	0.75	0.043
areal	zvf_triage	0.5	6	0.6875	0.0498
areal	zvf_triage	0.5	7	0.875	0.0137
areal	zvf_triage	0.5	8	0.625	0.0703
areal	zvf_triage	0.5	9	0.6875	0.0625
areal	zvf_triage	0.5	10	0.6875	0.042
areal	zvf_triage	0.5	11	0.5	0.0801
areal	zvf_triage	0.5	12	0.8125	0.0439
areal	zvf_triage	0.5	13	0.5625	0.0938
areal	zvf_triage	0.5	14	0.6875	0.0527
areal	zvf_triage	0.5	15	0.6875	0.042
areal	zvf_triage	0.5	16	0.625	0.0586
areal	zvf_triage	0.5	17	0.5	0.0928
areal	zvf_triage	0.5	18	0.5625	0.0771
areal	zvf_triage	0.5	19	0.75	0.0547
areal	zvf_triage	0.5	20	0.6875	0.0703
areal	zvf_triage	0.5	21	0.6875	0.043
areal	zvf_triage	0.5	22	0.8125	0.0293
areal	zvf_triage	0.5	23	0.8125	0.0332
areal	zvf_triage	0.5	24	0.875	0.0186
areal	zvf_triage	0.5	25	0.625	0.082
areal	zvf_triage	0.5	26	0.875	0.0264
areal	zvf_triage	0.5	27	0.9375	0.0117
areal	zvf_triage	0.5	28	0.875	0.0215
areal	zvf_triage	0.5	29	0.8125	0.0293
areal	zvf_triage	0.5	30	0.75	0.04
areal	zvf_triage	0.5	31	0.5625	0.0527
areal	zvf_triage	0.5	32	0.75	0.0479
areal	zvf_triage	0.5	33	0.625	0.0625
areal	zvf_triage	0.5	34	0.6875	0.0391
areal	zvf_triage	0.5	35	0.8125	0.0254
areal	zvf_triage	0.5	36	0.75	0.04
areal	zvf_triage	0.5	37	0.6875	0.0566
areal	zvf_triage	0.5	38	0.8125	0.0332
areal	zvf_triage	0.5	39	0.75	0.0449
grpo	zvf_triage	0.6	0	0.6875	0.0391
grpo	zvf_triage	0.6	2	0.6875	0.0527
grpo	zvf_triage	0.6	3	0.75	0.0371
grpo	zvf_triage	0.6	4	0.6875	0.0576
grpo	zvf_triage	0.6	5	0.6875	0.0566
grpo	zvf_triage	0.6	6	0.8125	0.0332
grpo	zvf_triage	0.6	7	0.6875	0.0479
grpo	zvf_triage	0.6	9	0.6875	0.0518
grpo	zvf_triage	0.6	10	0.6875	0.0518
grpo	zvf_triage	0.6	11	0.6875	0.0566
grpo	zvf_triage	0.6	12	0.8125	0.0381
grpo	zvf_triage	0.6	14	0.75	0.041
grpo	zvf_triage	0.6	15	0.75	0.0518
grpo	zvf_triage	0.6	16	0.625	0.0742
grpo	zvf_triage	0.6	19	0.625	0.0566
grpo	zvf_triage	0.6	20	0.625	0.0723
grpo	zvf_triage	0.6	21	0.75	0.043
grpo	zvf_triage	0.6	22	0.75	0.0479
grpo	zvf_triage	0.6	23	0.875	0.0186
grpo	zvf_triage	0.6	24	0.8125	0.0205
grpo	zvf_triage	0.6	26	0.8125	0.0254
grpo	zvf_triage	0.6	27	0.9375	0.0156
grpo	zvf_triage	0.6	28	0.8125	0.0283
grpo	zvf_triage	0.6	29	0.8125	0.0293
grpo	zvf_triage	0.6	30	0.8125	0.0254
grpo	zvf_triage	0.6	31	0.75	0.0322
grpo	zvf_triage	0.6	32	0.6875	0.0605
grpo	zvf_triage	0.6	33	0.6875	0.0469
grpo	zvf_triage	0.6	34	0.875	0.0186
grpo	zvf_triage	0.6	35	0.9375	0.0117
grpo	zvf_triage	0.6	36	0.8125	0.0283
grpo	zvf_triage	0.6	37	0.75	0.0459
grpo	zvf_triage	0.6	38	0.6875	0.0518
grpo	zvf_triage	0.6	39	0.75	0.0479
aero	zvf_triage	0.6	0	0.6875	0.042
aero	zvf_triage	0.6	1	0.6875	0.0713
aero	zvf_triage	0.6	2	0.8125	0.0205
aero	zvf_triage	0.6	3	0.6875	0.0596
aero	zvf_triage	0.6	4	0.75	0.0586
aero	zvf_triage	0.6	6	0.75	0.0498
aero	zvf_triage	0.6	7	0.625	0.0654
aero	zvf_triage	0.6	8	0.6875	0.0723
aero	zvf_triage	0.6	9	0.625	0.0664
aero	zvf_triage	0.6	10	0.75	0.042
aero	zvf_triage	0.6	12	0.6875	0.0596
aero	zvf_triage	0.6	14	0.75	0.0449
aero	zvf_triage	0.6	15	0.8125	0.0361
aero	zvf_triage	0.6	18	0.625	0.0684
aero	zvf_triage	0.6	19	0.625	0.0723
aero	zvf_triage	0.6	20	0.625	0.0664
aero	zvf_triage	0.6	21	0.8125	0.0293
aero	zvf_triage	0.6	22	0.6875	0.042
aero	zvf_triage	0.6	23	0.8125	0.0303
aero	zvf_triage	0.6	24	0.8125	0.0205
aero	zvf_triage	0.6	25	0.6875	0.0518
aero	zvf_triage	0.6	26	0.875	0.0264
aero	zvf_triage	0.6	27	0.9375	0.0146
aero	zvf_triage	0.6	28	0.8125	0.0293
aero	zvf_triage	0.6	29	0.875	0.0234
aero	zvf_triage	0.6	30	0.8125	0.0254
aero	zvf_triage	0.6	31	0.8125	0.0254
aero	zvf_triage	0.6	32	0.75	0.0488
aero	zvf_triage	0.6	33	0.625	0.0615
aero	zvf_triage	0.6	34	0.875	0.0215
aero	zvf_triage	0.6	35	0.8125	0.0342
aero	zvf_triage	0.6	36	0.8125	0.0303
aero	zvf_triage	0.6	37	0.6875	0.0508
aero	zvf_triage	0.6	38	0.6875	0.0518
aero	zvf_triage	0.6	39	0.625	0.0488
gift	zvf_triage	0.6	0	0.75	0.0537
gift	zvf_triage	0.6	2	0.6875	0.0342
gift	zvf_triage	0.6	4	0.6875	0.0518
gift	zvf_triage	0.6	5	0.625	0.0488
gift	zvf_triage	0.6	6	0.75	0.0479
gift	zvf_triage	0.6	7	0.6875	0.0439
gift	zvf_triage	0.6	8	0.625	0.0674
gift	zvf_triage	0.6	9	0.625	0.0537
gift	zvf_triage	0.6	10	0.75	0.0361
gift	zvf_triage	0.6	11	0.625	0.0693
gift	zvf_triage	0.6	12	0.75	0.0449
gift	zvf_triage	0.6	14	0.8125	0.0371
gift	zvf_triage	0.6	15	0.625	0.0625
gift	zvf_triage	0.6	16	0.625	0.0635
gift	zvf_triage	0.6	17	0.75	0.0625
gift	zvf_triage	0.6	18	0.625	0.0703
gift	zvf_triage	0.6	19	0.75	0.041
gift	zvf_triage	0.6	20	0.6875	0.0566
gift	zvf_triage	0.6	21	0.75	0.0479
gift	zvf_triage	0.6	22	0.875	0.0215
gift	zvf_triage	0.6	23	0.875	0.0215
gift	zvf_triage	0.6	24	0.875	0.0137
gift	zvf_triage	0.6	25	0.75	0.0537
gift	zvf_triage	0.6	26	0.8125	0.0283
gift	zvf_triage	0.6	27	0.9375	0.0117
gift	zvf_triage	0.6	28	0.875	0.0186
gift	zvf_triage	0.6	29	0.9375	0.0146
gift	zvf_triage	0.6	30	0.875	0.0273
gift	zvf_triage	0.6	31	0.9375	0.0068
gift	zvf_triage	0.6	32	0.75	0.043
gift	zvf_triage	0.6	33	0.9375	0.0068
gift	zvf_triage	0.6	34	1.0	0.0
gift	zvf_triage	0.6	35	0.9375	0.0068
gift	zvf_triage	0.6	36	0.9375	0.0156
gift	zvf_triage	0.6	37	0.875	0.0215
gift	zvf_triage	0.6	38	0.9375	0.0146
gift	zvf_triage	0.6	39	0.8125	0.042
areal	zvf_triage	0.6	0	0.6875	0.0547
areal	zvf_triage	0.6	2	0.6875	0.043
areal	zvf_triage	0.6	3	0.6875	0.0596
areal	zvf_triage	0.6	5	0.75	0.043
areal	zvf_triage	0.6	6	0.6875	0.0498
areal	zvf_triage	0.6	7	0.875	0.0137
areal	zvf_triage	0.6	8	0.625	0.0703
areal	zvf_triage	0.6	9	0.6875	0.0625
areal	zvf_triage	0.6	10	0.6875	0.042
areal	zvf_triage	0.6	12	0.8125	0.0439
areal	zvf_triage	0.6	14	0.6875	0.0527
areal	zvf_triage	0.6	15	0.6875	0.042
areal	zvf_triage	0.6	16	0.625	0.0586
areal	zvf_triage	0.6	19	0.75	0.0547
areal	zvf_triage	0.6	20	0.6875	0.0703
areal	zvf_triage	0.6	21	0.6875	0.043
areal	zvf_triage	0.6	22	0.8125	0.0293
areal	zvf_triage	0.6	23	0.8125	0.0332
areal	zvf_triage	0.6	24	0.875	0.0186
areal	zvf_triage	0.6	25	0.625	0.082
areal	zvf_triage	0.6	26	0.875	0.0264
areal	zvf_triage	0.6	27	0.9375	0.0117
areal	zvf_triage	0.6	28	0.875	0.0215
areal	zvf_triage	0.6	29	0.8125	0.0293
areal	zvf_triage	0.6	30	0.75	0.04
areal	zvf_triage	0.6	32	0.75	0.0479
areal	zvf_triage	0.6	33	0.625	0.0625
areal	zvf_triage	0.6	34	0.6875	0.0391
areal	zvf_triage	0.6	35	0.8125	0.0254
areal	zvf_triage	0.6	36	0.75	0.04
areal	zvf_triage	0.6	37	0.6875	0.0566
areal	zvf_triage	0.6	38	0.8125	0.0332
areal	zvf_triage	0.6	39	0.75	0.0449
grpo	zvf_triage	0.7	3	0.75	0.0371
grpo	zvf_triage	0.7	6	0.8125	0.0332
grpo	zvf_triage	0.7	12	0.8125	0.0381
grpo	zvf_triage	0.7	14	0.75	0.041
grpo	zvf_triage	0.7	15	0.75	0.0518
grpo	zvf_triage	0.7	21	0.75	0.043
grpo	zvf_triage	0.7	22	0.75	0.0479
grpo	zvf_triage	0.7	23	0.875	0.0186
grpo	zvf_triage	0.7	24	0.8125	0.0205
grpo	zvf_triage	0.7	26	0.8125	0.0254
grpo	zvf_triage	0.7	27	0.9375	0.0156
grpo	zvf_triage	0.7	28	0.8125	0.0283
grpo	zvf_triage	0.7	29	0.8125	0.0293
grpo	zvf_triage	0.7	30	0.8125	0.0254
grpo	zvf_triage	0.7	31	0.75	0.0322
grpo	zvf_triage	0.7	34	0.875	0.0186
grpo	zvf_triage	0.7	35	0.9375	0.0117
grpo	zvf_triage	0.7	36	0.8125	0.0283
grpo	zvf_triage	0.7	37	0.75	0.0459
grpo	zvf_triage	0.7	39	0.75	0.0479
aero	zvf_triage	0.7	2	0.8125	0.0205
aero	zvf_triage	0.7	4	0.75	0.0586
aero	zvf_triage	0.7	6	0.75	0.0498
aero	zvf_triage	0.7	10	0.75	0.042
aero	zvf_triage	0.7	14	0.75	0.0449
aero	zvf_triage	0.7	15	0.8125	0.0361
aero	zvf_triage	0.7	21	0.8125	0.0293
aero	zvf_triage	0.7	23	0.8125	0.0303
aero	zvf_triage	0.7	24	0.8125	0.0205
aero	zvf_triage	0.7	26	0.875	0.0264
aero	zvf_triage	0.7	27	0.9375	0.0146
aero	zvf_triage	0.7	28	0.8125	0.0293
aero	zvf_triage	0.7	29	0.875	0.0234
aero	zvf_triage	0.7	30	0.8125	0.0254
aero	zvf_triage	0.7	31	0.8125	0.0254
aero	zvf_triage	0.7	32	0.75	0.0488
aero	zvf_triage	0.7	34	0.875	0.0215
aero	zvf_triage	0.7	35	0.8125	0.0342
aero	zvf_triage	0.7	36	0.8125	0.0303
gift	zvf_triage	0.7	0	0.75	0.0537
gift	zvf_triage	0.7	6	0.75	0.0479
gift	zvf_triage	0.7	10	0.75	0.0361
gift	zvf_triage	0.7	12	0.75	0.0449
gift	zvf_triage	0.7	14	0.8125	0.0371
gift	zvf_triage	0.7	17	0.75	0.0625
gift	zvf_triage	0.7	19	0.75	0.041
gift	zvf_triage	0.7	21	0.75	0.0479
gift	zvf_triage	0.7	22	0.875	0.0215
gift	zvf_triage	0.7	23	0.875	0.0215
gift	zvf_triage	0.7	24	0.875	0.0137
gift	zvf_triage	0.7	25	0.75	0.0537
gift	zvf_triage	0.7	26	0.8125	0.0283
gift	zvf_triage	0.7	27	0.9375	0.0117
gift	zvf_triage	0.7	28	0.875	0.0186
gift	zvf_triage	0.7	29	0.9375	0.0146
gift	zvf_triage	0.7	30	0.875	0.0273
gift	zvf_triage	0.7	31	0.9375	0.0068
gift	zvf_triage	0.7	32	0.75	0.043
gift	zvf_triage	0.7	33	0.9375	0.0068
gift	zvf_triage	0.7	34	1.0	0.0
gift	zvf_triage	0.7	35	0.9375	0.0068
gift	zvf_triage	0.7	36	0.9375	0.0156
gift	zvf_triage	0.7	37	0.875	0.0215
gift	zvf_triage	0.7	38	0.9375	0.0146
gift	zvf_triage	0.7	39	0.8125	0.042
areal	zvf_triage	0.7	5	0.75	0.043
areal	zvf_triage	0.7	7	0.875	0.0137
areal	zvf_triage	0.7	12	0.8125	0.0439
areal	zvf_triage	0.7	19	0.75	0.0547
areal	zvf_triage	0.7	22	0.8125	0.0293
areal	zvf_triage	0.7	23	0.8125	0.0332
areal	zvf_triage	0.7	24	0.875	0.0186
areal	zvf_triage	0.7	26	0.875	0.0264
areal	zvf_triage	0.7	27	0.9375	0.0117
areal	zvf_triage	0.7	28	0.875	0.0215
areal	zvf_triage	0.7	29	0.8125	0.0293
areal	zvf_triage	0.7	30	0.75	0.04
areal	zvf_triage	0.7	32	0.75	0.0479
areal	zvf_triage	0.7	35	0.8125	0.0254
areal	zvf_triage	0.7	36	0.75	0.04
areal	zvf_triage	0.7	38	0.8125	0.0332
areal	zvf_triage	0.7	39	0.75	0.0449
grpo	zvf_triage	0.8	6	0.8125	0.0332
grpo	zvf_triage	0.8	12	0.8125	0.0381
grpo	zvf_triage	0.8	23	0.875	0.0186
grpo	zvf_triage	0.8	24	0.8125	0.0205
grpo	zvf_triage	0.8	26	0.8125	0.0254
grpo	zvf_triage	0.8	27	0.9375	0.0156
grpo	zvf_triage	0.8	28	0.8125	0.0283
grpo	zvf_triage	0.8	29	0.8125	0.0293
grpo	zvf_triage	0.8	30	0.8125	0.0254
grpo	zvf_triage	0.8	34	0.875	0.0186
grpo	zvf_triage	0.8	35	0.9375	0.0117
grpo	zvf_triage	0.8	36	0.8125	0.0283
aero	zvf_triage	0.8	2	0.8125	0.0205
aero	zvf_triage	0.8	15	0.8125	0.0361
aero	zvf_triage	0.8	21	0.8125	0.0293
aero	zvf_triage	0.8	23	0.8125	0.0303
aero	zvf_triage	0.8	24	0.8125	0.0205
aero	zvf_triage	0.8	26	0.875	0.0264
aero	zvf_triage	0.8	27	0.9375	0.0146
aero	zvf_triage	0.8	28	0.8125	0.0293
aero	zvf_triage	0.8	29	0.875	0.0234
aero	zvf_triage	0.8	30	0.8125	0.0254
aero	zvf_triage	0.8	31	0.8125	0.0254
aero	zvf_triage	0.8	34	0.875	0.0215
aero	zvf_triage	0.8	35	0.8125	0.0342
aero	zvf_triage	0.8	36	0.8125	0.0303
gift	zvf_triage	0.8	14	0.8125	0.0371
gift	zvf_triage	0.8	22	0.875	0.0215
gift	zvf_triage	0.8	23	0.875	0.0215
gift	zvf_triage	0.8	24	0.875	0.0137
gift	zvf_triage	0.8	26	0.8125	0.0283
gift	zvf_triage	0.8	27	0.9375	0.0117
gift	zvf_triage	0.8	28	0.875	0.0186
gift	zvf_triage	0.8	29	0.9375	0.0146
gift	zvf_triage	0.8	30	0.875	0.0273
gift	zvf_triage	0.8	31	0.9375	0.0068
gift	zvf_triage	0.8	33	0.9375	0.0068
gift	zvf_triage	0.8	34	1.0	0.0
gift	zvf_triage	0.8	35	0.9375	0.0068
gift	zvf_triage	0.8	36	0.9375	0.0156
gift	zvf_triage	0.8	37	0.875	0.0215
gift	zvf_triage	0.8	38	0.9375	0.0146
gift	zvf_triage	0.8	39	0.8125	0.042
areal	zvf_triage	0.8	7	0.875	0.0137
areal	zvf_triage	0.8	12	0.8125	0.0439
areal	zvf_triage	0.8	22	0.8125	0.0293
areal	zvf_triage	0.8	23	0.8125	0.0332
areal	zvf_triage	0.8	24	0.875	0.0186
areal	zvf_triage	0.8	26	0.875	0.0264
areal	zvf_triage	0.8	27	0.9375	0.0117
areal	zvf_triage	0.8	28	0.875	0.0215
areal	zvf_triage	0.8	29	0.8125	0.0293
areal	zvf_triage	0.8	35	0.8125	0.0254
areal	zvf_triage	0.8	38	0.8125	0.0332
grpo	zvf_triage	0.9	27	0.9375	0.0156
grpo	zvf_triage	0.9	35	0.9375	0.0117
aero	zvf_triage	0.9	27	0.9375	0.0146
gift	zvf_triage	0.9	27	0.9375	0.0117
gift	zvf_triage	0.9	29	0.9375	0.0146
gift	zvf_triage	0.9	31	0.9375	0.0068
gift	zvf_triage	0.9	33	0.9375	0.0068
gift	zvf_triage	0.9	34	1.0	0.0
gift	zvf_triage	0.9	35	0.9375	0.0068
gift	zvf_triage	0.9	36	0.9375	0.0156
gift	zvf_triage	0.9	38	0.9375	0.0146
areal	zvf_triage	0.9	27	0.9375	0.0117
