method	controller	threshold	eta_min	n_fires	extra_rollouts	sum_zvf_drop	mean_zvf_drop_per_fire	boot_ci_lo	boot_ci_hi	sum_restore_prompts	zvf_drop_per_1k_rollouts
grpo	zvf_then_drop	0.80	0.200	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	drop_gated	n/a	0.005	39	4992	1.4004	0.0359	0.0315	0.0405	168.62	4.4886
grpo	drop_gated	n/a	0.010	38	4864	1.3948	0.0367	0.0325	0.0409	167.63	4.5882
grpo	drop_gated	n/a	0.020	34	4352	1.3252	0.039	0.035	0.0432	157.02	4.8719
grpo	drop_gated	n/a	0.030	24	3072	1.0662	0.0444	0.0405	0.0486	116.57	5.5533
grpo	drop_gated	n/a	0.050	7	896	0.4091	0.0584	0.0553	0.0614	45.06	7.3056
grpo	drop_gated	n/a	0.080	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	drop_gated	n/a	0.100	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	drop_gated	n/a	0.150	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	drop_gated	n/a	0.200	0	0	0.0	0.0	0.0	0.0	0.0	0.0
aero	zvf_triage	0.50	0.0	40	5120	1.2809	0.032	0.0271	0.037	170.49	4.0028
aero	zvf_triage	0.55	0.0	40	5120	1.2809	0.032	0.0271	0.037	170.49	4.0028
aero	zvf_triage	0.60	0.0	35	4480	1.0894	0.0311	0.0262	0.0367	136.56	3.8907
aero	zvf_triage	0.65	0.0	28	3584	0.7606	0.0272	0.0219	0.0327	96.89	3.3955
aero	zvf_triage	0.70	0.0	19	2432	0.4401	0.0232	0.0182	0.0282	54.1	2.8953
aero	zvf_triage	0.75	0.0	19	2432	0.4401	0.0232	0.0182	0.0282	54.1	2.8953
