step	metric	n_rows	eta2	omega2	ss_total
13	reward_mean	20	0.00622	0.0	0.142758
13	pcd	20	0.06777	0.0	0.008046
13	mean_len	20	0.04195	0.0	8295.287021
14	zvf	20	0.0137	0.0	0.171094
14	reward_mean	20	0.00451	0.0	0.146313
14	pcd	20	0.03487	0.0	0.007707
14	mean_len	20	0.038	0.0	8227.607532
15	zvf	20	0.05394	0.0	0.188281
15	reward_mean	20	0.00512	0.0	0.10498
15	pcd	20	0.01876	0.0	0.008327
15	mean_len	20	0.04718	0.0	6473.884872
16	zvf	20	0.08929	0.0	0.175
16	reward_mean	20	0.01073	0.0	0.139584
16	pcd	20	0.04049	0.0	0.006655
16	mean_len	20	0.02265	0.0	14095.441196
17	zvf	20	0.07527	0.0	0.145313
17	reward_mean	20	0.02959	0.0	0.082822
17	pcd	20	0.08233	0.0	0.005501
17	mean_len	20	0.03205	0.0	12409.069702
18	zvf	20	0.29231	0.13441	0.101562
18	reward_mean	20	0.03061	0.0	0.069385
18	pcd	20	0.27922	0.12132	0.003586
18	mean_len	20	0.02435	0.0	12778.998584
19	zvf	20	0.17843	0.02054	0.152148
19	reward_mean	20	0.03072	0.0	0.092969
19	pcd	20	0.09942	0.0	0.006218
19	mean_len	20	0.03352	0.0	17203.916919
20	zvf	20	0.11732	0.0	0.139844
20	reward_mean	20	0.02398	0.0	0.123593
20	pcd	20	0.08977	0.0	0.006648
20	mean_len	20	0.02308	0.0	29085.866196
21	zvf	20	0.11732	0.0	0.139844
21	reward_mean	20	0.03524	0.0	0.036288
21	pcd	20	0.06263	0.0	0.005654
21	mean_len	20	0.13502	0.0	8477.667783
22	zvf	20	0.08046	0.0	0.135937
22	reward_mean	20	0.01012	0.0	0.024121
22	pcd	20	0.02998	0.0	0.006362
22	mean_len	20	0.16074	0.00285	8139.404529
23	zvf	20	0.1134	0.0	0.151562
23	reward_mean	20	0.0352	0.0	0.030087
23	pcd	20	0.05119	0.0	0.006896
23	mean_len	20	0.27308	0.11519	6194.78912
24	zvf	20	0.10448	0.0	0.157031
24	reward_mean	20	0.06133	0.0	0.033188
24	pcd	20	0.04951	0.0	0.006952
24	mean_len	20	0.33478	0.17688	6408.702451
25	zvf	20	0.03125	0.0	0.2
25	reward_mean	20	0.02996	0.0	0.057861
25	pcd	20	0.02568	0.0	0.007919
25	mean_len	20	0.59951	0.44162	4284.707349
26	zvf	20	0.05469	0.0	0.2
26	reward_mean	20	0.03392	0.0	0.058301
26	pcd	20	0.02577	0.0	0.007911
26	mean_len	20	0.48397	0.32607	5095.087827
27	zvf	20	0.06977	0.0	0.209961
27	reward_mean	20	0.03389	0.0	0.065198
27	pcd	20	0.04111	0.0	0.007595
27	mean_len	20	0.48297	0.32508	5112.809995
28	zvf	20	0.11111	0.0	0.061523
28	reward_mean	20	0.04074	0.0	0.032959
28	pcd	20	0.09312	0.0	0.000987
28	mean_len	20	0.37898	0.22109	6248.873596
29	zvf	20	0.25854	0.10064	0.160156
29	reward_mean	20	0.073	0.0	0.013168
29	pcd	20	0.28269	0.1248	0.002147
29	mean_len	20	0.38245	0.22455	6455.045349
30	zvf	20	0.31053	0.15264	0.142773
30	reward_mean	20	0.01667	0.0	0.01666
30	pcd	20	0.21666	0.05876	0.003446
30	mean_len	20	0.30856	0.15066	7279.05896
31	zvf	20	0.43949	0.2816	0.214648
31	reward_mean	20	0.03387	0.0	0.021176
31	pcd	20	0.3448	0.18691	0.005551
31	mean_len	20	0.57487	0.41697	4373.876767
32	zvf	20	0.50731	0.34942	0.253711
32	reward_mean	20	0.13817	0.0	0.015439
32	pcd	20	0.38933	0.23144	0.006635
32	mean_len	20	0.64604	0.48815	5624.899106
33	zvf	20	0.44199	0.28409	0.291211
33	reward_mean	20	0.08319	0.0	0.021863
33	pcd	20	0.38849	0.2306	0.007684
33	mean_len	20	0.50794	0.35004	9935.642224
34	zvf	20	0.39884	0.24095	0.236523
34	reward_mean	20	0.05001	0.0	0.019223
34	pcd	20	0.3474	0.18951	0.006929
34	mean_len	20	0.51579	0.35789	10936.340732
35	zvf	20	0.56113	0.40323	0.249219
35	reward_mean	20	0.05826	0.0	0.104916
35	pcd	20	0.51978	0.36189	0.006715
35	mean_len	20	0.55819	0.4003	13288.871811
36	zvf	20	0.53414	0.37624	0.194531
36	reward_mean	20	0.05695	0.0	0.09967
36	pcd	20	0.4675	0.30961	0.005065
36	mean_len	20	0.67233	0.51444	12301.125156
37	zvf	20	0.49321	0.33532	0.172656
37	reward_mean	20	0.07989	0.0	0.081406
37	pcd	20	0.36152	0.20363	0.004397
37	mean_len	20	0.64038	0.48249	11969.885922
38	zvf	16	0.6378	0.4378	0.124023
38	reward_mean	16	0.11439	0.0	0.077999
38	pcd	16	0.47951	0.27951	0.002713
38	mean_len	16	0.63785	0.43785	9697.1129
39	zvf	12	0.76727	0.49455	0.089518
39	reward_mean	12	0.33171	0.05899	0.033488
39	pcd	12	0.61647	0.34374	0.00183
39	mean_len	12	0.69183	0.41911	6299.275691
