method	step	prompt	k	p_hat	regime	zvf_step	is_sat_band	g_baseline	g_zvf70	g_dual	g_hybrid	zvf_baseline	zvf_zvf70	zvf_dual	zvf_hybrid
grpo	5	11	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	5	12	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	13	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	14	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	15	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	6	0	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	1	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	2	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	3	0	0.0	saturated	0.8125	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	6	4	2	0.25	mid	0.8125	False	8	16	16	16	0.1001	0.01	0.01	0.01
grpo	6	5	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	6	7	0.875	boundary	0.8125	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	6	7	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	8	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	9	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	10	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	11	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	12	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	6	13	0	0.0	saturated	0.8125	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	6	14	5	0.625	mid	0.8125	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	6	15	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	7	0	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	1	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	2	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	7	3	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	4	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	7	5	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	7	6	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	7	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	8	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	7	9	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	10	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	11	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	12	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	7	13	4	0.5	mid	0.6875	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	7	14	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	7	15	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	8	0	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	8	1	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	8	2	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	8	3	5	0.625	mid	0.5625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	8	4	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	8	5	7	0.875	boundary	0.5625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	8	6	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	8	7	2	0.25	mid	0.5625	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	8	8	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	8	9	1	0.125	boundary	0.5625	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	8	10	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	8	11	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	8	12	1	0.125	boundary	0.5625	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	8	13	3	0.375	mid	0.5625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	8	14	2	0.25	mid	0.5625	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	8	15	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	0	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	1	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	2	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	3	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	9	4	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	5	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	9	6	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	7	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	8	5	0.625	mid	0.6875	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	9	9	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	10	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	11	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	9	12	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	13	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	9	14	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	9	15	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	0	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	1	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	2	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	3	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	4	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	10	5	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	6	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	7	3	0.375	mid	0.6875	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	10	8	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	10	9	2	0.25	mid	0.6875	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	10	10	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	11	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	12	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	13	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	10	14	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	10	15	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	11	0	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	11	1	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	11	2	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	11	3	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	11	4	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	11	5	4	0.5	mid	0.6875	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	11	6	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	11	7	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	11	8	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	11	9	4	0.5	mid	0.6875	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	11	10	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	11	11	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	11	12	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	11	13	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	11	14	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	11	15	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	12	0	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	1	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	2	6	0.75	mid	0.8125	False	8	16	8	16	0.1001	0.01	0.1001	0.01
grpo	12	3	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	4	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	5	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	6	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	7	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	8	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	9	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	10	5	0.625	mid	0.8125	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	12	11	6	0.75	mid	0.8125	False	8	16	8	16	0.1001	0.01	0.1001	0.01
grpo	12	12	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	13	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	14	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	12	15	8	1.0	saturated	0.8125	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	13	0	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	13	1	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	13	2	7	0.875	boundary	0.5625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	13	3	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	13	4	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	13	5	7	0.875	boundary	0.5625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	13	6	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	13	7	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	13	8	2	0.25	mid	0.5625	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	13	9	8	1.0	saturated	0.5625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	13	10	7	0.875	boundary	0.5625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	13	11	5	0.625	mid	0.5625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	13	12	4	0.5	mid	0.5625	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	13	13	0	0.0	saturated	0.5625	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	13	14	0	0.0	saturated	0.5625	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	13	15	7	0.875	boundary	0.5625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	14	0	6	0.75	mid	0.75	False	8	16	8	16	0.1001	0.01	0.1001	0.01
grpo	14	1	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	2	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	3	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	4	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	5	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	6	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	7	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	8	7	0.875	boundary	0.75	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	14	9	4	0.5	mid	0.75	False	8	16	16	16	0.0078	0.0	0.0	0.0
grpo	14	10	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	11	7	0.875	boundary	0.75	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	14	12	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	13	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	14	14	0	0.0	saturated	0.75	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	14	15	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	0	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	1	5	0.625	mid	0.75	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	15	2	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	3	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	4	1	0.125	boundary	0.75	False	8	16	16	16	0.3436	0.1181	0.1181	0.1181
grpo	15	5	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	6	3	0.375	mid	0.75	False	8	16	16	16	0.0237	0.0005	0.0005	0.0005
grpo	15	7	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	8	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	9	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	10	4	0.5	mid	0.75	False	8	16	16	16	0.0078	0.0	0.0	0.0
grpo	15	11	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	12	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	13	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	14	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	15	15	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	16	0	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	16	1	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	16	2	0	0.0	saturated	0.625	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	16	3	0	0.0	saturated	0.625	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	16	4	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	16	5	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	16	6	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	16	7	5	0.625	mid	0.625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	16	8	2	0.25	mid	0.625	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	16	9	7	0.875	boundary	0.625	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	16	10	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	16	11	5	0.625	mid	0.625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	16	12	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	16	13	6	0.75	mid	0.625	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	16	14	5	0.625	mid	0.625	False	8	8	16	8	0.0237	0.0237	0.0005	0.0237
grpo	16	15	8	1.0	saturated	0.625	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	17	0	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	17	1	7	0.875	boundary	0.5	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	17	2	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	17	3	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	17	4	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	17	5	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
