cohort	cohort_label	stratum	tree	method	n_stratum	pos_stratum	ece_raw	ece_cal	delta_ece	brier_raw	brier_cal	delta_brier	calib_gap_cal	recall_k2pct_raw	recall_k2pct_cal	delta_recall_k2pct
amount	Amount quintile	1	XGB-24full	stacked	2000	34	0.13595	0.00317	-0.13278	0.03673	0.01673	-0.02	-0.00317	0.85294	0.0	-0.85294
amount	Amount quintile	2	XGB-24full	stacked	2000	22	0.11948	0.00288	-0.11661	0.03167	0.01092	-0.02075	0.00288	0.95455	0.0	-0.95455
amount	Amount quintile	3	XGB-24full	stacked	2000	30	0.10295	0.00111	-0.10184	0.02634	0.01476	-0.01158	-0.00111	0.96667	0.03333	-0.93333
amount	Amount quintile	4	XGB-24full	stacked	2000	31	0.07528	0.00158	-0.07371	0.01702	0.01525	-0.00177	-0.00158	1.0	0.03226	-0.96774
time	Time tertile	0	XGB-20raw	isotonic	3333	51	0.12901	0.0	-0.129	0.03799	0.01507	-0.02292	0.0	0.58824	0.03922	-0.54902
time	Time tertile	1	XGB-20raw	isotonic	3333	44	0.09637	0.0	-0.09637	0.02377	0.01303	-0.01074	-0.0	0.70455	0.04545	-0.65909
time	Time tertile	2	XGB-20raw	isotonic	3334	49	0.06663	0.0	-0.06663	0.01521	0.01449	-0.00072	-0.0	0.77551	0.0	-0.77551
time	Time tertile	0	XGB-20raw	rate	3333	51	0.12901	5e-05	-0.12895	0.03799	0.01531	-0.02267	1e-05	0.58824	0.03922	-0.54902
time	Time tertile	1	XGB-20raw	rate	3333	44	0.09637	1e-05	-0.09637	0.02377	0.01315	-0.01062	-1e-05	0.70455	0.06818	-0.63636
time	Time tertile	2	XGB-20raw	rate	3334	49	0.06663	0.00286	-0.06377	0.01521	0.01486	-0.00035	-0.0	0.77551	0.04082	-0.73469
time	Time tertile	0	XGB-20raw	stacked	3333	51	0.12901	0.00192	-0.12708	0.03799	0.01508	-0.02291	-0.00192	0.58824	0.01961	-0.56863
time	Time tertile	1	XGB-20raw	stacked	3333	44	0.09637	0.00011	-0.09626	0.02377	0.01306	-0.01072	0.00011	0.70455	0.0	-0.70455
time	Time tertile	2	XGB-20raw	stacked	3334	49	0.06663	0.0014	-0.06523	0.01521	0.01446	-0.00075	-0.0014	0.77551	0.02041	-0.7551
time	Time tertile	0	XGB-24full	isotonic	3333	51	0.13305	0.0	-0.13305	0.03752	0.01507	-0.02245	0.0	0.88235	0.03922	-0.84314
time	Time tertile	1	XGB-24full	isotonic	3333	44	0.11907	0.0	-0.11907	0.03045	0.01302	-0.01743	0.0	0.95455	0.02273	-0.93182
time	Time tertile	2	XGB-24full	isotonic	3334	49	0.09895	0.0	-0.09895	0.02547	0.01448	-0.01099	0.0	0.97959	0.04082	-0.93878
time	Time tertile	0	XGB-24full	rate	3333	51	0.13305	0.00018	-0.13287	0.03752	0.01537	-0.02214	0.0	0.88235	0.01961	-0.86275
time	Time tertile	1	XGB-24full	rate	3333	44	0.11907	0.00028	-0.11878	0.03045	0.01324	-0.01721	-4e-05	0.95455	0.02273	-0.93182
time	Time tertile	2	XGB-24full	rate	3334	49	0.09895	0.00376	-0.0952	0.02547	0.01498	-0.01049	-2e-05	0.97959	0.0	-0.97959
time	Time tertile	0	XGB-24full	stacked	3333	51	0.13305	0.00162	-0.13143	0.03752	0.01511	-0.02241	-0.00162	0.88235	0.0	-0.88235
time	Time tertile	1	XGB-24full	stacked	3333	44	0.11907	0.00049	-0.11858	0.03045	0.01306	-0.01739	0.00049	0.95455	0.02273	-0.93182
time	Time tertile	2	XGB-24full	stacked	3334	49	0.09895	0.00094	-0.09801	0.02547	0.01448	-0.01099	-0.00094	0.97959	0.0	-0.97959
