C_inv	L	rho	regret_20raw_mean	regret_20raw_ci_low	regret_20raw_ci_high	regret_24full_mean	regret_24full_ci_low	regret_24full_ci_high	regret_4sensor_mean	regret_4sensor_ci_low	regret_4sensor_ci_high	sensor_closure_24full_mean	sensor_closure_24full_ci_low	sensor_closure_24full_ci_high	sensor_closure_24full_excl0	sensor_full_ceiling_mean	sensor_full_ceiling_ci_low	sensor_full_ceiling_ci_high	fraction_captured_mean	fraction_captured_ci_low	fraction_captured_ci_high	n_boot_used
1.0	5.0	5.0	0.010056899999999999	0.007099999999999999	0.0135	0.0073445	0.004699999999999999	0.010199999999999997	0.04695950000000001	0.039999999999999994	0.054400000000000004	0.0027124000000000007	0.00020000000000000052	0.005302499999999998	True	0.010056899999999999	0.007099999999999999	0.0135	0.2644964952577469	0.02197802197802204	0.47060237556561113	1000
1.0	25.0	25.0	0.0236404	0.015500000000000002	0.0323025	0.0184298	0.011294999999999998	0.027902500000000004	0.1552747	0.12658999999999998	0.18280999999999997	0.005210600000000001	-0.003002499999999999	0.0132	False	0.0236404	0.015500000000000002	0.0323025	0.21073830128876034	-0.14898974437471302	0.4841424535916062	1000
1.0	100.0	100.0	0.0402371	0.01909	0.0701	0.0412639	0.011099999999999999	0.08030749999999999	0.29265660000000004	0.2310925	0.3570075	-0.0010267999999999998	-0.03710999999999999	0.03160750000000001	False	0.0402371	0.01909	0.0701	-0.08387846858371487	-1.1385179640718563	0.6395943051201671	1000
1.0	250.0	250.0	0.0626697	0.019095	0.12200499999999999	0.07382509999999999	0.011395	0.105705	0.39266460000000003	0.28937999999999997	0.49722	-0.0111554	-0.066405	0.06069999999999999	False	0.0626697	0.019095	0.12200499999999999	-0.420887358770114	-3.361010362694301	0.725844286976434	1000
1.0	1000.0	1000.0	0.0951703	0.019497499999999997	0.12960249999999998	0.0918515	0.011497499999999997	0.106805	0.5119023	0.34949749999999996	0.6051	0.0033188000000000002	-0.0812025	0.10650749999999999	False	0.0951703	0.019497499999999997	0.12960249999999998	-0.37847185159738844	-3.9337539627501483	0.8985519626986265	1000
2.5	5.0	2.0	0.00999475	0.006999999999999999	0.013000000000000005	0.007903249999999997	0.005499999999999998	0.010749999999999996	0.03389924999999999	0.028493749999999998	0.03975	0.002091500000000003	-6.25000000000286e-06	0.004250000000000004	False	0.00999475	0.006999999999999999	0.013000000000000005	0.2050379645066053	-0.0006250000000003878	0.38892276422764255	1000
2.5	25.0	10.0	0.040562	0.027493749999999997	0.05299999999999999	0.030234499999999997	0.018499999999999996	0.04150625	0.20983475	0.17499374999999998	0.24524999999999997	0.010327500000000003	-0.0010000000000000009	0.02150625	False	0.040562	0.027493749999999997	0.05299999999999999	0.2481849232880666	-0.034787169352386654	0.4999999999999999	1000
2.5	100.0	40.0	0.0697715	0.0395	0.10626249999999997	0.0580215	0.028243749999999998	0.09825625	0.49577899999999997	0.40541875	0.5852749999999999	0.011750000000000003	-0.025006249999999994	0.042249999999999996	False	0.0697715	0.0395	0.10626249999999997	0.15285483228868155	-0.4065310368743497	0.547246424078647	1000
2.5	250.0	100.0	0.09902675	0.04773750000000001	0.17650624999999998	0.10248674999999999	0.027250000000000003	0.20200624999999997	0.72758525	0.5659624999999999	0.8845562499999999	-0.0034599999999999956	-0.0960125	0.0795125	False	0.09902675	0.04773750000000001	0.17650624999999998	-0.09781424985963923	-1.2552319679961785	0.6476597315436242	1000
2.5	1000.0	400.0	0.19318649999999998	0.04574375	0.31975	0.21088925	0.028249999999999997	0.26649999999999996	1.103625	0.83645625	1.3944187499999998	-0.01770275	-0.19776875	0.18699999999999997	False	0.19318649999999998	0.04574375	0.31975	-0.4178177763448318	-3.7399544994944387	0.8071966575091575	1000
5.0	5.0	1.0	-1.0685896612017132e-18	-1.3877787807814457e-17	1.3877787807814457e-17	-3.885780586188048e-18	-1.3877787807814457e-17	1.3877787807814457e-17	0.00011949999999999611	-1.3877787807814457e-17	0.0005000000000000004	2.817190924986335e-18	0.0	1.3877787807814457e-17	False	-1.0685896612017132e-18	-1.3877787807814457e-17	1.3877787807814457e-17	2.8171909249863347e-06	0.0	1.3877787807814457e-05	1000
5.0	25.0	5.0	0.04993349999999999	0.034	0.067	0.036573499999999995	0.022999999999999993	0.052000000000000005	0.235769	0.1985	0.272	0.013360000000000007	0.00048750000000000117	0.0270125	True	0.04993349999999999	0.034	0.067	0.26249606641857975	0.010263157894736868	0.48421866521975043	1000
5.0	100.0	20.0	0.10980849999999999	0.07298749999999998	0.152	0.0846695	0.05348749999999999	0.1250125	0.6730035	0.5579875	0.8040125	0.025139	-0.01201250000000001	0.06101249999999999	False	0.10980849999999999	0.07298749999999998	0.152	0.2186569639896077	-0.12880094043887114	0.48495153743315517	1000
5.0	250.0	50.0	0.15033	0.08750000000000001	0.23752499999999996	0.1299075	0.05698750000000001	0.22449999999999998	1.094649	0.9055	1.3060125	0.020422500000000003	-0.06853749999999997	0.09899999999999998	False	0.15033	0.08750000000000001	0.23752499999999996	0.11261243134745612	-0.5658447368421051	0.5556628056628056	1000
5.0	1000.0	200.0	0.29348250000000004	0.10100000000000002	0.5780124999999999	0.330551	0.05798750000000001	0.5245	1.8352115000000002	1.3924375	2.3128249999999997	-0.0370685	-0.30861250000000007	0.25449999999999995	False	0.29348250000000004	0.10100000000000002	0.5780124999999999	-0.3051697926937803	-2.512237394957982	0.6948709528543028	1000
