delta_id	component	stack_id	framework	openness	label_claimed	status
delta_dapo	token_level_loss	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_dapo	token_level_loss	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_dapo	token_level_loss	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_dapo	token_level_loss	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_dapo	token_level_loss	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_dapo	token_level_loss	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_dapo	token_level_loss	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	unknown
delta_dapo	token_level_loss	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	not_applicable
delta_dapo	token_level_loss	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_dapo	token_level_loss	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_dapo	token_level_loss	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_dapo	token_level_loss	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_dapo	token_level_loss	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_dapo	token_level_loss	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_dapo	token_level_loss	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
delta_dapo	token_level_loss	zvf130_es	worktree-zvf130-batch	open	es	not_applicable
delta_dapo	token_level_loss	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_dapo	token_level_loss	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_dapo	token_level_loss	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_dapo	overlong_reward_shaping	colab-open_dapo_e3	colab-open-trainer	open	dapo	absent
delta_dapo	overlong_reward_shaping	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_dapo	overlong_reward_shaping	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_dapo	overlong_reward_shaping	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_dapo	overlong_reward_shaping	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_dapo	overlong_reward_shaping	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_dapo	overlong_reward_shaping	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_dapo	overlong_reward_shaping	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	absent
delta_dapo	overlong_reward_shaping	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	not_applicable
delta_dapo	overlong_reward_shaping	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_dapo	overlong_reward_shaping	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_dapo	overlong_reward_shaping	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_dapo	overlong_reward_shaping	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_dapo	overlong_reward_shaping	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_dapo	overlong_reward_shaping	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_dapo	overlong_reward_shaping	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
